# Rodent assembly and mapping stats
# PYTHON VERSION: 3.6.10
# Script call:    get_spades_stats.py -p 64
# Runtime:        10/03/2020 12:20:52
# ----------------
# Total species:              210
# Total target length:        54359343.0
# Mapping directory:          ../../01-Assembly-data/06-Map/
# Assembly directory:         ../../01-Assembly-data/05-Scaffolds/
# Output file:                spades-stats.csv
# ----------
species,num-scaffs,avg-scaff-len,asm-len,asm-n50,asm-l50,asm-reads-mapped,asm-perc-reads-mapped,asm-paired-mapped,asm-perc-paired-mapped,asm-pair-mapped-diff-chr,asm-single-mapped,asm-perc-single-mapped,asm-duplicate-reads,asm-avg-depth,asm-avg-start-depth,asm-avg-mid-depth,asm-avg-end-depth,mouse-reads-mapped,mouse-perc-reads-mapped,mouse-paired-mapped,mouse-perc-paired-mapped,mouse-pair-mapped-diff-chr,mouse-single-mapped,mouse-perc-single-mapped,mouse-duplicate-reads,mouse-target-reads-mapped,mouse-target-perc-reads-mapped,mouse-target-paired-mapped,mouse-target-perc-paired-mapped,mouse-target-pair-mapped-diff-chr,mouse-target-single-mapped,mouse-target-perc-single-mapped,mouse-avg-depth,mouse-target-avg-depth,referee-unmapped-pos,referee-errors-corrected,referee-error-rate,referee-low-scores,referee-reads-mapped,referee-perc-reads-mapped,referee-duplicate-reads,referee-avg-depth,referee-avg-start-depth,referee-avg-mid-depth,referee-avg-end-depth,ins-removed,dels-removed,complex-removed,total-snps,filtered-snps
Apomys-lubangensis,139366,678.0078139574932,94491237.0,702,42171,32715642,85.92,27832252,80.33,999124,944936,2.73,[8485138.0],19.031476116934307,6.956122435676452,22.02595812072477,7.101396945199908,32352459,84.86,26991916,77.91,628686,2003187,5.78,[8235472.0],22911854,95.43,19255801,86.83,173364,1456977,6.57,21.32109079318791,18.39944524347912,878230,10989,0.00011629649847847796,878578,32716772,85.92,[8485426.0],19.03237216007959,6.956158030037399,22.026628451565895,7.103465198730124,22960,18125,107,341289,125
Bullimus-salomonseni,143944,649.2671733451898,93458114.0,668,44092,37250100,85.59,32090362,80.72,997888,931407,2.34,[12121360.0],19.957498826327278,6.924339517068569,23.22337905653313,6.804086454649698,36208515,83.10,29967658,75.38,678822,2629368,6.61,[11598849.0],26424602,94.60,21988872,84.90,173324,2000682,7.72,22.863708519610057,19.08719761384901,884381,10130,0.00010839080275041715,884587,37251610,85.59,[12121990.0],19.95834109450675,6.925881670089596,23.22386809080869,6.806188603089638,20534,15603,93,271221,150
Bulimus-bagobus,134098,703.8034646303449,94378637.0,718,41736,33451858,86.12,28944392,81.87,580936,926635,2.62,[9273735.0],19.035919576232857,6.479039562149247,22.18487445074191,6.375639100405318,31894961,82.01,26094920,73.81,639342,2505089,7.09,[8787698.0],22856847,94.11,18770705,83.52,172452,1896941,8.44,21.329964147588676,17.751649058745983,839557,9955,0.00010547937877085469,840264,33453622,86.12,[9274765.0],19.036782636125615,6.481158353227313,22.18549267022541,6.375903418763175,19903,15654,101,275470,138
Chrotomys-mindorensis,152027,687.3163780118006,104490647.0,717,45645,41789062,87.58,35672472,82.07,1390398,1009890,2.32,[12099000.0],21.12610342583125,7.74586872164392,24.46214016294926,7.756307755145663,41060032,85.93,34451438,79.26,797174,2422501,5.57,[11677780.0],29421338,95.66,24895830,87.59,222904,1776431,6.25,25.63993259190902,22.51901420147775,960080,10675,0.00010216225381397055,960204,41790726,87.58,[12099537.0],21.1271647652147,7.74708425288723,24.462916047639684,7.7581353869291405,21393,17042,109,287332,107
Phloeomys-pallidus,137803,677.9949493116986,93429738.0,691,42618,36127056,86.35,30870972,81.12,1069630,926846,2.44,[13327762.0],18.10113982337008,6.783288830048238,20.91945298156385,6.83024130571538,34858122,83.19,28809362,75.70,761274,2386843,6.27,[12494075.0],24695005,94.98,20656991,86.02,161531,1750756,7.29,19.565282660143037,16.57119628910894,900860,10133,0.00010845583233894972,901451,36128091,86.35,[13328114.0],18.101941713309966,6.785752879606046,20.91975678538238,6.832211082475243,15907,12867,101,224533,96
Rhynchomys-isarogensis,151011,584.23126792088,88225348.0,566,48782,40846043,86.66,36493224,84.25,400976,579853,1.34,[17609141.0],19.591682505178436,6.236619225574488,22.90220620437977,6.449257986913616,41517097,87.97,35579554,82.14,657438,2010230,4.64,[17219405.0],31327531,96.56,27136189,90.01,150419,1482786,4.92,22.201144944324163,19.030408056992155,775719,8204,9.298914865147373e-05,776029,40847668,86.66,[17609699.0],19.592530530656987,6.238354736667486,22.90280064135174,6.450312553981689,11071,8553,77,136887,73
Sundamys-muelleri,128659,664.885627900108,85543520.0,689,40140,26959705,84.78,22082522,76.55,1384572,996609,3.45,[6719090.0],17.531913874715478,6.6121368952207,20.22299930488493,6.885986790067254,25731644,80.77,20436158,70.85,592702,2191176,7.60,[6429057.0],18148620,93.48,14409671,80.48,159468,1650761,9.22,17.83656014315387,14.672420213025754,911412,10998,0.00012856613803126176,912019,26960542,84.78,[6719473.0],17.53249692538995,6.612110906278098,20.22347175878766,6.887018755395119,17302,13736,65,247663,113
Taeromys-punicans,134893,1037.0652665445946,139892845.0,1012,40229,66017492,91.29,60528824,88.20,1096784,1057949,1.54,[21523655.0],32.71215825492667,8.854946791883114,38.65827435982408,8.932817225685907,65643432,89.34,55108740,80.30,2852390,3069059,4.47,[20878986.0],45954681,96.62,40476877,88.89,622356,2197876,4.83,49.19855356593249,44.51002167189548,983305,32231,0.00023039777338147637,987080,66023505,91.30,[21524677.0],32.71584912774187,8.86594411122616,38.660017483479294,8.94365688466353,62499,44405,1067,864020,711
Hyorhinomys-stuempkei,130945,709.0160067203788,92842101.0,729,39678,29569647,85.95,25399760,81.16,619784,892929,2.85,[7645587.0],17.523085455801453,6.366389595437353,20.32246567445915,6.268003183777723,29152834,84.64,24277662,77.58,553024,1845499,5.90,[7424732.0],20538780,95.25,17212426,86.43,142465,1344982,6.75,19.18833130190893,16.470218615408946,804253,9678,0.00010424150138523901,804884,29571021,85.96,[7646017.0],17.5240999355064,6.368133651323272,20.323218822154494,6.269589912807138,15763,12771,78,221673,192
Hybomys-univittatus,139574,611.0601258113975,85288106.0,631,43901,32703230,85.16,27337074,78.12,1378898,1093395,3.12,[13886000.0],16.30838974816483,6.900807166696025,18.64119055094301,6.9964259301741345,33034838,85.92,27770366,79.36,547658,1884255,5.38,[13459733.0],23938287,95.84,20225096,87.63,154012,1391669,6.03,17.157361814100387,14.763395024844211,928105,12254,0.00014367771281027157,928375,32704553,85.16,[13886547.0],16.309125109174246,6.902379060001423,18.64169418912037,6.997318079734354,24039,18318,123,378293,132
