Sample,Assembly,No_scaffolds,Mean_Len,Identical scaffolds,noContigs,dedupeContigs,codingTargets,noncodingTargets,totalTargets,coding_minLen,coding_maxLen,coding_meanLen,coding_medianLen,noncoding_minLen,noncoding_maxLen,noncoding_meanLen,noncoding_medianLen
Leggadina_forresti,C,137797,798.9158763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leggadina_lakedownensis,C,187799,691.8906597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Mastacomys_fuscus,C,180263,709.1116646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Mastacomys_fuscus,C,124225,842.567575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_alexis,C,139374,778.6163273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_amplus,C,79216,645.1079959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_aquilo,C,140630,813.9570646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_cervinus,C,154926,696.8297252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_fuscus,C,138691,788.4446792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_longicaudatus,C,64675,682.5645922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_macrotis,C,15360,579.1393229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_mitchelli,C,131700,751.2042521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Notomys_mitchellii,C,108646,785.5876885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_albocinereus,C,135031,766.4675667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_apodemoides,C,146834,792.8648814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_auritus,C,1370,589.0489051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_australis,C,152124,770.6062686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_bolami,C,144099,725.8268066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_bolami,C,125505,848.1690132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_calabyi,C,166205,833.1078608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_calabyi,C,170691,705.1399957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_chapmani,C,141219,804.926922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_delicatulus,C,129418,822.6384042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_delicatulus,C,124656,808.6753786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_delicatulus,C,143313,755.5385276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_desertor,C,145297,738.6509013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_fieldi,C,134706,804.5045061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_fumeus,C,200395,681.5060905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_gouldii,C,70643,661.0706793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_gracilicaudatus,C,142217,739.8445474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_hermannsburgensis,C,128712,788.3999316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_higginsi,C,139713,895.9169727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_johnsoni,C,193564,657.6464787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_nanus,C,159482,706.6962102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_novaehollandiae,C,149642,779.9824915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_novaehollandiae,C,109475,687.7695456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_occidentalis,C,148373,744.5513672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_oralis,C,158261,823.765912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_patrius,C,137050,734.703911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_pilligaensis,C,124579,758.3329373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomys_shortridgei,C,129801,825.04322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_shortridgei,C,163262,621.7949676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#Pseudomys_shortridgei,C,118781,928.4454921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zyzomys_argurus,C,149036,764.5460627,55686,149036,140851,117247,21145,138392,60,11742,610.2552986,539,60,12920,851.1606053,553
Zyzomys_maini,C,130924,816.2295148,60004,130924,130743,116143,21007,137150,60,11030,601.1963097,529,60,11686,855.4582282,545
Zyzomys_palatalis,C,126694,804.4246057,72919,126694,124848,112372,19298,131670,60,9688,593.368348,526,60,9797,831.0872111,542
Zyzomys_pedunculatus,C,147773,821.4227633,68181,147773,141946,118978,21545,140523,60,10909,643.9956547,568,60,14015,911.8664655,582
Zyzomys_woodwardi,C,111966,797.4375078,72330,111966,110808,104661,17155,121816,60,8967,562.799763,501,60,7900,821.4944914,542
Leggadina_forresti,G,157499,726.7717636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leggadina_lakedownensis,G,175030,735.8313832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastacomys_fuscus,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastacomys_fuscus,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_alexis,G,161346,702.7145637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_amplus,G,92327,639.5264657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomys_aquilo,G,160833,742.0886199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
