Species,batch,count,avg len,N50,L50
Apomys lubangensis,G1.1,160129,603.0067883,693,42906
Batomys salomonseni,G1.1,152877,612.9086717,671,43144
Bulimus bagobus,G1.1,132215,702.0245207,733,39112
Chrotomys mindorensis,G1.1,204418,539.4076989,684,50161
Phloeomys pallidus,G1.1,146865,640.1963912,694,41661
Rhynchomys isarogensis,G1.1,157946,559.8140884,560,48885
Sundamys meulleri,G1.1,153969,576.0224006,669,42335
Hyorhinomys stuempkei,G1.1,153589,621.6632376,709,41815
Hybomys univittatus,G1.1,192710,476.3956307,604,48718
Colomys goslingi,G1.1,181058,573.354831,692,45185
Malacomys longipes,G1.1,179946,573.5096974,690,45149
Hylomyscus vulcanorum,G1.1,209238,524.1891913,659,50663
Praomys degraaffi,G1.1,214698,451.3413725,619,48217
Grammomys sp,G1.1,175198,607.7774461,725,44441
Lemniscomys striatus,G1.1,149917,630.5711227,699,41699
Berylymys bowersi,G1.1,197953,512.8810728,592,53230
Crunomys celebensis,G1.1,149049,647.9517004,706,42411
Echiothrix centrosa,G1.1,147298,580.3942009,642,41762
Gracillimus radix,G1.1,165744,646.3063158,703,46401
Leopoldomys sabanus,G1.1,166627,606.2391869,684,45429
Melasmothrix naso,G1.1,191079,526.4209097,653,48044
Paucidentomys vermidax,G1.1,151102,656.2240407,706,43495
Sommeromys macrorhinos,G1.1,167645,560.2402219,661,44549
Tateomys macrocercus,G1.1,144149,584.2247258,643,41450
Tateomys rhinogradoides,G1.1,162165,634.943243,706,45007
Waiomys mamasae,G1.1,171164,534.5296908,573,49194
Chiropodomys gliroides,G1.1,169180,550.7329353,640,45583
Lorentzimys nouhuysi,G1.1,170816,626.5230365,707,45843
Mastacomys fuscus,G1.1,183296,553.8465651,656,47897
Melomys rufescens,G1.1,182036,524.4223011,621,47315
Hydromys chrysogaster,G1.1,144453,473.6490692,503,41960
Apodemus sylvaticus,G1.1,159636,599.4722932,695,42591
Archboldomys luzonensis,G1.1,159689,608.0204773,692,43357
Bunomys chrysocomus,G1.1,169099,577.9357773,655,46265
Haeromys minahassae,G1.1,180742,526.13963,663,44846
Maxomys surifer,G1.1,183108,555.1610634,665,47753
Niviventer lepturus,G1.1,172083,551.9856581,647,46157
Paruromys dominator,G1.2,147175,548.1162154,644,40445
Bunomys andrewsi,G1.2,107603,626.0472292,597,35125
Rattus exulans,G1.2,201748,533.9645994,606,55191
Rattus leucopus,G1.2,108730,628.0638002,600,35043
Rattus lutreolus,G1.2,113893,630.5751802,597,36592
Maxomys musschenbroekii,G1.2,134965,544.6113955,553,42409
Rattus praetor,G1.2,117514,569.1528924,563,38309
Rattus villosissimus,G1.2,116098,627.1085548,594,37761
Mus musculus reference,G1.3,136197,734.2689119,699,37079
Mus musculus musculus,G1.3,145626,703.5624202,656,39693
Mus musculus domesticus,G1.3,148293,739.8329995,694,40727
Mus musculus castaneus,G1.3,140180,756.9373734,723,38114
Mus caroli,G1.3,193274,556.4334313,583,51304
