sample	num alns	num gappy
>mm10	899	0
>Aethomys_hindei_MVZ196257	871	0
>Haeromys_minahassae_JAE4996	852	0
>Mastacomys_fuscus_M13957	869	0
>Niviventer_rapit_LSUMZ38196	865	0
>Pseudomys_chapmani_WAMM29440	860	0
>Sommeromys_macrorhinos_Z21740	855	0
>Zyzomys_argurus_ABTC61630	852	0
>Zyzomys_woodwardi_WAMM21724	840	0
>Zyzomys_pedunculatus_Z34925	860	0
>Zyzomys_palatalis_ABTC30744	850	0
>Zyzomys_maini_ABTC07900	857	0
>Xeromys_myoides_ABTC30709	873	0
>Waiomys_mamasae_Z20624	863	0
>Uromys_sp-nov_YS380	871	0
>Thamnomys_venustus_LSUMZ37935	873	0
>Thamnomys_kempi_TCD4437	870	0
>Tateomys_rhinogradoides_Z21785	860	0
>Tateomys_macrocercus_Z21834	852	0
>Tarsomys_apoensis_KU167148	869	0
>Taeromys_taerae_LSUMZ39224	872	0
>Taeromys_punicans_MVZ225815	872	0
>Taeromys_hamatus_NMVZ63317	858	0
>Sundamys_muelleri_JAE1283	854	0
>Sundamys_annandalei_YS118	871	0
>Stochomys_longicaudatus_MNHN1999459	860	0
>Saxatilomys_paulinae_ABTC116266	868	0
>Rhynchomys_isarogensis_JAE2195	859	0
>Rhabdomys_pumilio_MNHN1995065	860	0
>Rattus_xanthurus_LSUMZ39196	873	0
>Rattus_villosissimus_sample1	836	0
>Rattus_tunneyi_RAT130	851	0
>Rattus_morotaiensis_ASAM29	874	0
>Rattus_hoffmanni_LSUMZ39187	871	0
>Rattus_exulans_sample1	864	0
>Rattus_colletti_RAT25	853	0
>Rattus_argentiventer_LSUMZ38199	866	0
>Pseudomys_shortridgei_Z25113	861	0
>Pseudomys_oralis_RAT7	862	0
>Pseudomys_occidentalis_ABTC08043	858	0
>Pseudomys_nanus_U1448	858	0
>Pseudomys_higginsi_UC1421	862	0
>Pseudomys_gracilicaudatus_ABTC08163	852	0
>Pseudomys_gouldii_ABTC08164	858	0
>Pseudomys_desertor_ABTC41464	853	0
>Pseudomys_delicatulus_U1509	856	0
>Pseudomys_calabyi_U4324	868	0
>Pseudomys_australis_M25541	855	0
>Pseudomys_apodemoides_M16672	857	0
