sample	num alns	num gappy
>EXOME_Chrotomys_mindorensis_JAE520_PHL	14978	0
>EXOME_Taeromys_punicans_JLP25862	14978	0
>EXOME_Hylomyscus_vulcanorum_TCD4382	14978	0
>EXOME_Apodemus_sylvaticus_SMG3823	14978	0
>EXOME_Niviventer_lepturus_JAE4746	14978	0
>EXOME_Maxomys_surifer_JAE3632	14978	0
>EXOME_Hyorhinomys_stuempkei_JAE4661_SUL	14978	0
>EXOME_Tateomys_rhinogradoides_Z21785_SUL	14978	0
>EXOME_Melasmothrix_naso_Z21808_SUL	14978	0
>EXOME_Bunomys_chrysocomus_JAE4867	14978	0
>EXOME_Lorentzimys_nouhuysi_ABTC46314_SAHUL	14978	0
>EXOME_Mastacomys_fuscus_ABTC07354_SAHUL	14978	0
>EXOME_Chiropodomys_gliroides_Z25153	14978	0
>EXOME_Hybomys_univittatus_TCD4026	14978	0
>EXOME_Lemniscomys_striatus_TCD4711	14978	0
>EXOME_Praomys_degraaffi_TCD4312	14978	0
>EXOME_Rhynchomys_isarogensis_JAE2195_PHL	14978	0
>EXOME_Waiomys_mamasae_Z20624_SUL	14978	0
>EXOME_Gracillimus_radix_Z08508_SUL	14978	0
>EXOME_Malacomys_longipes_TCD4253	14978	0
>EXOME_Berylymys_bowersi_ABTC116431	14978	0
>EXOME_Bulimus_bagobus_JAE1712	14978	0
>EXOME_Echiothrix_centrosa_Z27993_SUL	14978	0
>EXOME_Sommeromys_macrorhinos_Z21740_SUL	14978	0
>EXOME_Hydromys_chrysogaster_Z5248_SAHUL	14978	0
>EXOME_Margaretamys_parvus_Z21794	14978	0
>EXOME_Melomys_rufescens_ABTC44798_SAHUL	14978	0
>EXOME_Colomys_goslingi_TCD4175	14978	0
>EXOME_Grammomys_sp_TCD4560	14978	0
>EXOME_Paucidentomys_vermidax_Z21914_SUL	14978	0
>EXOME_Crunomys_celebensis_Z21894	14978	0
>EXOME_Haeromys_minahassae_JAE4996	14978	0
>EXOME_Archboldomys_luzonensis_EAR1826_PHL	14978	0
>EXOME_Leopoldomys_sabanus_Z25191	14978	0
>EXOME_Rattus_hoffmani	14978	0
>EXOME_Apomys_lubangensis_JAE169_PHL	14978	0
>EXOME_Rattus_exulans	14978	0
>EXOME_Phloeomys_pallidus_JEC43	14978	0
