Division Full Sampled div.prop.sampled
Aethomys 11 3 0.272727272727273
Apodemus 26 1 0.0384615384615385
Arvicanthis 30 7 0.233333333333333
Berylmys 4 2 0.5
Bunomys 31 15 0.483870967741935
Chiropodomys 6 1 0.166666666666667
Chrotomys 39 5 0.128205128205128
Colomys 4 2 0.5
Conilurus 7 6 0.857142857142857
Dacnomys 41 7 0.170731707317073
Dasymys 14 2 0.142857142857143
Echiothrix 10 9 0.9
Haeromys 3 1 0.333333333333333
Hybomys 11 5 0.454545454545455
Hydromys 32 9 0.28125
incertae sedis 13 3 0.230769230769231
Malacomys 3 1 0.333333333333333
Mallomys 11 5 0.454545454545455
Maxomys 22 4 0.181818181818182
Mus 43 11 0.255813953488372
Oenomys 24 5 0.208333333333333
Otomys 31 2 0.0645161290322581
Phloeomys 18 6 0.333333333333333
Pithecheir 3 1 0.333333333333333
Pogonomys 16 6 0.375
Pseudomys 41 32 0.780487804878049
Rattus 84 17 0.202380952380952
Stenocephalemys 51 7 0.137254901960784
Uromys 52 4 0.0769230769230769
