generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,4,1
3000,2,3,1
4000,1,2,1
5000,2,3,1
6000,1,2,1
7000,1,4,1
8000,1,2,1
9000,2,3,1
10000,2,3,1
11000,2,3,1
12000,2,3,1
13000,1,3,1
14000,3,4,1
15000,1,3,1
16000,1,3,1
17000,1,4,1
18000,1,2,1
19000,1,4,1
20000,1,3,1
21000,2,4,1
22000,3,4,1
23000,2,4,1
24000,1,2,1
25000,1,3,1
26000,2,3,1
27000,1,2,1
28000,1,4,1
29000,3,4,1
30000,3,4,1
31000,2,4,1
32000,1,2,1
33000,1,4,1
34000,1,2,1
35000,2,3,1
36000,1,2,1
37000,1,4,1
38000,2,4,1
39000,2,4,1
40000,2,4,0
41000,2,4,1
42000,1,3,1
43000,3,4,1
44000,2,4,1
45000,1,4,1
46000,1,3,1
47000,3,4,1
48000,3,4,1
49000,1,4,1
50000,1,2,1
51000,1,2,1
52000,2,3,1
53000,2,3,1
54000,1,3,1
55000,1,3,1
56000,1,3,1
57000,3,4,1
58000,3,4,1
59000,1,2,1
60000,1,4,1
61000,2,3,1
62000,2,4,1
63000,3,4,1
64000,2,4,1
65000,3,4,1
66000,2,3,1
67000,2,3,1
68000,2,3,1
69000,1,2,1
70000,1,4,1
71000,2,3,1
72000,1,2,1
73000,1,2,1
74000,2,3,1
75000,1,3,1
76000,1,4,1
77000,3,4,1
78000,3,4,1
79000,1,4,0
80000,3,4,1
81000,1,3,1
82000,3,4,1
83000,1,2,1
84000,1,3,1
85000,1,2,1
86000,1,2,1
87000,1,3,1
88000,1,4,1
89000,1,4,1
90000,3,4,1
91000,3,4,0
92000,1,2,1
93000,3,4,1
94000,1,2,1
95000,1,3,1
96000,3,4,1
97000,2,3,1
98000,1,2,1
99000,1,2,1
100000,1,2,1
101000,3,4,1
102000,1,4,1
103000,2,3,1
104000,1,3,0
105000,1,4,1
106000,2,3,1
107000,1,3,1
108000,1,4,1
109000,2,3,1
110000,1,3,1
111000,1,2,1
112000,1,4,1
113000,1,3,1
114000,1,2,1
115000,2,3,1
116000,3,4,0
117000,2,4,1
118000,3,4,1
119000,1,4,1
120000,1,2,0
121000,3,4,1
122000,3,4,1
123000,2,3,1
124000,1,3,1
125000,2,3,1
126000,1,2,1
127000,2,3,1
128000,1,2,1
129000,2,3,1
130000,2,4,1
131000,1,3,1
132000,3,4,1
133000,1,4,1
134000,2,3,1
135000,2,4,1
136000,3,4,1
137000,1,2,1
138000,3,4,1
139000,1,4,0
140000,3,4,1
141000,1,4,1
142000,1,3,1
143000,1,3,1
144000,1,2,1
145000,2,3,1
146000,3,4,1
147000,1,3,1
148000,1,3,1
149000,1,2,1
150000,3,4,1
151000,1,3,1
152000,1,2,1
153000,1,4,1
154000,2,3,1
155000,1,4,0
156000,2,3,1
157000,1,3,1
158000,2,4,1
159000,3,4,1
160000,1,2,1
161000,1,2,1
162000,2,3,1
163000,2,3,1
164000,1,3,1
165000,1,2,1
166000,1,2,1
167000,2,3,1
168000,3,4,1
169000,1,2,1
170000,3,4,1
171000,3,4,1
172000,2,4,1
173000,2,3,1
174000,1,3,1
175000,1,2,1
176000,3,4,1
177000,1,3,1
178000,3,4,1
179000,1,4,1
180000,2,3,1
181000,3,4,0
182000,1,2,1
183000,3,4,1
184000,2,4,1
185000,3,4,1
186000,2,4,1
187000,1,3,1
188000,2,3,1
189000,2,3,1
190000,3,4,1
191000,3,4,1
192000,1,4,1
193000,1,4,0
194000,2,3,1
195000,3,4,1
196000,1,2,1
197000,1,4,1
198000,3,4,0
199000,1,3,0
200000,3,4,1
201000,3,4,1
202000,3,4,1
203000,3,4,1
204000,1,3,1
205000,3,4,1
206000,1,2,1
207000,1,4,1
208000,2,4,1
209000,1,4,1
210000,2,4,1
211000,1,2,1
212000,1,4,1
213000,3,4,1
214000,2,4,1
215000,3,4,1
216000,1,3,1
217000,1,4,1
218000,3,4,1
219000,3,4,1
220000,2,4,1
221000,1,2,0
222000,2,4,1
223000,2,3,1
224000,1,2,1
225000,1,4,1
226000,2,3,1
227000,1,4,1
228000,1,2,1
229000,2,3,1
230000,1,3,1
231000,1,4,1
232000,1,3,1
233000,2,4,1
234000,1,3,1
235000,3,4,1
236000,2,3,1
237000,1,2,1
238000,1,2,1
239000,1,2,1
240000,2,3,1
241000,1,2,1
242000,3,4,1
243000,1,2,1
244000,3,4,1
245000,2,3,0
246000,1,4,1
247000,3,4,1
248000,1,2,1
249000,3,4,1
250000,2,4,1
251000,2,3,1
252000,2,4,1
253000,1,4,1
254000,1,3,1
255000,2,4,1
256000,2,4,1
257000,1,4,1
258000,1,4,1
259000,2,3,1
260000,2,3,1
261000,1,2,1
262000,1,3,1
263000,3,4,1
264000,3,4,1
265000,3,4,1
266000,2,3,1
267000,2,3,1
268000,3,4,1
269000,3,4,1
270000,2,3,1
271000,1,3,1
272000,2,4,1
273000,1,3,1
274000,1,4,0
275000,1,2,1
276000,1,2,1
277000,1,2,1
278000,1,4,1
279000,1,2,1
280000,1,4,1
281000,1,4,1
282000,2,4,1
283000,1,2,1
284000,1,4,0
285000,3,4,1
286000,2,3,0
287000,1,2,0
288000,2,4,0
289000,1,2,1
290000,1,4,1
291000,1,3,1
292000,1,2,1
293000,3,4,1
294000,1,2,1
295000,1,2,1
296000,2,4,1
297000,2,3,1
298000,1,3,1
299000,1,2,1
300000,3,4,0
301000,1,2,1
302000,1,3,1
303000,2,3,1
304000,2,4,1
305000,1,2,1
306000,1,4,1
307000,1,4,1
308000,3,4,1
309000,1,2,1
310000,2,4,1
311000,1,2,1
312000,1,4,1
313000,1,3,1
314000,1,2,1
315000,2,3,1
316000,3,4,1
317000,3,4,1
318000,2,4,1
319000,1,4,1
320000,2,3,1
321000,2,4,1
322000,3,4,1
323000,1,3,1
324000,3,4,1
