generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,mm10,Phloeomys_cumingi_FMNH198472,0,0.032,0,0.005,0
1000,mm10,Phloeomys_cumingi_FMNH198472,0,0.323946,0.0697986,0.035492,0
2000,mm10,Phloeomys_cumingi_FMNH198472,0,0.279934,0.0909729,0.00526203,0
3000,mm10,Phloeomys_cumingi_FMNH198472,0,0.276322,0.145142,0.0365115,0
4000,mm10,Phloeomys_cumingi_FMNH198472,0,0.267433,0.0870433,0.000348601,0
5000,mm10,Phloeomys_cumingi_FMNH198472,0,0.250678,0.207431,0.00435555,0
6000,mm10,Phloeomys_cumingi_FMNH198472,0,0.248305,0.084206,0.00867262,0
6000,rnor6,Paucidentomys_vermidax_Z21914,6.88317,0.76142,-0.00554846,0.020481,0
7000,mm10,Phloeomys_cumingi_FMNH198472,0,0.291874,0.0668303,0.0529194,0
7000,rnor6,Paucidentomys_vermidax_Z21914,6.91937,0.823649,-0.0099235,0.212774,0
8000,mm10,Phloeomys_cumingi_FMNH198472,0,0.352104,0.0331843,0.00416022,0
9000,mm10,Phloeomys_cumingi_FMNH198472,0,0.512749,-0.00903253,0.0090144,0
10000,mm10,Phloeomys_cumingi_FMNH198472,0,0.625368,-0.0170924,0.0690693,0
11000,mm10,Phloeomys_cumingi_FMNH198472,0,0.439695,0.00179845,0.0411606,0
12000,mm10,Phloeomys_cumingi_FMNH198472,0,0.373054,0.0236989,0.0197402,0
13000,mm10,Phloeomys_cumingi_FMNH198472,0,0.214359,0.187543,0.000977836,0
13000,rnor6,Berylmys_bowersi_ABTC116431,10.3667,1.46237,-0.0809502,0.0309393,0
14000,mm10,Phloeomys_cumingi_FMNH198472,0,0.305733,0.0479828,0.00750848,0
14000,rnor6,Taeromys_celebensis_NMVZ20637,11.403,1.19517,-0.0496871,0.135999,0
14000,Paraleptomys_wilhelmina_H126-ABTC133716,Crossomys_moncktoni_ABTC46614,11.2277,0.916769,0.0738109,0.623415,0
15000,mm10,Phloeomys_cumingi_FMNH198472,0,0.318842,0.109725,0.0160796,0
15000,Leggadina_lakedownensis_WAMM21623,Leggadina_forresti_WAMM62323,14.024,3.47509,0.0424766,5.34629,0
16000,mm10,Phloeomys_cumingi_FMNH198472,0,0.275908,0.0765251,0.00527353,0
16000,rnor6,Taeromys_celebensis_NMVZ20637,11.4278,1.51693,-0.161649,0.200459,0
17000,mm10,Phloeomys_cumingi_FMNH198472,0,0.340114,0.0612996,0.0736512,0
18000,mm10,Phloeomys_cumingi_FMNH198472,0,0.330817,0.0603393,0.0131736,0
19000,mm10,Phloeomys_cumingi_FMNH198472,0,0.260012,0.0933503,0.00654414,0
19000,rnor6,Taeromys_celebensis_NMVZ20637,10.887,1.49509,-0.0574174,0.133382,0
20000,mm10,Phloeomys_cumingi_FMNH198472,0,0.414152,0.0150589,0.0300347,0
21000,mm10,Phloeomys_cumingi_FMNH198472,0,0.603482,-0.0110974,0.100927,0
21000,Mastomys_natalensis_T4162,NA,13.6768,0.847656,-0.0123308,1.11123,0
22000,mm10,Phloeomys_cumingi_FMNH198472,0,0.41154,0.0155308,0.0561978,0
23000,mm10,Phloeomys_cumingi_FMNH198472,0,0.341831,0.0613041,0.103558,0
23000,Pseudomys_chapmani_WAMM29440,NA,14.0562,0.0426018,-0.0404616,1.38986,0
24000,mm10,Phloeomys_cumingi_FMNH198472,0,0.405953,0.00558904,0.00547611,0
24000,rnor6,Taeromys_celebensis_NMVZ20637,11.3213,1.11253,0.013065,0.238682,0
25000,mm10,Phloeomys_cumingi_FMNH198472,0,0.45114,0.0240036,0.047662,0
25000,Pogonomelomys_mayeri_AMM21849,NA,15.0022,2.8614,-0.0293822,1.463,0
25000,Micaelemys_namaquensis_MNHN1987009,NA,14.2088,2.03957,0.0678295,2.14538,0
26000,mm10,Phloeomys_cumingi_FMNH198472,0,0.332442,0.0564611,0.0556691,0
27000,mm10,Phloeomys_cumingi_FMNH198472,0,0.458788,0.00293399,0.0112486,0
27000,Halmaheramys_bokimekot_33262-WD225,NA,13.3428,0.114385,0.156673,0.41448,0
27000,rnor6,Berylmys_bowersi_ABTC116431,10.4963,1.97609,-0.109144,0.256183,0
28000,mm10,Phloeomys_cumingi_FMNH198472,0,0.335488,0.0294005,0.00663802,0
28000,rnor6,Berylmys_bowersi_ABTC116431,9.95807,1.38652,-0.0512813,0.182394,0
28000,Malacomys_longipes_TCD4253,NA,12.689,0.736165,0.0335816,0.164524,0
29000,mm10,Phloeomys_cumingi_FMNH198472,0,0.376619,0.00273585,0.0079796,0
29000,rnor6,Taeromys_celebensis_NMVZ20637,11.523,2.03967,-0.165733,0.284304,0
30000,mm10,Phloeomys_cumingi_FMNH198472,0,0.447233,0.00354282,0.00327927,0
30000,Uromys_sp-nov_YS380,Uromys_caudimaculatus_DT10Uc01,12.211,1.2167,0.101249,0.416569,0
30000,Rattus_hoffmanni_LSUMZ39187,NA,14.7907,0.0208121,0.0197717,0.534544,0
30000,rnor6,Taeromys_celebensis_NMVZ20637,11.7253,2.06187,-0.0501319,0.716329,0
31000,mm10,Phloeomys_cumingi_FMNH198472,0,0.553045,-0.0190871,0.00821116,0
31000,Zyzomys_pedunculatus_Z34925,Solomys_salebrosus_ABTC64864,10.5487,0.775047,-0.0862399,0.0360486,0
31000,rnor6,Berylmys_bowersi_ABTC116431,10.6153,1.47424,-0.0376809,0.2841,0
32000,mm10,Phloeomys_cumingi_FMNH198472,0,0.807812,-0.0494705,0.0190274,0
32000,Malacomys_longipes_TCD4253,NA,10.8113,0.777127,0.0703352,1.40957,0
32000,Mirzamys_louiseae_ABTC133754,NA,14.375,1.3899,-0.0826906,0.00710498,0
32000,rnor6,Taeromys_celebensis_NMVZ20637,11.2974,1.21144,-0.0680517,0.0541209,0
33000,mm10,Phloeomys_cumingi_FMNH198472,0,0.603764,-0.0306519,0.0222598,0
33000,Zyzomys_woodwardi_WAMM21724,NA,14.174,0.329155,0.00330304,4.35127,0
33000,rnor6,Berylmys_bowersi_ABTC116431,10.7275,1.53541,-0.0851996,0.2745,0
34000,mm10,Phloeomys_cumingi_FMNH198472,0,0.604995,-0.0334997,0.0420783,0
34000,Malacomys_longipes_TCD4253,NA,10.8855,0.595657,-0.0491922,0.848082,0
34000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.47303,1.72314,-0.153701,0.0966351,0
34000,rnor6,Taeromys_celebensis_NMVZ20637,11.6382,1.2071,0.0088402,0.0100459,0
35000,mm10,Phloeomys_cumingi_FMNH198472,0,0.623111,-0.0453182,0.0133987,0
35000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.80605,0.953555,-0.0278989,0.0894317,0
35000,rnor6,Berylmys_bowersi_ABTC116431,10.146,1.61136,-0.122127,0.0213035,0
36000,mm10,Phloeomys_cumingi_FMNH198472,0,0.741465,-0.047624,0.0214116,0
36000,rnor6,Taeromys_celebensis_NMVZ20637,11.1067,1.48657,-0.041518,0.409464,0
37000,mm10,Phloeomys_cumingi_FMNH198472,0,0.36091,0.00598912,0.024408,0
37000,rnor6,Berylmys_bowersi_ABTC116431,10.2547,1.23304,0.0283179,0.33034,0
38000,mm10,Phloeomys_cumingi_FMNH198472,0,0.378532,0.00991748,0.01559,0
38000,rnor6,Berylmys_bowersi_ABTC116431,10.225,1.59234,-0.0871865,0.0737845,0
39000,mm10,Phloeomys_cumingi_FMNH198472,0,0.432277,0.0116509,0.0465778,0
39000,Thallomys_paedulcus_FMNH158089,NA,12.0015,1.94889,-0.00942043,1.66867,0
39000,rnor6,Taeromys_celebensis_NMVZ20637,11.6888,1.81653,-0.170115,0.079624,0
39000,Margaretamys_parvus_NMVZ21833,NA,14.7089,2.261,-0.171364,0.113135,0
40000,mm10,Phloeomys_cumingi_FMNH198472,0,0.354229,0.0230095,0.00689252,0
40000,rnor6,Taeromys_celebensis_NMVZ20637,11.1802,1.2147,0.072911,0.458724,0
41000,mm10,Phloeomys_cumingi_FMNH198472,0,0.314507,0.0306869,0.0202718,0
41000,Haeromys_minahassae_JAE4996,NA,7.48914,0.114458,0.104802,0.135843,0
41000,rnor6,Berylmys_bowersi_ABTC116431,10.7017,1.59719,-0.0847565,0.236675,0
42000,mm10,Phloeomys_cumingi_FMNH198472,0,0.404314,0.00834152,0.0255095,0
42000,rnor6,Taeromys_celebensis_NMVZ20637,11.3639,1.14887,-0.0242252,0.125974,0
43000,mm10,Phloeomys_cumingi_FMNH198472,0,0.428227,0.0213821,0.0803849,0
43000,rnor6,Taeromys_celebensis_NMVZ20637,11.0011,1.26447,-0.140963,0.0363479,0
44000,mm10,Phloeomys_cumingi_FMNH198472,0,0.269239,0.0692752,0.00932249,0
44000,rnor6,Taeromys_celebensis_NMVZ20637,11.7223,1.32053,-0.0205157,0.0938364,0
45000,mm10,Phloeomys_cumingi_FMNH198472,0,0.259427,0.0787054,0.0132153,0
45000,Thamnomys_kempi_TCD4437,NA,14.7927,0.217823,0.0354599,1.37263,0
45000,rnor6,Taeromys_celebensis_NMVZ20637,10.8213,1.64233,-0.0808839,0.111613,0
46000,mm10,Phloeomys_cumingi_FMNH198472,0,0.207272,0.163568,0.00421289,0
46000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.1773,1.26984,-0.0928165,0.0262516,0
46000,rnor6,Taeromys_celebensis_NMVZ20637,11.317,1.00654,0.0142596,0.0787588,0
47000,mm10,Phloeomys_cumingi_FMNH198472,0,0.214866,0.155121,0.0308716,0
47000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.40898,1.54371,-0.17388,0.0219661,0
47000,Tateomys_macrocercus_Z21834,NA,14.9164,1.74411,-0.0795292,1.83682,0
47000,rnor6,Berylmys_bowersi_ABTC116431,10.1387,1.1715,0.0211991,0.452705,0
48000,mm10,Phloeomys_cumingi_FMNH198472,0,0.238684,0.0873562,0.029972,0
48000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.1873,1.25385,-0.152515,0.06054,0
48000,rnor6,Taeromys_celebensis_NMVZ20637,11.2896,1.44997,-0.203069,0.0500697,0
49000,mm10,Phloeomys_cumingi_FMNH198472,0,0.423304,0.0242858,0.0696045,0
49000,rnor6,Berylmys_bowersi_ABTC116431,9.60203,1.10965,0.00838495,0.0823648,0
50000,mm10,Phloeomys_cumingi_FMNH198472,0,0.616885,-0.046706,0.00675299,0
50000,Zyzomys_pedunculatus_Z34925,Pogonomelomys_mayeri_AMM21849,8.73061,0.888625,-0.044413,0.131725,0
50000,rnor6,Berylmys_bowersi_ABTC116431,10.6587,1.10352,0.0386654,0.0885724,0
51000,mm10,Phloeomys_cumingi_FMNH198472,0,0.519193,-0.0203391,0.00568545,0
51000,rnor6,Taeromys_celebensis_NMVZ20637,11.3178,1.79885,-0.160851,0.0106808,0
52000,mm10,Phloeomys_cumingi_FMNH198472,0,0.405755,0.0113941,0.0341762,0
52000,rnor6,Taeromys_celebensis_NMVZ20637,11.2322,1.4497,-0.0758343,0.0291712,0
53000,mm10,Phloeomys_cumingi_FMNH198472,0,0.296774,0.0544754,0.00194841,0
53000,rnor6,Berylmys_bowersi_ABTC116431,9.89346,0.288716,-0.0614214,0.676671,0
53000,rnor6,Berylmys_bowersi_ABTC116431,10.2424,1.253,0.025038,0.358345,0
54000,mm10,Phloeomys_cumingi_FMNH198472,0,0.293423,0.056007,0.0123349,0
54000,rnor6,Taeromys_celebensis_NMVZ20637,11.5259,1.33949,-0.00581265,0.323463,0
55000,mm10,Phloeomys_cumingi_FMNH198472,0,0.262209,0.153963,0.0116538,0
55000,rnor6,Berylmys_bowersi_ABTC116431,10.0314,0.956406,0.0570926,0.03531,0
56000,mm10,Phloeomys_cumingi_FMNH198472,0,0.268939,0.074716,0.00399602,0
56000,rnor6,Taeromys_celebensis_NMVZ20637,11.5814,1.37098,-0.0533731,0.126817,0
57000,mm10,Phloeomys_cumingi_FMNH198472,0,0.335106,0.0355161,0.00221817,0
57000,Chiruromys_vates_ABTC43096,NA,14.5867,2.63748,0.109432,2.61686,0
57000,rnor6,Taeromys_celebensis_NMVZ20637,11.4263,1.29153,-0.122099,0.0277815,0
58000,mm10,Phloeomys_cumingi_FMNH198472,0,0.348266,0.0166914,0.00142067,0
58000,rnor6,Berylmys_bowersi_ABTC116431,10.3492,1.12804,-0.0364957,0.0336115,0
59000,mm10,Phloeomys_cumingi_FMNH198472,0,0.439732,-0.0140766,0.00715501,0
59000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.87729,1.3684,-0.157963,0.2371,0
59000,rnor6,Taeromys_celebensis_NMVZ20637,11.22,1.71042,-0.116832,0.0833466,0
59000,Niviventer_bukit_LSUMZ38136,Niviventer_rapit_LSUMZ38196,14.7863,9.70225,-0.0228894,0.985347,0
60000,mm10,Phloeomys_cumingi_FMNH198472,0,0.500554,-0.0139235,0.0304444,0
60000,Tateomys_rhinogradoides_Z21785,Tateomys_macrocercus_Z21834,12.0563,1.4723,-0.137599,0.145649,0
60000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.48827,1.24503,-0.114833,0.0788399,0
60000,rnor6,Taeromys_celebensis_NMVZ20637,11.0391,1.80753,-0.0444797,0.628747,0
61000,mm10,Phloeomys_cumingi_FMNH198472,0,0.48746,-0.0207081,0.0076763,0
61000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.1284,0.954279,-0.0576756,0.0503533,0
61000,rnor6,Taeromys_celebensis_NMVZ20637,11.5686,2.33873,-0.260323,0.268288,0
61000,Niviventer_bukit_LSUMZ38136,Niviventer_rapit_LSUMZ38196,14.4143,3.82833,-0.0569341,0.29487,0
62000,mm10,Phloeomys_cumingi_FMNH198472,0,0.723901,-0.0623042,0.0101515,0
62000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.104,1.06359,-0.101035,0.0641624,0
62000,rnor6,Taeromys_celebensis_NMVZ20637,11.7069,1.36851,-0.0495805,0.331778,0
63000,mm10,Phloeomys_cumingi_FMNH198472,0,0.628476,-0.0452976,0.000620033,0
63000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.996,0.690791,0.0368119,0.0296407,0
63000,rnor6,Taeromys_celebensis_NMVZ20637,11.3739,1.25757,-0.0778308,0.104414,0
64000,mm10,Phloeomys_cumingi_FMNH198472,0,0.606882,-0.0478851,0.0098544,0
64000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.96273,0.980165,-0.102643,0.0135108,0
64000,rnor6,Berylmys_bowersi_ABTC116431,10.7381,1.40759,0.0414525,0.763447,0
65000,mm10,Phloeomys_cumingi_FMNH198472,0,0.655528,-0.0379926,0.0346556,0
65000,Uromys_sp-nov_YS380,NA,14.587,0.86238,-0.0701016,2.45389,0
65000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.6867,0.841904,-0.00269199,0.0263716,0
65000,Rattus_xanthurus_LSUMZ39196,NA,13.9066,0.536768,-0.03371,0.931509,0
65000,rnor6,Taeromys_celebensis_NMVZ20637,11.6954,1.64205,-0.0947805,0.458775,0
66000,mm10,Phloeomys_cumingi_FMNH198472,0,0.388878,0.0164401,0.0467398,0
66000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.65203,0.987863,-0.140571,0.0758435,0
66000,rnor6,Taeromys_celebensis_NMVZ20637,11.7263,1.70599,-0.124324,0.191485,0
67000,mm10,Phloeomys_cumingi_FMNH198472,0,0.323648,0.0232568,0.00180806,0
67000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.52944,1.01242,-0.0423343,0.0167628,0
67000,rnor6,Taeromys_celebensis_NMVZ20637,11.1701,2.02621,-0.112271,0.445458,0
68000,mm10,Phloeomys_cumingi_FMNH198472,0,0.400395,-0.0012377,0.00297437,0
68000,Aethomys_hindei_MVZ196257,NA,11.3538,0.447868,0.118454,0.5659,0
68000,Zyzomys_pedunculatus_Z34925,Pogonomelomys_mayeri_AMM21849,8.8511,1.12096,-0.0981241,0.0418443,0
68000,rnor6,Berylmys_bowersi_ABTC116431,9.5216,1.601,-0.023972,0.293333,0
69000,mm10,Phloeomys_cumingi_FMNH198472,0,0.408403,-0.0153593,0.00508569,0
69000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.77942,2.34592,-0.22117,0.133957,0
69000,rnor6,Berylmys_bowersi_ABTC116431,10.6785,1.10514,-0.00994143,0.142774,0
70000,mm10,Phloeomys_cumingi_FMNH198472,0,0.531612,-0.0159605,0.00242867,0
70000,rnor6,Taeromys_celebensis_NMVZ20637,11.4064,1.44757,-0.0751709,0.342502,0
71000,mm10,Phloeomys_cumingi_FMNH198472,0,0.669619,-0.0253454,0.0121424,0
71000,rnor6,Berylmys_bowersi_ABTC116431,10.4838,1.51304,-0.0322236,0.390638,0
72000,mm10,Phloeomys_cumingi_FMNH198472,0,0.45219,-0.00949319,0.00122656,0
72000,rnor6,Taeromys_celebensis_NMVZ20637,11.384,1.22474,-0.0868529,0.16678,0
73000,mm10,Phloeomys_cumingi_FMNH198472,0,0.585745,-0.0132838,0.0396648,0
73000,Pseudomys_chapmani_WAMM29440,NA,14.7897,1.7431,-0.0665517,0.736402,0
73000,rnor6,Taeromys_celebensis_NMVZ20637,10.9108,1.52544,-0.133524,0.00568164,0
74000,mm10,Phloeomys_cumingi_FMNH198472,0,0.467037,-0.002397,0.0170212,0
74000,rnor6,Berylmys_bowersi_ABTC116431,10.7239,0.902602,0.0457701,0.107965,0
75000,mm10,Phloeomys_cumingi_FMNH198472,0,0.408328,0.0127706,0.0156788,0
75000,rnor6,Taeromys_celebensis_NMVZ20637,11.3639,1.58926,-0.105917,0.141201,0
76000,mm10,Phloeomys_cumingi_FMNH198472,0,0.495539,-0.0221113,0.0178335,0
76000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.66415,0.72163,-0.0223159,0.0123602,0
76000,rnor6,Taeromys_celebensis_NMVZ20637,11.534,1.61922,-0.103226,0.121518,0
77000,mm10,Phloeomys_cumingi_FMNH198472,0,0.597794,-0.0346659,0.0315523,0
77000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.0324,1.30111,-0.161459,0.0229696,0
77000,Rattus_xanthurus_LSUMZ39196,Rattus_morotaiensis_ASAM29,13.1328,1.3269,-0.0320992,0.422803,0
77000,rnor6,Taeromys_celebensis_NMVZ20637,11.2034,1.46565,-0.117946,0.136247,0
78000,mm10,Phloeomys_cumingi_FMNH198472,0,0.647124,-0.0408107,0.0137046,0
78000,Oenomys_hypoxanthus_LSUMZ37838,NA,14.0515,5.00268,-0.010299,4.22013,0
78000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.0317,1.44552,-0.164202,0.00760769,0
78000,rnor6,Taeromys_celebensis_NMVZ20637,11.6939,1.57876,-0.129591,0.160335,0
79000,mm10,Phloeomys_cumingi_FMNH198472,0,0.609563,-0.0329123,0.00210719,0
79000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.0805,1.3743,-0.144394,0.00165351,0
79000,Chiropodomys_gliroides_Z25153,NA,13.7412,0.383688,0.0488651,0.451342,0
79000,rnor6,Taeromys_celebensis_NMVZ20637,11.6167,2.20534,-0.0744928,0.900884,0
80000,mm10,Phloeomys_cumingi_FMNH198472,0,0.563341,-0.0336883,0.0205372,0
80000,Mastomys_natalensis_T4162,NA,14.9336,8.58019,-0.0849088,0.541487,0
80000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.03387,1.19286,-0.120217,0.0932561,0
80000,rnor6,Taeromys_celebensis_NMVZ20637,11.4372,1.05606,0.0374655,0.0482211,0
81000,mm10,Phloeomys_cumingi_FMNH198472,0,0.462735,0.000745009,0.0215412,0
81000,rnor6,Taeromys_celebensis_NMVZ20637,11.4821,1.66359,-0.0219538,0.502005,0
82000,mm10,Phloeomys_cumingi_FMNH198472,0,0.424334,-0.0034495,0.000146633,0
82000,rnor6,Taeromys_celebensis_NMVZ20637,11.7888,1.2771,-0.0187996,0.053672,0
83000,mm10,Phloeomys_cumingi_FMNH198472,0,0.516064,-0.0213058,0.0102492,0
83000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.2176,1.54256,-0.242496,0.000270957,0
83000,rnor6,Berylmys_bowersi_ABTC116431,9.65528,0.787448,0.04118,0.0537342,0
84000,mm10,Phloeomys_cumingi_FMNH198472,0,0.268141,0.0728884,0.00832082,0
84000,rnor6,Taeromys_celebensis_NMVZ20637,11.1433,1.21462,0.0349627,0.161747,0
85000,mm10,Phloeomys_cumingi_FMNH198472,0,0.357821,0.0204475,0.0262576,0
85000,rnor6,Berylmys_bowersi_ABTC116431,10.4689,0.661929,0.118784,0.0786535,0
85000,Praomys_jacksoni_REC31,NA,12.9041,0.391789,0.0150972,1.00475,0
86000,mm10,Phloeomys_cumingi_FMNH198472,0,0.314803,0.034556,0.000589887,0
86000,rnor6,Berylmys_bowersi_ABTC116431,10.1969,1.07349,-0.000299432,0.107778,0
87000,mm10,Phloeomys_cumingi_FMNH198472,0,0.440007,-0.0137204,0.0269991,0
87000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.1537,1.34331,-0.102897,0.245886,0
