generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.60175,-788.038,1,0
1000,0,-1.45485,-392.41,0.270571,0.354645
2000,0,-1.46735,-391.116,0.0313041,0.335832
3000,0,-3.59473,-392.311,1.05383,0.338
4000,0,-1.38882,-391.67,0.021441,0.351412
5000,0,-5.65324,-391.079,1.26977,0.378
6000,1,-3.33282,-384.37,1.02197,0.348167
7000,1,-2.646,-388.002,0.375678,0.385833
8000,0,-1.24474,-391.301,0.383604,0.422667
9000,0,-1.35541,-393.299,0.495424,0.328
10000,0,-1.05011,-395.944,0.0826594,0.342
11000,0,-1.04936,-395.118,0.217259,0.401
12000,0,-1.72273,-392.298,0.88866,0.309
13000,1,-6.75513,-377.215,1.14664,0.4756
14000,2,-5.78133,-376.133,1.51151,0.53
15000,1,-8.5604,-395.21,1.46855,0.394222
16000,1,-5.92911,-376.256,1.00068,0.5195
17000,0,-1.35238,-393.984,0.234936,0.366
18000,0,-2.45339,-391.668,1.38208,0.387
19000,1,-3.59918,-376.688,0.427621,0.487333
20000,0,-0.993092,-392.684,0.160938,0.3546
21000,1,-4.01592,-396.831,1.44676,0.333
22000,0,-1.51019,-394.11,0.664595,0.327
23000,1,-3.73058,-396.677,1.132,0.325
24000,1,-2.77966,-377.7,0.683617,0.4796
25000,2,-8.80221,-395.782,1.86995,0.360875
26000,0,-1.1331,-393.364,0.0775464,0.347
27000,2,-7.56279,-379.902,1.03081,0.491667
28000,2,-6.37695,-378.696,2.77766,0.4353
29000,1,-5.777,-377.074,0.865216,0.478
30000,3,-11.8044,-380.771,5.54324,0.457
31000,2,-6.27228,-373.95,2.11547,0.462
32000,3,-8.09304,-378.139,1.21212,0.4846
33000,2,-8.38859,-382.866,2.25203,0.459286
34000,3,-9.67549,-366.313,2.36423,0.481
35000,2,-6.30378,-369.488,1.32599,0.467
36000,1,-4.36271,-381.2,1.47893,0.463231
37000,1,-2.69958,-382.569,0.452874,0.506
38000,1,-3.72461,-378.427,0.83499,0.505
39000,3,-16.6011,-379.187,4.94339,0.489
40000,1,-4.54845,-379.275,1.83026,0.51
41000,2,-6.27072,-378.391,1.63982,0.487
42000,1,-3.29105,-377.609,1.1863,0.513556
43000,1,-5.86327,-382.193,2.02699,0.48
44000,1,-3.9794,-376.64,1.49164,0.468
45000,2,-7.07551,-377.782,2.25966,0.51
46000,2,-6.69902,-367.95,0.574211,0.488727
47000,3,-14.9078,-369.756,3.73319,0.488
48000,2,-9.97848,-366.299,0.482642,0.497
49000,1,-4.10652,-383.56,2.01169,0.4986
50000,2,-5.46264,-373.02,1.76315,0.509556
51000,1,-5.89271,-376.139,1.2762,0.5465
52000,1,-3.97709,-377.273,1.3159,0.474
53000,2,-4.31556,-379.402,0.449174,0.499
54000,1,-3.13242,-377.683,0.676433,0.519
55000,1,-4.44261,-379.526,0.322391,0.498
56000,1,-4.45984,-375.823,1.65795,0.524
57000,2,-7.93763,-375.921,0.207762,0.51
58000,1,-2.7547,-377.425,0.668821,0.478
59000,3,-14.4161,-364.052,1.19913,0.479556
60000,3,-10.2821,-371.957,1.9649,0.494583
61000,3,-13.9055,-363.328,0.934335,0.479
62000,2,-6.55303,-367.238,1.54789,0.47
63000,2,-5.46232,-368.328,1.50207,0.451
64000,2,-6.45031,-370.113,1.5021,0.505
65000,4,-10.6752,-373.828,1.97983,0.471
66000,2,-7.3268,-370.63,0.79256,0.544
67000,2,-5.78295,-368.638,0.778154,0.472
68000,3,-8.62669,-373.447,1.91066,0.492
69000,2,-9.82692,-368.845,1.73321,0.4925
70000,1,-2.95416,-377.653,0.0807625,0.5056
71000,1,-3.83309,-383.217,1.18444,0.471
72000,1,-4.94358,-377.54,2.17122,0.483071
73000,2,-8.40126,-379.793,2.33755,0.481
74000,1,-3.33359,-379.086,1.21458,0.483
75000,1,-3.78987,-376.827,0.537506,0.506
76000,2,-5.99382,-366.657,1.70451,0.470429
77000,3,-12.3194,-364.777,3.64001,0.468
78000,3,-14.1741,-364.578,1.18391,0.491
79000,3,-12.153,-367.778,4.20254,0.5
80000,3,-12.4563,-367.49,1.7925,0.501
81000,1,-3.72298,-379.702,1.1431,0.525167
82000,1,-2.34315,-376.233,0.236998,0.528
83000,2,-8.90984,-365.264,0.456348,0.498733
84000,1,-3.83068,-378.003,1.25157,0.5206
85000,2,-5.72108,-382.578,1.40834,0.491667
86000,1,-3.54729,-377.77,1.50452,0.499
87000,2,-5.8523,-368.733,1.581,0.469
88000,2,-9.08573,-368.704,3.13699,0.47925
89000,2,-6.23752,-365.437,0.717427,0.485
90000,2,-5.56283,-365.472,0.381518,0.494
