generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,3,1
3000,1,2,1
4000,1,3,1
5000,1,2,1
6000,1,4,1
7000,1,3,1
8000,1,2,1
9000,2,4,1
10000,2,3,1
11000,1,3,1
12000,1,4,1
13000,2,3,1
14000,2,4,1
15000,1,2,1
16000,1,4,1
17000,3,4,0
18000,1,3,1
19000,1,3,0
20000,1,2,1
21000,1,4,0
22000,1,4,1
23000,2,4,1
24000,1,2,1
25000,1,3,1
26000,3,4,0
27000,1,2,1
28000,1,3,0
29000,1,3,1
30000,2,4,0
31000,2,4,0
32000,1,4,1
33000,2,3,0
34000,1,3,1
35000,1,4,0
36000,1,4,0
37000,3,4,1
38000,1,3,0
39000,1,2,1
40000,3,4,1
41000,1,4,0
42000,1,2,1
43000,1,3,0
44000,3,4,0
45000,3,4,0
46000,1,4,0
47000,2,4,0
48000,1,4,0
49000,3,4,0
50000,2,4,0
51000,3,4,0
52000,3,4,0
53000,1,4,0
54000,2,4,0
55000,1,3,1
56000,1,2,0
57000,1,3,1
58000,3,4,1
59000,2,4,1
60000,1,4,1
61000,2,4,0
62000,1,3,1
63000,1,2,1
64000,2,4,0
65000,2,4,0
66000,2,3,1
67000,2,3,1
68000,1,4,0
69000,2,3,1
70000,3,4,0
71000,1,2,1
72000,1,3,1
73000,1,2,1
74000,1,3,0
75000,1,2,0
76000,2,4,0
77000,1,2,0
78000,1,4,0
79000,1,3,1
80000,2,3,1
81000,3,4,1
82000,1,2,1
83000,1,3,1
84000,1,2,1
85000,1,2,1
86000,1,3,1
87000,3,4,0
88000,1,2,0
89000,1,2,0
90000,1,2,0
91000,1,2,1
92000,2,3,1
93000,1,2,0
94000,2,3,1
95000,2,4,1
96000,1,3,1
97000,1,3,0
98000,2,3,1
99000,2,3,1
100000,2,4,1
101000,1,4,0
102000,2,4,1
103000,3,4,1
104000,2,3,1
105000,2,4,1
106000,1,4,1
107000,1,2,0
108000,3,4,1
109000,1,2,0
110000,1,4,1
111000,3,4,1
112000,2,3,1
113000,2,3,0
114000,3,4,1
115000,2,4,0
116000,2,4,0
117000,2,4,0
118000,2,4,0
119000,1,3,1
120000,1,2,1
121000,1,2,0
122000,1,4,0
123000,1,2,1
124000,1,3,1
125000,2,3,0
126000,2,3,0
127000,1,3,0
128000,2,3,0
129000,1,3,0
130000,2,4,0
131000,1,4,0
132000,3,4,1
133000,1,3,0
134000,1,4,1
135000,2,4,0
136000,1,3,1
137000,1,3,0
138000,1,2,1
139000,2,3,1
140000,1,2,1
141000,3,4,1
142000,1,4,0
143000,3,4,1
144000,1,2,1
145000,2,4,1
146000,2,4,1
147000,2,3,0
