generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.032,0.110402,0.005,0
1000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.319252,0.0927275,0.10684,0
2000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.332066,0.0646237,0.205053,0
3000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.44011,0.0455405,0.362205,0
4000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.416779,0.0500799,0.25084,0
5000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.374858,0.0521876,0.245618,0
6000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.36065,0.0624262,0.292567,0
6000,Lophiomys_imhausi_UM5152,NA,11.7257,0.446764,0.025171,0.898007,0
7000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.329712,0.0999593,0.168947,0
8000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.513082,0.0528077,0.452811,0
9000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.464778,0.016374,0.266817,0
10000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.493354,0.0458942,0.465876,0
11000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.570284,0.0249023,0.493463,0
12000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.386976,0.0927499,0.376578,0
13000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.363621,0.0381731,0.196387,0
14000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.341808,0.11153,0.256595,0
15000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.409685,0.0235452,0.124406,0
16000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.585739,0.0259115,0.450994,0
17000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.609405,0.0189545,0.442072,0
18000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.378212,0.0485189,0.249826,0
19000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.460512,0.0310128,0.323515,0
20000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.43116,0.050306,0.278082,0
20000,Lophuromys_woosnami_LSUMZ37793,NA,10.9774,0.0211456,0.013717,0.23717,0
21000,Lophuromys_woosnami_LSUMZ37793,mm10,0,0.437204,0.0501178,0.272764,0
