generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-2.18624,-741.043,1,1
1000,0,-1.02258,-432.344,0.0975865,0.43956
2000,0,-0.642721,-429.635,0.389379,0.412
3000,0,-1.8041,-428.425,1.66823,0.425858
4000,0,-1.39074,-429.436,1.30657,0.3215
5000,0,-1.62297,-428.735,1.54572,0.232
6000,1,-2.07592,-428.241,1.36317,0.333778
7000,0,-1.73336,-430.435,0.494539,0.2515
8000,0,-1.20408,-429.873,0.787186,0.24775
9000,0,0.00743692,-431.07,0.24124,0.195
10000,0,-0.437282,-428.731,0.146637,0.315
11000,0,-0.142099,-429.565,0.01332,0.262833
12000,0,-1.28315,-428.421,0.036793,0.2376
13000,0,-0.471652,-430.387,0.674398,0.211
14000,0,-2.08739,-428.779,0.323753,0.243
15000,0,-0.238097,-431.013,0.624125,0.2325
16000,0,-1.0408,-429.309,0.92868,0.203667
17000,0,-0.732323,-429.2,0.661043,0.181
18000,0,-1.13886,-428.949,1.11935,0.243917
19000,0,-0.00580079,-428.656,0.0827539,0.235
20000,1,0.0970242,-424.631,0.487687,0.2445
21000,1,-1.25381,-419.729,0.729958,0.401
22000,3,-5.49964,-417.597,2.99698,0.295
23000,3,-5.03301,-420.974,1.63676,0.516
24000,2,-7.74457,-420.922,1.42564,0.498667
25000,2,-3.83074,-410.765,0.852581,0.268
26000,2,-2.01783,-413.595,0.622663,0.428
27000,1,-0.998499,-419.373,0.908127,0.366
28000,2,-1.21218,-420.676,0.625886,0.406
29000,0,-0.372806,-431.362,0.359062,0.3174
30000,0,-0.548211,-430.491,0.0616301,0.154
31000,0,-0.263289,-430.36,0.191132,0.202
32000,1,-0.836174,-418.112,1.21721,0.222538
33000,2,-4.66999,-418.621,2.27307,0.433
34000,2,-9.56932,-398.542,3.19975,0.4635
35000,4,-2.9634,-388.176,1.73022,0.471
36000,3,-7.85865,-386.322,2.23861,0.479
37000,3,-1.52734,-388.827,0.785697,0.459
38000,3,-5.65252,-385.852,1.15951,0.478
39000,4,-7.55834,-384.076,1.37459,0.423615
40000,4,-5.64833,-387.89,0.889236,0.494
41000,5,-8.59323,-385.686,3.20336,0.499
42000,4,-6.08044,-390.187,1.55824,0.50925
43000,5,-10.0725,-383.905,6.61636,0.506
44000,5,-13.0867,-383.531,2.72248,0.465
45000,6,-14.9635,-388.913,5.12543,0.507
46000,4,-13.816,-389.751,5.08503,0.46
47000,3,-5.21332,-388.256,2.77712,0.484
48000,3,-5.24064,-389.412,1.20822,0.458
49000,4,-5.24614,-389.024,1.26405,0.446
50000,4,-7.54475,-398.303,0.55351,0.445
51000,3,-3.82913,-391.622,1.47935,0.448
52000,2,-1.19589,-394.371,1.25263,0.469
53000,3,-2.73796,-395.447,1.00959,0.448
54000,4,-6.45956,-390.891,4.42722,0.496
55000,4,-2.56349,-385.832,2.52938,0.491
56000,3,-3.1209,-385.47,2.57305,0.482
57000,3,-5.71798,-391.492,1.17618,0.498667
58000,4,-8.30265,-399.115,5.26169,0.477
59000,4,-7.24306,-392.923,2.58798,0.506
60000,3,-3.9677,-395.577,1.87284,0.489684
61000,2,-6.80047,-391.955,2.05599,0.536
62000,4,-7.1115,-385.347,2.13386,0.454323
63000,5,-6.42484,-391.069,3.12638,0.508
64000,4,-2.74783,-388.031,1.57572,0.511
65000,4,-3.08543,-387.489,2.80461,0.467
66000,3,-2.42685,-387.88,2.42117,0.462
67000,3,-3.14923,-387.073,2.03,0.457
68000,4,-2.77983,-384.846,1.20271,0.481
69000,5,-3.43334,-388.108,1.44506,0.494
70000,3,-2.66691,-387.254,0.977625,0.414
71000,2,-1.95251,-396.183,1.11779,0.4673
72000,4,-10.5527,-386.696,1.02887,0.4951
73000,6,-13.8149,-382.306,4.11212,0.438
74000,6,-10.8496,-383.545,2.29846,0.476
75000,7,-5.31089,-379.9,2.65535,0.478
76000,6,-17.9045,-383.601,10.4388,0.502
77000,4,-7.1017,-379.76,2.25352,0.454
78000,8,-13.7423,-385.631,3.66821,0.464
79000,6,-10.2655,-394.605,4.22814,0.495875
80000,4,-3.30568,-391.103,1.87548,0.435
81000,4,-2.99124,-388.16,1.65153,0.471
82000,4,-5.06126,-379.491,1.64674,0.507
83000,3,-1.70572,-392.899,0.400873,0.501417
84000,4,-3.54569,-388.749,3.00194,0.499667
85000,7,-20.4442,-388.028,4.6934,0.5185
86000,8,-18.1265,-389.915,3.38772,0.4985
87000,7,-8.34876,-384.438,2.99081,0.516
88000,4,-5.7773,-380.841,4.1158,0.515
89000,4,-1.61405,-383.158,1.20811,0.492
90000,4,-3.59249,-378.772,1.22845,0.466
91000,2,-2.9737,-397.001,1.50714,0.497857
92000,3,-1.66742,-391.491,0.608042,0.421
93000,2,-3.95344,-392.261,1.88494,0.493
94000,2,-5.68192,-393.664,5.11588,0.461
95000,2,-0.848413,-391.868,0.440657,0.458
96000,3,-5.41294,-391.86,1.16573,0.501
97000,4,-11.0535,-382.799,4.65709,0.462
98000,3,-7.36862,-388.078,1.94167,0.424
99000,4,-7.29984,-384.98,2.40175,0.392
100000,3,-5.72938,-382.653,1.68797,0.44
101000,5,-15.3923,-387.191,3.76623,0.457
102000,7,-6.99546,-386.292,1.74211,0.492
103000,6,-11.1995,-388.286,3.42681,0.478
104000,4,-7.63665,-386.921,1.43343,0.502
105000,3,-8.9057,-385.597,1.26764,0.385
106000,3,-7.00523,-383.727,1.68874,0.520438
107000,3,-2.62572,-389.249,1.24065,0.445
108000,4,-4.31148,-392.746,1.60835,0.421
109000,5,-7.79411,-391.073,3.77959,0.465
110000,3,-4.8124,-398.446,1.55941,0.506684
111000,5,-6.00236,-400.101,1.39976,0.494
112000,4,-11.3761,-393.51,2.78858,0.499
113000,4,-8.23781,-387.638,1.80322,0.459
114000,4,-7.01759,-392.588,3.32554,0.458
115000,3,-2.23828,-393.186,1.13542,0.46
116000,3,-5.81682,-392.363,2.85258,0.429
117000,3,-3.78788,-395.471,1.03463,0.467
118000,3,-4.8957,-387.833,1.35484,0.453
119000,4,-3.88923,-392.206,2.43314,0.485143
120000,6,-4.72467,-384.863,2.56714,0.480909
121000,5,-5.42854,-378.03,0.938612,0.467
122000,5,-2.68983,-374.422,0.379448,0.512
123000,3,-3.90314,-388.946,1.10379,0.52225
124000,3,-2.15408,-389.93,1.0475,0.498833
125000,4,-3.82969,-384.738,0.940629,0.457
126000,3,-3.19488,-387.726,1.03888,0.468
127000,3,-7.5509,-386.264,2.59128,0.415
128000,3,-5.4516,-387.055,2.0225,0.441
129000,4,-6.26293,-391.405,3.64603,0.479
130000,5,-7.53194,-387.423,2.89244,0.492
131000,3,-4.89287,-386.335,1.30585,0.473
132000,3,-7.34123,-387.005,2.93443,0.476
133000,3,-4.9915,-387.477,1.90634,0.459
134000,3,-5.23166,-394.327,1.31058,0.476909
135000,3,-4.34167,-397.789,0.856458,0.458
136000,2,-1.18435,-393.619,1.07651,0.496561
137000,2,-1.97267,-394.01,2.07328,0.436
138000,4,-1.34954,-386.543,0.516634,0.49475
139000,5,-9.59522,-383.923,5.54789,0.485
140000,5,-1.12671,-386.28,1.981,0.4918
141000,5,-5.86054,-380.237,2.52906,0.551
142000,4,-6.00087,-383.346,1.84069,0.459
143000,4,-5.8707,-381.966,2.34313,0.442
144000,3,-4.10406,-383.82,2.99655,0.4896
145000,3,-1.63289,-385.91,1.64115,0.457
146000,7,-12.4084,-384.04,6.19482,0.488
147000,9,-12.0457,-387.239,6.56589,0.509
148000,6,-0.711245,-383.976,1.31551,0.526
149000,4,-6.54265,-384.305,2.7427,0.507
150000,3,-6.75525,-390.93,2.66853,0.438143
151000,4,-2.65711,-389.396,1.71647,0.468
152000,3,-3.03281,-385.081,0.378367,0.463
153000,3,-4.95791,-388.087,4.04481,0.48475
154000,3,-2.72939,-382.672,1.86362,0.477
155000,4,-4.64524,-391.154,3.34769,0.459
156000,7,-10.4891,-381.026,2.40176,0.553
157000,5,-13.5553,-374.29,1.8858,0.527
158000,3,-6.49767,-385.795,1.50138,0.4305
159000,3,-8.71257,-382.608,4.2461,0.349
160000,3,-3.18325,-384.176,1.67037,0.426
161000,4,-5.09491,-388.621,5.04328,0.451
162000,6,-7.08191,-377.464,3.11883,0.4774
163000,5,-1.02113,-378.624,1.4209,0.497
164000,5,-7.48425,-380.065,4.00501,0.53
165000,6,-12.8909,-374.643,4.75948,0.523
166000,6,-12.2197,-384.225,4.04997,0.519
167000,5,-8.83825,-378.441,3.70828,0.477
168000,4,-8.28699,-381.09,4.18012,0.458
169000,4,-7.88357,-376.284,3.93436,0.453
170000,4,-5.52484,-379.117,1.855,0.461
171000,6,-6.49654,-380.553,2.03609,0.477
172000,5,-5.73695,-380.788,1.07742,0.509
173000,4,-9.52011,-385.185,3.31409,0.49
174000,5,-6.70498,-382.413,3.09733,0.438
175000,4,-1.69603,-387.878,2.34273,0.483
176000,4,-1.70502,-389.091,1.05378,0.494
177000,4,-1.78909,-389.039,2.31135,0.468
178000,4,-4.10797,-385.401,1.28717,0.494
179000,3,-1.99564,-389.47,1.24464,0.486
180000,3,-0.0700857,-388.148,0.61997,0.466
181000,4,-8.46236,-398.581,1.76233,0.518
182000,3,-2.18862,-387.295,2.25723,0.468
183000,4,-10.0548,-391.041,3.13119,0.498636
184000,5,-8.30261,-377.948,4.68368,0.497
185000,5,-6.23589,-383.484,1.97639,0.488
186000,4,-4.99148,-386.597,3.0825,0.487878
187000,4,-8.2966,-387.019,1.39273,0.458
188000,4,-3.95471,-390.962,2.26222,0.496
189000,4,-9.66457,-384.311,2.95263,0.491
190000,6,-10.3004,-378.392,3.21231,0.504
191000,4,-5.84617,-392.12,1.78593,0.4505
192000,3,-6.37977,-385.952,4.65507,0.465
193000,4,-8.46134,-391.327,1.61552,0.465
194000,5,-7.95223,-391.308,5.42974,0.5
195000,7,-9.34888,-374.563,4.0352,0.498
196000,5,-2.87325,-374.917,1.67295,0.468
197000,6,-10.0582,-378.713,5.00634,0.483
198000,5,-3.8204,-374.035,1.76047,0.493
199000,4,-8.02667,-378.756,3.43241,0.508
200000,5,-3.6814,-378.462,1.35104,0.489
201000,5,-11.4595,-376.376,3.94344,0.459
202000,6,-11.2129,-375.039,2.04929,0.432
203000,5,-7.46978,-377.431,3.25078,0.493
204000,5,-6.34873,-376.607,2.89378,0.476
205000,6,-10.1755,-382.155,2.5722,0.459
206000,3,-4.88988,-389.588,0.759114,0.499781
207000,6,-10.6002,-386.1,2.03293,0.505923
208000,5,-1.83716,-388.08,2.50723,0.526
209000,4,-3.405,-385.28,3.76065,0.4635
210000,4,-3.77981,-389.929,2.49169,0.4775
211000,4,-6.79083,-391.956,0.824028,0.477
212000,3,-3.82135,-390.439,2.01245,0.481667
213000,4,-6.69433,-389.563,2.25513,0.494
214000,3,-3.8705,-390.66,2.49811,0.483
215000,5,-15.6922,-386.547,4.28822,0.51925
216000,3,-5.55769,-386.686,3.10423,0.494
217000,3,-0.939978,-384.802,0.315109,0.49
218000,4,-6.99529,-383.388,2.45166,0.501
219000,4,-4.54817,-386.41,1.53151,0.461
220000,3,-0.603624,-392.975,1.18042,0.4945
221000,4,-10.4507,-379.953,2.54173,0.4765
222000,4,-4.75588,-377.113,2.663,0.456
223000,4,-9.16104,-381.295,3.12145,0.413
224000,4,-9.75236,-372.794,1.162,0.406
225000,4,-9.79518,-374.569,1.75124,0.443
226000,5,-10.5221,-380.102,3.94196,0.437
227000,6,-8.24553,-379.425,4.49467,0.494
228000,6,-14.021,-376.646,4.20694,0.49
229000,4,-10.1528,-376.007,4.39497,0.472
230000,6,-7.98748,-377.407,2.51242,0.444
231000,6,-11.5222,-377.693,4.40943,0.518
232000,5,-8.00071,-383.178,2.30887,0.504
233000,6,-11.7143,-378.723,2.47706,0.425
234000,6,-10.1228,-383.913,3.88689,0.469
235000,4,-5.51886,-382.536,2.54071,0.466
236000,4,-3.74695,-380.429,2.41441,0.415
237000,3,-8.95359,-386.968,1.41294,0.507419
238000,2,-4.20275,-393.717,1.94172,0.435
239000,2,-5.23199,-393.779,1.06231,0.354
240000,5,-7.86589,-380.374,3.73516,0.5121
241000,6,-9.41385,-381.801,3.65322,0.518
242000,4,-6.68365,-375.978,4.10453,0.48
243000,4,-9.44256,-379.911,2.05287,0.495
244000,5,-12.5258,-382.315,4.23724,0.481
245000,6,-8.70283,-380.285,0.931356,0.484
246000,5,-6.78348,-381.541,3.3961,0.448
247000,4,-1.45627,-383.298,1.71063,0.502
248000,6,-7.51824,-378.48,2.83785,0.529
249000,4,-4.01833,-379.12,3.75202,0.513
250000,5,-12.5157,-380.735,5.39226,0.476
251000,4,-4.28467,-377.687,2.41173,0.447
252000,5,-6.46743,-383.173,1.32805,0.482
253000,4,-5.19176,-379.517,0.934011,0.474
254000,4,-4.18968,-381.028,0.950641,0.426
255000,4,-3.12387,-382.653,1.90623,0.485
256000,6,-15.8143,-385.486,2.86141,0.47915
257000,3,-4.33534,-386.261,1.11929,0.489
258000,5,-4.69985,-386.803,1.19351,0.541
259000,3,-8.14815,-386.717,3.22311,0.491
260000,4,-6.06293,-391.892,2.0535,0.481
261000,5,-5.86093,-395.692,2.03012,0.496409
262000,6,-7.91435,-393.246,2.93981,0.502
263000,4,-5.38632,-392.83,2.69689,0.474
264000,4,-11.9171,-382.332,4.48518,0.500111
265000,6,-10.3839,-385.16,4.22393,0.447
266000,6,-11.6744,-384.584,3.20174,0.486
267000,5,-17.4952,-381.953,6.396,0.439
268000,5,-5.591,-390.06,2.14888,0.492
269000,4,-7.05692,-384.782,2.93821,0.44
270000,4,-6.16095,-385.327,1.53844,0.437
271000,4,-5.70498,-386.489,3.00372,0.468
272000,5,-6.18168,-388.267,5.59842,0.443
273000,4,-1.48966,-384.24,1.0133,0.438
274000,2,-6.42653,-391.37,3.26145,0.465615
275000,3,-4.97916,-389.29,1.54584,0.458
276000,6,-7.9939,-382.669,3.27362,0.483667
277000,2,-5.76603,-392.938,0.898133,0.437
278000,2,-6.77994,-394.519,1.60295,0.443
279000,3,-6.44193,-388.163,2.64396,0.49
280000,3,-3.14072,-392.233,1.82515,0.488059
281000,2,-2.03455,-395.393,2.10031,0.456
282000,3,-2.75729,-393.637,0.942831,0.491667
283000,4,-2.05737,-388.202,2.61948,0.485
284000,4,-3.59357,-387.401,2.85957,0.525
285000,5,-6.1125,-387.71,3.4752,0.508
286000,2,-3.85742,-393.628,2.22868,0.509505
287000,3,-1.69646,-393.392,0.10591,0.452
288000,3,-2.96873,-393.75,0.406652,0.413
289000,3,-4.69946,-389.72,2.72281,0.47
290000,2,-4.097,-395.735,1.52565,0.453
291000,3,-8.11303,-392.056,3.04985,0.4717
292000,2,-2.20061,-395.763,0.819566,0.4895
293000,4,-7.71144,-390.327,3.77177,0.434
294000,3,-4.51872,-390.896,1.83257,0.382
295000,3,-2.93509,-385.715,1.07145,0.389
296000,3,-1.13315,-388.797,1.56343,0.418
297000,5,-7.8847,-389.959,2.0418,0.463
298000,4,-6.27265,-387.174,2.77319,0.487
299000,3,-2.36112,-384.98,1.49872,0.467
300000,3,-5.1812,-388.01,1.91716,0.483375
301000,3,-11.4111,-385.637,1.70069,0.436
302000,3,-5.8775,-395.079,3.77723,0.459
303000,3,-5.11012,-392.636,1.89707,0.417
304000,4,-6.96027,-390.769,0.885359,0.475167
305000,6,-9.94368,-376.382,5.32594,0.46
306000,7,-5.08574,-379.754,3.27131,0.467
307000,5,-3.47336,-376.164,3.046,0.454
308000,6,-9.68109,-382.588,6.8747,0.501
309000,6,-12.1284,-379.337,4.49394,0.478833
310000,7,-14.1836,-386.977,1.56076,0.507
311000,4,-4.96627,-380.031,1.32261,0.516
312000,4,-4.87821,-381.136,1.72916,0.484
313000,5,-4.53587,-381.647,2.7763,0.48
314000,6,-8.40048,-383.061,4.0788,0.483
315000,5,-6.30538,-385.7,2.1441,0.515
316000,4,-4.82581,-383.237,3.49956,0.491
317000,5,-0.132794,-385.399,0.511565,0.48
318000,4,-3.66979,-380.638,0.787101,0.484
319000,4,-4.72954,-378.099,2.60737,0.472
320000,5,-4.94997,-378.591,2.98849,0.499
321000,7,-6.43584,-381.364,2.37729,0.492
