generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,1,2,1
3000,2,4,1
4000,1,4,1
5000,1,3,0
6000,2,3,1
7000,2,4,1
8000,1,4,1
9000,1,4,1
10000,2,4,1
11000,1,4,0
12000,2,4,1
13000,1,2,1
14000,3,4,1
15000,1,2,1
16000,1,4,1
17000,1,4,1
18000,1,4,1
19000,1,4,1
20000,1,3,1
21000,2,3,1
22000,2,3,1
23000,2,4,1
24000,3,4,1
25000,1,4,1
26000,2,3,1
27000,3,4,1
28000,1,2,1
29000,1,4,1
30000,1,4,1
31000,2,3,1
32000,3,4,1
33000,1,3,1
34000,1,4,1
35000,2,4,1
36000,2,4,1
37000,1,3,1
38000,2,3,1
39000,2,4,1
40000,3,4,1
41000,1,2,1
42000,1,4,1
43000,1,3,1
44000,1,3,1
45000,1,4,0
46000,2,4,0
47000,2,3,1
48000,1,4,1
49000,1,4,1
50000,1,2,1
51000,1,4,0
52000,2,3,1
53000,3,4,1
54000,2,3,1
55000,3,4,0
56000,1,2,1
57000,2,3,1
58000,3,4,1
59000,1,4,1
60000,2,4,0
61000,1,4,1
62000,2,4,1
63000,1,2,1
64000,2,4,1
65000,1,3,1
66000,2,4,1
67000,2,4,1
68000,1,2,1
69000,1,3,1
70000,1,4,1
71000,1,4,1
72000,1,3,1
73000,2,4,1
74000,2,3,1
75000,3,4,1
76000,1,4,1
77000,1,4,1
78000,1,3,1
79000,1,2,1
80000,3,4,1
81000,2,4,1
82000,1,4,1
83000,2,4,0
84000,1,3,1
85000,3,4,1
86000,1,2,1
87000,2,4,1
88000,1,4,0
89000,1,4,0
90000,3,4,1
91000,1,4,1
92000,1,4,1
93000,3,4,1
94000,1,3,1
95000,3,4,1
96000,2,4,1
97000,3,4,1
98000,2,3,1
99000,1,4,1
100000,1,3,1
101000,2,4,1
102000,2,3,1
103000,3,4,1
104000,3,4,1
105000,2,3,1
106000,1,4,1
107000,2,4,1
108000,2,4,1
109000,2,3,1
110000,3,4,0
111000,3,4,1
112000,2,3,1
113000,1,3,1
114000,1,3,1
115000,1,4,1
116000,1,3,1
117000,3,4,1
118000,1,2,1
119000,1,4,1
120000,3,4,1
121000,1,2,1
122000,1,4,1
123000,1,4,1
124000,2,4,1
125000,3,4,1
126000,1,3,1
127000,2,4,1
128000,3,4,1
129000,2,4,0
130000,1,3,1
131000,1,3,1
132000,1,2,1
133000,1,3,1
134000,1,2,1
135000,2,3,1
136000,1,2,1
137000,2,3,1
138000,1,2,1
139000,1,4,0
140000,1,3,1
141000,1,4,0
142000,3,4,1
143000,1,4,1
144000,2,4,1
145000,2,4,1
146000,1,2,1
147000,2,3,1
148000,2,4,1
149000,1,2,1
150000,3,4,1
151000,3,4,1
152000,1,3,1
153000,1,4,1
154000,3,4,1
155000,3,4,1
156000,2,3,1
157000,1,3,1
158000,2,3,1
159000,3,4,1
160000,1,2,1
161000,1,2,1
162000,1,2,1
163000,2,4,1
164000,1,2,1
165000,2,4,1
166000,3,4,1
167000,1,4,1
168000,1,2,1
169000,2,3,1
170000,3,4,1
171000,2,3,1
172000,2,3,1
173000,1,4,1
174000,1,3,1
175000,3,4,1
176000,3,4,1
177000,3,4,1
178000,1,4,1
179000,1,4,1
180000,2,3,1
181000,3,4,1
182000,1,3,1
183000,2,4,1
184000,1,2,1
185000,3,4,1
186000,3,4,1
187000,2,3,1
188000,2,4,1
189000,1,2,1
190000,3,4,1
191000,1,4,1
192000,1,3,1
193000,3,4,1
194000,2,4,1
195000,1,4,1
196000,1,4,0
197000,1,4,1
198000,1,3,1
199000,2,4,1
200000,2,3,1
201000,2,4,1
202000,2,4,1
203000,1,2,1
204000,1,3,1
205000,2,4,1
206000,2,4,1
207000,3,4,1
208000,1,2,1
209000,2,3,1
210000,2,3,1
211000,1,4,1
212000,1,3,1
213000,3,4,1
214000,1,4,1
215000,1,3,1
216000,1,3,1
217000,2,4,1
218000,2,4,1
219000,1,2,1
220000,1,2,1
221000,2,4,1
222000,2,3,1
223000,2,4,1
224000,1,2,1
225000,1,4,0
226000,2,4,1
227000,2,3,1
228000,1,2,1
229000,1,4,1
230000,1,3,1
231000,1,2,1
232000,2,3,1
233000,1,4,0
234000,2,4,1
235000,3,4,1
236000,1,2,1
237000,2,4,1
238000,1,4,1
239000,1,4,1
240000,1,4,1
241000,1,2,1
242000,2,3,1
243000,1,2,1
244000,2,4,1
245000,1,4,1
246000,1,2,1
247000,1,3,1
248000,3,4,1
249000,1,2,1
250000,1,2,1
251000,3,4,1
252000,1,3,1
253000,2,3,1
254000,1,2,1
255000,1,3,0
256000,2,3,1
257000,1,4,0
258000,2,3,1
259000,2,3,1
260000,1,2,1
261000,3,4,1
262000,2,3,1
263000,1,3,1
264000,1,2,1
265000,2,3,1
266000,2,4,1
267000,1,2,1
268000,2,3,1
269000,2,4,1
270000,2,3,1
271000,2,3,1
272000,3,4,1
273000,2,3,1
274000,1,3,1
275000,1,2,1
276000,1,3,0
277000,1,4,1
278000,2,3,1
279000,2,3,1
280000,2,3,1
281000,1,4,1
282000,1,4,1
283000,1,3,1
284000,3,4,1
285000,2,3,1
286000,2,4,1
287000,2,4,1
288000,1,2,1
289000,2,3,1
290000,3,4,1
291000,2,3,1
292000,3,4,1
293000,2,3,1
294000,3,4,1
295000,1,3,1
296000,1,3,1
297000,1,4,1
298000,2,4,1
299000,2,4,1
300000,2,3,0
301000,2,4,1
302000,3,4,1
303000,2,4,1
304000,2,3,0
305000,2,3,1
306000,3,4,1
307000,2,4,1
308000,2,4,1
309000,3,4,1
310000,2,3,1
311000,1,2,1
312000,2,4,1
313000,2,3,1
314000,2,4,1
315000,2,4,1
316000,2,3,1
317000,1,3,1
318000,3,4,1
319000,1,2,1
320000,2,3,1
321000,2,4,1
322000,3,4,1
323000,2,3,1
324000,2,3,1
325000,1,4,1
326000,2,3,1
327000,2,3,1
328000,3,4,1
329000,1,3,1
330000,3,4,1
331000,2,3,1
332000,2,3,1
333000,1,2,1
334000,2,3,1
335000,1,4,1
336000,2,4,1
337000,2,3,1
338000,1,3,1
339000,3,4,1
340000,2,4,1
341000,1,4,1
342000,3,4,1
343000,1,2,1
344000,1,4,1
345000,1,4,0
346000,1,3,1
347000,1,2,1
348000,1,2,1
349000,2,3,1
350000,3,4,1
351000,1,4,1
352000,3,4,1
353000,3,4,1
354000,3,4,1
355000,2,3,1
356000,1,2,1
357000,3,4,1
358000,3,4,1
359000,1,3,1
360000,1,2,1
361000,1,4,1
362000,1,4,1
363000,1,3,1
364000,1,2,1
365000,1,3,1
366000,3,4,1
367000,2,3,1
368000,2,3,1
369000,1,4,1
370000,1,4,1
371000,1,4,1
372000,1,4,1
373000,1,4,1
374000,1,3,1
375000,1,2,1
376000,1,4,1
377000,3,4,1
378000,2,3,1
379000,1,4,0
380000,2,3,1
381000,1,4,1
382000,3,4,1
383000,1,4,1
384000,1,2,1
385000,3,4,1
386000,1,3,1
387000,2,4,1
388000,2,3,1
389000,2,4,1
390000,2,3,1
391000,3,4,1
392000,2,3,1
393000,1,2,1
394000,3,4,1
395000,1,3,1
396000,2,3,1
397000,1,4,1
398000,1,4,1
399000,1,3,1
400000,1,3,1
401000,1,3,1
402000,1,3,1
403000,2,3,1
404000,1,2,1
405000,1,3,1
406000,1,3,1
407000,1,2,1
408000,2,4,1
409000,2,4,1
410000,1,2,1
411000,1,2,1
412000,2,3,1
413000,1,4,0
414000,1,4,1
415000,1,3,1
416000,3,4,1
417000,1,4,1
418000,1,2,1
419000,2,4,1
420000,1,2,1
421000,2,4,1
422000,1,2,1
423000,1,2,1
424000,3,4,1
425000,1,2,1
426000,2,3,1
427000,1,2,1
428000,1,4,1
429000,1,2,1
430000,2,3,1
431000,1,2,1
432000,1,2,1
433000,2,3,1
434000,3,4,1
435000,2,4,1
436000,1,2,1
437000,2,3,1
438000,2,4,1
439000,1,2,1
440000,2,4,1
441000,1,2,1
442000,2,4,1
443000,1,3,1
444000,3,4,1
445000,2,3,1
446000,1,3,1
447000,1,3,1
448000,1,4,1
449000,3,4,1
450000,1,4,1
451000,2,3,1
452000,1,2,1
453000,2,3,1
454000,3,4,1
455000,1,4,1
456000,2,3,1
457000,2,4,1
458000,1,4,1
459000,1,4,1
460000,2,4,1
461000,3,4,1
462000,2,3,1
463000,1,2,1
464000,2,4,1
465000,1,2,1
466000,3,4,0
467000,2,3,1
468000,1,3,1
469000,2,4,1
470000,1,3,1
471000,1,4,1
472000,3,4,1
473000,3,4,1
474000,1,2,1
475000,1,2,1
476000,3,4,1
477000,1,3,1
478000,2,3,1
479000,1,3,1
480000,1,4,1
481000,1,2,1
482000,1,4,1
483000,1,4,1
484000,3,4,1
485000,1,4,0
486000,1,3,1
487000,1,4,1
488000,2,4,1
489000,1,3,1
