generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,mm10,Phloeomys_cumingi_FMNH198472,0,0.032,0,0.005,0
1000,mm10,Phloeomys_cumingi_FMNH198472,0,0.285127,0.114272,0.015428,0
2000,mm10,Phloeomys_cumingi_FMNH198472,0,0.471853,0.0150096,0.0449091,0
3000,mm10,Phloeomys_cumingi_FMNH198472,0,0.403775,0.0196675,0.0176583,0
4000,mm10,Phloeomys_cumingi_FMNH198472,0,0.256183,0.081186,0.0025794,0
4000,rnor6,Berylmys_bowersi_ABTC116431,10.0035,1.18783,-0.00342069,0.150458,0
5000,mm10,Phloeomys_cumingi_FMNH198472,0,0.295978,0.114954,0.0487086,0
5000,rnor6,Taeromys_celebensis_NMVZ20637,11.6431,1.29217,0.0563759,0.209227,0
6000,mm10,Phloeomys_cumingi_FMNH198472,0,0.320471,0.0608902,0.00222798,0
6000,rnor6,Taeromys_celebensis_NMVZ20637,11.3162,1.63392,-0.0640724,0.0532564,0
7000,mm10,Phloeomys_cumingi_FMNH198472,0,0.26127,0.102694,0.0703005,0
7000,rnor6,Taeromys_celebensis_NMVZ20637,11.474,1.45083,0.0112987,0.358902,0
8000,mm10,Phloeomys_cumingi_FMNH198472,0,0.457401,0.00397195,0.0448518,0
8000,Dasymys_montanus_FMNH144389,Dasymys_incomtus_LSUMZ37702,12.8974,5.68083,0.0889704,6.51787,0
8000,rnor6,Taeromys_celebensis_NMVZ20637,11.1675,1.31525,-0.0623699,0.315394,0
8000,Lorentzimys_nouhuysi_ABTC-46314,NA,14.1613,0.793205,-0.0399818,0.466909,0
9000,mm10,Phloeomys_cumingi_FMNH198472,0,0.37414,0.0434303,0.0302018,0
9000,rnor6,Taeromys_celebensis_NMVZ20637,11.5965,2.11196,-0.114748,0.244527,0
9000,Malacomys_longipes_TCD4253,NA,8.95825,0.573197,0.0327613,0.936624,0
10000,mm10,Phloeomys_cumingi_FMNH198472,0,0.3299,0.0716874,0.0867817,0
10000,rnor6,Taeromys_celebensis_NMVZ20637,11.2008,2.40371,-0.243576,0.359623,0
11000,mm10,Phloeomys_cumingi_FMNH198472,0,0.340232,0.076047,0.0698418,0
11000,rnor6,Taeromys_celebensis_NMVZ20637,11.6098,1.78708,-0.134073,0.359935,0
12000,mm10,Phloeomys_cumingi_FMNH198472,0,0.264854,0.182923,0.000459511,0
12000,Malacomys_longipes_TCD4253,NA,13.9985,0.854887,0.0925705,4.16613,0
12000,Hybomys_univittatus_TCD4026,Hybomys_lunaris_LSUMZ37734,14.3146,1.91148,0.0232316,0.489091,0
12000,rnor6,Berylmys_bowersi_ABTC116431,10.2541,1.14243,0.0805095,0.153095,0
13000,mm10,Phloeomys_cumingi_FMNH198472,0,0.312503,0.107154,0.0024879,0
14000,mm10,Phloeomys_cumingi_FMNH198472,0,0.368998,0.0468311,0.0896643,0
15000,mm10,Phloeomys_cumingi_FMNH198472,0,0.328994,0.0473545,0.05582,0
15000,Hybomys_planifrons_R24117,NA,13.9089,0.503218,-0.0182254,1.63993,0
15000,rnor6,Taeromys_celebensis_NMVZ20637,11.7067,1.1691,-0.0708136,0.0534295,0
16000,mm10,Phloeomys_cumingi_FMNH198472,0,0.329098,0.146042,0.059017,0
17000,mm10,Phloeomys_cumingi_FMNH198472,0,0.26319,0.112757,0.00841583,0
17000,rnor6,Berylmys_bowersi_ABTC116431,10.0353,2.26945,-0.192826,0.095941,0
18000,mm10,Phloeomys_cumingi_FMNH198472,0,0.31127,0.0966962,0.0830819,0
18000,Zyzomys_pedunculatus_Z34925,Solomys_salebrosus_ABTC64864,10.9233,2.10637,-0.185907,0.40923,0
19000,mm10,Phloeomys_cumingi_FMNH198472,0,0.306489,0.0419424,0.00265159,0
19000,Malacomys_longipes_TCD4253,NA,6.41474,1.95098,-0.119408,0.936783,0
19000,rnor6,Taeromys_celebensis_NMVZ20637,11.668,1.23064,0.00391665,0.0646894,0
20000,mm10,Phloeomys_cumingi_FMNH198472,0,0.197413,0.152902,0.00160068,0
20000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,9.27992,1.46611,-0.0813178,0.241224,0
20000,rnor6,Paucidentomys_vermidax_Z21914,9.10148,0.633228,0.0843158,0.0870485,0
21000,mm10,Phloeomys_cumingi_FMNH198472,0,0.183526,0.198408,0.0019421,0
21000,Zyzomys_pedunculatus_Z34925,Paraleptomys_wilhelmina_H126-ABTC133716,10.1814,1.39952,-0.167492,0.156252,0
