generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.60175,-821.39,1,0
1000,0,-2.10923,-386.38,0.257499,0.342657
2000,0,-1.13342,-387.328,0.263768,0.32034
3000,0,-1.3767,-387.364,0.542695,0.275
4000,1,-3.21266,-375.306,0.656682,0.475333
5000,1,-4.1385,-375.229,0.618724,0.521
6000,1,-3.4321,-373.481,0.558953,0.519
7000,1,-3.40905,-377.87,0.22385,0.491
8000,3,-15.9355,-375.646,4.37872,0.374703
9000,2,-6.11851,-373.602,0.782018,0.4875
10000,1,-9.02016,-373.128,0.709795,0.488
11000,1,-5.45411,-373.662,0.937712,0.447
12000,3,-13.705,-373.19,2.53618,0.51
13000,0,-1.81337,-386.618,0.0885207,0.3229
14000,0,-2.42509,-387.469,1.41777,0.289
15000,2,-6.26035,-373.403,1.92143,0.512333
16000,0,-2.95406,-388.116,0.351778,0.325
17000,1,-7.1089,-373.799,0.322507,0.497
18000,1,-8.00177,-376.133,1.58414,0.3705
19000,2,-6.96904,-373.093,1.52569,0.5115
20000,2,-9.36848,-359.647,3.09587,0.48275
21000,2,-11.6885,-361.081,2.62132,0.492
22000,2,-4.32689,-361.406,0.818214,0.473
23000,4,-10.6009,-362.293,2.97011,0.454
24000,2,-8.61706,-362.847,2.53164,0.549
25000,1,-4.22415,-374.437,1.50712,0.517167
26000,1,-9.10112,-373.855,1.33134,0.474
27000,1,-7.36655,-375.148,2.68768,0.48
28000,1,-5.91845,-373.964,1.43223,0.456571
29000,1,-6.21686,-381.511,1.70364,0.494182
30000,1,-4.50163,-374.641,0.182863,0.4675
31000,1,-3.20966,-374.839,0.751007,0.482
32000,1,-3.22649,-375.383,0.569304,0.456
33000,1,-7.43659,-377.447,2.68731,0.4705
34000,2,-9.96592,-376.106,0.670887,0.482571
35000,2,-6.27351,-377.221,1.05688,0.524
36000,2,-4.9905,-372.689,0.81517,0.509
37000,2,-7.56957,-376.762,1.62061,0.4948
38000,2,-5.31243,-374.333,1.28453,0.515
39000,1,-4.84923,-374.142,0.706283,0.519
40000,1,-3.15589,-377.042,0.615569,0.472
41000,1,-3.4689,-375.841,1.28189,0.484875
42000,4,-8.11447,-360.162,1.06937,0.467
43000,1,-4.61664,-374.725,1.90721,0.476286
44000,2,-5.65475,-355.254,1.91718,0.472
45000,2,-7.13565,-359.395,0.388627,0.486
46000,2,-6.25025,-361.548,1.22539,0.436
47000,2,-8.26135,-362.186,1.25049,0.458
48000,1,-4.06333,-375.885,1.43554,0.455143
49000,2,-6.02416,-360.642,1.01117,0.4445
50000,3,-10.7784,-367.145,4.31578,0.462
51000,2,-7.69753,-359.183,1.6485,0.481
52000,2,-10.1479,-359.854,1.97458,0.44
53000,3,-8.50618,-361.825,1.45438,0.471
54000,2,-6.9744,-362.789,3.42226,0.494
55000,2,-6.82415,-365.619,0.333447,0.438
56000,2,-6.06006,-374.122,2.61508,0.448625
57000,1,-4.41962,-373.927,0.742992,0.514
58000,1,-3.78191,-372.334,1.24618,0.522
59000,2,-4.81048,-365.349,1.2157,0.476
60000,2,-5.32181,-365.892,1.16256,0.485
61000,1,-3.80695,-372.722,0.284615,0.507333
62000,1,-5.37889,-372.557,0.20652,0.476
63000,2,-6.85275,-359.395,1.43115,0.494667
64000,3,-11.514,-361.221,2.22495,0.489
65000,2,-7.729,-356.896,3.2478,0.47175
66000,2,-7.29207,-357.932,1.5833,0.453
67000,2,-7.61182,-354.39,2.90846,0.48
68000,2,-6.46014,-359.526,1.5545,0.474
69000,2,-6.42146,-364.587,2.80754,0.4766
70000,1,-3.61408,-373.757,0.672322,0.472
71000,2,-5.71729,-360.56,1.36141,0.443
72000,2,-11.2838,-356.775,3.0256,0.46025
73000,3,-9.67814,-360.5,1.72153,0.432
74000,4,-13.0626,-371.817,4.76659,0.461
75000,2,-6.33634,-356.733,2.33186,0.477
76000,1,-4.22715,-375.966,0.770453,0.486167
77000,2,-5.58702,-358.387,0.762681,0.4425
78000,2,-6.73769,-363.76,1.78591,0.451273
79000,2,-7.40266,-357.029,2.49079,0.449875
80000,2,-6.86687,-360.662,1.66171,0.451
81000,2,-8.3792,-360.341,1.38001,0.434
82000,2,-8.44433,-356.48,1.42976,0.4665
83000,2,-7.44726,-362.121,2.17837,0.465
84000,1,-3.92478,-377.736,0.559508,0.4775
85000,1,-7.00041,-381.216,1.76589,0.44
86000,3,-9.06049,-356.663,1.36174,0.454444
87000,2,-6.34157,-356.551,2.28449,0.519
88000,2,-4.46862,-357.489,0.561213,0.483
89000,2,-6.68937,-356.536,2.68877,0.502
90000,3,-15.2147,-361.584,0.844474,0.462
91000,2,-7.7548,-358.509,1.32689,0.4617
92000,3,-10.8136,-355.481,2.7347,0.482
93000,2,-11.8688,-359.356,3.15981,0.482
94000,2,-7.03121,-360.541,1.17391,0.498
95000,2,-5.47785,-356.436,0.181279,0.47
96000,2,-7.38632,-358.392,0.696937,0.476
97000,2,-6.17081,-360.616,0.622927,0.466
98000,2,-9.31326,-360.908,1.38022,0.452
99000,1,-1.9522,-376.305,0.146467,0.484786
100000,2,-11.2737,-358.255,1.70028,0.475429
101000,2,-5.1819,-360.185,1.30661,0.436
102000,3,-9.47166,-360.591,3.91162,0.478
103000,2,-5.16616,-362.705,0.96046,0.466
104000,2,-8.22066,-355.68,1.28029,0.459
105000,3,-9.37745,-357.385,2.89939,0.482
106000,3,-11.577,-356.339,1.42285,0.466826
107000,2,-9.14321,-359.294,2.30893,0.476
108000,2,-9.12413,-361.003,1.9227,0.476
109000,2,-5.49652,-362.086,0.715226,0.484
110000,2,-4.88547,-358.468,1.40028,0.519
111000,2,-7.71118,-358.318,3.40851,0.438
112000,2,-7.99963,-364.361,2.92814,0.42
113000,1,-4.70329,-371.968,1.47848,0.495857
114000,2,-4.67874,-359.895,0.521865,0.457
115000,3,-9.76875,-365.947,3.88852,0.478706
116000,1,-3.20256,-375.238,0.253883,0.488667
117000,1,-4.27264,-374.837,0.200202,0.506
118000,2,-6.66833,-362.2,1.82715,0.451462
119000,3,-6.99326,-365.649,2.08371,0.4635
120000,3,-9.17507,-360.909,2.2578,0.441
121000,2,-6.65899,-375.928,2.59171,0.491
122000,2,-6.49792,-364.207,1.98577,0.46475
123000,1,-3.16416,-374.236,1.18707,0.5015
124000,1,-4.32678,-375.749,1.55847,0.445
125000,3,-11.3918,-375.994,0.872059,0.481
126000,2,-5.35689,-356.006,0.971918,0.462167
127000,2,-5.30011,-355.667,1.67046,0.465
128000,3,-6.6527,-364.961,1.22254,0.477
