Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
SUNDA,Murinae,Rattini,Rattus,Rattus,andamanensis,Rattus andamanensis,,,
ASIA,Murinae,Rattini,Rattus,Rattus,losea,Rattus losea,,,
ASIA,Murinae,Rattini,Dacnomys,Niviventer,tenaster,Niviventer tenaster,,,
SUNDA,Murinae,Rattini,Dacnomys,Leopoldamys,edwardsi,Leopoldamys edwardsi,,,
ASIA,Murinae,Murini,Mus,Mus,terricolor,Mus terricolor,,,
ASIA,Murinae,Murini,Mus,Mus,booduga,Mus booduga,,,
ASIA,Murinae,Murini,Mus,Mus,lepidoides,Mus lepidoides,,,
ASIA,Murinae,Rattini,Rattus,Diplothrix,legata,Diplothrix legata,,,
ASIA,Murinae,Rattini,Dacnomys,Tonkinomys,daoventieni,Tonkinomys daoventieni,,,
ASIA,Murinae,Rattini,Rattus,Rattus,satarae,Rattus satarae,,,
ASIA,Murinae,Murini,Mus,Mus,shortridgei,Mus shortridgei,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,irroratus,Otomys irroratus,,,
ASIA,Murinae,Millardini,Millardia,Millardia,kathleenae,Millardia kathleenae,,,
ASIA,Murinae,Murini,Mus,Mus,nitidulus,Mus nitidulus,,,
ASIA,Murinae,Murini,Mus,Mus,fragilicauda,Mus fragilicauda,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Mastomys,erythroleucus,Mastomys erythroleucus,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Mastomys,coucha,Mastomys coucha,,,
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,ineptus,Aethomys ineptus,,,
AFRICA,Murinae,Arvicanthini,Arvicanthis,Lemniscomys,griselda,Lemniscomys griselda,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,hainaldi,Rattus hainaldi,,,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,patriciae,Pseudohydromys patriciae,,different than other Pseudohydromys,
SAHUL,Murinae,Hydromyini,Mallomys,Mallomys,gunung,Mallomys gunung,,,
AFRICA,Murinae,Arvicanthini,Arvicanthis,Arvicanthis,blicki,Arvicanthis blicki,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,anchietae,Otomys anchietae,,,
SAHUL,Murinae,Hydromyini,Hydromys,Leptomys,signatus,Leptomys signatus,,,
SAHUL,Murinae,Hydromyini,Hydromys,Leptomys,paulus,Leptomys paulus,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,salocco,Rattus salocco,,,
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,microbullatus,Taeromys microbullatus,,,
SUNDA,Murinae,Rattini,Rattus,Rattus,lugens,Rattus lugens,,,
SUNDA,Murinae,Hydromyini,Haeromys,Haeromys,pusillus,Haeromys pusillus,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,koopmani,Rattus koopmani,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,pelurus,Rattus pelurus,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,elaphinus,Rattus elaphinus,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,frigicola,Melomys frigicola,,in the lutillus/burtoni. High elevation,
SAHUL,Murinae,Hydromyini,incertae sedis,Coccymys,kirrhos,Coccymys kirrhos,,,
WALLACEA,Murinae,Rattini,Rattus,Rattus,mollicomulus,Rattus mollicomulus,,,
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,callitrichus,Taeromys callitrichus,,,1
WALLACEA,Murinae,Rattini,Bunomys,Taeromys,arcuatus,Taeromys arcuatus,,,
WALLACEA,Murinae,Rattini,Bunomys,Bunomys,karokophilus,Bunomys karokophilus,,,
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,stannarius,Aethomys stannarius,,,
ASIA,Murinae,Murini,Mus,Mus,mayori,Mus mayori,,,
SUNDA,Murinae,Murini,Mus,Mus,vulcani,Mus vulcani,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Thamnomys,schoutedeni,Thamnomys schoutedeni,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Thamnomys,major,Thamnomys major,,,
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,bocagei,Aethomys bocagei,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,cuanzensis,Otomys cuanzensis,,,
AFRICA,Murinae,Arvicanthini,Aethomys,Aethomys,thomasi,Aethomys thomasi,,,
ASIA,Murinae,incertae sedis,incertae sedis,Vernaya,fulva,Vernaya fulva,,,
SAHUL,Murinae,Hydromyini,Pogonomys,Macruromys,elegans,Macruromys elegans,,,
SAHUL,Murinae,Hydromyini,Hydromys,Baiyankamys,habbema,Baiyankamys habbema,,,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,occidentalis,Pseudohydromys occidentalis,,Check Helgen,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,boeadii,Uromys boeadii,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Grammomys,caniceps,Grammomys caniceps,,,
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Crateromys,paulus,Crateromys paulus,,,
SAHUL,Murinae,Hydromyini,Hydromys,Hydromys,neobritannicus,Hydromys neobritannicus,,,
SAHUL,Murinae,Hydromyini,Hydromys,Hydromys,ziegleri,Hydromys ziegleri,,Not paritcularly deep lineage ala Kris,
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,carlae,Pseudohydromys carlae,,"Check Helgen, ellermani group, one-toothed",
SAHUL,Murinae,Hydromyini,Hydromys,Pseudohydromys,berniceae,Pseudohydromys berniceae,,"Check Helgen, close to murinus group",
SAHUL,Murinae,Hydromyini,Hydromys,Microhydromys,argenteus,Microhydromys argenteus,,,
AFRICA,Murinae,Arvicanthini,Arvicanthis,Arvicanthis,rufinus,Arvicanthis rufinus,,,
AFRICA,Murinae,Murini,Mus,Mus,indutus,Mus indutus,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Thallomys,nigricauda,Thallomys nigricauda,,,
PHILIPPINES,Murinae,Rattini,Rattus,Rattus,tawitawiensis,Rattus tawitawiensis,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,anselli,Hylomyscus anselli,,,
ASIA,Murinae,Murini,Mus,Mus,fernandoni,Mus fernandoni,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Apomys,aurorae,Apomys aurorae,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,coetzeei,Praomys coetzeei,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,carillus,Hylomyscus carillus,,,
ASIA,Murinae,Apodemini,Apodemus,Apodemus,witherbyi,Apodemus witherbyi,,,
ASIA,Murinae,Rattini,Berylmys,Berylmys,manipulus,Berylmys manipulus,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Thallomys,loringi,Thallomys loringi,,,
AFRICA,Murinae,Arvicanthini,Arvicanthis,Lemniscomys,macculus,Lemniscomys macculus,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,heinrichorum,Hylomyscus heinrichorum,,,
AFRICA,Murinae,Murini,Mus,Mus,callewaerti,Mus callewaerti,,,
AFRICA,Murinae,Murini,Mus,Mus,sorella,Mus sorella,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Myomyscus,angolensis,Myomyscus angolensis,,,
SUNDA,Murinae,Rattini,Dacnomys,Lenothrix,canus,Lenothrix canus,,,
ASIA,Murinae,Millardini,Millardia,Madromys,blanfordi,Madromys blanfordi,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,sungae,Otomys sungae,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,dartmouthi,Otomys dartmouthi,,,
PHILIPPINES,Murinae,Phloeomyini,Phloeomys,Batomys,salomonseni,Batomys salomonseni,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Soricomys,kalinga,Soricomys kalinga,,,
AFRICA,Murinae,Arvicanthini,Hybomys,Hybomys,basilii,Hybomys basilii,,,
PHILIPPINES,Murinae,Rattini,Rattus,Tarsomys,echinatus,Tarsomys echinatus,,,
PHILIPPINES,Murinae,Rattini,incertae sedis,Anonymomys,mindorensis,Anonymomys mindorensis,,,1
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,minor,Praomys minor,,,
AFRICA,Murinae,Arvicanthini,Hybomys,Desmomys,harringtoni,Desmomys harringtoni,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Myomyscus,brockmani,Myomyscus brockmani,,,
AFRICA,Murinae,Praomyini,Colomys,Nilopegamys,plumbeus,Nilopegamys plumbeus,,,
ASIA,Murinae,Rattini,Rattus,Rattus,osgoodi,Rattus osgoodi,,,
PHILIPPINES,Murinae,Rattini,Rattus,Abditomys,latidens,Abditomys latidens,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Grammomys,macmillani,Grammomys macmillani,,,
PHILIPPINES,Murinae,Rattini,Rattus,Rattus,everetti,Rattus everetti,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,typus,Otomys typus,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,denniae,Hylomyscus denniae,,,
PHILIPPINES,Murinae,Hydromyini,Chrotomys,Chrotomys,sibuyanensis,Chrotomys sibuyanensis,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,arcimontensis,Hylomyscus arcimontensis,,,
PHILIPPINES,Murinae,Rattini,Rattus,Limnomys,bryophilus,Limnomys bryophilus,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Hylomyscus,aeta,Hylomyscus aeta,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,verschureni,Praomys verschureni,,,
AFRICA,Murinae,Praomyini,Stenocephalemys,Praomys,misonnei,Praomys misonnei,,,
AFRICA,Murinae,Arvicanthini,Oenomys,Grammomys,ibeanus,Grammomys ibeanus,,,
PHILIPPINES,Murinae,Rattini,Bunomys,Bullimus,gamay,Bullimus gamay,,,
AFRICA,Murinae,Otomyini,Otomys,Otomys,lacustris,Otomys lacustris,,,
AFRICA,Murinae,Arvicanthini,Arvicanthis,Arvicanthis,nairobae,Arvicanthis nairobae,,,
