,Taxon,states,Locomotor Mode Notes,Source (Author; Title; Year),Scoring_1,Locomotor type,Add. Notes,Geographic Region,Taxon_Loc1,Taxon_Loc2,Taxon_clade,Geo_1,Multiple_Geo,Total Length,Head/Body Length,Tail Length,TAIL_Index,Hind Foot Length,Ear Length,Adult.mass.g,Tail/Body ratio,HindFoot/Body ratio,litter size,Genus,Species,"Mass(from lit, not averages)",Sequence_data _NOT UPDATED
Mus_haussa,Mus_haussa,T,Terrestrial,"Kingdon, Mammals of Africa p. 480",2,,,Africa,,,,8,,87.7,49.7,38,0.433295325,12,8.8,3,0.764587525,0.241448692,NA,Mus,haussa,3,Y
Mus_indutus,Mus_indutus,T,"Terrestrial, lives in semi arid savannahs","Kingdon, Mammals of Africa p. 482",2,,,Africa,,,,8,,95.2,53.2,42,0.441176471,14,11,6.516666667,0.789473684,0.263157895,4.5,Mus,indutus,5.4,N
Mus_setzeri,Mus_setzeri,T,Elton Traits,"Kingdon, Mammals of Africa p. 493",,,,Africa,,,,8,,97,61,36,0.371134021,14,13.6,6.725,0.590163934,0.229508197,NA,Mus,setzeri,6.8,N
Mus_minutoides,Mus_minutoides,T,Terrestrial,"Kingdon, Mammals of Africa p. 485",2,,,Africa,,,,8,,95.8,54.8,41,0.427974948,12.5,8.5,6.876666667,0.748175183,0.22810219,4.18,Mus,minutoides,6.2,N
Micromys_minutus,Micromys_minutus,A,"The foot structure facilitates scampering up stems, and the nakedness of the tail suggests that it is semiprehensile / climbs on grass shoots","Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 775 / Urbani et al 2013",1,,,"western Europe to east-central Siberia and Korea, parts of southern China and Assam, Great Britain and Japan, Taiwan",,,,7,,131.9,67,64.9,0.492039424,14.5,9,7.096666667,0.968656716,0.21641791,5.035,Micromys,minutus,6.7,Y
Mus_neavei,Mus_neavei,T,Elton Traits,"Kingdon, Mammals of Africa p. 489",,,,Africa,,,,8,,127.2,88.8,38.4,0.301886793,13,11,8,0.432432432,0.146396396,4.18,Mus,neavei,9.53,N
Mus_orangiae,Mus_orangiae,T,Terrestrial,"Kingdon, Mammals of Africa p. 490",2,,,Africa,,,,8,,97.1,59.6,37.5,0.386199794,12.9,11.9,8,0.629194631,0.216442953,4.18,Mus,orangiae,9.5,N
Mus_terricolor,Mus_terricolor,T,Elton Traits,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 858 / Singh et al 2009 Mus booduga and terricolor",,,,"Pakistan, India, Nepal",,,,1,,132,68,64,0.484848485,15,11.5,8.3,0.941176471,0.220588235,NA,Mus,terricolor,8.3,Y
Mus_goundae,Mus_goundae,T,Elton Traits,"Kingdon, Mammals of Africa p. 480",,,Habitat: wooded savanna,Africa,,,,8,,95,61,34,0.357894737,13,12.5,8.96,0.557377049,0.213114754,NA,Mus,goundae,8.96,N
Mus_callewaerti,Mus_callewaerti,T,Habitat: 'forest' and savanna,"Kingdon, Mammals of Africa p. 478",,,,Africa,,,,8,,133.6,88.8,44.8,0.335329341,15.3,11.3,9.12,0.504504505,0.172297297,NA,Mus,callewaerti,9.12,Y
Mus_oubanguii,Mus_oubanguii,T,Terrestrial,"Kingdon, Mammals of Africa p. 491",2,,,Africa,,,,8,,100.7,62.7,38,0.377358491,13.9,11.5,9.16,0.606060606,0.22169059,NA,Mus,oubanguii,9.16,N
Mus_baoulei,Mus_baoulei,T,"Habitat: savanna, nothing else known","Kingdon, Mammals of Africa p. 476",2,,,Africa,,,,8,,102.8,65.9,36.9,0.358949416,13.3,10,9.2,0.559939302,0.201820941,NA,Mus,baoulei,9.2,Y
Mus_tenellus,Mus_tenellus,T,This species occurs in areas of dry savanna.,"Kingdon, Mammals of Africa p. 496",2,,,Africa,,,,8,,92.2,53.8,38.4,0.4164859,12.6,8.6,9.48,0.713754647,0.234200744,1.94,Mus,tenellus,9.48,Y
Mus_sorella,Mus_sorella,T,"This species is associated with open clearings in lowland and montane forest, and also within savanna areas","Kingdon, Mammals of Africa p. 494",2,,,Africa,,,,8,,99.7,59.9,39.8,0.399197593,13.1,10.8,9.5,0.664440735,0.21869783,5.2,Mus,sorella,9.5,Y
Mus_mattheyi,Mus_mattheyi,T,caught on ground,"Kingdon, Mammals of Africa p. 483",2,,,Africa,,,,8,,90.4,52,38.4,0.424778761,12.1,8.8,9.52,0.738461539,0.232692308,NA,Mus,mattheyi,9.52,Y
Microhydromys_richardsoni,Microhydromys_richardsoni,T,presumably terrestrial,"Flannery, Mammals of New Guniea p.248",2,,,New Guinea,3,,1,5,,169.3,83,86.3,0.509746013,19.7,10.3,9.625,1.039759036,0.237349398,NA,Microhydromys,richardsoni,9,Y
Mus_bufo,Mus_bufo,T,"Found in primary, secondary forests and swamps / trapped only on ground in uganda (tree traps were present)","Kingdon, Mammals of Africa p. 477 / Lunde and Sarmiento 2002 Uganda",2,,,Africa,,,,8,,135,68.4,66.6,0.493333333,15.3,11.8,9.64,0.973684211,0.223684211,NA,Mus,bufo,10.4,Y
Mus_musculoides,Mus_musculoides,T,Terrestrial. Locomotion is a rapid scuttle,"Kingdon, Mammals of Africa p. 487",2,,,Africa,,,,8,,160.9,83.7,77.2,0.479801119,18,13.7,9.876666667,0.922341697,0.215053763,3.835,Mus,musculoides,13.4,Y
Mus_mahomet,Mus_mahomet,T,associated with secondary scrub and agricultural areas,"Kingdon, Mammals of Africa p. 482 / YALDEN et al 1992 mammals ethiopia",2,,,Africa,,,,8,,120.5,67,53.5,0.443983403,15,11.8,10.15,0.798507463,0.223880597,8.595,Mus,mahomet,10.3,N
Haeromys_pusillus,Haeromys_pusillus,A,Hands and feet adapted for arboreal life; the great toe is opposable,"Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 776 / Musser 1983 Sumatra",1,,Locomotor mode notes general for genus,northern and eastern Borneo,,,,3,,176.3,62.3,114,0.646625071,17.4,,10.4,1.829855538,0.27929374,NA,Haeromys,pusillus,10.4,N
Pseudomys_pilligaensis,Pseudomys_pilligaensis,T,"Is terrestrial and appears to live in burrows, which main explain its restriction to a sandy substrate ","Strahan, Complete Book of Australian Mammals p. 418 / Nowak, Walker's Mammals of the World fifth edition Volume 2 p. 818 / Van Dyck and Strahan, The Mammals of Australia 3rd edition",2,,,Australia,3,,1,6,,,,,#DIV/0!,,,10.72,#DIV/0!,#DIV/0!,3,Pseudomys,pilligaensis,11,N
Mus_setulosus,Mus_setulosus,T,"It is associated with grassland clearings in high forest, or more open woodlands. I","Kingdon, Mammals of Africa p. 492",2,,,Africa,,,,8,,137.3,81.8,55.5,0.404224326,14.1,11.8,11.18,0.678484108,0.172371638,3.92,Mus,setulosus,9.4,Y
Pseudomys_chapmani,Pseudomys_chapmani,T,inhabit pebble mounds that they construct,"Strahan, Complete Book of Australian Mammals p. 416 / Ford and Johnson 2007 Pseudomys / Van Dyck and Strahan, The Mammals of Australia 3rd edition / Kitchner 1980 Species description",2,,,Australia,3,,1,6,,122.8,59.2,63.6,0.517915309,15,10,11.475,1.074324324,0.253378378,NA,Pseudomys,chapmani,12,Y
