Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Abditomys_latidens,Arboreal,268.545,480.5,224,256.5,46,0.533818939,1.145089286,"Heaney et al 2016,  Nowak 1991",,,,,,,,,,,
Abeomelomys_sevia,Arboreal,55.69,300.5,127.5,173,24.8,0.575707155,1.356862745,"Flannery 1995a, Musser & Newcomb 1983",,,,,,,,,,,
Aethomys_bocagei,Terrestrial,79.89,354,165,189,36,0.533898305,1.145454545,"Kingdon et al 2013, Wilman et al 2014",,,,,,,,,,,
Aethomys_chrysophilus,General,77.925,294,138,156,31,0.530612245,1.130434783,Kingdon et al 2013,,,,,,,,,,,
Aethomys_granti,Terrestrial,NA,228.6,111.8,116.8,24.1,0.510936133,1.044722719,Kingdon et al 2013,,,,,,,,,,,
Aethomys_hindei,Terrestrial,149.075,314,158,156,32,0.496815287,0.987341772,Kingdon et al 2013,,,,,,,,,,,
Aethomys_ineptus,Terrestrial,107.58,309,147,162,30,0.524271845,1.102040816,"Kingdon et al 2013, IUCN 2017",,,,,,,,,,,
Aethomys_kaiseri,Terrestrial,92.745,266.2,146.5,119.7,25.2,0.449661908,0.817064846,Kingdon et al 2013,,,,,,,,,,,
Aethomys_namaquensis,General,51.7,259.3,107.5,151.8,25.3,0.585422291,1.412093023,Kingdon et al 2013,,,,,,,,,,,
Aethomys_nyikae,Terrestrial,90.2,309.2,143.4,165.8,28.6,0.53622251,1.156206416,Kingdon et al 2013,,,,,,,,,,,
Aethomys_silindensis,Terrestrial,82.76,351.3,173.6,177.7,33.6,0.505835468,1.023617512,"Kingdon et al 2013, IUCN 2017, Wilman et al 2014",,,,,,,,,,,
Aethomys_stannarius,Terrestrial,92,300,148,152,31,0.506666667,1.027027027,"Kingdon et al 2013, IUCN 2017",,,,,,,,,,,
Aethomys_thomasi,Terrestrial,84.69,274,150,124,29,0.452554745,0.826666667,"Kingdon et al 2013, IUCN 2017, Wilman et al 2014",,,,,,,,,,,
Anisomys_imitator,Arboreal,502.25,585.8,264.6,321.2,61.1,0.548310003,1.213907785,"Flannery 1995a,  Nowak 1991",,,,,,,,,,,
Apodemus_agrarius,Terrestrial,21.505,169.2,96.3,72.9,19.4,0.430851064,0.757009346,Kuncová & Frynta 2009,,,,,,,,,,,
Apodemus_alpicola,General,28.3,NA,NA,NA,NA,,,"Reutter et al 2005",,,,,,,,,,,
Apodemus_argenteus,Arboreal,23.8,NA,NA,NA,NA,,," Sekijima 1995",,,,,,,,,,,
Apodemus_chevrieri,General,32.9,193,99,94,23.5,0.487046632,0.949494949,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Apodemus_draco,General,23.8,202.5,92.5,110,22.5,0.543209877,1.189189189,"Nowak 1991,  Francis & Barrett 2008",,,,,,,,,,,
Apodemus_flavicollis,General,29.95,NA,NA,NA,NA,,,Kuncová & Frynta 2009,,,,,,,,,,,
Apodemus_gurkha,General,28.3,NA,NA,NA,NA,,,Nowak 1991,,,,,,,,,,,
Apodemus_hyrcanicus,Terrestrial,25.76,NA,NA,NA,NA,,,"IUNC 2017, Gromov & Erbaeva. 1995, Wilman et al 2014",,,,,,,,,,,
Apodemus_latronum,General,28.3,212.5,102.5,110,25.5,0.517647059,1.073170732,"Nowak 1991, Francis and Barrett 2008, Xiao et al 2006",,,,,,,,,,,
Apodemus_mystacinus,Terrestrial,41.07,236.5,114.6,121.9,26.4,0.515433404,1.063699825,Kuncová & Frynta 2009,,,,,,,,,,,
Apodemus_pallipes,Terrestrial,23.8,181,91,90,20.5,0.497237569,0.989010989,"Smith and Xie 2013, Wilman et al 2014",,,,,,,,,,,
Apodemus_peninsulae,General,28.3,188,99,89,22,0.473404255,0.898989899,Nowak 1991 ,,,,,,,,,,,
Apodemus_ponticus,Terrestrial,28.3,191.19,89.86,101.33,22.71,0.529996339,1.127643,Mohammadi et al 2014,,,,,,,,,,,
Apodemus_semotus,Terrestrial,25.29,238.7,116.8,121.9,26.4,0.510682866,1.043664384,Smith and Xie 2013,,,,,,,,,,,
Apodemus_speciosus,Terrestrial,38.775,211.7,111.2,100.5,24,0.474728389,0.903776978,Sekijima 1995,,,,,,,,,,,
Apodemus_sylvaticus,General,23.33333333,188.7,96.5,92.2,22,0.488606253,0.955440415,"Kingdon et al 2013, Kuncová & Frynta 2009",,,,,,,,,,,
Apodemus_uralensis,General,21.03,183.5,93.5,90,20,0.490463215,0.962566845,"Smith and Xie 2013, Heroldová & Tkadlec 2011",,,,,,,,,,,
Apodemus_witherbyi,Terrestrial,20.66,NA,NA,NA,NA,,,"IUNC 2017, Kuncova and Frenta 2009",,,,,,,,,,,
Apomys_abrae,Terrestrial,51.94,274.5,140,134.5,36.5,0.489981785,0.960714286,"Heaney et al 2016, Nowak 1991",,,,,,,,,,,
Apomys_aurorae,Terrestrial,75,278.5,137.5,141,35,0.506283662,1.025454545,Heaney et al 2016,,,,,,,,,,,
Apomys_banahao,Terrestrial,81.5,268.5,146.5,122,35,0.454376164,0.832764505,Heaney et al 2016,,,,,,,,,,,
Apomys_brownorum,Terrestrial,72,242.5,131,111.5,33.5,0.459793814,0.851145038,Heaney et al 2016,,,,,,,,,,,
Apomys_camiguinensis,Terrestrial,40,258,111,147,33,0.569767442,1.324324324,Heaney & Tabaranza 2006,,,,,,,,,,,
Apomys_datae,Terrestrial,70.44,276,150.7,135.8,35.8,0.492028986,0.901128069,"Heaney et al 2016,  Nowak 1991",,,,,,,,,,,
Apomys_gracilirostris,General,43.08,310,150,160,38,0.516129032,1.066666667,"Ruedas 1995, Wilman et al 2014",,,,,,,,,,,
Apomys_hylocetes,Terrestrial,36.44,249,108,141,32,0.56626506,1.305555556,Heaney et al 2006,,,,,,,,,,,
Apomys_insignis,Terrestrial,36.94,252,105,147,33,0.583333333,1.4,Heaney et al 2006,,,,,,,,,,,
Apomys_iridensis,Terrestrial,96,292,147.5,144.5,37.5,0.494863014,0.979661017,Heaney et al 2016,,,,,,,,,,,
Apomys_littoralis,Terrestrial,25.475,220,100,120,25,0.545454545,1.2,"Musser 1982a, Wilman et al 2014",,,,,,,,,,,
Apomys_lubangensis,Terrestrial,110,291,151,140,40,0.481099656,0.927152318,Heaney et al 2014,,,,,,,,,,,
Apomys_magnus,Terrestrial,110,288.5,145,143.5,39,0.497400347,0.989655172,Heaney et al 2016,,,,,,,,,,,
Apomys_microdon,Arboreal,35.49,241.5,107,134.5,27,0.556935818,1.257009346,Heaney et al 2016,,,,,,,,,,,
Apomys_minganensis,Terrestrial,79,262.5,135.5,127,33,0.483809524,0.937269373,Heaney et al 2016,,,,,,,,,,,
Apomys_musculus,Arboreal,20.6,197.5,88.5,109,22.5,0.551898734,1.231638418,Heaney et al 2016,,,,,,,,,,,
Apomys_sacobianus,General,63.44,296,153.5,142.5,37.5,0.481418919,0.928338762,"Heaney et al 2016, Nowak 1991",,,,,,,,,,,
Apomys_sierrae,General,92,277,141,136,36.5,0.490974729,0.964539007,Heaney et al 2016,,,,,,,,,,,
Apomys_zambalensis,General,99.5,302.5,162,140.5,37.5,0.46446281,0.867283951,Heaney et al 2016,,,,,,,,,,,
Archboldomys_luzonensis,Terrestrial,36.22,178.5,89.3,70,27.5,0.392156863,0.78387458,"Heaney et al 2016,  Nowak 1991",,,,,,,,,,,
Archboldomys_maximus,Terrestrial,47.5,216,117,99,31,0.458333333,0.846153846,Heaney et al 2016,,,,,,,,,,,
Arvicanthis_abyssinicus,Terrestrial,92.87,250.9,140.5,110.4,26.4,0.440015943,0.785765125,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_ansorgei,Terrestrial,113.9,285.6,151,134.6,33,0.471288515,0.891390728,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_blicki,Terrestrial,128,261,161,100,30.8,0.383141762,0.621118012,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_nairobae,Terrestrial,91,239,138,101,26,0.422594142,0.731884058,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_neumanni,Terrestrial,85,246.5,146,100.5,27.5,0.407707911,0.688356164,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_niloticus,General,101.95,289.3,158.8,130.5,31,0.451088835,0.821788413,Kingdon et al 2013,,,,,,,,,,,
Arvicanthis_rufinus,Terrestrial,103.3,282,143.8,138.2,32.7,0.490070922,0.961057024,Kingdon et al 2013,,,,,,,,,,,
Baiyankamys_habbema,Amphibious,NA,317,147,170,36,0.536277603,1.156462585,Helgen 2005,,,,,,,,,,,
