# sources: Supplemental_Appendix_II.csv; murine_repro_pheno_data.csv; Murinae Locomotory Checklist - Murinae Locomotory Checklist.csv
species,sample,Locomotor_State,Adult_Mass(g),Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,RTM (%),Head length (um),Head width (um),Head area (um�),Apical hook length (um),Apical hook angle (�),Ventral process length (um),Ventral process angle (�),Midpiece length (um),Principal and end piece length (um),Tail length (um),# hooks/ventral processes,Geographic Region
Lophiomys_imhausi,Lophiomys_imhausi_UM5152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophuromys_woosnami,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phloeomys_cumingi,Phloeomys_cumingi_FMNH198472,Arboreal,1896.23,711.5,417.5,294,79.5,0.413211525,0.704191617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Phloeomys_pallidus,Phloeomys_pallidus_JEC43,Arboreal,2097.07,738.5,404,334.5,85,0.452945159,0.827970297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Crateromys_heaneyi,Crateromys_heaneyi_KU165014,Arboreal,124,599.5,279.5,320,63.5,0.533778148,1.14490161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Batomys_russatus,Batomys_russatus_KU165776,Terrestrial,115,256,146,110,30,0.4296875,0.753424658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Carpomys_melanurus,Carpomys_melanurus_FMNH198723,Arboreal,165,363.5,182,181.5,33,0.499312242,0.997252747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Musseromys_anacuao,Musseromys_anacuao_FMNH209523,Arboreal,19,162.5,78.5,84,18,0.516923077,1.070063694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines
Maxomys_surifer,Maxomys_surifer_JAE3632,Terrestrial,154.44,363.8,182.5,181.3,41,0.498350742,0.993424658,2.02,10.5,NA,26+-2.5,3.0+-0.3,294+-17,NA,NA,35,70,100+-1,NA,Thailand;southern Burma;Indochina;Malay Peninsula;Sumatra;Java;Borneo;many islands off the East Indies
Maxomys_musschenbroekii,Maxomys_musschenbroekii_sample1,Terrestrial,84.8,274,145.5,128.5,34.5,0.468978102,0.883161512,2.63,NA,NA,26+-2.0,7+-0.8,287+-17,NA,NA,NA,NA,151+-2,NA,Sulawesi
Crunomys_melanius,Crunomys_melanius_KU168558,Terrestrial,54.5,190.8,110,80.8,26,0.423480084,0.734545455,NA,NA,NA,43+-5.7,5+-0.9,283+-21,NA,NA,NA,NA,105+-4,NA,Mindanao
Crunomys_celebensis,Crunomys_celebensis_Z21894,Terrestrial,48.3,193.6,112.6,81,25,0.41838843,0.719360568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central Sulawesi 
Hyorhinomys_stuempkei,Hyorhinomys_stuempkei_JAE4661,Terrestrial,235,403.5,193.5,210,53,0.520446097,1.085271318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sulawesi
Sommeromys_macrorhinos,Sommeromys_macrorhinos_Z21740,Arboreal,26.83,282.5,100,182.5,30,0.646017699,1.825,1,NA,NA,18+-1.9,7.4+-0.3,298+-11,NA,NA,NA,NA,161+-1,NA,Sulawesi
Gracilimus_radix,Gracilimus_radix_Z08508,Terrestrial,41,277,118,159,29,0.57400722,1.347457627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sulawesi
Waiomys_mamasae,Waiomys_mamasae_Z20624,Amphibious,64,288,129,159,36,0.552083333,1.23255814,2.01,NA,NA,25+-2.0,5.5+-0.6,301+-9,NA,NA,NA,NA,106+-7,NA,Sulawesi
Paucidentomys_vermidax,Paucidentomys_vermidax_Z21914,Terrestrial,103.5,362.5,163.5,199,37.5,0.548965517,1.217125382,3.03,NA,NA,19+-1.3,9.4+-0.4,324+-8,NA,NA,NA,NA,132+-2,NA,Sulawesi
Echiothrix_centrosa,Echiothrix_centrosa_Z27993,Terrestrial,253,447,205,242,51,0.541387025,1.180487805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sulawesi
Tateomys_rhinogradoides,Tateomys_rhinogradoides_Z21785,Terrestrial,86.5,308.5,145.5,163,37.25,0.528363047,1.120274914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central Sulawesi
Melasmothrix_naso,Melasmothrix_naso_Z21808,Terrestrial,47.5,206.8,118,88.8,27.5,0.429400387,0.752542373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central Sulawesi
