node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,num.ps.genes,ps.gene.list
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,577.0,0.0,0.0,0.0,490.0,4.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,667.0,0.0,0.0,0.0,400.0,7.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,951.0,0.0,0.0,0.0,116.0,11.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,860.0,0.0,0.0,0.0,207.0,8.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,925.0,0.0,0.0,0.0,142.0,10.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,888.0,0.0,0.0,0.0,179.0,11.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,965.0,0.0,0.0,0.0,102.0,10.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,934.0,0.0,0.0,0.0,133.0,11.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,855.0,0.0,0.0,0.0,212.0,9.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,401.0,0.0,0.0,0.0,666.0,3.0,ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv
Crunomys_melanius_KU168558,Crunomys_melanius_KU168558,tip,NA,960.0,0.0,0.0,0.0,107.0,11.0,ENSMUSP00000111134-mafft-cds.filter.csv;ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Crunomys_celebensis_Z21894,Crunomys_celebensis_Z21894,tip,NA,860.0,0.0,0.0,0.0,207.0,6.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Gracilimus_radix_Z08508,Gracilimus_radix_Z08508,tip,NA,917.0,0.0,0.0,0.0,150.0,9.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Waiomys_mamasae_Z20624,Waiomys_mamasae_Z20624,tip,NA,866.0,0.0,0.0,0.0,201.0,10.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000041744-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000156885-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
Tateomys_rhinogradoides_Z21785,Tateomys_rhinogradoides_Z21785,tip,NA,905.0,0.0,0.0,0.0,162.0,8.0,ENSMUSP00000074454-mafft-cds.filter.csv;ENSMUSP00000024099-mafft-cds.filter.csv;ENSMUSP00000117928-mafft-cds.filter.csv;ENSMUSP00000042303-mafft-cds.filter.csv;ENSMUSP00000095051-mafft-cds.filter.csv;ENSMUSP00000064048-mafft-cds.filter.csv;ENSMUSP00000028689-mafft-cds.filter.csv;ENSMUSP00000043250-mafft-cds.filter.csv
