node,clade,node.type,branch.length,label,astral,gcf,scf,ds.sum,dn.sum,dn.ds.sum,synonymous.bl.sum,nonsynonymous.bl.sum,num.genes.full,num.genes.partial,num.genes.no.clade,num.genes.no.ds,num.genes.no.dn,avg.ds,avg.dn,avg.dn.ds,avg.synonymous.bl,avg.nonsynonymous.bl
1,Lophiomys_imhausi_UM5152,tip,NA,Lophiomys_imhausi_UM5152,NA,NA,NA,745.7976730338572,83.95897364734334,251507.80648155423,179.39256434736697,63.570005062615316,5866,0,5928,59,695,0.1271390509774731,0.014312815146154678,42.875521050384286,0.03058175321298448,0.01083702779792283
2,Lophuromys_woosnami_LSUMZ37793,tip,NA,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,1059.2215565635838,103.74383167397326,140905.97701330538,253.49467262190635,78.66325046637357,7042,0,4752,49,894,0.15041487596756373,0.014732154455264592,20.009369073176,0.035997539423729956,0.011170583707238507
3,Phloeomys_cumingi_FMNH198472,tip,NA,Phloeomys_cumingi_FMNH198472,NA,NA,NA,150.84218461671256,21.328558305682876,4632601.839751679,36.13199830582253,16.192297973194094,10407,0,1387,3267,3250,0.014494300434007163,0.0020494434808958273,445.1428691987777,0.003471893754763383,0.0015559044847885167
4,Phloeomys_pallidus_JEC43,tip,NA,Phloeomys_pallidus_JEC43,NA,NA,NA,87.2478882562102,12.118344886998711,4425732.08542638,20.7441523144012,9.214934614645417,8898,0,2896,3309,2981,0.009805336958441246,0.0013619178340074974,497.3850399445246,0.002331327524657361,0.0010356186350466865
5,Crateromys_heaneyi_KU165014,tip,NA,Crateromys_heaneyi_KU165014,NA,NA,NA,318.94135967770944,41.40658940085787,2171998.3812097106,75.98917518699437,31.47295608575788,10125,0,1669,804,2696,0.03150038120273674,0.0040895396939118886,214.5183586379961,0.007505103722172284,0.003108440107235346
6,Batomys_russatus_KU165776,tip,NA,Batomys_russatus_KU165776,NA,NA,NA,312.6701294723889,38.24441820064668,1805244.0335990419,74.62215814681912,29.053696211181656,9678,0,2116,713,2639,0.032307308273650436,0.003951686112900049,186.53069163040317,0.007710493712215242,0.003002035153046255
7,Carpomys_melanurus_FMNH198723,tip,NA,Carpomys_melanurus_FMNH198723,NA,NA,NA,263.95601830777275,28.184572510129303,2425658.428630091,62.744150121873886,21.43667960072461,10697,0,1097,1051,3606,0.024675705179748784,0.0026348109292445828,226.76062715061147,0.0058655838199377286,0.0020039898663853986
8,Musseromys_anacuao_FMNH209523,tip,NA,Musseromys_anacuao_FMNH209523,NA,NA,NA,245.85689522682756,27.553256937815966,2428159.6600323245,58.65231839444618,20.934484017753597,10248,0,1546,1030,3330,0.023990719674748983,0.002688647242175641,236.93985753633143,0.005723294144657122,0.0020427872772983604
9,Maxomys_surifer_JAE3632,tip,NA,Maxomys_surifer_JAE3632,NA,NA,NA,265.11988921271507,29.4658853399565,1973613.2120703738,63.085096010145335,22.420271454184295,8984,0,2810,882,2814,0.02951022809580533,0.0032798180476354072,219.6809007202108,0.007021938558564708,0.00249557785554144
10,Maxomys_musschenbroekii_sample1,tip,NA,Maxomys_musschenbroekii_sample1,NA,NA,NA,4014.0194433579913,17.151288911273568,1816361.215890282,983.7360493842618,13.040881228227116,4996,0,6798,760,1505,0.803446645988389,0.003433004185603196,363.5630936529788,0.1969047336637834,0.0026102644572111922
11,Crunomys_melanius_KU168558,tip,NA,Crunomys_melanius_KU168558,NA,NA,NA,153.04874964460438,20.823285309563197,4954272.998712962,36.70867825295225,15.795153454614764,10279,0,1515,2821,3252,0.014889459056776378,0.0020258084745172875,481.9800563005119,0.0035712304944987105,0.0015366430056050944
12,Crunomys_celebensis_Z21894,tip,NA,Crunomys_celebensis_Z21894,NA,NA,NA,105.25636172085076,15.916695675846253,5857607.865259347,25.045183348175243,12.104953268932517,9142,0,2652,2642,2855,0.011513493953276171,0.001741051813153167,640.7359292561088,0.0027395737637470187,0.0013241033984831019
13,Hyorhinomys_stuempkei_JAE4661,tip,NA,Hyorhinomys_stuempkei_JAE4661,NA,NA,NA,164.72714943553402,22.963398498519982,2947849.466807197,39.18860079672379,17.4606314939449,8872,0,2922,1243,2573,0.0185670817668546,0.002588300101275922,332.2643673137057,0.004417110098819183,0.0019680603577485233
14,Sommeromys_macrorhinos_Z21740,tip,NA,Sommeromys_macrorhinos_Z21740,NA,NA,NA,157.55528491740318,23.74557232494964,2939631.45359921,37.399139406491955,18.084285097127843,8423,0,3371,1303,2308,0.018705364468408307,0.0028191347886678906,349.00052874263446,0.004440121026533534,0.0021470123586759876
15,Gracilimus_radix_Z08508,tip,NA,Gracilimus_radix_Z08508,NA,NA,NA,160.87460037810067,20.04202397383531,3577603.669527163,38.4044611498241,15.221026525940573,10010,0,1784,1746,3437,0.016071388649160905,0.0020022001971863445,357.40296398872755,0.0038366095054769333,0.0015205820705235338
16,Waiomys_mamasae_Z20624,tip,NA,Waiomys_mamasae_Z20624,NA,NA,NA,129.1392595492679,17.308822147547787,4024172.4509610916,30.75345936130565,13.154218839130554,9407,0,2387,1875,3226,0.013727996125148072,0.001839993850063547,427.78488901467966,0.0032692100947491923,0.0013983436631370845
17,Paucidentomys_vermidax_Z21914,tip,NA,Paucidentomys_vermidax_Z21914,NA,NA,NA,168.1482682398462,21.730487616570088,3075657.125464239,40.01256118888772,16.52804642425643,9455,0,2339,1351,2958,0.01778405798411911,0.002298306463941839,325.2942491236636,0.00423189436159574,0.001748074714358163
18,Echiothrix_centrosa_Z27993,tip,NA,Echiothrix_centrosa_Z27993,NA,NA,NA,146.86703015433204,21.41597937203304,3414048.0756795625,34.87626863921726,16.31121803715618,8231,0,3563,1378,2511,0.017843157593771357,0.002601868469448796,414.77925837438494,0.00423718486687125,0.00198168120971403
19,Tateomys_rhinogradoides_Z21785,tip,NA,Tateomys_rhinogradoides_Z21785,NA,NA,NA,99.14372379792022,14.686160606463782,4652512.6787901325,23.60917162020629,11.165344431086213,9751,0,2043,2590,3182,0.010167544231147596,0.0015061184090312564,477.1318509681194,0.0024212051707728733,0.0011450460907687634
20,Melasmothrix_naso_Z21808,tip,NA,Melasmothrix_naso_Z21808,NA,NA,NA,100.5158679300981,15.58218572528054,5216400.5074335085,23.907108836369144,11.862861612790008,9448,0,2346,2512,3003,0.010638851389722492,0.0016492575915834611,552.1169038350454,0.0025303883188367003,0.0012555950055874268
21,Tateomys_macrocercus_Z21834,tip,NA,Tateomys_macrocercus_Z21834,NA,NA,NA,80.22379037444229,12.336526709041452,3970807.168843414,19.06377071457848,9.386718267266607,7764,0,4030,2301,2476,0.010332791135296534,0.0015889395555179614,511.4383267443862,0.002455405810739114,0.0012090054440065182
22,Saxatilomys_paulinae_ABTC116266,tip,NA,Saxatilomys_paulinae_ABTC116266,NA,NA,NA,313.07442190767284,33.42423001749155,1650919.5059161724,74.58898367181683,25.42184280608279,10188,0,1606,752,2969,0.03072972339101618,0.0032807449958275965,162.04549528034673,0.007321258703554852,0.0024952731454733795
23,Margaretamys_parvus_NMVZ21833,tip,NA,Margaretamys_parvus_NMVZ21833,NA,NA,NA,118.38792531361969,13.963462046048951,4433205.436928227,28.167734118378053,10.613195005744725,10677,0,1117,2495,4037,0.011088126375725363,0.0013078076281772923,415.2107742744429,0.0026381693470429947,0.000994024070969816
24,Margaretamys_christinae_TMar1,tip,NA,Margaretamys_christinae_TMar1,NA,NA,NA,119.28524662442159,14.92470441706591,4258150.708493658,28.398381904474608,11.347609865004438,9902,0,1892,2204,3515,0.012046581157788486,0.0015072414075000917,430.02935856328605,0.002867944042059645,0.0011459917052115166
25,Leopoldomys_sabanus_Z25191,tip,NA,Leopoldomys_sabanus_Z25191,NA,NA,NA,222.56588549465633,24.782522989176506,2150894.747370771,52.89548238559676,18.86252111012973,9729,0,2065,1138,3103,0.0228765428609987,0.002547283686830764,221.08076342591954,0.005436887900667773,0.0019387934124914924
26,Anonymomys_mindorensis_FMNH2222010,tip,NA,Anonymomys_mindorensis_FMNH2222010,NA,NA,NA,210.382736522073,25.390060694312147,3007921.1154996175,50.161560946355195,19.281978222404828,10431,0,1363,1297,3315,0.020168990175637332,0.002434096509856404,288.3636387210831,0.00480889281433757,0.0018485263371109987
27,Niviventer_lepturus_JAE4746,tip,NA,Niviventer_lepturus_JAE4746,NA,NA,NA,166.6366592809018,18.484079068390646,2567466.0098664546,39.65702122589136,14.057237414523293,9139,0,2655,1340,3303,0.018233576899102943,0.002022549411138051,280.9351143305017,0.004339317346087249,0.001538159253148407
28,Niviventer_rapit_LSUMZ38196,tip,NA,Niviventer_rapit_LSUMZ38196,NA,NA,NA,39.29694757540332,5.740193391678654,1951118.9919117168,9.305720338315792,4.374338553469865,9454,0,2340,7372,1157,0.0041566477232286144,0.0006071708685930457,206.38026146728546,0.0009843156693797115,0.0004626971179891967
29,Niviventer_bukit_LSUMZ38136,tip,NA,Niviventer_bukit_LSUMZ38136,NA,NA,NA,50.03096025629203,6.933723624636431,1946163.7910732995,11.881099337260736,5.278651561838097,10070,0,1724,7548,1336,0.004968317801022049,0.0006885524949986526,193.2635343667626,0.0011798509768878584,0.0005241957856840215
30,Berylmys_bowersi_ABTC116431,tip,NA,Berylmys_bowersi_ABTC116431,NA,NA,NA,132.89784595188576,14.985975216427336,1876668.2451678186,31.538583790200654,11.398144110085697,9837,0,1957,5171,1771,0.013509997555340629,0.001523429421208431,190.77648115968472,0.0032061181041171754,0.0011587012412407947
31,Berylmys_mackenziei_ABTC116402,tip,NA,Berylmys_mackenziei_ABTC116402,NA,NA,NA,49.4658386054173,9.144273600226725,1818664.5210151412,11.828447564508412,6.94640139278722,6779,0,5015,4809,804,0.0072969226442568666,0.0013489118749412487,268.27917406920506,0.0017448661402136617,0.0010246941131121434
32,Nesokia_indica_ABTC117074,tip,NA,Nesokia_indica_ABTC117074,NA,NA,NA,79.81682749324419,11.267796103041803,3804189.32199966,18.979754346911356,8.57768614289063,8168,0,3626,2608,2701,0.009771893669594049,0.0013795049097749515,465.743060969596,0.0023236721776336137,0.0010501574611766198
33,Bandicota_indica_ABTC119185,tip,NA,Bandicota_indica_ABTC119185,NA,NA,NA,95.96853846167384,13.183618291133286,4414658.145110091,22.855845092313217,10.031862385399501,8792,0,3002,2495,2919,0.010915438860517953,0.001499501625470119,502.1221730107019,0.002599618413593405,0.0011410216543902981
34,Rattus_exulans_sample1,tip,NA,Rattus_exulans_sample1,NA,NA,NA,133.00742046088754,15.308412343791709,3098607.586435254,31.63988000888976,11.658348111128364,9326,0,2468,1926,3276,0.014262000907236495,0.0016414767685815686,332.2547272609108,0.0033926527995807166,0.0012500909405027197
