node,clade,node.type,branch.length,label,astral,gcf,scf,ds.sum,dn.sum,dn.ds.sum,synonymous.bl.sum,nonsynonymous.bl.sum,num.genes.full,num.genes.partial,num.genes.no.clade,num.genes.no.subs,avg.ds,avg.dn,avg.dn.ds,avg.synonymous.bl,avg.nonsynonymous.bl
1,Lophiomys_imhausi_UM5152,tip,NA,Lophiomys_imhausi_UM5152,NA,NA,NA,745.797673058718,83.95897373822865,1507.8064815548582,179.39256435326672,63.57000513211555,5866,0,5928,25,0.12713905098171122,0.014312815161648253,0.25814183899244275,0.030581753213990235,0.010837027809770805
2,Lophuromys_woosnami_LSUMZ37793,tip,NA,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,1059.2215565840454,103.74383179087647,905.9770133053914,253.49467262680614,78.66325055577427,7042,0,4752,14,0.15041487597046937,0.014732154471865445,0.12890964901898,0.035997539424425753,0.011170583719933864
3,Phloeomys_cumingi_FMNH198472,tip,NA,Phloeomys_cumingi_FMNH198472,NA,NA,NA,150.84218600061604,21.32855873248883,2332601.8397516846,36.13199863252055,16.19229829819407,10407,0,1387,230,0.014494300566985302,0.0020494435219072576,229.20328581622135,0.003471893786155525,0.001555904516017495
4,Phloeomys_pallidus_JEC43,tip,NA,Phloeomys_pallidus_JEC43,NA,NA,NA,87.24788965715445,12.118345278248242,2305732.085426374,20.744152645299884,9.214934912745441,8898,0,2896,212,0.009805337115886091,0.0013619178779779998,265.4538435904184,0.0023313275618453456,0.0010356186685485998
5,Crateromys_heaneyi_KU165014,tip,NA,Crateromys_heaneyi_KU165014,NA,NA,NA,318.94136002038164,41.406589754058615,251998.3812097166,75.98917526739497,31.472956355355574,10125,0,1669,192,0.0315003812365809,0.004089539728795912,25.369815887417356,0.007505103730113084,0.003108440133862279
6,Batomys_russatus_KU165776,tip,NA,Batomys_russatus_KU165776,NA,NA,NA,312.670129775774,38.244418546697744,165244.03359904417,74.62215821811951,29.0536964750795,9678,0,2116,164,0.032307308304998346,0.0039516861486565144,17.368513096388916,0.007710493719582508,0.003002035180314063
7,Carpomys_melanurus_FMNH198723,tip,NA,Carpomys_melanurus_FMNH198723,NA,NA,NA,263.9560187551726,28.184572983004717,345658.4286300959,62.744150226974284,21.436679961322977,10697,0,1097,208,0.024675705221573578,0.002634810973450941,32.95437397560262,0.005865583829762951,0.002003989900095632
8,Musseromys_anacuao_FMNH209523,tip,NA,Musseromys_anacuao_FMNH209523,NA,NA,NA,245.85689566563974,27.553257374587357,328159.6600323265,58.65231849744651,20.934484350752218,10248,0,1546,210,0.02399071971756828,0.0026886472847958,32.69173740110843,0.005723294154707895,0.002042787309792371
9,Maxomys_surifer_JAE3632,tip,NA,Maxomys_surifer_JAE3632,NA,NA,NA,265.11988958928947,29.465885708812543,313613.21207037073,63.08509609834569,22.420271735582908,8984,0,2810,166,0.029510228137721445,0.0032798180886924023,35.56511817536524,0.0070219385683822,0.002495577886863636
10,Maxomys_musschenbroekii_sample1,tip,NA,Maxomys_musschenbroekii_sample1,NA,NA,NA,4014.019443680942,17.15128910846331,316361.2158902834,983.7360494602788,13.040881378727128,4996,0,6798,150,0.8034466460530308,0.00343300422507272,65.28295829349636,0.19690473367899894,0.002610264487335294
