node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,cS,cN,cA,mS,mN,mA
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5860.0,0.0,0.0,0.0,2473.0,130486.0,105913.0,22296.0,2277.0,6115.0,67.0
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7036.0,0.0,0.0,0.0,1297.0,161929.0,130429.0,26988.0,4512.0,6779.0,64.0
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,7724.0,0.0,0.0,0.0,609.0,31794.0,21047.0,5237.0,5510.0,1114.0,16.0
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,6777.0,0.0,0.0,0.0,1556.0,20025.0,11981.0,2835.0,5209.0,1217.0,25.0
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,7546.0,0.0,0.0,0.0,787.0,60975.0,46645.0,10334.0,3996.0,1246.0,10.0
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,7352.0,0.0,0.0,0.0,981.0,65180.0,49645.0,10511.0,5024.0,1652.0,26.0
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,7825.0,0.0,0.0,0.0,508.0,47600.0,39006.0,7036.0,1558.0,619.0,12.0
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,7649.0,0.0,0.0,0.0,684.0,48654.0,37546.0,7335.0,3773.0,1027.0,18.0
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,6707.0,0.0,0.0,0.0,1626.0,61611.0,42353.0,7984.0,11274.0,1919.0,25.0
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,4012.0,0.0,0.0,0.0,4321.0,32651.0,18274.0,4188.0,10189.0,1674.0,20.0
Crunomys_melanius_KU168558,Crunomys_melanius_KU168558,tip,NA,7594.0,0.0,0.0,0.0,739.0,31440.0,22510.0,5399.0,3531.0,956.0,14.0
Crunomys_celebensis_Z21894,Crunomys_celebensis_Z21894,tip,NA,6852.0,0.0,0.0,0.0,1481.0,24094.0,15150.0,3640.0,5304.0,1335.0,18.0
Hyorhinomys_stuempkei_JAE4661,Hyorhinomys_stuempkei_JAE4661,tip,NA,6668.0,0.0,0.0,0.0,1665.0,42008.0,27467.0,6211.0,8330.0,1456.0,24.0
Sommeromys_macrorhinos_Z21740,Sommeromys_macrorhinos_Z21740,tip,NA,6396.0,0.0,0.0,0.0,1937.0,41908.0,26368.0,6454.0,9086.0,1466.0,13.0
Gracilimus_radix_Z08508,Gracilimus_radix_Z08508,tip,NA,7368.0,0.0,0.0,0.0,965.0,34197.0,24651.0,5092.0,4454.0,1025.0,6.0
Waiomys_mamasae_Z20624,Waiomys_mamasae_Z20624,tip,NA,7000.0,0.0,0.0,0.0,1333.0,31188.0,19947.0,4229.0,7012.0,1249.0,16.0
Paucidentomys_vermidax_Z21914,Paucidentomys_vermidax_Z21914,tip,NA,7054.0,0.0,0.0,0.0,1279.0,41186.0,28301.0,5887.0,6998.0,1161.0,12.0
Echiothrix_centrosa_Z27993,Echiothrix_centrosa_Z27993,tip,NA,6244.0,0.0,0.0,0.0,2089.0,39303.0,23199.0,5519.0,10585.0,1430.0,23.0
Tateomys_rhinogradoides_Z21785,Tateomys_rhinogradoides_Z21785,tip,NA,7242.0,0.0,0.0,0.0,1091.0,35971.0,16598.0,4091.0,15282.0,1408.0,17.0
Melasmothrix_naso_Z21808,Melasmothrix_naso_Z21808,tip,NA,7046.0,0.0,0.0,0.0,1287.0,29490.0,16643.0,4136.0,8711.0,1265.0,16.0
Tateomys_macrocercus_Z21834,Tateomys_macrocercus_Z21834,tip,NA,5881.0,0.0,0.0,0.0,2452.0,27953.0,13139.0,2972.0,11842.0,1505.0,18.0
Saxatilomys_paulinae_ABTC116266,Saxatilomys_paulinae_ABTC116266,tip,NA,7570.0,0.0,0.0,0.0,763.0,65529.0,52399.0,9924.0,3206.0,1110.0,14.0
Margaretamys_parvus_NMVZ21833,Margaretamys_parvus_NMVZ21833,tip,NA,7814.0,0.0,0.0,0.0,519.0,28193.0,18124.0,3753.0,6316.0,517.0,4.0
Margaretamys_christinae_TMar1,Margaretamys_christinae_TMar1,tip,NA,7419.0,0.0,0.0,0.0,914.0,28218.0,19702.0,4423.0,4093.0,963.0,18.0
Leopoldomys_sabanus_Z25191,Leopoldomys_sabanus_Z25191,tip,NA,7239.0,0.0,0.0,0.0,1094.0,51975.0,37596.0,7165.0,7214.0,1344.0,30.0
Anonymomys_mindorensis_FMNH2222010,Anonymomys_mindorensis_FMNH2222010,tip,NA,7705.0,0.0,0.0,0.0,628.0,46601.0,34424.0,7062.0,5115.0,881.0,9.0
Niviventer_lepturus_JAE4746,Niviventer_lepturus_JAE4746,tip,NA,6883.0,0.0,0.0,0.0,1450.0,38224.0,26440.0,4971.0,6813.0,1371.0,15.0
Niviventer_rapit_LSUMZ38196,Niviventer_rapit_LSUMZ38196,tip,NA,7189.0,0.0,0.0,0.0,1144.0,12923.0,5329.0,1389.0,6205.0,855.0,16.0
Niviventer_bukit_LSUMZ38136,Niviventer_bukit_LSUMZ38136,tip,NA,7502.0,0.0,0.0,0.0,831.0,14301.0,6392.0,1546.0,6363.0,649.0,10.0
Berylmys_bowersi_ABTC116431,Berylmys_bowersi_ABTC116431,tip,NA,7273.0,0.0,0.0,0.0,1060.0,33441.0,18281.0,3489.0,11671.0,1364.0,19.0
Berylmys_mackenziei_ABTC116402,Berylmys_mackenziei_ABTC116402,tip,NA,5349.0,0.0,0.0,0.0,2984.0,19398.0,8110.0,2305.0,8983.0,1358.0,22.0
Nesokia_indica_ABTC117074,Nesokia_indica_ABTC117074,tip,NA,6369.0,0.0,0.0,0.0,1964.0,21532.0,13090.0,3065.0,5377.0,1041.0,15.0
