node,clade,node.type,branch.length,label,astral,gcf,scf,ds.sum,dn.sum,dn.ds.sum,synonymous.bl.sum,nonsynonymous.bl.sum,num.genes.full,num.genes.partial,num.genes.no.clade,num.genes.no.ds,num.genes.no.dn,avg.ds,avg.dn,avg.dn.ds,avg.synonymous.bl,avg.nonsynonymous.bl,ES.sum,EN.sum,S.sum,N.sum,num.genes.full,num.genes.partial,num.genes.no.clade,avg.ES,avg.EN,avg.S,avg.N,avg.dS,avg.dN,avg.dNdS
1,Lophiomys_imhausi_UM5152,tip,NA,Lophiomys_imhausi_UM5152,NA,NA,NA,745.7976730338572,83.95897364734334,1507.8064815548582,179.39256434736697,63.570005062615316,5866,0,5928,59,695,0.1271390509774731,0.014312815146154678,0.25704167772841086,0.03058175321298448,0.01083702779792283,2177682.2150934963,4789109.375535307,186119.92446962767,72309.11490766174,5866,0,5928,371.2380182566478,816.4182365385795,31.728592647396468,12.326818088588773,0.08546698098539453,0.015098655979135853,0.17666069170872042
2,Lophuromys_woosnami_LSUMZ37793,tip,NA,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,1059.2215565635838,103.74383167397326,905.9770133053914,253.49467262190635,78.66325046637357,7042,0,4752,49,894,0.15041487596756373,0.014732154455264592,0.12865336741059236,0.035997539423729956,0.011170583707238507,2673615.5781601653,5894186.085537896,268171.1029914531,89515.57136752138,7042,0,4752,379.66708011362755,837.0045563104084,38.08166756481867,12.711668754263188,0.10030279041686077,0.015187096245087807,0.15141249991121758
3,Phloeomys_cumingi_FMNH198472,tip,NA,Phloeomys_cumingi_FMNH198472,NA,NA,NA,150.84218461671256,21.328558305682876,1242.4731151687922,36.13199830582253,16.192297973194094,10407,0,1387,3267,3250,0.014494300434007163,0.0020494434808958273,0.11938821131630559,0.003471893754763383,0.0015559044847885167,3454681.535931407,7661648.685285096,52478.86130189253,23866.998588217328,10407,0,1387,331.95748399456204,736.2014687503696,5.042650264427071,2.293360102644117,0.015190650934412063,0.0031151256822903014,0.20506861066983426
4,Phloeomys_pallidus_JEC43,tip,NA,Phloeomys_pallidus_JEC43,NA,NA,NA,87.2478882562102,12.118344886998711,936.2723665545914,20.7441523144012,9.214934614645417,8898,0,2896,3309,2981,0.009805336958441246,0.0013619178340074974,0.10522278787981472,0.002331327524657361,0.0010356186350466865,2801588.259032533,6210427.074760503,30027.019604700876,13921.35988247864,8898,0,2896,314.85595179057464,697.9576393302431,3.3745807602495925,1.564549323722032,0.01071785602609216,0.002241610716122208,0.20914730620238817
5,Crateromys_heaneyi_KU165014,tip,NA,Crateromys_heaneyi_KU165014,NA,NA,NA,318.94135967770944,41.40658940085787,1783.1231004637882,75.98917518699437,31.47295608575788,10125,0,1669,804,2696,0.03150038120273674,0.0040895396939118886,0.17611092350259636,0.007505103722172284,0.003108440107235346,3712226.230866145,8229598.466694387,96515.69471153841,38459.39503205129,10125,0,1669,366.63962773986617,812.7998485624086,9.53241429249762,3.798458768597658,0.025999410787262055,0.004673301521052146,0.17974643961322948
6,Batomys_russatus_KU165776,tip,NA,Batomys_russatus_KU165776,NA,NA,NA,312.6701294723889,38.24441820064668,1574.2869804646532,74.62215814681912,29.053696211181656,9678,0,2116,713,2639,0.032307308273650436,0.003951686112900049,0.16266656132100157,0.007710493712215242,0.003002035153046255,3631266.364527459,8041214.504411401,98680.72889036252,37972.12212643679,9678,0,2116,375.2083451671274,830.8756462504031,10.196396868192036,3.9235505400327333,0.027175293405721827,0.004722187438925467,0.17376767081864142
7,Carpomys_melanurus_FMNH198723,tip,NA,Carpomys_melanurus_FMNH198723,NA,NA,NA,263.95601830777275,28.184572510129303,1476.0005919162368,62.744150121873886,21.43667960072461,10697,0,1097,1051,3606,0.024675705179748784,0.0026348109292445828,0.13798266728206382,0.0058655838199377286,0.0020039898663853986,3926147.877147593,8706261.935986754,77421.37465659341,25637.76087454212,10697,0,1097,367.03261448514473,813.8975353825141,7.237671745030702,2.3967243969843994,0.019719423995012954,0.0029447495449878604,0.1493324321102172
8,Musseromys_anacuao_FMNH209523,tip,NA,Musseromys_anacuao_FMNH209523,NA,NA,NA,245.85689522682756,27.553256937815966,1483.7600547002178,58.65231839444618,20.934484017753597,10248,0,1546,1030,3330,0.023990719674748983,0.002688647242175641,0.14478532930329993,0.005723294144657122,0.0020427872772983604,3778806.899060942,8373951.943640656,77034.6860119048,27580.81398809523,10248,0,1546,368.73603620813253,817.130361401313,7.51704586376901,2.691336259572134,0.020385981096585917,0.0032936436910222114,0.16156414917768194
9,Maxomys_surifer_JAE3632,tip,NA,Maxomys_surifer_JAE3632,NA,NA,NA,265.11988921271507,29.4658853399565,1316.0010340708734,63.085096010145335,22.420271454184295,8984,0,2810,882,2814,0.02951022809580533,0.0032798180476354072,0.1464827508983608,0.007021938558564708,0.00249557785554144,3250894.3598889397,7213043.765584193,90377.56806318685,31823.747138278362,8984,0,2810,361.85378004106633,802.8766435423189,10.05983616019444,3.542269271847547,0.02780083203511861,0.00441197200135121,0.15869927906394715
10,Maxomys_musschenbroekii_sample1,tip,NA,Maxomys_musschenbroekii_sample1,NA,NA,NA,4014.0194433579913,17.151288911273568,825.1054159250081,983.7360493842618,13.040881228227116,4996,0,6798,760,1505,0.803446645988389,0.003433004185603196,0.1651532057496013,0.1969047336637834,0.0026102644572111922,1612185.5009011747,3578670.400149746,41837.2938560482,18479.497984295405,4996,0,6798,322.6952563853432,716.3071257305336,8.37415809768779,3.698858683806126,0.02595066996487818,0.005163788758954205,0.19898479561194038
