node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,ES,EN,S,N,avg.ES,avg.EN,avg.S,avg.N,dS,dN,dNdS
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,577.0,0.0,0.0,0.0,495.0,268312.3819926366,592578.4917645585,22837.448908730155,7466.705853174603,465.01279374807035,1026.9991191760112,39.579634157244634,12.940564736871064,0.08511515100095862,0.012600365954796166,0.14803904835525997
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,669.0,0.0,0.0,0.0,403.0,311297.3624890017,688309.3038729933,30091.471153846156,7743.291666666666,465.31743271898614,1028.862935535117,44.979777509486034,11.574427005480816,0.09666471605556666,0.011249726864211407,0.11637883317988151
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,956.0,0.0,0.0,0.0,116.0,423987.1596684496,941858.4130884742,6235.0,2177.9166666666665,443.5012130423113,985.2075450716258,6.5219665271966525,2.2781555090655505,0.014705634021737024,0.0023123610050102958,0.1572432036314991
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,865.0,0.0,0.0,0.0,207.0,365103.8836686761,812430.3676328905,4316.958333333333,1526.0416666666667,422.0854146458683,939.2258585351335,4.990703275529865,1.7642100192678227,0.011823917866759478,0.0018783661067630511,0.15886156584728084
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,930.0,0.0,0.0,0.0,142.0,445949.47395115846,990625.376298843,11687.919871794875,3508.61858974359,479.51556338834246,1065.1885766654225,12.567655776123521,3.772708161014613,0.02620906751663747,0.003541821836678996,0.13513727012342786
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,892.0,0.0,0.0,0.0,180.0,436409.7076077996,968087.1905068762,11917.010416666664,3804.9062500000005,489.2485511298202,1085.2995409269913,13.359877148729444,4.265589966367713,0.027306932474051318,0.003930334258433693,0.14393173829277717
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,970.0,0.0,0.0,0.0,102.0,465321.0483825795,1033469.5654868725,9147.666666666666,2256.3333333333335,479.7124210129686,1065.4325417390437,9.430584192439863,2.3261168384879727,0.019658828455027463,0.0021832605513355044,0.11105751069195412
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,939.0,0.0,0.0,0.0,133.0,453508.6836498282,1006932.1614982728,9429.5,2477.4999999999995,482.96984414252205,1072.3452199129636,10.042066027689032,2.638445154419595,0.020792325130605187,0.0024604438061781478,0.1183342310551169
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,859.0,0.0,0.0,0.0,213.0,401953.18575439695,893348.4894225796,11427.388621794875,3204.566506410256,467.93153172805233,1039.986600026286,13.303129943882276,3.7305780051341744,0.028429650583183294,0.0035871404545403597,0.12617603034003608
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,402.0,0.0,0.0,0.0,670.0,165741.8225774439,367259.3698467035,4086.8663003663,1284.4102564102566,412.29309098866645,913.5805220067251,10.166334080513185,3.19505038908024,0.024658026784137033,0.0034972838322583247,0.1418314556503034
