node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,ES,EN,S,N,avg.ES,avg.EN,avg.S,avg.N,dS,dN,dNdS
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5866.0,0.0,0.0,0.0,5927.0,2166155.1193658463,4803604.344027211,186465.38280296087,74304.65657432839,369.2729490906659,818.8892506012975,31.787484282809558,12.667005894021205,0.08608126958957105,0.015468521396171732,0.1796967153240707
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7041.0,0.0,0.0,0.0,4752.0,2657823.8075782056,5912448.738537229,268297.1863247862,91501.78803418802,377.4781717906839,839.7171905322012,38.104983145119476,12.9955671118006,0.10094618972100229,0.015476123697746605,0.15331062757811778
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,10406.0,0.0,0.0,0.0,1387.0,3435830.793244246,7687868.321705388,52393.11130189252,24810.49858821733,330.1778582783246,738.7918817706504,5.034894416864551,2.3842493357887116,0.015249037119322425,0.003227227308013212,0.21163482538342793
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,8897.0,0.0,0.0,0.0,2896.0,2794899.1748806736,6251802.403141052,30889.26960470086,15967.109882478635,314.1395048758765,702.6865688592843,3.471874744824195,1.7946622324916977,0.011052015715743898,0.0025540010468751194,0.23108916170259106
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,10124.0,0.0,0.0,0.0,1669.0,3695107.564872066,8265626.62727407,97346.06971153847,40116.520032051296,364.9849431916304,816.4388213427568,9.615376304972191,3.9625167949477773,0.026344583480321183,0.004853415456691317,0.1842282099588597
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,9677.0,0.0,0.0,0.0,2116.0,3616158.943761154,8076667.089125733,99727.68722369589,39530.163793103435,373.68595057984436,834.625099630643,10.305640924221958,4.084960606913654,0.027578347294648912,0.004894365876033949,0.17747132646283026
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,10696.0,0.0,0.0,0.0,1097.0,3906679.45134892,8739747.569226902,78125.70798992676,26611.260874542124,365.2467699466081,817.1042977960828,7.304198577966226,2.487963806520393,0.01999798267629843,0.0030448546326717414,0.15225808932620474
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,10247.0,0.0,0.0,0.0,1546.0,3762803.064676968,8411909.642683512,77937.10267857142,28708.39732142856,367.2102141775122,820.9143791044708,7.6058458747507975,2.801639242844595,0.020712511746947413,0.003412827590985654,0.16477130502961007
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,8983.0,0.0,0.0,0.0,2810.0,3238863.112724031,7252895.928726161,93354.69306318683,34675.622138278384,360.5547270092431,807.402418871887,10.392373712922947,3.86013827655331,0.028823290708532383,0.004780934743726362,0.1658705382418771
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,4996.0,0.0,0.0,0.0,6797.0,1618498.5236955602,3622339.7348487373,45637.9938713107,22130.190826175745,323.9588718365813,725.0479853580339,9.134906699621837,4.429581830699709,0.0281977358663907,0.006109363683718602,0.21666149767011766
