node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,ES,EN,S,N,avg.ES,avg.EN,avg.S,avg.N,dS,dN,dNdS
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5866.0,0.0,0.0,0.0,5928.0,2177682.215093505,4789109.375535318,186119.92446962761,72309.11490766182,371.23801825664935,816.4182365385813,31.728592647396457,12.326818088588785,0.08546698098539415,0.015098655979135836,0.176660691708721
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7042.0,0.0,0.0,0.0,4752.0,2673615.5781601695,5894186.085537861,268171.10299145285,89515.57136752138,379.6670801136282,837.0045563104035,38.08166756481864,12.711668754263188,0.10030279041686052,0.015187096245087897,0.15141249991121886
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,10407.0,0.0,0.0,0.0,1387.0,3454681.5359314084,7661648.685285081,52478.86130189255,23866.998588217342,331.95748399456215,736.2014687503681,5.042650264427073,2.293360102644119,0.015190650934412063,0.0031151256822903096,0.2050686106698348
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,8898.0,0.0,0.0,0.0,2896.0,2801588.2590325284,6210427.074760485,30027.01960470086,13921.359882478635,314.8559517905741,697.9576393302411,3.374580760249591,1.5645493237220314,0.010717856026092171,0.0022416107161222134,0.20914730620238842
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,10697.0,0.0,0.0,0.0,1097.0,3926147.877147608,8706261.935986731,77421.37465659343,25637.760874542113,367.0326144851461,813.897535382512,7.237671745030703,2.3967243969843985,0.01971942399501288,0.002944749544987867,0.1493324321102181
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,10248.0,0.0,0.0,0.0,1546.0,3778806.899060929,8373951.943640668,77034.68601190475,27580.813988095244,368.7360362081313,817.1303614013142,7.517045863769003,2.6913362595721355,0.02038598109658597,0.0032936436910222084,0.1615641491776814
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,10125.0,0.0,0.0,0.0,1669.0,3712226.2308661407,8229598.466694391,96515.69471153842,38459.395032051274,366.6396277398658,812.799848562409,9.532414292497622,3.7984587685976567,0.02599941078726209,0.004673301521052142,0.1797464396132291
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,9678.0,0.0,0.0,0.0,2116.0,3631266.3645274644,8041214.504411373,98680.72889036247,37972.12212643677,375.20834516712796,830.8756462504002,10.19639686819203,3.923550540032731,0.027175293405721772,0.00472218743892548,0.17376767081864225
rnor6,rnor6,tip,NA,9105.0,0.0,0.0,0.0,2689.0,3386417.1242936896,7508537.288697747,44280.403311965805,14933.199252136752,371.92939311298073,824.6608773967871,4.863306239644789,1.640109747626222,0.013075885718361243,0.001988829338919979,0.15209901506918588
Rattus_argentiventer_LSUMZ38199,Rattus_argentiventer_LSUMZ38199,tip,NA,9760.0,0.0,0.0,0.0,2034.0,3090001.0330592003,6847307.144173537,36350.28770604395,14038.586286630036,316.59846650196727,701.5683549358132,3.724414723979913,1.4383797424825857,0.011763843221131871,0.0020502346383827184,0.17428272375305023
Rattus_hoffmanni_LSUMZ39187,Rattus_hoffmanni_LSUMZ39187,tip,NA,10470.0,0.0,0.0,0.0,1324.0,3398310.31797533,7540777.75299697,40896.78125,14084.148237179488,324.5759616022283,720.2271015278864,3.9060918099331423,1.345190853598805,0.012034445775501097,0.0018677315123870283,0.15519879745432305
Rattus_exulans_sample1,Rattus_exulans_sample1,tip,NA,9326.0,0.0,0.0,0.0,2468.0,3307241.8268647483,7316968.09751846,49313.64709249087,18451.523603479855,354.6259732859477,784.5773212007784,5.287759713970713,1.9785034959768233,0.014910807758875017,0.002521744438073697,0.16912192007657917
Tarsomys_apoensis_KU167148,Tarsomys_apoensis_KU167148,tip,NA,9885.0,0.0,0.0,0.0,1909.0,3354791.8191809556,7434516.441210494,30679.88034188034,13950.29273504273,339.38207578967683,752.1008033596859,3.1036803583085826,1.4112587491191433,0.009145092153399426,0.0018764223396849913,0.205183535410027
Limnomys_sibuanus_FMNH147948,Limnomys_sibuanus_FMNH147948,tip,NA,10239.0,0.0,0.0,0.0,1555.0,3488746.492962743,7735056.420360869,32862.75190018315,14949.52264194139,340.7311742321265,755.4503780018429,3.209566549485609,1.460056904184138,0.009419644553271959,0.0019326972977973366,0.20517730651800495
Rattus_xanthurus_LSUMZ39196,Rattus_xanthurus_LSUMZ39196,tip,NA,10397.0,0.0,0.0,0.0,1397.0,3171315.8892495027,7035797.460612684,22560.369238400486,10219.190285409037,305.0222072953258,676.7141926144737,2.1698922033664023,0.9828979787832103,0.007113882699253727,0.0014524565754795251,0.20417212890393782
Rattus_villosissimus_sample1,Rattus_villosissimus_sample1,tip,NA,5659.0,0.0,0.0,0.0,6135.0,983925.1237358678,2180640.9631004143,9326.642062176328,6152.976619142352,173.869080002804,385.3403362962386,1.6481078038834296,1.087290443389707,0.009479016072649896,0.002821636722073729,0.29767189974654507
Rattus_colletti_RAT25,Rattus_colletti_RAT25,tip,NA,9736.0,0.0,0.0,0.0,2058.0,2260480.955517554,5028096.299217089,22503.678342490828,9909.195650183148,232.1775837631013,516.4437447840066,2.3113884903955246,1.0177891998955575,0.009955261196765288,0.0019707648900292706,0.19796214796148404
Rattus_tunneyi_RAT130,Rattus_tunneyi_RAT130,tip,NA,7763.0,0.0,0.0,0.0,4031.0,2268599.9621719816,5020175.769626814,23556.874885531128,12226.851854395603,292.2323795146183,646.6798621186157,3.0345066192877916,1.5750163408985707,0.01038388225263723,0.0024355425816703054,0.23455028884324478
Rattus_lutreolus_sample2,Rattus_lutreolus_sample2,tip,NA,5971.0,0.0,0.0,0.0,5823.0,1600179.9803797887,3539710.9588042027,14664.9888215233,9019.431558671213,267.9919578596196,592.8171091616484,2.4560356425260927,1.5105395341938055,0.009164587109784171,0.002548070072285842,0.2780343556956872
Rattus_leucopus_sample1,Rattus_leucopus_sample1,tip,NA,5268.0,0.0,0.0,0.0,6526.0,1434983.4852326938,3156143.037895894,11327.838735474295,7289.893581059746,272.3962576371856,599.11599048897,2.150311073552448,1.383806678257355,0.007894055124709256,0.002309747528400899,0.29259328594895884
Rattus_praetor_sample1,Rattus_praetor_sample1,tip,NA,4153.0,0.0,0.0,0.0,7641.0,928648.2220982807,2068995.43452482,12351.903869179192,6846.771639220455,223.60901085920557,498.1929772513412,2.9742123450949176,1.6486327086974368,0.013300950322469864,0.0033092251074942234,0.24879614067152842
Rattus_morotaiensis_ASAM29,Rattus_morotaiensis_ASAM29,tip,NA,10629.0,0.0,0.0,0.0,1165.0,3282638.2842786256,7282711.684278778,21606.910714285714,9352.672619047622,308.8379230669513,685.1737401711147,2.0328262973267206,0.8799202765121481,0.006582178370905684,0.0012842294222957197,0.1951070527003987
Kadarsanomys_sodyi_MZB-Sample,Kadarsanomys_sodyi_MZB-Sample,tip,NA,8310.0,0.0,0.0,0.0,3484.0,3043853.009361876,6743822.8723780615,42000.048350332625,18893.27792224538,366.2879674322354,811.5310315737739,5.054157442879979,2.2735593167563635,0.013798316877048428,0.00280156793554441,0.2030369327294133
Nesokia_indica_ABTC117074,Nesokia_indica_ABTC117074,tip,NA,8168.0,0.0,0.0,0.0,3626.0,2711459.5765545275,5997073.338678463,28400.074603174606,15167.40158730158,331.96126059678346,734.2156389175395,3.476992483248605,1.8569296752328084,0.010474091094237444,0.0025291339176192105,0.24146571715522602
Bandicota_indica_ABTC119185,Bandicota_indica_ABTC119185,tip,NA,8792.0,0.0,0.0,0.0,3002.0,3028937.2227352727,6699488.822881954,33150.23101106269,16014.327154909266,344.5106031318554,761.998273758184,3.770499432559451,1.8214657819505535,0.010944509104459576,0.0023903804571197567,0.2184091067314974
Genus_sp-nov_NMVZ21816,Genus_sp-nov_NMVZ21816,tip,NA,10255.0,0.0,0.0,0.0,1539.0,3539657.0772200595,7844212.159408953,32205.28285256411,15564.640224358976,345.16402508240463,764.9158614733255,3.140446889572317,1.517761114028179,0.00909841890047077,0.0019842196906530054,0.21808401133853467
Taeromys_celebensis_NMVZ20637,Taeromys_celebensis_NMVZ20637,tip,NA,9678.0,0.0,0.0,0.0,2116.0,3318912.8311061175,7349343.914749566,30695.14014804639,15066.812232905977,342.9337498559741,759.3866413256424,3.1716408501804496,1.5568105221022914,0.009248552676756023,0.002050089423991718,0.2216659725736457
Paruromys_dominator_JAE4870,Paruromys_dominator_JAE4870,tip,NA,6839.0,0.0,0.0,0.0,4955.0,2105664.7051897715,4673561.210652656,21569.999816849817,11936.713553113552,307.89073039768556,683.36909060574,3.15396985185697,1.7453887341882661,0.010243796062918685,0.0025540937659927656,0.24933079010019335
Lenomys_meyeri_LSUMZ39079,Lenomys_meyeri_LSUMZ39079,tip,NA,10029.0,0.0,0.0,0.0,1765.0,3390082.290194251,7509538.071641986,27966.993623952672,14230.37021335943,338.02794797031123,748.7823383828883,2.788612386474491,1.418922147109326,0.008249650371274666,0.0018949727769670807,0.2297034045909858
Eropeplus_canus_NMVZ21733,Eropeplus_canus_NMVZ21733,tip,NA,9398.0,0.0,0.0,0.0,2396.0,2856531.412767402,6321590.162717548,21385.753311965815,11715.923611111113,303.9509909307727,672.6527093762022,2.275564302188318,1.2466400948192289,0.007486615836388559,0.001853319071553767,0.24755097791257613
Taeromys_hamatus_NMVZ63317,Taeromys_hamatus_NMVZ63317,tip,NA,6902.0,0.0,0.0,0.0,4892.0,2127597.6446493426,4685517.315204932,15707.72669927055,10181.155219385497,308.25813454786186,678.8637083750989,2.2758224716416326,1.4751021760917846,0.007382846441277857,0.002172898857154303,0.29431722228509577
Taeromys_taerae_LSUMZ39224,Taeromys_taerae_LSUMZ39224,tip,NA,9296.0,0.0,0.0,0.0,2498.0,2998178.4091706243,6641085.465262288,21492.329684276454,12140.922412477372,322.5234949624166,714.4024812029139,2.3119975994273294,1.3060372646813008,0.00716846256331417,0.0018281533155962582,0.25502725297780654
Taeromys_punicans_MVZ225815,Taeromys_punicans_MVZ225815,tip,NA,10657.0,0.0,0.0,0.0,1137.0,809726.3675879404,1819631.6800650621,8383.508814102566,4691.651442307692,75.98070447479971,170.74520785071428,0.7866668681713959,0.44024129138666535,0.010353508480989504,0.002578352253209803,0.24903174203643333
Taeromys_callitrichus_LSUMZ37153,Taeromys_callitrichus_LSUMZ37153,tip,NA,10102.0,0.0,0.0,0.0,1692.0,1444525.6320995828,3218532.916924028,9631.825763915205,5829.009243031875,142.99402416349068,318.6035356289872,0.9534573118110479,0.5770153675541353,0.006667812290679523,0.001811076472880288,0.2716147956672187
Bunomys_torajae_NMVZ21736,Bunomys_torajae_NMVZ21736,tip,NA,9159.0,0.0,0.0,0.0,2635.0,3012341.9606633903,6665546.693755973,24919.21305866068,12756.492650572603,328.89419812898683,727.7592197571757,2.720735130326529,1.3927822524918225,0.008272371923263609,0.0019137954074378316,0.23134784378538953
Bunomys_andrewsi_sample1,Bunomys_andrewsi_sample1,tip,NA,4046.0,0.0,0.0,0.0,7748.0,871490.263074828,1941843.4328779706,23492.755998168504,10965.42683623848,215.39551731953236,479.94153061739263,5.806415224460826,2.7101895294707066,0.026956991940770964,0.005646916044094667,0.20947871544799546
Bunomys_chrysocomus_JAE4867,Bunomys_chrysocomus_JAE4867,tip,NA,9657.0,0.0,0.0,0.0,2137.0,3210201.1827365123,7116660.811301058,29806.825785887955,14569.888449302132,332.422199724191,736.9432340583057,3.0865512877589265,1.5087385781611404,0.009285033581751829,0.002047292801444964,0.2204938499596354
Halmaheramys_bokimekot_33262-WD225,Halmaheramys_bokimekot_33262-WD225,tip,NA,9764.0,0.0,0.0,0.0,2030.0,3450819.100340834,7643742.616371277,34650.013113921515,17370.166689034148,353.42268540975357,782.8495100748952,3.548751855174264,1.7790010947392614,0.010041098100592746,0.0022724688102175148,0.22631676211622376
Bullimus_bagobus_JAE1712,Bullimus_bagobus_JAE1712,tip,NA,9049.0,0.0,0.0,0.0,2745.0,3187845.799045462,7068961.809219327,49889.45030946066,22516.13485537451,352.28708133997816,781.1870714133414,5.513255642552841,2.4882456465216607,0.01564989445988858,0.003185210991804908,0.20352923145703983
Papagomys_armandvillei_WAMM32592,Papagomys_armandvillei_WAMM32592,tip,NA,10296.0,0.0,0.0,0.0,1498.0,3661398.7451331737,8115239.408875927,43189.720352564094,20511.452724358973,355.61370873476824,788.1934157804902,4.1948057840485715,1.9921768380302032,0.011795961969444872,0.0025275228112093483,0.21427017294192716
Sundamys_annandalei_YS118,Sundamys_annandalei_YS118,tip,NA,10115.0,0.0,0.0,0.0,1679.0,3533185.2090011346,7832510.721169723,46192.875389194145,17414.569848901097,349.3015530401517,774.3460920583018,4.566769687513015,1.7216579188236378,0.013074003386947641,0.002223370062147884,0.17006038596927192
Sundamys_muelleri_JAE1283,Sundamys_muelleri_JAE1283,tip,NA,7826.0,0.0,0.0,0.0,3968.0,2590374.6541141113,5745112.6817085985,33625.190254884,15124.105715811966,330.99599464785473,734.1058882837463,4.296599828122157,1.9325460919769955,0.012980821211124599,0.002632516811021721,0.2028004829745014
Berylmys_bowersi_ABTC116431,Berylmys_bowersi_ABTC116431,tip,NA,9837.0,0.0,0.0,0.0,1957.0,2107884.361537129,4685841.849718379,44434.97560668498,17617.859741300366,214.28122004037095,476.34866826455004,4.517126726307307,1.790978930700454,0.021080366844356553,0.0037598067340576607,0.17835584939377858
