node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,ES,EN,S,N,avg.ES,avg.EN,avg.S,avg.N,dS,dN,dNdS
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5866.0,0.0,0.0,0.0,5928.0,2177682.2150935023,4789109.375535314,186119.9244696275,72309.11490766174,371.2380182566489,816.4182365385807,31.728592647396436,12.326818088588773,0.08546698098539421,0.015098655979135832,0.17666069170872084
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7042.0,0.0,0.0,0.0,4752.0,2673615.5781601686,5894186.085537853,268171.10299145296,89515.57136752144,379.66708011362806,837.0045563104022,38.08166756481865,12.711668754263197,0.10030279041686059,0.015187096245087928,0.15141249991121905
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,10407.0,0.0,0.0,0.0,1387.0,3454681.535931412,7661648.685285085,52478.86130189254,23866.998588217328,331.9574839945625,736.2014687503685,5.042650264427072,2.293360102644117,0.015190650934412043,0.003115125682290306,0.20506861066983484
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,8898.0,0.0,0.0,0.0,2896.0,2801588.259032529,6210427.074760487,30027.01960470085,13921.359882478631,314.8559517905742,697.9576393302414,3.37458076024959,1.564549323722031,0.010717856026092166,0.002241610716122212,0.20914730620238842
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,10125.0,0.0,0.0,0.0,1669.0,3712226.2308661425,8229598.466694388,96515.6947115384,38459.39503205129,366.63962773986594,812.7998485624087,9.53241429249762,3.798458768597658,0.02599941078726207,0.004673301521052146,0.1797464396132294
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,9678.0,0.0,0.0,0.0,2116.0,3631266.3645274667,8041214.504411379,98680.72889036253,37972.122126436785,375.2083451671282,830.8756462504008,10.196396868192037,3.9235505400327324,0.02717529340572177,0.004722187438925479,0.17376767081864225
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,10697.0,0.0,0.0,0.0,1097.0,3926147.8771476047,8706261.935986727,77421.3746565934,25637.760874542128,367.0326144851458,813.8975353825117,7.2376717450307,2.3967243969844,0.01971942399501289,0.00294474954498787,0.14933243211021818
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,10248.0,0.0,0.0,0.0,1546.0,3778806.8990609306,8373951.943640667,77034.68601190475,27580.813988095244,368.7360362081314,817.1303614013141,7.517045863769003,2.6913362595721355,0.020385981096585962,0.0032936436910222084,0.16156414917768144
Maxomys_surifer_JAE3632,Maxomys_surifer_JAE3632,tip,NA,8984.0,0.0,0.0,0.0,2810.0,3250894.3598889387,7213043.7655841885,90377.5680631868,31823.747138278373,361.8537800410662,802.8766435423184,10.059836160194434,3.542269271847548,0.027800832035118607,0.004411972001351214,0.15869927906394732
Maxomys_musschenbroekii_sample1,Maxomys_musschenbroekii_sample1,tip,NA,4996.0,0.0,0.0,0.0,6798.0,1612185.5009011677,3578670.400149748,41837.293856048156,18479.49798429539,322.69525638534185,716.307125730534,8.374158097687781,3.6988586838061233,0.025950669964878267,0.005163788758954198,0.19898479561193946
Crunomys_melanius_KU168558,Crunomys_melanius_KU168558,tip,NA,10279.0,0.0,0.0,0.0,1515.0,3508549.4080466097,7775311.718239221,48203.21073717951,22131.640544871803,341.3317840302179,756.4268623639674,4.689484457357672,2.1530927663072092,0.013738786356158718,0.002846399134449581,0.2071798090938083
Crunomys_celebensis_Z21894,Crunomys_celebensis_Z21894,tip,NA,9142.0,0.0,0.0,0.0,2652.0,3109299.8763641864,6895138.272611635,33828.68630189256,17842.51259920636,340.11155943603,754.2264572972691,3.7003594729700895,1.951707788143334,0.010879840365043731,0.0025876946761284087,0.23784307391517573
Hyorhinomys_stuempkei_JAE4661,Hyorhinomys_stuempkei_JAE4661,tip,NA,8872.0,0.0,0.0,0.0,2922.0,3195504.140624893,7083320.525318882,55125.08250836806,25233.604570070736,360.17855507494284,798.39050105037,6.213377198869258,2.844184464615728,0.017250824934806105,0.003562397674914584,0.20650593165124045
Sommeromys_macrorhinos_Z21740,Sommeromys_macrorhinos_Z21740,tip,NA,8423.0,0.0,0.0,0.0,3371.0,2993686.1096436875,6643258.645669137,54223.067826617844,26126.40891330893,355.4180350995711,788.7045762399546,6.437500632389629,3.1017937686464356,0.01811247600473102,0.003932770091729187,0.217130451446944
Gracilimus_radix_Z08508,Gracilimus_radix_Z08508,tip,NA,10010.0,0.0,0.0,0.0,1784.0,3559873.131774711,7893429.540631485,49807.369162087925,21050.31398809524,355.6316814959751,788.554399663485,4.975761155053739,2.102928470339185,0.013991332645401706,0.0026668147070596625,0.19060476758345954
Waiomys_mamasae_Z20624,Waiomys_mamasae_Z20624,tip,NA,9407.0,0.0,0.0,0.0,2387.0,3285132.420163301,7286819.287355072,42865.88367331902,19188.24787903667,349.2221133372277,774.6166989853377,4.556807023845968,2.0397839777864006,0.013048449252827438,0.002633281699785574,0.20180801938705278
Paucidentomys_vermidax_Z21914,Paucidentomys_vermidax_Z21914,tip,NA,9455.0,0.0,0.0,0.0,2339.0,3396823.0872260276,7530997.541238529,55933.54519546544,23400.201141530888,359.2620927790616,796.5095231346937,5.915763637807027,2.4749022888980314,0.016466428706813478,0.003107184806978778,0.1886981604999199
Echiothrix_centrosa_Z27993,Echiothrix_centrosa_Z27993,tip,NA,8231.0,0.0,0.0,0.0,3563.0,2860878.5928055914,6342947.481884988,51287.93406435517,22804.2152346217,347.57363537912664,770.6168730269698,6.231069622689244,2.7705279109004617,0.017927336795532586,0.0035952079533606318,0.2005433374943088
Tateomys_rhinogradoides_Z21785,Tateomys_rhinogradoides_Z21785,tip,NA,9751.0,0.0,0.0,0.0,2043.0,3320612.705987732,7367489.451149303,45197.39926871502,20849.791131689206,340.54073489772657,755.5624501229928,4.635155293684239,2.1382208113720855,0.01361116253853243,0.0028299723087403554,0.2079155473111767
Melasmothrix_naso_Z21808,Melasmothrix_naso_Z21808,tip,NA,9448.0,0.0,0.0,0.0,2346.0,3233658.519707435,7172997.462974221,35163.851604932424,18262.2991529304,342.2585224076455,759.2080295273308,3.7218301868048713,1.9329275140696869,0.010874324357574365,0.002545978755352591,0.23412753488259008
Tateomys_macrocercus_Z21834,Tateomys_macrocercus_Z21834,tip,NA,7764.0,0.0,0.0,0.0,4030.0,2507243.2943436494,5567843.678876398,33612.54142299273,16168.802267799249,322.93190292937265,717.1359710041729,4.329281481580722,2.082535067980326,0.013406174621674231,0.0029039612460998805,0.21661371181939887
Saxatilomys_paulinae_ABTC116266,Saxatilomys_paulinae_ABTC116266,tip,NA,10188.0,0.0,0.0,0.0,1606.0,3803619.035845883,8426208.307993956,98055.12045940169,32704.42441239316,373.34305416626256,827.0718794654452,9.624570127542372,3.210092698507377,0.025779427312597646,0.003881274140987759,0.15055703503122797
Margaretamys_parvus_NMVZ21833,Margaretamys_parvus_NMVZ21833,tip,NA,10677.0,0.0,0.0,0.0,1117.0,3721476.76198188,8252737.500939728,42382.14037698412,15896.294604700855,348.5507878600618,772.9453499053786,3.9694802263729625,1.488835309984158,0.011388527481873467,0.0019261844452087282,0.16913375748309312
Margaretamys_christinae_TMar1,Margaretamys_christinae_TMar1,tip,NA,9902.0,0.0,0.0,0.0,1892.0,3541410.5254210965,7842176.517237758,39282.72257326009,17310.406547619044,357.64598317724665,791.979046378283,3.9671503305655516,1.7481727476892592,0.0110923944827292,0.002207347221727199,0.1989964588046365
Leopoldomys_sabanus_Z25191,Leopoldomys_sabanus_Z25191,tip,NA,9729.0,0.0,0.0,0.0,2065.0,3537385.890795955,7839267.137583584,74266.14663461538,26744.648237179477,363.59193039325265,805.7628880238034,7.6334820263763365,2.748961685392073,0.020994640937493134,0.0034116260828717447,0.1624998537974096
Anonymomys_mindorensis_FMNH2222010,Anonymomys_mindorensis_FMNH2222010,tip,NA,10431.0,0.0,0.0,0.0,1363.0,3845228.7619697647,8524177.520968452,70327.08154419815,26464.211546619088,368.6347197746874,817.1965795195525,6.742122667452608,2.5370732956206585,0.018289440212179278,0.0031046058674306476,0.16974854513935494
Niviventer_lepturus_JAE4746,Niviventer_lepturus_JAE4746,tip,NA,9139.0,0.0,0.0,0.0,2655.0,3316572.41528875,7345848.189177979,54614.45687707884,20706.153979306127,362.9032077129609,803.7912451228776,5.9759773363692785,2.2656914300586637,0.016467138370118765,0.0028187560436942825,0.17117461336264664
Niviventer_rapit_LSUMZ38196,Niviventer_rapit_LSUMZ38196,tip,NA,9454.0,0.0,0.0,0.0,2340.0,1225105.9558243093,2734251.571189367,13399.104166666666,7054.344551282051,129.58599067318693,289.2163709741239,1.4172947077074958,0.7461756453651418,0.010937098218293384,0.0025799910387227076,0.2358935603602257
Niviventer_bukit_LSUMZ38136,Niviventer_bukit_LSUMZ38136,tip,NA,10070.0,0.0,0.0,0.0,1724.0,1348375.9164853035,3009935.4002712886,17004.629731379726,7805.4169719169695,133.90028962118208,298.9012314072779,1.6886424758073213,0.7751158859897685,0.012611193602229447,0.0025932174395548353,0.20562823166051453
Berylmys_bowersi_ABTC116431,Berylmys_bowersi_ABTC116431,tip,NA,9837.0,0.0,0.0,0.0,1957.0,2107884.361537129,4685841.849718374,44434.975606684995,17617.859741300374,214.28122004037095,476.3486682645496,4.517126726307309,1.7909789307004547,0.02108036684435656,0.0037598067340576663,0.17835584939377877
