node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,total subs,total mns,S,N,A,mS,mN,mA
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5860.0,0.0,0.0,0.0,2473.0,218005.0,10007.0,148638.0,58324.0,11043.0,878.0,8005.0,1124.0
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7036.0,0.0,0.0,0.0,1297.0,266327.0,11230.0,182940.0,66470.0,16917.0,1093.0,8821.0,1316.0
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,7724.0,0.0,0.0,0.0,609.0,58857.0,1865.0,27612.0,10735.0,20510.0,106.0,918.0,841.0
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,6777.0,0.0,0.0,0.0,1556.0,39814.0,2017.0,15501.0,5970.0,18343.0,142.0,1169.0,706.0
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,7825.0,0.0,0.0,0.0,508.0,70642.0,1003.0,51912.0,14236.0,4494.0,87.0,789.0,127.0
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,7649.0,0.0,0.0,0.0,684.0,77591.0,1702.0,50015.0,14844.0,12732.0,141.0,1110.0,451.0
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,7546.0,0.0,0.0,0.0,787.0,96370.0,2018.0,62357.0,20758.0,13255.0,125.0,1480.0,413.0
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,7352.0,0.0,0.0,0.0,981.0,103051.0,2815.0,66007.0,20968.0,16076.0,230.0,1943.0,642.0
rnor6,rnor6,tip,NA,6851.0,0.0,0.0,0.0,1482.0,40932.0,992.0,31775.0,9051.0,106.0,50.0,871.0,71.0
Rattus_argentiventer_LSUMZ38199,Rattus_argentiventer_LSUMZ38199,tip,NA,7399.0,0.0,0.0,0.0,934.0,52077.0,1299.0,15835.0,5115.0,31127.0,67.0,585.0,647.0
