node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,ES,EN,S,N,avg.ES,avg.EN,avg.S,avg.N,dS,dN,dNdS
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5866.0,0.0,0.0,0.0,5909.0,2177908.88743509,4789121.4687973475,186169.42446962756,72312.11490766174,371.27665997870605,816.4202981243347,31.737031106312234,12.327329510341245,0.08548081397880614,0.015099244272419945,0.17663898563440925
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7042.0,0.0,0.0,0.0,4733.0,2673882.770300328,5893929.611661149,268199.43632478645,89553.73803418809,379.70502276346605,836.9681357087687,38.085691042997226,12.717088616044887,0.10030336382124283,0.015194232699522891,0.15148278303608564
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,10407.0,0.0,0.0,0.0,1368.0,3456393.1128082257,7664413.628151125,52477.69463522589,23869.665254884003,332.1219479973312,736.4671498175387,5.042538160394532,2.293616340432786,0.015182791112724208,0.003114349826738415,0.20512366952927244
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,8898.0,0.0,0.0,0.0,2877.0,2801448.041349389,6209155.683100325,30060.269604700854,13935.109882478631,314.8401934535164,697.8147542257052,3.3783175550349354,1.5660946147986774,0.010730261336641301,0.0022442841818906723,0.20915466189317994
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,10697.0,0.0,0.0,0.0,1078.0,3926241.3094916446,8705199.81521626,77410.87465659344,25639.260874542113,367.04134892882536,813.7982439203759,7.236690161409128,2.3968646232160524,0.019716280420526755,0.00294528114446333,0.14938320421721013
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,10247.0,0.0,0.0,0.0,1528.0,3779190.5923084985,8373563.676678046,77025.37351190472,27572.12648809524,368.8094654346149,817.1722139824384,7.516870646228625,2.690751096720527,0.020381447198950128,0.0032927589199433466,0.16155667886591293
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,10125.0,0.0,0.0,0.0,1650.0,3713052.9484231207,8230299.559101175,96538.69471153842,38460.89503205127,366.7212788566045,812.8690922569061,9.534685897435894,3.798606916745804,0.02599981633780283,0.0046730856824671345,0.17973533434821345
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,9677.0,0.0,0.0,0.0,2098.0,3631618.322363334,8040958.869535452,98726.08305702917,37976.76795977011,375.2834889287314,830.9350903725795,10.202137341844495,3.9244360814064394,0.02718514840865259,0.004722915335837819,0.17373145310233407
Rattus_argentiventer_LSUMZ38199,Rattus_argentiventer_LSUMZ38199,tip,NA,9760.0,0.0,0.0,0.0,2015.0,3111817.506809161,6894723.427298249,37112.246039377285,14276.1279532967,318.8337609435616,706.4265806658042,3.802484225346033,1.4627180280017111,0.011926228308109224,0.0020705874722651368,0.17361628662242223
Rattus_hoffmanni_LSUMZ39187,Rattus_hoffmanni_LSUMZ39187,tip,NA,10470.0,0.0,0.0,0.0,1305.0,3409851.1868870524,7565715.194079657,41993.94791666665,14503.981570512819,325.6782413454682,722.608901058229,4.010883277618591,1.3852895482820267,0.012315478188068402,0.0019170668203136315,0.15566320617342672
Rattus_exulans_sample1,Rattus_exulans_sample1,tip,NA,9325.0,0.0,0.0,0.0,2450.0,3314653.0932903714,7332673.943732557,50153.355425824215,18730.14860347986,355.45877676036156,786.3457312313734,5.378375916978468,2.008595024501862,0.015130800724620705,0.0025543408512646395,0.16881729511566684
Tarsomys_apoensis_KU167148,Tarsomys_apoensis_KU167148,tip,NA,9885.0,0.0,0.0,0.0,1890.0,3355907.942344921,7435744.117807673,30740.797008546993,13991.376068376067,339.494986580164,752.2249992723999,3.109842894137278,1.4154148779338458,0.00916020270420977,0.0018816376473833301,0.20541441146477935
Limnomys_sibuanus_FMNH147948,Limnomys_sibuanus_FMNH147948,tip,NA,10239.0,0.0,0.0,0.0,1536.0,3491860.273721181,7741554.19972912,32941.33523351648,15002.439308608056,341.0352840825453,756.0849887419787,3.2172414526337025,1.4652250521152512,0.0094337495350041,0.0019379105179077602,0.20542314704424872
Rattus_xanthurus_LSUMZ39196,Rattus_xanthurus_LSUMZ39196,tip,NA,10397.0,0.0,0.0,0.0,1378.0,3176636.365939165,7046746.678035916,22634.36923840049,10240.190285409031,305.53393920738336,677.7673057647318,2.177009641088823,0.9849177921909235,0.007125262897917084,0.0014531798506858202,0.20394754151606473
Rattus_villosissimus_sample1,Rattus_villosissimus_sample1,tip,NA,5659.0,0.0,0.0,0.0,6116.0,985368.2194682728,2183403.577788895,9372.017062176326,6174.101619142354,174.12408896771032,385.8285170151785,1.6561260049790292,1.091023435084353,0.009511182598555575,0.002827741825629318,0.29730706947617175
Rattus_colletti_RAT25,Rattus_colletti_RAT25,tip,NA,9736.0,0.0,0.0,0.0,2039.0,2261046.318805595,5028283.076970361,22588.053342490854,9939.820650183154,232.23565312300687,516.4629290232499,2.3200547804530456,1.0209347422127315,0.009990088727781156,0.0019767822332254392,0.19787434196938225
Rattus_tunneyi_RAT130,Rattus_tunneyi_RAT130,tip,NA,7763.0,0.0,0.0,0.0,4012.0,2269619.0050052986,5021548.212818787,23563.291552197803,12223.93518772894,292.36364871896154,646.8566550069287,3.035333189771712,1.574640627042244,0.010382047163084445,0.0024342960914970836,0.23447168494405765
Rattus_lutreolus_sample2,Rattus_lutreolus_sample2,tip,NA,5971.0,0.0,0.0,0.0,5804.0,1601186.6930271888,3541470.9945990043,14669.988821523304,9013.931558671213,268.1605582025103,593.1118731534089,2.4568730231993476,1.509618415453226,0.009161947751257137,0.0025452507086513206,0.2778067260099884
Rattus_leucopus_sample1,Rattus_leucopus_sample1,tip,NA,5268.0,0.0,0.0,0.0,6507.0,1436286.7066812243,3158670.993003662,11352.567902140963,7309.16441439308,272.64364211868343,599.5958604790551,2.1550052965339717,1.3874647711452315,0.00790410984751988,0.0023139999166049913,0.2927590786622315
Rattus_praetor_sample1,Rattus_praetor_sample1,tip,NA,4153.0,0.0,0.0,0.0,7622.0,928821.3382089791,2069210.609708261,12399.903869179192,6878.271639220456,223.65069545123504,498.24478923868554,2.9857702550395357,1.6562175870985927,0.013350149656434024,0.003324104181057832,0.24899377659454178
Rattus_morotaiensis_ASAM29,Rattus_morotaiensis_ASAM29,tip,NA,10629.0,0.0,0.0,0.0,1146.0,3284659.621562116,7286098.241342938,21661.535714285717,9364.047619047618,309.02809498185303,685.49235500451,2.0379655390239644,0.8809904618541367,0.006594758121081642,0.001285193708467165,0.19488109872578213
Kadarsanomys_sodyi_MZB-Sample,Kadarsanomys_sodyi_MZB-Sample,tip,NA,8310.0,0.0,0.0,0.0,3465.0,3045200.3210286205,6746052.066402496,42219.54835033262,18970.27792224539,366.45009880007467,811.7992859690128,5.080571401965417,2.2828252614013707,0.013864292624293275,0.0028120562568325646,0.20282724355552237
Nesokia_indica_ABTC117074,Nesokia_indica_ABTC117074,tip,NA,8168.0,0.0,0.0,0.0,3607.0,2713847.8356911233,6001439.544328717,28448.532936507934,15194.443253968251,332.2536527535655,734.7501890706068,3.4829251881131165,1.8602403592027732,0.010482729562935528,0.002531799769328145,0.2415210422178585
Bandicota_indica_ABTC119185,Bandicota_indica_ABTC119185,tip,NA,8792.0,0.0,0.0,0.0,2983.0,3028478.768230291,6697523.535442039,33179.68359726958,16063.253879047192,344.4584586249194,761.7747424297133,3.773849362746767,1.82703069597898,0.01095589110458196,0.0023983870745721853,0.21891300777616662
