node,clade,node.type,branch.length,label,astral,gcf,scf,ds.sum,dn.sum,dn.ds.sum,synonymous.bl.sum,nonsynonymous.bl.sum,num.genes.full,num.genes.partial,num.genes.no.clade,num.genes.no.ds,num.genes.no.dn,avg.ds,avg.dn,avg.dn.ds,avg.synonymous.bl,avg.nonsynonymous.bl
1,Lophiomys_imhausi_UM5152,tip,0.0913526,Lophiomys_imhausi_UM5152,NA,NA,NA,745.7976730338572,83.95897364734334,1507.8064815548582,179.39256434736697,63.570005062615316,5866,0,5928,59,695,0.1271390509774731,0.014312815146154678,0.25704167772841086,0.03058175321298448,0.01083702779792283
2,Lophuromys_woosnami_LSUMZ37793,tip,0.0969014,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,1059.2215565635838,103.74383167397326,905.9770133053914,253.49467262190635,78.66325046637357,7042,0,4752,49,894,0.15041487596756373,0.014732154455264592,0.12865336741059236,0.035997539423729956,0.011170583707238507
3,Phloeomys_cumingi_FMNH198472,tip,0.00488693,Phloeomys_cumingi_FMNH198472,NA,NA,NA,150.84218461671256,21.328558305682876,1242.4731151687922,36.13199830582253,16.192297973194094,10407,0,1387,3267,3250,0.014494300434007163,0.0020494434808958273,0.11938821131630559,0.003471893754763383,0.0015559044847885167
4,Phloeomys_pallidus_JEC43,tip,0.00602685,Phloeomys_pallidus_JEC43,NA,NA,NA,87.2478882562102,12.118344886998711,936.2723665545914,20.7441523144012,9.214934614645417,8898,0,2896,3309,2981,0.009805336958441246,0.0013619178340074974,0.10522278787981472,0.002331327524657361,0.0010356186350466865
5,Carpomys_melanurus_FMNH198723,tip,0.014042,Carpomys_melanurus_FMNH198723,NA,NA,NA,263.95601830777275,28.184572510129303,1476.0005919162368,62.744150121873886,21.43667960072461,10697,0,1097,1051,3606,0.024675705179748784,0.0026348109292445828,0.13798266728206382,0.0058655838199377286,0.0020039898663853986
6,Musseromys_anacuao_FMNH209523,tip,0.0148519,Musseromys_anacuao_FMNH209523,NA,NA,NA,245.85689522682756,27.553256937815966,1483.7600547002178,58.65231839444618,20.934484017753597,10248,0,1546,1030,3330,0.023990719674748983,0.002688647242175641,0.14478532930329993,0.005723294144657122,0.0020427872772983604
7,Crateromys_heaneyi_KU165014,tip,0.0196026,Crateromys_heaneyi_KU165014,NA,NA,NA,318.94135967770944,41.40658940085787,1783.1231004637882,75.98917518699437,31.47295608575788,10125,0,1669,804,2696,0.03150038120273674,0.0040895396939118886,0.17611092350259636,0.007505103722172284,0.003108440107235346
8,Batomys_russatus_KU165776,tip,0.0211216,Batomys_russatus_KU165776,NA,NA,NA,312.6701294723889,38.24441820064668,1574.2869804646532,74.62215814681912,29.053696211181656,9678,0,2116,713,2639,0.032307308273650436,0.003951686112900049,0.16266656132100157,0.007710493712215242,0.003002035153046255
9,rnor6,tip,0.0115068,rnor6,NA,NA,NA,141.13313796422227,14.681221265671924,1065.0635593853742,33.658000110436944,11.145777359562697,9105,0,2689,1513,3481,0.015500619216279217,0.001612435064873358,0.11697567922958531,0.00369665020433135,0.0012241380955038657
10,Rattus_argentiventer_LSUMZ38199,tip,0.00665828,Rattus_argentiventer_LSUMZ38199,NA,NA,NA,73.3545616726205,9.943287999917406,981.426700905722,17.446255673570484,7.571997092357022,9760,0,2034,3672,3353,0.007515836236948822,0.0010187795081882587,0.10055601443706168,0.0017875261960625497,0.000775819374216908
11,Rattus_hoffmanni_LSUMZ39187,tip,0.00590301,Rattus_hoffmanni_LSUMZ39187,NA,NA,NA,87.8553954620979,9.706368348070585,968.1946389973884,20.92848075779606,7.38854238280958,10470,0,1324,3354,4110,0.00839115524948404,0.0009270647896915554,0.09247322244483175,0.001998899785844896,0.000705686951557744
12,Rattus_exulans_sample1,tip,0.0123947,Rattus_exulans_sample1,NA,NA,NA,133.00742046088754,15.308412343791709,1189.7269834850226,31.63988000888976,11.658348111128364,9326,0,2468,1926,3276,0.014262000907236495,0.0016414767685815686,0.12757098257398913,0.0033926527995807166,0.0012500909405027197
13,Tarsomys_apoensis_KU167148,tip,0.00722373,Tarsomys_apoensis_KU167148,NA,NA,NA,88.25728443883249,12.304608082967308,1181.8765636553414,21.035440026683,9.358445956901154,9885,0,1909,3064,3397,0.008928405102562719,0.0012447757291823276,0.11956262657110181,0.0021280161888399592,0.0009467320138493833
14,Limnomys_sibuanus_FMNH147948,tip,0.00710554,Limnomys_sibuanus_FMNH147948,NA,NA,NA,93.94429512222617,13.557277095220647,1334.7617763523415,22.31220706849075,10.314266909487047,10239,0,1555,3024,3377,0.009175143580645197,0.0013240821462272337,0.13036056024536982,0.002179139278102427,0.0010073510020008837
15,Rattus_xanthurus_LSUMZ39196,tip,0.0045968,Rattus_xanthurus_LSUMZ39196,NA,NA,NA,53.01558208912059,8.03930893911373,1025.031106877305,12.609200636942399,6.124796756044213,10397,0,1397,4502,3335,0.00509912302482645,0.0007732335230464296,0.09858912252354575,0.0012127729765261516,0.0005890926955895175
16,Rattus_villosissimus_sample1,tip,0.00613934,Rattus_villosissimus_sample1,NA,NA,NA,21.610179502975004,4.635039491633449,332.0986478064617,5.1318033877894536,3.533455048455777,5659,0,6135,3933,1069,0.003818727602575544,0.0008190562805501766,0.05868504113915209,0.0009068392627300677,0.0006243956615048201
17,Rattus_colletti_RAT25,tip,0.00230085,Rattus_colletti_RAT25,NA,NA,NA,37.16773990469477,5.562450437330416,581.0133634075441,8.815262991921582,4.237910862915211,9736,0,2058,5833,2360,0.003817557508699134,0.0005713281057241594,0.05967680396544209,0.000905429641733934,0.0004352825454925237
18,Rattus_tunneyi_RAT130,tip,0.00615136,Rattus_tunneyi_RAT130,NA,NA,NA,2291.867484297484,7.719199575897394,721.6396128862368,584.6473175268428,5.87167897132458,7763,0,4031,3738,2239,0.29522961281688576,0.0009943577967148518,0.0929588577722835,0.07531203368888868,0.0007563672512333608
19,Rattus_lutreolus_sample2,tip,0.00764097,Rattus_lutreolus_sample2,NA,NA,NA,37.40978879754022,6.510315603401466,505.5148358546535,8.887893089811122,4.952068300403848,5971,0,5823,3057,1636,0.006265246825915295,0.001090322492614548,0.0846616707175772,0.0014885099798712313,0.0008293532574784539
20,Rattus_leucopus_sample1,tip,0.00680641,Rattus_leucopus_sample1,NA,NA,NA,35.379543150854246,6.126296859102168,564.0109794247795,8.422761353149438,4.665745237017884,5268,0,6526,2387,1583,0.0067159345388865315,0.0011629265108394396,0.1070635875901252,0.0015988537116836442,0.0008856767724027874
21,Rattus_praetor_sample1,tip,0.00779691,Rattus_praetor_sample1,NA,NA,NA,39.47089949014612,5.363398115236337,417.12249424655477,9.053125000838993,4.089470703755909,4153,0,7641,2384,928,0.009504189619587315,0.0012914515086049452,0.10043883800783886,0.002179900072438958,0.0009847027940659545
22,Rattus_morotaiensis_ASAM29,tip,0.00427482,Rattus_morotaiensis_ASAM29,NA,NA,NA,58.730243375466,7.9203294251999345,940.8927702680539,13.998371471283434,6.020045929435431,10629,0,1165,4412,3618,0.005525472139944115,0.0007451622377646001,0.08852128801091862,0.0013169979745303823,0.0005663793329038886
23,Kadarsanomys_sodyi_MZB-Sample,tip,0.0142425,Kadarsanomys_sodyi_MZB-Sample,NA,NA,NA,128.58270508587532,16.442349640566547,1211.0456332387496,30.638632339625193,12.507451578128451,8310,0,3484,1570,2753,0.015473249709491614,0.0019786220987444703,0.14573352987229238,0.003686959366982574,0.0015051084931562517
24,Nesokia_indica_ABTC117074,tip,0.0073314,Nesokia_indica_ABTC117074,NA,NA,NA,79.81682749324419,11.267796103041803,993.0729629877711,18.979754346911356,8.57768614289063,8168,0,3626,2608,2701,0.009771893669594049,0.0013795049097749515,0.12158092103180351,0.0023236721776336137,0.0010501574611766198
25,Bandicota_indica_ABTC119185,tip,0.00728978,Bandicota_indica_ABTC119185,NA,NA,NA,95.96853846167384,13.183618291133286,1244.6824225935677,22.855845092313217,10.031862385399501,8792,0,3002,2495,2919,0.010915438860517953,0.001499501625470119,0.1415698842804331,0.002599618413593405,0.0011410216543902981
26,Genus_sp-nov_NMVZ21816,tip,0.00846182,Genus_sp-nov_NMVZ21816,NA,NA,NA,93.70875539771684,13.635453581769125,1467.3528962510447,22.37022106670579,10.356711667360383,10255,0,1539,2678,3429,0.00913786010704211,0.001329639549660568,0.14308658178947292,0.0021813964960220172,0.0010099182513271948
27,Taeromys_celebensis_NMVZ20637,tip,0.0076776,Taeromys_celebensis_NMVZ20637,NA,NA,NA,83.95616136418572,12.930669506470869,1305.7432149872038,20.040397211489182,9.825402796680171,9678,0,2116,2778,3231,0.008674949510661884,0.0013360890169943035,0.13491870375978549,0.0020707168021790847,0.0010152307084811088
28,Paruromys_dominator_JAE4870,tip,0.00979534,Paruromys_dominator_JAE4870,NA,NA,NA,56.51430311988577,9.675458290292585,853.6999254991244,13.392020187637122,7.378603201527616,6839,0,4955,2478,2176,0.00826353313640675,0.0014147475201480605,0.1248281803624981,0.0019581839724575408,0.0010789008921666349
29,Lenomys_meyeri_LSUMZ39079,tip,0.00719693,Lenomys_meyeri_LSUMZ39079,NA,NA,NA,84.17012942734341,11.962741504738005,1376.329566255792,19.86933397298654,9.08735503002091,10029,0,1765,3140,3225,0.00839267418759033,0.0011928149870114673,0.13723497519750644,0.001981187952237166,0.0009061077904099023
30,Eropeplus_canus_NMVZ21733,tip,0.00587545,Eropeplus_canus_NMVZ21733,NA,NA,NA,47.220673685489785,8.134432420794411,989.3058876272081,11.261255768211592,6.185563137522989,9398,0,2396,4238,2724,0.005024544976110852,0.0008655493105761238,0.10526770457833667,0.0011982608819122785,0.0006581786696662044
31,Taeromys_hamatus_NMVZ63317,tip,0.00740168,Taeromys_hamatus_NMVZ63317,NA,NA,NA,47.9778366295171,8.106234760174939,795.9414869257869,11.417068236885777,6.15518748146861,6902,0,4892,2887,2065,0.0069512947883971455,0.001174476204024187,0.11532041247838118,0.0016541681015482146,0.0008917976646578687
32,Taeromys_taerae_LSUMZ39224,tip,0.00552411,Taeromys_taerae_LSUMZ39224,NA,NA,NA,59.15551503288315,9.214621477501023,1039.8476511531267,14.091810633353354,7.002789494736206,9296,0,2498,3609,2974,0.006363545076687086,0.0009912458560134491,0.11185968708617972,0.0015159004553951542,0.000753312122927733
33,Taeromys_punicans_MVZ225815,tip,0.00100139,Taeromys_punicans_MVZ225815,NA,NA,NA,13.844140607414825,2.7585355536310123,221.7627073928877,3.274254745943828,2.099635558881575,10657,0,1137,9380,786,0.0012990654600182814,0.0002588472885081179,0.020809112075902008,0.0003072398185177656,0.00019701938246050247
34,Taeromys_callitrichus_LSUMZ37153,tip,0.00344109,Taeromys_callitrichus_LSUMZ37153,NA,NA,NA,29.27329003853905,5.393684413794499,10099.95230243309,6.929693261305479,4.10196208972967,10102,0,1692,7027,1923,0.0028977717321856116,0.0005339224325672637,0.9997972978056909,0.0006859724075733003,0.0004060544535467898
35,Bunomys_torajae_NMVZ21736,tip,0.00622408,Bunomys_torajae_NMVZ21736,NA,NA,NA,64.2657266612873,9.621786566515423,1389.8049503330044,15.3461041780631,7.310488747124926,9159,0,2635,3273,3007,0.007016675036716596,0.0010505280670941612,0.15174199697925586,0.0016755218012952397,0.0007981754282263266
36,Bunomys_andrewsi_sample1,tip,0.0126005,Bunomys_andrewsi_sample1,NA,NA,NA,29.831718190565603,5.986287598859254,386.7400900124181,7.0838369898361915,4.565577557381125,4046,0,7748,2235,911,0.007373138455404252,0.0014795569942805866,0.09558578596451263,0.0017508247626881342,0.0011284175870937036
37,Bunomys_chrysocomus_JAE4867,tip,0.00683093,Bunomys_chrysocomus_JAE4867,NA,NA,NA,78.41140400092024,11.608296878873961,1216.9954353189926,18.66987384734106,8.83391557852619,9657,0,2137,3074,3287,0.00811964419601535,0.0012020603581727205,0.12602210161737523,0.0019332995596293941,0.0009147681038134193
38,Halmaheramys_bokimekot_33262-WD225,tip,0.00977676,Halmaheramys_bokimekot_33262-WD225,NA,NA,NA,98.23229503890147,15.565100882155114,1504.4499391527622,23.405355562679063,11.82891930944434,9764,0,2030,2516,3079,0.010060661105991547,0.001594131593829897,0.15408131289970936,0.0023971072882711044,0.0012114829280463273
39,Bullimus_bagobus_JAE1712,tip,0.014485,Bullimus_bagobus_JAE1712,NA,NA,NA,140.41391622375633,20.368084707166602,1504.0792698849316,33.40644402328531,15.479392132551071,9049,0,2745,1700,2637,0.015517064451735698,0.0022508658091685936,0.16621497070227997,0.0036917277072920003,0.0017106190885789669
40,Papagomys_armandvillei_WAMM32592,tip,0.0106468,Papagomys_armandvillei_WAMM32592,NA,NA,NA,121.29049168705762,19.072046578444976,1718.660023378312,28.941583212639095,14.497452779373184,10296,0,1498,2218,3127,0.011780350785456258,0.0018523743763058445,0.16692502169564025,0.0028109540804816526,0.0014080665092631296
41,Sundamys_annandalei_YS118,tip,0.00782202,Sundamys_annandalei_YS118,NA,NA,NA,119.6778846436978,13.620878514914015,1156.0124436172455,28.508003308894924,10.36107766509278,10115,0,1679,2391,3697,0.011831723642481246,0.0013466019293044008,0.11428694449997484,0.0028183888590108674,0.0010243279945717034
42,Sundamys_muelleri_JAE1283,tip,0.0107324,Sundamys_muelleri_JAE1283,NA,NA,NA,91.94282422150307,11.944628275150079,959.097666285868,21.85300310727943,9.093762445784922,7826,0,3968,2023,2679,0.011748380299195383,0.0015262750159915767,0.12255273016686276,0.0027923592010323833,0.0011619936680021623
43,Berylmys_bowersi_ABTC116431,tip,0.00173278,Berylmys_bowersi_ABTC116431,NA,NA,NA,132.89784595188576,14.985975216427336,738.4386003185384,31.538583790200654,11.398144110085697,9837,0,1957,5171,1771,0.013509997555340629,0.001523429421208431,0.07506745962372048,0.0032061181041171754,0.0011587012412407947
44,Berylmys_mackenziei_ABTC116402,tip,0.00582014,Berylmys_mackenziei_ABTC116402,NA,NA,NA,49.4658386054173,9.144273600226725,469.87363584363885,11.828447564508412,6.94640139278722,6779,0,5015,4809,804,0.0072969226442568666,0.0013489118749412487,0.06931311931607005,0.0017448661402136617,0.0010246941131121434
45,Saxatilomys_paulinae_ABTC116266,tip,0.0211161,Saxatilomys_paulinae_ABTC116266,NA,NA,NA,313.07442190767284,33.42423001749155,1474.3467159536756,74.58898367181683,25.42184280608279,10188,0,1606,752,2969,0.03072972339101618,0.0032807449958275965,0.14471404750232386,0.007321258703554852,0.0024952731454733795
46,Niviventer_lepturus_JAE4746,tip,0.0125972,Niviventer_lepturus_JAE4746,NA,NA,NA,166.6366592809018,18.484079068390646,1205.2593844129024,39.65702122589136,14.057237414523293,9139,0,2655,1340,3303,0.018233576899102943,0.002022549411138051,0.13188088241743104,0.004339317346087249,0.001538159253148407
47,Niviventer_rapit_LSUMZ38196,tip,0.00245659,Niviventer_rapit_LSUMZ38196,NA,NA,NA,39.29694757540332,5.740193391678654,453.6594298886217,9.305720338315792,4.374338553469865,9454,0,2340,7372,1157,0.0041566477232286144,0.0006071708685930457,0.047985977352297614,0.0009843156693797115,0.0004626971179891967
48,Niviventer_bukit_LSUMZ38136,tip,0.00174304,Niviventer_bukit_LSUMZ38136,NA,NA,NA,50.03096025629203,6.933723624636431,455.7930237768202,11.881099337260736,5.278651561838097,10070,0,1724,7548,1336,0.004968317801022049,0.0006885524949986526,0.045262465121829215,0.0011798509768878584,0.0005241957856840215
49,Anonymomys_mindorensis_FMNH2222010,tip,0.0142505,Anonymomys_mindorensis_FMNH2222010,NA,NA,NA,210.382736522073,25.390060694312147,1697.7568126435797,50.161560946355195,19.281978222404828,10431,0,1363,1297,3315,0.020168990175637332,0.002434096509856404,0.1627606952970549,0.00480889281433757,0.0018485263371109987
