node,clade,node.type,branch.length,label,astral,gcf,scf,cS,cN,cA,mS,mN,mA,num.genes.full,num.genes.partial,num.genes.no.clade
2,Lophuromys_woosnami_LSUMZ37793,tip,NA,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,161929.0,130429.0,26988.0,4512.0,6779.0,64.0,7036,0,1297
26,Anonymomys_mindorensis_FMNH2222010,tip,NA,Anonymomys_mindorensis_FMNH2222010,NA,NA,NA,46601.0,34424.0,7062.0,5115.0,881.0,9.0,7705,0,628
6,Batomys_russatus_KU165776,tip,NA,Batomys_russatus_KU165776,NA,NA,NA,65180.0,49645.0,10511.0,5024.0,1652.0,26.0,7352,0,981
22,Saxatilomys_paulinae_ABTC116266,tip,NA,Saxatilomys_paulinae_ABTC116266,NA,NA,NA,65529.0,52399.0,9924.0,3206.0,1110.0,14.0,7570,0,763
12,Crunomys_celebensis_Z21894,tip,NA,Crunomys_celebensis_Z21894,NA,NA,NA,24094.0,15150.0,3640.0,5304.0,1335.0,18.0,6852,0,1481
3,Phloeomys_cumingi_FMNH198472,tip,NA,Phloeomys_cumingi_FMNH198472,NA,NA,NA,31794.0,21047.0,5237.0,5510.0,1114.0,16.0,7724,0,609
14,Sommeromys_macrorhinos_Z21740,tip,NA,Sommeromys_macrorhinos_Z21740,NA,NA,NA,41908.0,26368.0,6454.0,9086.0,1466.0,13.0,6396,0,1937
61,Genus_sp-nov_NMVZ21816,tip,NA,Genus_sp-nov_NMVZ21816,NA,NA,NA,0,0,0,0,0,0,0,0,8333
11,Crunomys_melanius_KU168558,tip,NA,Crunomys_melanius_KU168558,NA,NA,NA,31440.0,22510.0,5399.0,3531.0,956.0,14.0,7594,0,739
57,Taeromys_callitrichus_LSUMZ37153,tip,NA,Taeromys_callitrichus_LSUMZ37153,NA,NA,NA,11130.0,3825.0,1201.0,6104.0,519.0,9.0,7488,0,845
1,Lophiomys_imhausi_UM5152,tip,NA,Lophiomys_imhausi_UM5152,NA,NA,NA,130486.0,105913.0,22296.0,2277.0,6115.0,67.0,5860,0,2473
7,Carpomys_melanurus_FMNH198723,tip,NA,Carpomys_melanurus_FMNH198723,NA,NA,NA,47600.0,39006.0,7036.0,1558.0,619.0,12.0,7825,0,508
45,Rattus_lutreolus_sample2,tip,NA,Rattus_lutreolus_sample2,NA,NA,NA,15722.0,5839.0,1546.0,8337.0,1267.0,23.0,4744,0,3589
64,Eropeplus_canus_NMVZ21733,tip,NA,Eropeplus_canus_NMVZ21733,NA,NA,NA,18174.0,8269.0,2303.0,7602.0,637.0,7.0,7163,0,1170
52,Papagomys_armandvillei_WAMM32592,tip,NA,Papagomys_armandvillei_WAMM32592,NA,NA,NA,30532.0,20444.0,5173.0,4915.0,672.0,4.0,7612,0,721
5,Crateromys_heaneyi_KU165014,tip,NA,Crateromys_heaneyi_KU165014,NA,NA,NA,60975.0,46645.0,10334.0,3996.0,1246.0,10.0,7546,0,787
4,Phloeomys_pallidus_JEC43,tip,NA,Phloeomys_pallidus_JEC43,NA,NA,NA,20025.0,11981.0,2835.0,5209.0,1217.0,25.0,6777,0,1556
23,Margaretamys_parvus_NMVZ21833,tip,NA,Margaretamys_parvus_NMVZ21833,NA,NA,NA,28193.0,18124.0,3753.0,6316.0,517.0,4.0,7814,0,519
40,Limnomys_sibuanus_FMNH147948,tip,NA,Limnomys_sibuanus_FMNH147948,NA,NA,NA,23532.0,15541.0,3629.0,4362.0,692.0,11.0,7562,0,771
39,Tarsomys_apoensis_KU167148,tip,NA,Tarsomys_apoensis_KU167148,NA,NA,NA,22741.0,14859.0,3389.0,4493.0,760.0,7.0,7443,0,890
55,Bunomys_torajae_NMVZ21736,tip,NA,Bunomys_torajae_NMVZ21736,NA,NA,NA,20165.0,11241.0,2723.0,6201.0,853.0,12.0,7030,0,1303
21,Tateomys_macrocercus_Z21834,tip,NA,Tateomys_macrocercus_Z21834,NA,NA,NA,27953.0,13139.0,2972.0,11842.0,1505.0,18.0,5881,0,2452
42,Rattus_morotaiensis_ASAM29,tip,NA,Rattus_morotaiensis_ASAM29,NA,NA,NA,16435.0,9429.0,2266.0,4740.0,441.0,4.0,7744,0,589
49,Sundamys_annandalei_YS118,tip,NA,Sundamys_annandalei_YS118,NA,NA,NA,32876.0,20587.0,3880.0,8409.0,787.0,12.0,7541,0,792
48,Rattus_villosissimus_sample1,tip,NA,Rattus_villosissimus_sample1,NA,NA,NA,11819.0,3364.0,1003.0,7452.0,1044.0,17.0,4503,0,3830
9,Maxomys_surifer_JAE3632,tip,NA,Maxomys_surifer_JAE3632,NA,NA,NA,61611.0,42353.0,7984.0,11274.0,1919.0,25.0,6707,0,1626
50,Sundamys_muelleri_JAE1283,tip,NA,Sundamys_muelleri_JAE1283,NA,NA,NA,27093.0,14902.0,3141.0,9050.0,1269.0,12.0,5988,0,2345
34,Rattus_exulans_sample1,tip,NA,Rattus_exulans_sample1,NA,NA,NA,35365.0,23339.0,4372.0,7654.0,1051.0,14.0,7007,0,1326
16,Waiomys_mamasae_Z20624,tip,NA,Waiomys_mamasae_Z20624,NA,NA,NA,31188.0,19947.0,4229.0,7012.0,1249.0,16.0,7000,0,1333
15,Gracilimus_radix_Z08508,tip,NA,Gracilimus_radix_Z08508,NA,NA,NA,34197.0,24651.0,5092.0,4454.0,1025.0,6.0,7368,0,965
60,Taeromys_taerae_LSUMZ39224,tip,NA,Taeromys_taerae_LSUMZ39224,NA,NA,NA,17176.0,9952.0,2693.0,4531.0,843.0,14.0,7052,0,1281
38,Kadarsanomys_sodyi_MZB-Sample,tip,NA,Kadarsanomys_sodyi_MZB-Sample,NA,NA,NA,0,0,0,0,0,0,0,0,8333
30,Berylmys_bowersi_ABTC116431,tip,NA,Berylmys_bowersi_ABTC116431,NA,NA,NA,33441.0,18281.0,3489.0,11671.0,1364.0,19.0,7273,0,1060
8,Musseromys_anacuao_FMNH209523,tip,NA,Musseromys_anacuao_FMNH209523,NA,NA,NA,48654.0,37546.0,7335.0,3773.0,1027.0,18.0,7649,0,684
43,Rattus_leucopus_sample1,tip,NA,Rattus_leucopus_sample1,NA,NA,NA,11862.0,5192.0,1427.0,5243.0,929.0,16.0,4253,0,4080
25,Leopoldomys_sabanus_Z25191,tip,NA,Leopoldomys_sabanus_Z25191,NA,NA,NA,51975.0,37596.0,7165.0,7214.0,1344.0,30.0,7239,0,1094
46,Rattus_tunneyi_RAT130,tip,NA,Rattus_tunneyi_RAT130,NA,NA,NA,22609.0,7898.0,2078.0,12633.0,1556.0,25.0,5992,0,2341
44,Rattus_praetor_sample1,tip,NA,Rattus_praetor_sample1,NA,NA,NA,12962.0,3781.0,1087.0,8094.0,917.0,14.0,3299,0,5034
51,Bullimus_bagobus_JAE1712,tip,NA,Bullimus_bagobus_JAE1712,NA,NA,NA,38065.0,23328.0,5484.0,9253.0,1427.0,19.0,6786,0,1547
35,rnor6,tip,NA,rnor6,NA,NA,NA,28196.0,24039.0,4150.0,7.0,735.0,22.0,6851,0,1482
47,Rattus_colletti_RAT25,tip,NA,Rattus_colletti_RAT25,NA,NA,NA,20863.0,5883.0,1338.0,13642.0,987.0,8.0,7135,0,1198
53,Halmaheramys_bokimekot_33262-WD225,tip,NA,Halmaheramys_bokimekot_33262-WD225,NA,NA,NA,0,0,0,0,0,0,0,0,8333
