node,clade,node.type,branch.length,label,astral,gcf,scf,ES.sum,EN.sum,S.sum,N.sum,num.genes.full,num.genes.partial,num.genes.no.clade,avg.ES,avg.EN,avg.S,avg.N,avg.dS,avg.dN,avg.dNdS
1,Lophiomys_imhausi_UM5152,tip,NA,Lophiomys_imhausi_UM5152,NA,NA,NA,2177682.2150934963,4789109.375535307,186119.92446962767,72309.11490766174,5866,0,5928,371.2380182566478,816.4182365385795,31.728592647396468,12.326818088588773,0.08546698098539453,0.015098655979135853,0.17666069170872042
51,Bullimus_bagobus_JAE1712,tip,NA,Bullimus_bagobus_JAE1712,NA,NA,NA,3187845.7990454766,7068961.809219364,49889.45030946067,22516.134855374512,9049,0,2745,352.28708133997975,781.1870714133456,5.513255642552842,2.488245646521661,0.01564989445988851,0.003185210991804891,0.20352923145703966
6,Batomys_russatus_KU165776,tip,NA,Batomys_russatus_KU165776,NA,NA,NA,3631266.364527459,8041214.504411401,98680.72889036252,37972.12212643679,9678,0,2116,375.2083451671274,830.8756462504031,10.196396868192036,3.9235505400327333,0.027175293405721827,0.004722187438925467,0.17376767081864142
4,Phloeomys_pallidus_JEC43,tip,NA,Phloeomys_pallidus_JEC43,NA,NA,NA,2801588.259032533,6210427.074760503,30027.019604700876,13921.35988247864,8898,0,2896,314.85595179057464,697.9576393302431,3.3745807602495925,1.564549323722032,0.01071785602609216,0.002241610716122208,0.20914730620238817
7,Carpomys_melanurus_FMNH198723,tip,NA,Carpomys_melanurus_FMNH198723,NA,NA,NA,3926147.877147593,8706261.935986754,77421.37465659341,25637.76087454212,10697,0,1097,367.03261448514473,813.8975353825141,7.237671745030702,2.3967243969843994,0.019719423995012954,0.0029447495449878604,0.1493324321102172
16,Waiomys_mamasae_Z20624,tip,NA,Waiomys_mamasae_Z20624,NA,NA,NA,3285132.420163292,7286819.287355058,42865.88367331902,19188.24787903667,9407,0,2387,349.22211333722674,774.6166989853363,4.556807023845968,2.0397839777864006,0.013048449252827474,0.002633281699785579,0.20180801938705262
8,Musseromys_anacuao_FMNH209523,tip,NA,Musseromys_anacuao_FMNH209523,NA,NA,NA,3778806.899060942,8373951.943640656,77034.6860119048,27580.81398809523,10248,0,1546,368.73603620813253,817.130361401313,7.51704586376901,2.691336259572134,0.020385981096585917,0.0032936436910222114,0.16156414917768194
19,Tateomys_rhinogradoides_Z21785,tip,NA,Tateomys_rhinogradoides_Z21785,NA,NA,NA,3320612.705987726,7367489.45114933,45197.39926871501,20849.791131689213,9751,0,2043,340.54073489772594,755.5624501229955,4.635155293684239,2.1382208113720864,0.013611162538532454,0.0028299723087403463,0.20791554731117565
50,Sundamys_muelleri_JAE1283,tip,NA,Sundamys_muelleri_JAE1283,NA,NA,NA,2590374.6541141146,5745112.681708583,33625.190254884,15124.105715811964,7826,0,3968,330.9959946478552,734.1058882837443,4.296599828122157,1.9325460919769952,0.012980821211124581,0.0026325168110217277,0.2028004829745022
27,Niviventer_lepturus_JAE4746,tip,NA,Niviventer_lepturus_JAE4746,NA,NA,NA,3316572.4152887436,7345848.189177974,54614.45687707886,20706.15397930614,9139,0,2655,362.90320771296024,803.7912451228772,5.975977336369281,2.265691430058665,0.016467138370118803,0.0028187560436942856,0.17117461336264642
14,Sommeromys_macrorhinos_Z21740,tip,NA,Sommeromys_macrorhinos_Z21740,NA,NA,NA,2993686.109643682,6643258.645669118,54223.06782661785,26126.408913308915,8423,0,3371,355.41803509957043,788.7045762399522,6.4375006323896296,3.1017937686464343,0.018112476004731055,0.0039327700917291975,0.21713045144694418
35,rnor6,tip,NA,rnor6,NA,NA,NA,3386417.1242936985,7508537.288697748,44280.40331196581,14933.199252136757,9105,0,2689,371.9293931129817,824.6608773967873,4.86330623964479,1.6401097476262227,0.013075885718361211,0.0019888293389199794,0.15209901506918627
5,Crateromys_heaneyi_KU165014,tip,NA,Crateromys_heaneyi_KU165014,NA,NA,NA,3712226.230866145,8229598.466694387,96515.69471153841,38459.39503205129,10125,0,1669,366.63962773986617,812.7998485624086,9.53241429249762,3.798458768597658,0.025999410787262055,0.004673301521052146,0.17974643961322948
63,Paruromys_dominator_JAE4870,tip,NA,Paruromys_dominator_JAE4870,NA,NA,NA,2105664.70518977,4673561.210652646,21569.999816849813,11936.713553113554,6839,0,4955,307.89073039768533,683.3690906057385,3.1539698518569694,1.7453887341882663,0.010243796062918692,0.0025540937659927717,0.24933079010019377
24,Margaretamys_christinae_TMar1,tip,NA,Margaretamys_christinae_TMar1,NA,NA,NA,3541410.525421084,7842176.517237764,39282.72257326008,17310.40654761906,9902,0,1892,357.6459831772454,791.9790463782836,3.96715033056555,1.7481727476892606,0.011092394482729237,0.002207347221727199,0.19899645880463587
37,Rattus_hoffmanni_LSUMZ39187,tip,NA,Rattus_hoffmanni_LSUMZ39187,NA,NA,NA,3398310.3179753395,7540777.752996967,40896.781250000015,14084.148237179483,10470,0,1324,324.5759616022292,720.227101527886,3.9060918099331436,1.3451908535988044,0.012034445775501067,0.0018677315123870285,0.15519879745432344
11,Crunomys_melanius_KU168558,tip,NA,Crunomys_melanius_KU168558,NA,NA,NA,3508549.408046626,7775311.718239215,48203.210737179485,22131.640544871796,10279,0,1515,341.33178403021947,756.4268623639668,4.689484457357669,2.1530927663072084,0.013738786356158647,0.002846399134449582,0.20717980909380943
20,Melasmothrix_naso_Z21808,tip,NA,Melasmothrix_naso_Z21808,NA,NA,NA,3233658.519707431,7172997.462974233,35163.851604932424,18262.299152930394,9448,0,2346,342.2585224076451,759.208029527332,3.7218301868048713,1.9329275140696862,0.010874324357574378,0.0025459787553525864,0.2341275348825894
28,Niviventer_rapit_LSUMZ38196,tip,NA,Niviventer_rapit_LSUMZ38196,NA,NA,NA,1225105.9558243118,2734251.571189372,13399.104166666666,7054.344551282052,9454,0,2340,129.5859906731872,289.2163709741244,1.4172947077074958,0.7461756453651419,0.01093709821829336,0.0025799910387227032,0.23589356036022585
36,Rattus_argentiventer_LSUMZ38199,tip,NA,Rattus_argentiventer_LSUMZ38199,NA,NA,NA,3090001.033059197,6847307.144173552,36350.287706043964,14038.58628663004,9760,0,2034,316.5984665019669,701.5683549358148,3.7244147239799146,1.438379742482586,0.011763843221131888,0.002050234638382714,0.1742827237530496
2,Lophuromys_woosnami_LSUMZ37793,tip,NA,Lophuromys_woosnami_LSUMZ37793,NA,NA,NA,2673615.5781601653,5894186.085537896,268171.1029914531,89515.57136752138,7042,0,4752,379.66708011362755,837.0045563104084,38.08166756481867,12.711668754263188,0.10030279041686077,0.015187096245087807,0.15141249991121758
10,Maxomys_musschenbroekii_sample1,tip,NA,Maxomys_musschenbroekii_sample1,NA,NA,NA,1612185.5009011747,3578670.400149746,41837.2938560482,18479.497984295405,4996,0,6798,322.6952563853432,716.3071257305336,8.37415809768779,3.698858683806126,0.02595066996487818,0.005163788758954205,0.19898479561194038
21,Tateomys_macrocercus_Z21834,tip,NA,Tateomys_macrocercus_Z21834,NA,NA,NA,2507243.294343645,5567843.678876382,33612.54142299273,16168.802267799249,7764,0,4030,322.93190292937214,717.1359710041709,4.329281481580722,2.082535067980326,0.013406174621674252,0.0029039612460998888,0.21661371181939915
17,Paucidentomys_vermidax_Z21914,tip,NA,Paucidentomys_vermidax_Z21914,NA,NA,NA,3396823.087226038,7530997.541238542,55933.54519546545,23400.201141530873,9455,0,2339,359.2620927790627,796.5095231346951,5.915763637807028,2.47490228889803,0.01646642870681343,0.0031071848069787705,0.18869816049992
58,Taeromys_punicans_MVZ225815,tip,NA,Taeromys_punicans_MVZ225815,NA,NA,NA,809726.3675879395,1819631.6800650642,8383.508814102563,4691.6514423076915,10657,0,1137,75.98070447479961,170.74520785071448,0.7866668681713955,0.44024129138666523,0.010353508480989513,0.0025783522532097994,0.24903174203643277
32,Nesokia_indica_ABTC117074,tip,NA,Nesokia_indica_ABTC117074,NA,NA,NA,2711459.5765545284,5997073.33867846,28400.074603174617,15167.401587301587,8168,0,3626,331.9612605967836,734.2156389175391,3.4769924832486065,1.8569296752328093,0.010474091094237446,0.002529133917619213,0.24146571715522624
34,Rattus_exulans_sample1,tip,NA,Rattus_exulans_sample1,NA,NA,NA,3307241.826864746,7316968.097518486,49313.64709249085,18451.523603479858,9326,0,2468,354.62597328594745,784.5773212007813,5.287759713970711,1.9785034959768237,0.014910807758875022,0.0025217444380736882,0.1691219200765785
60,Taeromys_taerae_LSUMZ39224,tip,NA,Taeromys_taerae_LSUMZ39224,NA,NA,NA,2998178.4091706234,6641085.465262307,21492.32968427646,12140.92241247737,9296,0,2498,322.52349496241646,714.402481202916,2.3119975994273303,1.3060372646813005,0.007168462563314175,0.0018281533155962528,0.2550272529778056
61,Genus_sp-nov_NMVZ21816,tip,NA,Genus_sp-nov_NMVZ21816,NA,NA,NA,3539657.077220065,7844212.159408922,32205.282852564105,15564.640224358973,10255,0,1539,345.16402508240515,764.9158614733225,3.1404468895723165,1.5177611140281788,0.009098418900470754,0.001984219690653013,0.21808401133853586
48,Rattus_villosissimus_sample1,tip,NA,Rattus_villosissimus_sample1,NA,NA,NA,983925.1237358683,2180640.9631004143,9326.642062176328,6152.976619142348,5659,0,6135,173.86908000280408,385.3403362962386,1.6481078038834296,1.0872904433897064,0.009479016072649891,0.0028216367220737274,0.297671899746545
44,Rattus_praetor_sample1,tip,NA,Rattus_praetor_sample1,NA,NA,NA,928648.22209828,2068995.434524818,12351.903869179188,6846.771639220452,4153,0,7641,223.6090108592054,498.1929772513407,2.9742123450949167,1.6486327086974362,0.013300950322469871,0.003309225107494225,0.24879614067152842
12,Crunomys_celebensis_Z21894,tip,NA,Crunomys_celebensis_Z21894,NA,NA,NA,3109299.8763641934,6895138.272611658,33828.68630189255,17842.51259920636,9142,0,2652,340.1115594360308,754.2264572972717,3.7003594729700886,1.951707788143334,0.010879840365043704,0.0025876946761284,0.23784307391517553
47,Rattus_colletti_RAT25,tip,NA,Rattus_colletti_RAT25,NA,NA,NA,2260480.955517552,5028096.299217097,22503.678342490846,9909.195650183148,9736,0,2058,232.17758376310104,516.4437447840075,2.3113884903955264,1.0177891998955575,0.009955261196765307,0.001970764890029267,0.19796214796148331
3,Phloeomys_cumingi_FMNH198472,tip,NA,Phloeomys_cumingi_FMNH198472,NA,NA,NA,3454681.535931407,7661648.685285096,52478.86130189253,23866.998588217328,10407,0,1387,331.95748399456204,736.2014687503696,5.042650264427071,2.293360102644117,0.015190650934412063,0.0031151256822903014,0.20506861066983426
38,Kadarsanomys_sodyi_MZB-Sample,tip,NA,Kadarsanomys_sodyi_MZB-Sample,NA,NA,NA,3043853.0093618673,6743822.872378041,42000.04835033263,18893.27792224538,8310,0,3484,366.2879674322343,811.5310315737714,5.05415744287998,2.2735593167563635,0.013798316877048472,0.002801567935544419,0.2030369327294133
56,Bunomys_chrysocomus_JAE4867,tip,NA,Bunomys_chrysocomus_JAE4867,NA,NA,NA,3210201.1827365197,7116660.811301076,29806.82578588796,14569.888449302136,9657,0,2137,332.4221997241917,736.9432340583076,3.086551287758927,1.5087385781611407,0.009285033581751808,0.002047292801444959,0.2204938499596354
26,Anonymomys_mindorensis_FMNH2222010,tip,NA,Anonymomys_mindorensis_FMNH2222010,NA,NA,NA,3845228.761969775,8524177.52096844,70327.08154419815,26464.211546619103,10431,0,1363,368.63471977468845,817.1965795195514,6.742122667452608,2.53707329562066,0.018289440212179226,0.0031046058674306536,0.16974854513935575
43,Rattus_leucopus_sample1,tip,NA,Rattus_leucopus_sample1,NA,NA,NA,1434983.4852326945,3156143.037895895,11327.838735474292,7289.893581059744,5268,0,6526,272.3962576371857,599.1159904889702,2.150311073552447,1.3838066782573546,0.00789405512470925,0.0023097475284008977,0.29259328594895884
41,Rattus_xanthurus_LSUMZ39196,tip,NA,Rattus_xanthurus_LSUMZ39196,NA,NA,NA,3171315.8892495036,7035797.460612696,22560.36923840049,10219.190285409033,10397,0,1397,305.0222072953259,676.7141926144749,2.1698922033664028,0.9828979787832098,0.007113882699253726,0.001452456575479522,0.20417212890393743
15,Gracilimus_radix_Z08508,tip,NA,Gracilimus_radix_Z08508,NA,NA,NA,3559873.1317747175,7893429.540631507,49807.3691620879,21050.313988095233,10010,0,1784,355.6316814959758,788.5543996634872,4.975761155053736,2.102928470339184,0.013991332645401673,0.0026668147070596543,0.1906047675834594
29,Niviventer_bukit_LSUMZ38136,tip,NA,Niviventer_bukit_LSUMZ38136,NA,NA,NA,1348375.9164853054,3009935.4002712844,17004.629731379733,7805.416971916973,10070,0,1724,133.90028962118225,298.9012314072775,1.688642475807322,0.7751158859897689,0.012611193602229434,0.0025932174395548397,0.20562823166051508
31,Berylmys_mackenziei_ABTC116402,tip,NA,Berylmys_mackenziei_ABTC116402,NA,NA,NA,1115554.0053175704,2478181.2872215505,18851.307577838834,11212.782165750914,6779,0,5015,164.5602604097316,365.5673826849905,2.7808389995336826,1.654046638995562,0.01689860597333639,0.0045246012564005315,0.26774997082834595
57,Taeromys_callitrichus_LSUMZ37153,tip,NA,Taeromys_callitrichus_LSUMZ37153,NA,NA,NA,1444525.6320995826,3218532.9169240245,9631.825763915202,5829.009243031873,10102,0,1692,142.99402416349065,318.6035356289868,0.9534573118110474,0.5770153675541351,0.006667812290679522,0.0018110764728802896,0.27161479566721897
30,Berylmys_bowersi_ABTC116431,tip,NA,Berylmys_bowersi_ABTC116431,NA,NA,NA,2107884.3615371315,4685841.849718378,44434.975606684995,17617.859741300388,9837,0,1957,214.2812200403712,476.34866826454993,4.517126726307309,1.7909789307004562,0.021080366844356536,0.0037598067340576663,0.178355849393779
13,Hyorhinomys_stuempkei_JAE4661,tip,NA,Hyorhinomys_stuempkei_JAE4661,NA,NA,NA,3195504.140624888,7083320.525318879,55125.082508368105,25233.604570070736,8872,0,2922,360.17855507494227,798.3905010503696,6.213377198869264,2.844184464615728,0.017250824934806147,0.0035623976749145857,0.20650593165124004
18,Echiothrix_centrosa_Z27993,tip,NA,Echiothrix_centrosa_Z27993,NA,NA,NA,2860878.592805594,6342947.4818849955,51287.93406435518,22804.215234621694,8231,0,3563,347.573635379127,770.6168730269707,6.231069622689245,2.770527910900461,0.017927336795532572,0.003595207953360626,0.20054333749430864
53,Halmaheramys_bokimekot_33262-WD225,tip,NA,Halmaheramys_bokimekot_33262-WD225,NA,NA,NA,3450819.1003408255,7643742.61637126,34650.013113921515,17370.166689034144,9764,0,2030,353.4226854097527,782.8495100748935,3.548751855174264,1.779001094739261,0.01004109810059277,0.002272468810217519,0.22631676211622365
42,Rattus_morotaiensis_ASAM29,tip,NA,Rattus_morotaiensis_ASAM29,NA,NA,NA,3282638.2842786256,7282711.684278815,21606.910714285714,9352.672619047617,10629,0,1165,308.8379230669513,685.1737401711182,2.0328262973267206,0.8799202765121475,0.006582178370905684,0.0012842294222957123,0.19510705270039758
