"tp"	"num.genes.c"	"num_genes_d1"	"num_genes_d2"	"num.genes.m"	"c.avg.block.size"	"c.avg.block.count"	"c.num.blocks"	"d1.avg.block.size"	"d1.avg.block.count"	"d1.num.blocks"	"d2.avg.block.size"	"d2.avg.block.count"	"d2.num.blocks"	"m.avg.block.size"	"m.avg.block.count"	"m.num.blocks"
"<10>"	5016	250	266	5850	391817.680042995	0.798638480831243	2791	189941.154471545	0.016260162601626	246	225023.282442748	0.0152671755725191	262	418719.335456476	1.0686482661005	2826
"<100>"	835	345	205	9997	245245.953246753	0.0831168831168831	770	185568.048632219	0.0486322188449848	329	187498.532019704	0.0147783251231527	203	1735370.45318973	7.28251864125932	1207
"<101>"	3333	154	74	7821	305313.58583691	0.430472103004292	2330	210735.564935065	0.00649350649350649	154	247955.297297297	0	74	669018.574318745	2.22873658133774	2422
"<102>"	3357	544	664	6817	301557.081833762	0.437874892887746	2334	184493.028409091	0.0321969696969697	528	237381.306818182	0.0762987012987013	616	527988.292126564	1.50846210448859	2718
"<103>"	5860	162	151	5209	420966.79093828	1.08990367463432	2803	139175.26875	0.0125	160	190512.96	0.00666666666666667	150	412806.705734767	0.867741935483871	2790
"<104>"	2277	1059	1063	6983	269201.598647125	0.286358511837655	1774	254111.551401869	0.0996884735202492	963	236919.563086548	0.10740354535975	959	542007.068835098	1.63956127080182	2644
"<105>"	1780	713	937	7952	258591.926747312	0.19758064516129	1488	231071.378214826	0.075642965204236	661	230853.954009434	0.106132075471698	848	696183.406500633	2.35626846770789	2369
"<106>"	5048	575	702	5057	391485.550729797	0.797080811676753	2809	222416.626811594	0.0398550724637681	552	209542.804281346	0.0718654434250764	654	366815.248117605	0.813911796342775	2789
"<107>"	3695	339	374	6974	324255.21770918	0.503249390739236	2462	224733.219512195	0.0335365853658537	328	209535.936639118	0.0303030303030303	363	538459.168168168	1.61561561561562	2664
"<108>"	2632	746	947	7057	290492.176589304	0.32795156407669	1982	217513.083936324	0.0767004341534009	691	227310.47410817	0.094361334867664	869	553893.611996963	1.67843583902809	2634
"<109>"	2414	1026	791	7151	268628.543944266	0.290996784565916	1866	209817.382289417	0.107991360691145	926	182631.244535519	0.0806010928961749	732	598577.179576108	1.75761078998073	2595
"<11>"	2002	306	261	8813	255202.952262864	0.241785492870428	1613	199827.666666667	0.0374149659863946	294	214861.596078431	0.0313725490196078	255	950544.630501535	3.50921187308086	1954
"<110>"	6044	430	602	4306	455038.072890485	1.16983842010772	2785	236135.188264059	0.0513447432762836	409	202526.268630849	0.0450606585788562	577	341989.999620781	0.632916192643155	2637
"<111>"	7046	202	160	3974	582599.469961977	1.67984790874525	2630	243934.575	0.01	200	197575.820512821	0.0128205128205128	156	303544.805829067	0.565183142969673	2539
"<112>"	7772	41	54	3515	658722.795792079	2.20420792079208	2424	221589.487804878	0	41	155136.811320755	0.0188679245283019	53	321008.410192147	0.470342522974102	2394
"<113>"	6832	63	61	4426	518620.487467265	1.55667789001122	2673	170242.09375	0	64	223856.278688525	0	61	367519.788577912	0.672844175491679	2644
"<114>"	4216	389	394	6383	321821.37101115	0.618992695117263	2601	199976.829787234	0.0345744680851064	376	206294.63060686	0.0369393139841689	379	513504.711176688	1.3566949465142	2711
"<115>"	2968	1049	1039	6326	284914.579332419	0.358024691358025	2187	205963.175732218	0.098326359832636	956	232015.008429926	0.0916754478398314	949	487066.178156749	1.29535558780842	2756
"<116>"	5550	356	384	5092	412564.300847458	0.958333333333333	2832	188778.877492877	0.0142450142450142	351	228176.797814208	0.046448087431694	366	383011.664987406	0.834112990284275	2779
"<117>"	5909	124	128	5221	433285.474019088	1.08837044892188	2829	283910.927419355	0.00806451612903226	124	155190.547619048	0.0158730158730159	126	394989.978853047	0.871326164874552	2790
"<118>"	1940	797	1889	6756	251075.127457197	0.230183893468611	1577	222911.031377899	0.0845839017735334	733	252825.932138284	0.213828425096031	1562	527629.199482822	1.49390469154045	2707
"<119>"	2851	209	157	8165	299185.425612053	0.344632768361582	2124	217137.454545455	0.0505050505050505	198	230255.220779221	0.012987012987013	154	721410.828793774	2.52875054042369	2313
"<12>"	834	745	796	9007	252949.179123711	0.0760309278350515	776	190116.972503618	0.0810419681620839	691	272073.600536193	0.064343163538874	746	973669.460567823	3.73501577287066	1902
"<120>"	2265	1016	1391	6710	288202.983230855	0.263834544438234	1789	245096.830065359	0.106753812636166	918	255477.232977851	0.143560295324036	1219	496464.49141791	1.50410447761194	2680
"<121>"	1647	387	554	8794	283048.373239437	0.16056338028169	1420	226666.6	0.0293333333333333	375	289494.604519774	0.0433145009416196	531	861471.46933729	3.34915924826904	2022
"<122>"	915	498	592	9377	292490.114421931	0.0953516090584029	839	239991.858037578	0.0396659707724426	479	236050.082585278	0.059245960502693	557	1141733.33876812	4.66123188405797	1656
"<123>"	892	331	1008	9151	272127.793020457	0.0806257521058965	831	210420.201863354	0.0279503105590062	322	228562.04767184	0.116407982261641	902	1057578.17022472	4.13820224719101	1780
"<124>"	1420	457	383	9122	255674.546644845	0.164484451718494	1222	211355.315789474	0.0503432494279176	437	226947.879679144	0.0213903743315508	374	1054523.97493036	4.07966573816156	1795
"<125>"	3623	246	278	7235	332795.188911704	0.48870636550308	2435	188390.87654321	0.0123456790123457	243	190260.460966543	0.0371747211895911	269	565655.781825153	1.77300613496933	2608
"<126>"	6023	153	66	5140	479551.85509839	1.15456171735241	2795	214773.675496689	0.0198675496688742	151	201997.661538462	0.0153846153846154	65	361493.472252448	0.864345302865433	2757
"<127>"	2974	1447	1585	5376	323100.667731629	0.356914650844363	2191	236530.217254902	0.134117647058824	1275	284705.318681319	0.161172161172161	1365	349958.500177746	0.911837895485247	2813
"<128>"	4696	532	516	5638	394678.169960474	0.686669062163133	2783	192277.418511066	0.0724346076458753	497	215248.633064516	0.0403225806451613	496	384856.302027748	1.00604766986837	2811
"<129>"	6485	53	76	4768	521573.841627316	1.35488557936796	2753	180858.622641509	0	53	229191.581081081	0.0135135135135135	74	336665.620563483	0.745700695206733	2733
"<13>"	1024	206	315	9837	266305.977949283	0.126791620727674	907	217472.595	0.03	200	228823.332258065	0.0161290322580645	310	1528338.11236802	6.42006033182504	1326
"<130>"	3751	370	497	6764	341525.387380192	0.497603833865815	2504	228441.896551724	0.0603448275862069	348	229744.405462185	0.046218487394958	476	494828.068022181	1.50092421441774	2705
"<131>"	4172	238	351	6621	358919.54637175	0.618160651920838	2577	225354.008438819	0.00843881856540084	237	274459.704142012	0.0384615384615385	338	480730.813782991	1.42741935483871	2728
"<132>"	5525	61	52	5744	424861.95568263	0.975339528234453	2798	284096.213114754	0	61	153365.615384615	0	52	416866.56368177	1.04851944345344	2803
"<133>"	8363	24	29	2966	782769.842752963	2.81312670920693	2194	384352.416666667	0	24	170675.482758621	0	29	302497.457713755	0.37685873605948	2152
"<134>"	5259	258	228	5637	407146.996458924	0.862960339943343	2824	273321.533864542	0.0239043824701195	251	230406.004424779	0.00884955752212389	226	390754.403021785	0.980323260716796	2846
"<135>"	5697	333	400	4952	453902.898493544	1.04304160688666	2788	250661.815625	0.034375	320	196382.41943734	0.0255754475703325	391	352706.474283615	0.819985304922851	2722
"<136>"	5537	520	501	4824	428027.904951211	1.00180701120347	2767	221785.936344969	0.0677618069815195	487	177208.869565217	0.0372670807453416	483	373176.360698366	0.791233283803863	2692
"<137>"	5351	462	410	5159	403827.847366535	0.919025438910785	2791	190774.368539326	0.0382022471910112	445	212079.6	0.0354430379746835	395	390091.907035176	0.85032304379038	2786
"<138>"	3730	991	1318	5343	311103.185261424	0.536023054755043	2429	214958.940382452	0.116985376827897	889	254929.078761062	0.164601769911504	1130	417804.010556971	0.944666909355661	2747
"<139>"	6012	88	102	5180	428019.493598862	1.13833570412518	2812	294575.643678161	0	87	234476.02970297	0.0099009900990099	101	403732.893137956	0.85132237312366	2798
"<14>"	445	250	258	10429	249812.390186916	0.0373831775700935	428	220239.082644628	0.0247933884297521	242	282103.607142857	0.0277777777777778	252	2436283.05889015	10.8131370328426	883
"<140>"	7776	17	9	3580	670331.933938893	2.21139554087531	2422	370265.764705882	0	17	134428.222222222	0	9	312083.594269103	0.485880398671096	2408
"<141>"	3287	310	369	7416	300453.697512003	0.434744652989961	2291	200051.195364238	0.0264900662251656	302	273003.478873239	0.0394366197183099	355	600810.982799062	1.89913995308835	2558
"<142>"	4996	696	594	5096	393036.180675287	0.794899425287356	2784	211999.083713851	0.0578386605783866	657	196062.273214286	0.0607142857142857	560	373563.843637671	0.831775700934579	2782
"<143>"	3486	717	462	6717	299555.06686291	0.467199327165685	2378	253200.113772455	0.0733532934131736	668	205914.976958525	0.0668202764976959	434	518816.202131569	1.46710768099963	2721
"<144>"	1452	993	1573	7364	230492.45505171	0.154335719968178	1257	210598.888017917	0.110862262038074	893	246007.944974321	0.153338224504769	1363	604562.002696456	1.83782742681048	2596
"<145>"	6966	78	94	4244	556862.468970643	1.59011519881085	2691	226713.077922078	0.012987012987013	77	238547.79787234	0	94	320359.888804554	0.609108159392789	2635
"<146>"	2482	298	523	8079	277536.081871345	0.317916002126528	1881	182860.489726027	0.0273972602739726	292	226852.617063492	0.0436507936507936	504	733754.338534894	2.50108365843086	2307
"<147>"	1757	366	441	8818	234113.685086551	0.172436750998668	1502	206802.514124294	0.0282485875706215	354	231158.403800475	0.0475059382422803	421	923724.467725919	3.37735849056604	2014
"<148>"	1703	500	439	8740	237801.942877802	0.231381055676067	1383	226729.191082803	0.0615711252653928	471	202596.877358491	0.0400943396226415	424	923560.793548387	3.33647642679901	2015
"<149>"	4667	578	642	5495	373521.873750463	0.728248796741947	2701	230871.014519056	0.0453720508166969	551	279662.998333333	0.075	600	388704.613333333	0.979459459459459	2775
"<15>"	1578	434	437	8933	272557.926416483	0.164091243561442	1359	218729.754176611	0.0381861575178998	419	195463.324582339	0.0429594272076372	419	954121.686040477	3.63310845874416	1927
"<150>"	5818	47	75	5442	464708.389109268	1.09664623151821	2773	266882.510638298	0	47	227648.973684211	0	76	385251.429398986	0.971397538015931	2762
"<151>"	6439	270	297	4376	479642.101588474	1.37864794975988	2707	304388.166023166	0.0424710424710425	259	206278.494736842	0.0385964912280702	285	359759.990877993	0.663625997719498	2631
"<152>"	3952	217	240	6973	334599.313043478	0.561264822134387	2530	212945.342857143	0.0333333333333333	210	211891.540084388	0.0126582278481013	237	548144.744009129	1.65310003803728	2629
"<153>"	1555	907	739	8181	251630.980974125	0.185692541856925	1314	255298.832524272	0.0983009708737864	824	230953.30044843	0.106128550074738	669	751795.234402852	2.64483065953654	2244
"<154>"	5798	187	270	5127	433295.016678495	1.05819730305181	2818	217583.554347826	0.016304347826087	184	220808.970037453	0.0112359550561798	267	381381.509332376	0.839554917444365	2786
"<155>"	6218	489	390	4285	480740.554718335	1.23179045568712	2787	214743.580299786	0.0492505353319058	467	193894.227154047	0.0156657963446475	383	330355.762557078	0.629756468797565	2628
"<156>"	4192	339	469	6382	333589.897895557	0.634450506625097	2566	190160.542056075	0.0560747663551402	321	161895.148471616	0.0327510917030568	458	515129.367271381	1.36060718252499	2701
"<157>"	2586	480	539	7777	260594.735868448	0.329393627954779	1946	203542.727876106	0.0619469026548673	452	239857.180232558	0.0503875968992248	516	685243.863336086	2.20933113129645	2422
"<158>"	2397	729	831	7425	313604.63559322	0.270656779661017	1888	241497.013254786	0.0736377025036819	679	257438.00388601	0.0764248704663212	772	558147.555903049	1.90187646598905	2558
"<159>"	4769	688	525	5400	402178.826987061	0.764140480591497	2705	206420.815457413	0.0851735015772871	634	259606.862823062	0.047713717693837	503	365216.979498056	0.907034287734182	2829
"<16>"	3878	737	469	6298	321022.740827479	0.515222482435597	2562	229249.590116279	0.0683139534883721	688	272227.676339286	0.0401785714285714	448	455984.199430199	1.24323361823362	2808
"<160>"	5207	520	497	5158	401674.628007181	0.869658886894075	2785	205400.274549098	0.0400801603206413	499	189230.247379455	0.0419287211740042	477	386687.439350181	0.862454873646209	2770
"<161>"	3410	1266	1568	5138	288354.629551228	0.444538526672312	2362	244186.406914894	0.122340425531915	1128	254860.685442575	0.146305779078274	1367	386935.422621185	0.844524236983842	2785
"<162>"	5084	144	107	6047	438257.537725432	0.868973132131027	2717	297572.293706294	0.00699300699300699	143	219090.095238095	0.019047619047619	105	409990.019293775	1.20349472151438	2747
"<163>"	5349	798	688	4547	404343.116929699	0.91857962697274	2788	191284.998643148	0.0827679782903663	737	236554.9859375	0.075	640	357145.684718101	0.686572700296736	2696
"<164>"	6084	580	498	4220	456368.118188252	1.15428167020524	2826	232953.261343013	0.0508166969147005	551	202759.813807531	0.0418410041841004	478	327757.034756328	0.593124291650926	2647
