# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<3>	0.901	8587.0	0.018	171.0	0.017	161.0	0.064	610.0	9529.0	2254.0	0.762	60496.4	0.121	9575.02	0.117	9324.73	79396.15	100	0.901/0.761	0.0152963000
<4>	0.821	7150.0	0.05	435.0	0.045	392.0	0.084	732.0	8709.0	3074.0	0.648	42996.43	0.183	12063.92	0.169	11211.24	66271.59	100	0.821/0.648	0.0104276000
<5>	0.467	3417.0	0.082	601.0	0.086	628.0	0.365	2666.0	7312.0	4471.0	0.628	12392.85	0.199	3905.16	0.173	3421.44	19719.45	100	0.467/0.626	0.0026562300
<7>	0.485	2067.0	0.073	312.0	0.062	266.0	0.379	1616.0	4261.0	7522.0	0.496	4719.74	0.246	2330.09	0.258	2457.41	9507.24	100	0.485/0.496	0.0023154300
<10>	0.249	1481.0	0.053	314.0	0.056	333.0	0.643	3829.0	5957.0	5826.0	0.396	4816.45	0.311	3776.59	0.294	3595.22	12188.26	100	0.249/0.393	0.0013467900
<11>	0.146	1204.0	0.117	963.0	0.112	919.0	0.625	5139.0	8225.0	3558.0	0.374	5052.82	0.277	3721.04	0.349	4745.02	13518.88	100	0.146/0.379	0.0004598410
<12>	0.709	6209.0	0.018	156.0	0.032	276.0	0.241	2111.0	8752.0	3031.0	0.791	11613.01	0.077	1125.9	0.132	1981.25	14720.16	100	0.709/0.794	0.0044001700
<13>	0.474	2875.0	0.085	513.0	0.081	491.0	0.361	2189.0	6068.0	5715.0	0.581	7062.68	0.24	2911.41	0.179	2200.7	12174.79	100	0.474/0.582	0.0019693900
<14>	0.303	973.0	0.118	378.0	0.152	488.0	0.428	1375.0	3214.0	8569.0	0.456	3285.41	0.27	1911.3	0.274	1950.42	7147.13	100	0.303/0.457	0.0004196100
<17>	0.909	6764.0	0.021	155.0	0.016	117.0	0.054	404.0	7440.0	4343.0	0.921	36240.8	0.038	1488.81	0.041	1610.8	39340.41	100	0.909/0.92	0.0107806000
<20>	0.293	1970.0	0.172	1158.0	0.29	1950.0	0.244	1636.0	6714.0	5069.0	0.373	5853.86	0.266	4160.97	0.361	5637.09	15651.92	100	0.293/0.372	0.0006592220
