# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<3>	0.901	8587.0	0.018	172.0	0.017	161.0	0.064	607.0	9527.0	2169.0	0.763	59717.66	0.12	9403.69	0.117	9171.25	78292.6	100	0.901	0.0152963000
<4>	0.821	7151.0	0.05	435.0	0.045	392.0	0.084	731.0	8709.0	2987.0	0.648	41317.96	0.183	11637.65	0.169	10761.89	63717.5	100	0.821	0.0104276000
<5>	0.535	4201.0	0.096	753.0	0.088	694.0	0.281	2210.0	7858.0	3838.0	0.598	13823.03	0.196	4545.09	0.206	4805.48	23173.6	100	0.467	0.003516361
<7>	0.486	2070.0	0.074	315.0	0.063	270.0	0.377	1606.0	4261.0	7435.0	0.496	4704.38	0.247	2334.32	0.257	2449.01	9487.71	100	0.485	0.0023154300
<10>	0.259	1543.0	0.062	367.0	0.062	372.0	0.617	3675.0	5957.0	5739.0	0.391	4875.57	0.315	3926.67	0.295	3699.2	12501.44	100	0.249	0.0013467900
<11>	0.16	1318.0	0.127	1046.0	0.125	1028.0	0.588	4832.0	8224.0	3472.0	0.382	5251.63	0.272	3758.02	0.346	4842.05	13851.7	100	0.146	0.0004598410
<12>	0.713	6239.0	0.018	161.0	0.033	290.0	0.236	2062.0	8752.0	2944.0	0.793	12038.2	0.076	1161.69	0.131	2026.5	15226.39	100	0.709	0.0044001700
<13>	0.478	2897.0	0.087	526.0	0.083	504.0	0.353	2140.0	6067.0	5629.0	0.579	7036.26	0.241	2920.12	0.18	2208.93	12165.31	100	0.474	0.0019693900
<14>	0.306	984.0	0.119	384.0	0.153	493.0	0.421	1353.0	3214.0	8482.0	0.463	3339.8	0.266	1886.98	0.271	1928.27	7155.05	100	0.303	0.0004196100
<17>	0.909	6765.0	0.021	155.0	0.016	119.0	0.054	401.0	7440.0	4256.0	0.921	36799.93	0.038	1500.27	0.041	1645.1	39945.3	100	0.909	0.0107806000
