# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<3>	0.901	8587.0	0.018	172.0	0.017	161.0	0.064	607.0	9527.0	2168.0	0.762	59853.05	0.121	9510.34	0.117	9246.61	78610.0	100	0.901	0.0152963000
<4>	0.821	7151.0	0.05	435.0	0.045	392.0	0.084	731.0	8709.0	2986.0	0.648	42937.69	0.183	12087.88	0.169	11192.33	66217.9	100	0.821	0.0104276000
<5>	0.535	4201.0	0.096	753.0	0.088	694.0	0.281	2210.0	7858.0	3837.0	0.598	14008.07	0.196	4600.24	0.206	4892.63	23500.94	100	0.467	0.003516361
<7>	0.486	2070.0	0.074	315.0	0.063	270.0	0.377	1606.0	4261.0	7434.0	0.496	4666.35	0.248	2325.51	0.256	2415.63	9407.49	100	0.485	0.0023154300
<10>	0.259	1543.0	0.062	367.0	0.062	372.0	0.617	3675.0	5957.0	5738.0	0.387	4700.51	0.32	3867.31	0.293	3576.48	12144.3	100	0.249	0.0013467900
<11>	0.16	1318.0	0.127	1046.0	0.125	1028.0	0.588	4832.0	8224.0	3471.0	0.376	5122.38	0.277	3760.26	0.346	4762.67	13645.31	100	0.146	0.0004598410
<12>	0.713	6239.0	0.018	161.0	0.033	290.0	0.236	2062.0	8752.0	2943.0	0.798	11357.31	0.075	1082.85	0.127	1848.44	14288.6	100	0.709	0.0044001700
<13>	0.478	2897.0	0.087	526.0	0.083	504.0	0.353	2140.0	6067.0	5628.0	0.58	6955.59	0.242	2890.38	0.178	2155.92	12001.89	100	0.474	0.0019693900
<14>	0.306	984.0	0.119	384.0	0.153	493.0	0.421	1353.0	3214.0	8481.0	0.462	3298.28	0.267	1883.56	0.27	1912.05	7093.89	100	0.303	0.0004196100
<17>	0.909	6765.0	0.021	155.0	0.016	119.0	0.054	401.0	7440.0	4255.0	0.92	35773.06	0.039	1487.42	0.042	1609.32	38869.8	100	0.909	0.0107806000
<20>	0.294	1971.0	0.172	1158.0	0.29	1950.0	0.244	1635.0	6714.0	4981.0	0.374	5844.62	0.266	4144.2	0.36	5590.57	15579.39	100	0.293	0.0006592220
<21>	0.874	6176.0	0.011	75.0	0.009	62.0	0.107	753.0	7066.0	4629.0	0.832	41473.35	0.088	4408.95	0.08	3988.31	49870.61	100	0.874	0.0141658000
<22>	0.881	3629.0	0.026	109.0	0.03	123.0	0.063	258.0	4119.0	7576.0	0.848	21311.56	0.07	1751.74	0.082	2076.02	25139.32	100	0.881	0.0136261000
<23>	0.411	2837.0	0.184	1272.0	0.234	1610.0	0.171	1176.0	6895.0	4800.0	0.435	7855.99	0.272	4903.84	0.293	5321.26	18081.09	100	0.365	0.0014610100
<24>	0.73	5682.0	0.021	160.0	0.032	253.0	0.217	1692.0	7787.0	3908.0	0.787	22440.46	0.088	2480.8	0.125	3505.23	28426.49	100	0.728	0.0065302700
<25>	0.271	2029.0	0.15	1123.0	0.241	1802.0	0.338	2524.0	7478.0	4217.0	0.386	4599.48	0.256	3058.64	0.359	4262.34	11920.46	100	0.271	0.0004469830
<27>	0.751	6105.0	0.03	243.0	0.026	211.0	0.193	1570.0	8129.0	3566.0	0.801	24904.71	0.106	3225.51	0.093	2851.81	30982.03	100	0.748	0.0067536400
<28>	0.24	1810.0	0.223	1682.0	0.166	1253.0	0.371	2801.0	7546.0	4149.0	0.375	4716.78	0.392	4939.72	0.233	2919.48	12575.98	100	0.237	0.0005157700
<29>	0.708	5051.0	0.041	290.0	0.035	251.0	0.217	1547.0	7139.0	4556.0	0.722	23361.08	0.153	4925.55	0.126	4063.99	32350.62	100	0.701	0.0070089000
<30>	0.685	5112.0	0.049	363.0	0.05	370.0	0.216	1614.0	7459.0	4236.0	0.672	16789.66	0.179	4473.5	0.149	3706.03	24969.19	100	0.681	0.0050366000
<31>	0.404	3027.0	0.161	1209.0	0.163	1220.0	0.271	2033.0	7489.0	4206.0	0.432	8579.49	0.287	5688.08	0.281	5585.23	19852.8	100	0.398	0.0013330100
<32>	0.272	2369.0	0.126	1094.0	0.126	1094.0	0.477	4159.0	8716.0	2979.0	0.401	8918.22	0.278	6233.12	0.322	7242.52	22393.86	100	0.271	0.0008885790
<33>	0.589	5173.0	0.067	592.0	0.084	735.0	0.259	2276.0	8776.0	2919.0	0.636	17762.52	0.195	5483.27	0.169	4713.03	27958.82	100	0.588	0.0029386400
<34>	0.702	3713.0	0.054	287.0	0.1	528.0	0.144	761.0	5289.0	6406.0	0.729	11013.52	0.105	1574.83	0.165	2463.61	15051.96	100	0.706	0.0046920900
<35>	0.653	4318.0	0.061	400.0	0.061	405.0	0.225	1486.0	6609.0	5086.0	0.604	19371.69	0.198	6406.75	0.197	6379.9	32158.34	100	0.653	0.0054992300
<37>	0.269	2360.0	0.118	1037.0	0.163	1429.0	0.45	3955.0	8781.0	2914.0	0.393	16000.97	0.298	12214.45	0.309	12608.53	40823.95	100	0.269	0.0014524000
<38>	0.901	6202.0	0.024	164.0	0.01	70.0	0.065	445.0	6881.0	4814.0	0.907	43625.92	0.058	2743.35	0.035	1665.63	48034.9	100	0.901	0.0159811000
<41>	0.738	5736.0	0.071	555.0	0.068	532.0	0.122	948.0	7771.0	3924.0	0.65	21397.5	0.174	5749.57	0.176	5794.58	32941.65	100	0.736	0.0048340900
<43>	0.604	5148.0	0.085	728.0	0.072	610.0	0.239	2037.0	8523.0	3172.0	0.558	25878.8	0.219	10155.27	0.222	10345.41	46379.48	100	0.603	0.0043600500
<45>	0.673	3616.0	0.087	469.0	0.104	558.0	0.136	728.0	5371.0	6324.0	0.581	15765.16	0.208	5656.36	0.211	5716.94	27138.46	100	0.687	0.0049633000
