"node","clade","node.type","branch.length","label","astral","gcf","scf"
1,"Lophiomys_imhausi_UM5152","tip",0.0913526,"Lophiomys_imhausi_UM5152",NA,NA,NA
2,"Lophuromys_woosnami_LSUMZ37793","tip",0.0969014,"Lophuromys_woosnami_LSUMZ37793",NA,NA,NA
3,"Phloeomys_cumingi_FMNH198472","tip",0.00488693,"Phloeomys_cumingi_FMNH198472",NA,NA,NA
4,"Phloeomys_pallidus_JEC43","tip",0.00602685,"Phloeomys_pallidus_JEC43",NA,NA,NA
5,"Carpomys_melanurus_FMNH198723","tip",0.014042,"Carpomys_melanurus_FMNH198723",NA,NA,NA
6,"Musseromys_anacuao_FMNH209523","tip",0.0148519,"Musseromys_anacuao_FMNH209523",NA,NA,NA
7,"Crateromys_heaneyi_KU165014","tip",0.0196026,"Crateromys_heaneyi_KU165014",NA,NA,NA
8,"Batomys_russatus_KU165776","tip",0.0211216,"Batomys_russatus_KU165776",NA,NA,NA
9,"rnor6","tip",0.0115068,"rnor6",NA,NA,NA
10,"Rattus_argentiventer_LSUMZ38199","tip",0.00665828,"Rattus_argentiventer_LSUMZ38199",NA,NA,NA
11,"Rattus_hoffmanni_LSUMZ39187","tip",0.00590301,"Rattus_hoffmanni_LSUMZ39187",NA,NA,NA
12,"Rattus_exulans_sample1","tip",0.0123947,"Rattus_exulans_sample1",NA,NA,NA
13,"Tarsomys_apoensis_KU167148","tip",0.00722373,"Tarsomys_apoensis_KU167148",NA,NA,NA
14,"Limnomys_sibuanus_FMNH147948","tip",0.00710554,"Limnomys_sibuanus_FMNH147948",NA,NA,NA
15,"Rattus_xanthurus_LSUMZ39196","tip",0.0045968,"Rattus_xanthurus_LSUMZ39196",NA,NA,NA
16,"Rattus_villosissimus_sample1","tip",0.00613934,"Rattus_villosissimus_sample1",NA,NA,NA
17,"Rattus_colletti_RAT25","tip",0.00230085,"Rattus_colletti_RAT25",NA,NA,NA
18,"Rattus_tunneyi_RAT130","tip",0.00615136,"Rattus_tunneyi_RAT130",NA,NA,NA
19,"Rattus_lutreolus_sample2","tip",0.00764097,"Rattus_lutreolus_sample2",NA,NA,NA
20,"Rattus_leucopus_sample1","tip",0.00680641,"Rattus_leucopus_sample1",NA,NA,NA
21,"Rattus_praetor_sample1","tip",0.00779691,"Rattus_praetor_sample1",NA,NA,NA
22,"Rattus_morotaiensis_ASAM29","tip",0.00427482,"Rattus_morotaiensis_ASAM29",NA,NA,NA
23,"Kadarsanomys_sodyi_MZB-Sample","tip",0.0142425,"Kadarsanomys_sodyi_MZB-Sample",NA,NA,NA
24,"Nesokia_indica_ABTC117074","tip",0.0073314,"Nesokia_indica_ABTC117074",NA,NA,NA
25,"Bandicota_indica_ABTC119185","tip",0.00728978,"Bandicota_indica_ABTC119185",NA,NA,NA
26,"Genus_sp-nov_NMVZ21816","tip",0.00846182,"Genus_sp-nov_NMVZ21816",NA,NA,NA
27,"Taeromys_celebensis_NMVZ20637","tip",0.0076776,"Taeromys_celebensis_NMVZ20637",NA,NA,NA
28,"Paruromys_dominator_JAE4870","tip",0.00979534,"Paruromys_dominator_JAE4870",NA,NA,NA
29,"Lenomys_meyeri_LSUMZ39079","tip",0.00719693,"Lenomys_meyeri_LSUMZ39079",NA,NA,NA
30,"Eropeplus_canus_NMVZ21733","tip",0.00587545,"Eropeplus_canus_NMVZ21733",NA,NA,NA
