"node","clade","node.type","branch.length","label","astral","gcf","scf"
1,"Lophiomys_imhausi_UM5152","tip",NA,"Lophiomys_imhausi_UM5152",NA,NA,NA
2,"Lophuromys_woosnami_LSUMZ37793","tip",NA,"Lophuromys_woosnami_LSUMZ37793",NA,NA,NA
3,"Phloeomys_cumingi_FMNH198472","tip",NA,"Phloeomys_cumingi_FMNH198472",NA,NA,NA
4,"Phloeomys_pallidus_JEC43","tip",NA,"Phloeomys_pallidus_JEC43",NA,NA,NA
5,"Crateromys_heaneyi_KU165014","tip",NA,"Crateromys_heaneyi_KU165014",NA,NA,NA
6,"Batomys_russatus_KU165776","tip",NA,"Batomys_russatus_KU165776",NA,NA,NA
7,"Carpomys_melanurus_FMNH198723","tip",NA,"Carpomys_melanurus_FMNH198723",NA,NA,NA
8,"Musseromys_anacuao_FMNH209523","tip",NA,"Musseromys_anacuao_FMNH209523",NA,NA,NA
9,"Maxomys_surifer_JAE3632","tip",NA,"Maxomys_surifer_JAE3632",NA,NA,NA
10,"Maxomys_musschenbroekii_sample1","tip",NA,"Maxomys_musschenbroekii_sample1",NA,NA,NA
11,"Crunomys_melanius_KU168558","tip",NA,"Crunomys_melanius_KU168558",NA,NA,NA
12,"Crunomys_celebensis_Z21894","tip",NA,"Crunomys_celebensis_Z21894",NA,NA,NA
13,"Hyorhinomys_stuempkei_JAE4661","tip",NA,"Hyorhinomys_stuempkei_JAE4661",NA,NA,NA
14,"Sommeromys_macrorhinos_Z21740","tip",NA,"Sommeromys_macrorhinos_Z21740",NA,NA,NA
15,"Gracilimus_radix_Z08508","tip",NA,"Gracilimus_radix_Z08508",NA,NA,NA
16,"Waiomys_mamasae_Z20624","tip",NA,"Waiomys_mamasae_Z20624",NA,NA,NA
17,"Paucidentomys_vermidax_Z21914","tip",NA,"Paucidentomys_vermidax_Z21914",NA,NA,NA
18,"Echiothrix_centrosa_Z27993","tip",NA,"Echiothrix_centrosa_Z27993",NA,NA,NA
19,"Tateomys_rhinogradoides_Z21785","tip",NA,"Tateomys_rhinogradoides_Z21785",NA,NA,NA
20,"Melasmothrix_naso_Z21808","tip",NA,"Melasmothrix_naso_Z21808",NA,NA,NA
21,"Tateomys_macrocercus_Z21834","tip",NA,"Tateomys_macrocercus_Z21834",NA,NA,NA
22,"Saxatilomys_paulinae_ABTC116266","tip",NA,"Saxatilomys_paulinae_ABTC116266",NA,NA,NA
