gene	rf	num.tips	rf.zeros	num.tips.zeros
ENSMUSP00000065754	0.763888888888889	147	NA	NA
ENSMUSP00000126045	0.826923076923077	159	NA	NA
ENSMUSP00000134237	0.773049645390071	144	NA	NA
ENSMUSP00000021273	0.932885906040268	152	NA	NA
ENSMUSP00000040134	0.854545454545454	168	NA	NA
ENSMUSP00000010007	0.877300613496933	166	NA	NA
ENSMUSP00000148319	0.80672268907563	122	NA	NA
ENSMUSP00000129107	0.755555555555556	183	NA	NA
ENSMUSP00000038014	0.8125	51	NA	NA
ENSMUSP00000129178	0.891566265060241	86	NA	NA
ENSMUSP00000143747	0.78021978021978	185	NA	NA
ENSMUSP00000140463	0.807017543859649	174	NA	NA
ENSMUSP00000025236	0.917582417582418	185	NA	NA
ENSMUSP00000104770	0.83625730994152	174	NA	NA
ENSMUSP00000026008	0.903448275862069	148	NA	NA
ENSMUSP00000050156	0.912	128	NA	NA
ENSMUSP00000111157	0.793939393939394	168	NA	NA
ENSMUSP00000032194	0.909090909090909	135	NA	NA
ENSMUSP00000122112	0.830985915492958	74	NA	NA
ENSMUSP00000000187	0.757062146892655	180	NA	NA
ENSMUSP00000116813	0.8125	163	NA	NA
ENSMUSP00000035009	0.786764705882353	139	NA	NA
ENSMUSP00000051216	0.764044943820225	181	NA	NA
ENSMUSP00000038420	0.876712328767123	149	NA	NA
ENSMUSP00000044352	0.820359281437126	170	NA	NA
ENSMUSP00000126061	0.885057471264368	177	NA	NA
ENSMUSP00000041796	0.837837837837838	151	NA	NA
ENSMUSP00000118021	0.843243243243243	188	NA	NA
ENSMUSP00000013771	0.754385964912281	60	NA	NA
ENSMUSP00000139031	0.752873563218391	177	NA	NA
ENSMUSP00000031492	0.814606741573034	181	NA	NA
ENSMUSP00000020822	0.759615384615385	107	NA	NA
ENSMUSP00000103553	0.818181818181818	157	NA	NA
ENSMUSP00000058037	0.910112359550562	181	NA	NA
ENSMUSP00000082906	0.859550561797753	181	NA	NA
ENSMUSP00000114743	0.922651933701657	184	NA	NA
ENSMUSP00000146923	0.921212121212121	168	NA	NA
ENSMUSP00000105154	0.873563218390805	177	NA	NA
ENSMUSP00000026318	0.772727272727273	69	NA	NA
ENSMUSP00000005954	0.941520467836257	174	NA	NA
ENSMUSP00000041839	0.871951219512195	167	NA	NA
ENSMUSP00000008088	0.837209302325581	89	NA	NA
ENSMUSP00000128353	0.850828729281768	184	NA	NA
ENSMUSP00000033609	0.96195652173913	187	NA	NA
ENSMUSP00000097882	0.781818181818182	168	NA	NA
ENSMUSP00000047888	0.820143884892086	142	NA	NA
ENSMUSP00000152792	0.796610169491525	180	NA	NA
ENSMUSP00000102873	0.774011299435028	180	NA	NA
ENSMUSP00000151917	0.877049180327869	125	NA	NA
ENSMUSP00000008537	0.927710843373494	169	NA	NA
ENSMUSP00000038489	0.777070063694268	160	NA	NA
ENSMUSP00000026093	0.883333333333333	183	NA	NA
ENSMUSP00000113582	0.831325301204819	86	NA	NA
ENSMUSP00000050854	0.842424242424242	168	NA	NA
ENSMUSP00000029738	0.794701986754967	154	NA	NA
ENSMUSP00000106620	0.756578947368421	155	NA	NA
ENSMUSP00000143017	0.879310344827586	177	NA	NA
ENSMUSP00000157879	0.766666666666667	183	NA	NA
ENSMUSP00000091943	0.75	131	NA	NA
ENSMUSP00000077606	0.833333333333333	159	NA	NA
ENSMUSP00000047150	0.76	178	NA	NA
ENSMUSP00000080354	0.884297520661157	124	NA	NA
ENSMUSP00000151768	0.797752808988764	181	NA	NA
ENSMUSP00000077779	0.801282051282051	159	NA	NA
ENSMUSP00000046557	0.907514450867052	176	NA	NA
ENSMUSP00000110526	0.8	58	NA	NA
ENSMUSP00000146939	0.944099378881988	164	NA	NA
ENSMUSP00000126024	0.811320754716981	109	NA	NA
ENSMUSP00000152766	0.853801169590643	174	NA	NA
ENSMUSP00000058521	0.807407407407407	138	NA	NA
ENSMUSP00000021157	0.75	123	NA	NA
ENSMUSP00000020446	0.83625730994152	174	NA	NA
ENSMUSP00000032898	0.819277108433735	169	NA	NA
ENSMUSP00000096449	0.87292817679558	184	NA	NA
ENSMUSP00000123110	0.797619047619048	171	NA	NA
ENSMUSP00000066015	0.912280701754386	174	NA	NA
ENSMUSP00000101800	0.85	163	NA	NA
ENSMUSP00000034431	0.915730337078652	181	NA	NA
ENSMUSP00000148539	0.875	171	NA	NA
ENSMUSP00000115881	0.942196531791908	176	NA	NA
ENSMUSP00000030942	0.869822485207101	172	NA	NA
ENSMUSP00000107867	0.753164556962025	161	NA	NA
ENSMUSP00000070229	0.825581395348837	175	NA	NA
ENSMUSP00000077232	0.885350318471338	160	NA	NA
ENSMUSP00000150440	0.8	153	NA	NA
ENSMUSP00000040975	0.819277108433735	169	NA	NA
ENSMUSP00000122227	0.907407407407407	165	NA	NA
ENSMUSP00000057623	0.763888888888889	147	NA	NA
ENSMUSP00000083018	0.907284768211921	154	NA	NA
ENSMUSP00000038350	0.826086956521739	164	NA	NA
ENSMUSP00000109451	0.782312925170068	150	NA	NA
ENSMUSP00000034756	0.754098360655738	125	NA	NA
ENSMUSP00000023133	0.766467065868264	170	NA	NA
ENSMUSP00000032066	0.888268156424581	182	NA	NA
ENSMUSP00000113113	0.75	155	NA	NA
ENSMUSP00000026892	0.763005780346821	176	NA	NA
ENSMUSP00000154530	0.794520547945205	149	NA	NA
ENSMUSP00000124312	0.854545454545454	113	NA	NA
ENSMUSP00000077314	0.855491329479769	176	NA	NA
ENSMUSP00000022576	0.758333333333333	123	NA	NA
ENSMUSP00000031560	0.848101265822785	161	NA	NA
ENSMUSP00000034041	0.75	135	NA	NA
ENSMUSP00000024858	0.863945578231292	150	NA	NA
ENSMUSP00000020220	0.910828025477707	160	NA	NA
ENSMUSP00000030158	0.950310559006211	164	NA	NA
ENSMUSP00000033880	0.85	183	NA	NA
ENSMUSP00000097807	0.77124183006536	156	NA	NA
ENSMUSP00000047771	0.937888198757764	164	NA	NA
ENSMUSP00000047683	0.760479041916168	170	NA	NA
ENSMUSP00000026670	0.757763975155279	164	NA	NA
ENSMUSP00000050001	0.78804347826087	187	NA	NA
ENSMUSP00000151936	0.808139534883721	175	NA	NA
ENSMUSP00000145539	0.783216783216783	146	NA	NA
ENSMUSP00000113675	0.876404494382023	92	NA	NA
ENSMUSP00000040221	0.889570552147239	166	NA	NA
ENSMUSP00000028005	0.854166666666667	99	NA	NA
ENSMUSP00000118137	0.924418604651163	175	NA	NA
ENSMUSP00000033463	0.752293577981651	112	NA	NA
ENSMUSP00000034965	0.821656050955414	160	NA	NA
ENSMUSP00000137570	0.905063291139241	161	NA	NA
ENSMUSP00000058391	0.767241379310345	119	NA	NA
ENSMUSP00000124819	0.752475247524752	104	NA	NA
ENSMUSP00000146705	0.9375	83	NA	NA
ENSMUSP00000035155	0.770114942528736	90	NA	NA
ENSMUSP00000022744	0.971428571428571	38	NA	NA
ENSMUSP00000114075	0.788732394366197	145	NA	NA
ENSMUSP00000002090	0.825174825174825	146	NA	NA
ENSMUSP00000079538	0.78343949044586	160	NA	NA
ENSMUSP00000078795	0.868965517241379	148	NA	NA
ENSMUSP00000099595	0.778443113772455	170	NA	NA
ENSMUSP00000152449	0.85625	163	NA	NA
ENSMUSP00000034698	0.766666666666667	183	NA	NA
ENSMUSP00000034470	0.881889763779528	130	NA	NA
ENSMUSP00000026572	0.775862068965517	177	NA	NA
ENSMUSP00000117197	0.829268292682927	167	NA	NA
ENSMUSP00000044502	0.816666666666667	123	NA	NA
ENSMUSP00000157595	0.858823529411765	173	NA	NA
ENSMUSP00000039600	0.904191616766467	170	NA	NA
ENSMUSP00000112915	0.81021897810219	140	NA	NA
ENSMUSP00000035154	0.768421052631579	98	NA	NA
ENSMUSP00000054490	0.902777777777778	147	NA	NA
ENSMUSP00000110401	0.86013986013986	146	NA	NA
ENSMUSP00000109529	0.786259541984733	134	NA	NA
ENSMUSP00000124106	0.772455089820359	170	NA	NA
ENSMUSP00000043713	0.994011976047904	170	NA	NA
ENSMUSP00000099702	0.793103448275862	177	NA	NA
ENSMUSP00000077951	0.949720670391061	182	NA	NA
ENSMUSP00000035075	0.771604938271605	165	NA	NA
ENSMUSP00000034204	0.893333333333333	78	NA	NA
ENSMUSP00000039670	0.75968992248062	132	NA	NA
ENSMUSP00000103869	0.792079207920792	104	NA	NA
ENSMUSP00000019833	0.795454545454545	179	NA	NA
ENSMUSP00000022517	0.756906077348066	184	NA	NA
ENSMUSP00000029165	0.970414201183432	172	NA	NA
ENSMUSP00000025254	0.841121495327103	110	NA	NA
ENSMUSP00000045327	0.789772727272727	179	NA	NA
ENSMUSP00000033577	0.856164383561644	149	NA	NA
ENSMUSP00000007533	0.894736842105263	98	NA	NA
ENSMUSP00000057238	0.821917808219178	149	NA	NA
ENSMUSP00000128627	0.938650306748466	166	NA	NA
ENSMUSP00000027997	0.900826446280992	124	NA	NA
ENSMUSP00000129793	0.75796178343949	160	NA	NA
ENSMUSP00000015941	0.810650887573965	172	NA	NA
ENSMUSP00000011178	0.8	53	NA	NA
ENSMUSP00000062476	0.779069767441861	175	NA	NA
ENSMUSP00000043519	0.864406779661017	180	NA	NA
ENSMUSP00000051799	0.905027932960894	182	NA	NA
ENSMUSP00000026665	0.88695652173913	118	NA	NA
ENSMUSP00000041941	0.783216783216783	146	NA	NA
ENSMUSP00000020288	0.875739644970414	172	NA	NA
ENSMUSP00000034830	0.822368421052632	155	NA	NA
ENSMUSP00000087714	0.805555555555556	183	NA	NA
ENSMUSP00000022871	0.785714285714286	157	NA	NA
ENSMUSP00000110523	0.832167832167832	146	NA	NA
ENSMUSP00000112870	0.924050632911392	161	NA	NA
ENSMUSP00000127709	0.91304347826087	164	NA	NA
ENSMUSP00000019192	0.75609756097561	85	NA	NA
ENSMUSP00000048427	0.789808917197452	160	NA	NA
ENSMUSP00000043828	0.76978417266187	142	NA	NA
ENSMUSP00000046786	0.761904761904762	129	NA	NA
ENSMUSP00000115925	0.768292682926829	85	NA	NA
ENSMUSP00000060827	0.772727272727273	69	NA	NA
ENSMUSP00000027249	0.871345029239766	174	NA	NA
ENSMUSP00000067181	0.771428571428571	143	NA	NA
ENSMUSP00000143790	0.902777777777778	75	NA	NA
ENSMUSP00000126673	0.818181818181818	135	NA	NA
ENSMUSP00000009435	0.853932584269663	181	NA	NA
ENSMUSP00000068560	0.944444444444444	183	NA	NA
ENSMUSP00000108004	0.774566473988439	176	NA	NA
ENSMUSP00000026269	0.949275362318841	141	NA	NA
ENSMUSP00000141218	0.882716049382716	165	NA	NA
ENSMUSP00000124464	0.816666666666667	183	NA	NA
ENSMUSP00000113476	0.913513513513514	188	NA	NA
ENSMUSP00000029611	0.909090909090909	58	NA	NA
ENSMUSP00000125325	0.75	167	NA	NA
ENSMUSP00000116695	0.802395209580838	170	NA	NA
ENSMUSP00000118285	0.839506172839506	84	NA	NA
ENSMUSP00000027297	0.807017543859649	174	NA	NA
ENSMUSP00000015583	0.753521126760563	145	NA	NA
ENSMUSP00000080111	0.757763975155279	164	NA	NA
ENSMUSP00000044677	0.76536312849162	182	NA	NA
ENSMUSP00000092006	0.848101265822785	161	NA	NA
ENSMUSP00000025204	0.791907514450867	176	NA	NA
ENSMUSP00000010020	0.872727272727273	168	NA	NA
ENSMUSP00000028517	0.831395348837209	175	NA	NA
ENSMUSP00000069324	0.823529411764706	122	NA	NA
ENSMUSP00000054556	0.908571428571429	178	NA	NA
ENSMUSP00000048901	0.825	163	NA	NA
ENSMUSP00000119901	0.900552486187845	184	NA	NA
ENSMUSP00000033749	0.950819672131147	186	NA	NA
ENSMUSP00000058813	0.76219512195122	167	NA	NA
ENSMUSP00000044543	0.79136690647482	142	NA	NA
ENSMUSP00000064129	0.847619047619048	108	NA	NA
ENSMUSP00000055254	0.867647058823529	139	NA	NA
ENSMUSP00000030568	0.813664596273292	164	NA	NA
ENSMUSP00000028238	0.802631578947368	155	NA	NA
ENSMUSP00000114839	0.797385620915033	156	NA	NA
ENSMUSP00000107732	0.849557522123894	116	NA	NA
ENSMUSP00000020826	0.755555555555556	138	NA	NA
ENSMUSP00000113678	0.818181818181818	135	NA	NA
ENSMUSP00000002572	0.809917355371901	124	NA	NA
ENSMUSP00000157394	0.853333333333333	153	NA	NA
ENSMUSP00000034017	0.92948717948718	159	NA	NA
ENSMUSP00000134713	0.963855421686747	86	NA	NA
ENSMUSP00000035898	0.777027027027027	151	NA	NA
ENSMUSP00000051206	0.927710843373494	169	NA	NA
ENSMUSP00000000984	0.842105263157895	117	NA	NA
ENSMUSP00000108784	0.819767441860465	175	NA	NA
ENSMUSP00000042558	0.782352941176471	173	NA	NA
ENSMUSP00000100891	0.875	19	NA	NA
ENSMUSP00000101659	0.815642458100559	182	NA	NA
ENSMUSP00000156275	0.806451612903226	96	NA	NA
ENSMUSP00000066108	0.791946308724832	152	NA	NA
ENSMUSP00000000594	0.826923076923077	159	NA	NA
ENSMUSP00000088143	0.830188679245283	162	NA	NA
ENSMUSP00000133147	0.944099378881988	164	NA	NA
ENSMUSP00000033927	0.814606741573034	181	NA	NA
ENSMUSP00000120005	0.838323353293413	170	NA	NA
ENSMUSP00000130245	0.920245398773006	166	NA	NA
ENSMUSP00000024706	0.821428571428571	171	NA	NA
ENSMUSP00000122463	0.878787878787879	102	NA	NA
ENSMUSP00000151305	0.917647058823529	173	NA	NA
ENSMUSP00000000127	0.807017543859649	174	NA	NA
ENSMUSP00000055455	0.789772727272727	179	NA	NA
ENSMUSP00000023259	0.907103825136612	186	NA	NA
ENSMUSP00000101503	0.853260869565217	187	NA	NA
