# CDS alignment filter
# PYTHON VERSION: 3.9.12
# Script call:    06_aln_filter.py -i ../../04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln/ -f 175 -o ../../04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats/ --count
# Runtime:        08/27/2022 19:56:07
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats-f175-seq20-site50
# --count set:            Will not output sequences.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/04-Phylo/morphometrics-coding-bonsai/morpho-coding-nt-aln-stats-f175-seq20-site50/aln-stats-f175-seq20-site50.tab
# ----------------
# 08.27.2022 | 19:56:07 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre variant sites	pre informative sites	pre stop codons	pre percent sites with gap	pre gappy sites
ENSMUSP00000069257-mafft-cds.filter.fa	131	635	599.6870229007634	131	0	0	10776	72409	NA	0	556	555
ENSMUSP00000048063-mafft-cds.filter.fa	155	1601	1491.2903225806451	155	0	0	34066	214089	NA	0	1196	1192
ENSMUSP00000072534-mafft-cds.filter.fa	132	80	79.70454545454545	110	8	0	1978	8582	NA	0	11	11
ENSMUSP00000038369-mafft-cds.filter.fa	134	657	619.0223880597015	134	0	0	20353	67685	NA	0	273	272
ENSMUSP00000047326-mafft-cds.filter.fa	74	310	270.3918918918919	72	1	0	8049	14891	NA	0	119	99
ENSMUSP00000068203-mafft-cds.filter.fa	100	351	336.55	100	0	0	8537	26563	NA	0	43	33
ENSMUSP00000068408-mafft-cds.filter.fa	147	452	442.1156462585034	141	3	0	25739	40705	NA	0	148	145
ENSMUSP00000000514-mafft-cds.filter.fa	118	200	198.29661016949152	118	0	0	4634	18966	NA	0	38	38
ENSMUSP00000000834-mafft-cds.filter.fa	80	141	113.525	72	4	0	4678	6602	NA	0	30	3
ENSMUSP00000001027-mafft-cds.filter.fa	110	852	779.6545454545454	110	0	0	12925	80795	NA	0	589	588
ENSMUSP00000001339-mafft-cds.filter.fa	139	152	149.9136690647482	137	1	0	3892	17236	NA	0	63	63
ENSMUSP00000001724-mafft-cds.filter.fa	126	600	561.484126984127	126	0	0	9154	66446	NA	0	351	334
ENSMUSP00000003135-mafft-cds.filter.fa	141	352	336.4609929078014	141	0	0	5813	43819	NA	0	262	257
ENSMUSP00000003554-mafft-cds.filter.fa	31	239	219.16129032258064	31	0	0	5161	2248	NA	0	20	2
ENSMUSP00000003818-mafft-cds.filter.fa	72	210	206.88888888888889	72	0	0	4617	10503	NA	0	25	25
ENSMUSP00000004133-mafft-cds.filter.fa	148	777	713.6959459459459	148	0	0	17796	97200	NA	0	388	386
ENSMUSP00000004565-mafft-cds.filter.fa	108	205	187.12962962962962	108	0	0	2034	20106	NA	0	176	176
ENSMUSP00000004994-mafft-cds.filter.fa	139	441	406.8561151079137	139	0	0	8876	52423	NA	0	373	373
ENSMUSP00000005470-mafft-cds.filter.fa	137	274	257.6715328467153	137	0	0	11209	26329	NA	0	67	67
ENSMUSP00000005817-mafft-cds.filter.fa	137	34	34.0	36	12	0	2027	2631	NA	0	0	0
ENSMUSP00000005820-mafft-cds.filter.fa	147	89	87.7687074829932	128	5	0	3229	9854	NA	0	12	11
ENSMUSP00000006037-mafft-cds.filter.fa	131	1290	1209.7404580152672	131	0	0	30630	138360	NA	0	748	725
ENSMUSP00000006462-mafft-cds.filter.fa	154	366	347.512987012987	154	0	0	15668	40696	NA	0	92	91
ENSMUSP00000006718-mafft-cds.filter.fa	115	413	391.89565217391305	113	1	0	14470	33025	NA	0	118	118
ENSMUSP00000006721-mafft-cds.filter.fa	157	142	141.4203821656051	133	7	0	8245	14049	NA	0	24	24
ENSMUSP00000008280-mafft-cds.filter.fa	134	172	157.9179104477612	130	2	0	2609	20439	NA	0	59	59
ENSMUSP00000009356-mafft-cds.filter.fa	149	276	269.8724832214765	149	0	0	5643	35481	NA	0	95	95
ENSMUSP00000010049-mafft-cds.filter.fa	132	146	141.91666666666666	121	5	0	6059	13213	NA	0	63	63
ENSMUSP00000010434-mafft-cds.filter.fa	155	127	122.6258064516129	137	7	0	3242	16443	NA	0	25	21
ENSMUSP00000013737-mafft-cds.filter.fa	127	313	305.2204724409449	127	0	0	6765	32986	NA	0	172	172
ENSMUSP00000013842-mafft-cds.filter.fa	160	128	119.8875	132	7	0	4254	16226	NA	0	52	52
ENSMUSP00000014370-mafft-cds.filter.fa	114	169	164.48245614035088	114	0	0	4001	15265	NA	0	32	29
ENSMUSP00000015124-mafft-cds.filter.fa	155	118	117.98064516129033	142	6	0	5236	13054	NA	0	1	1
ENSMUSP00000015460-mafft-cds.filter.fa	150	96	94.27333333333333	137	5	0	2967	11433	NA	0	13	12
ENSMUSP00000016105-mafft-cds.filter.fa	126	293	279.35714285714283	126	0	0	9318	27600	NA	0	131	127
ENSMUSP00000016106-mafft-cds.filter.fa	129	89	87.11627906976744	117	6	0	1462	10019	NA	0	15	14
ENSMUSP00000016309-mafft-cds.filter.fa	123	207	197.6178861788618	119	2	0	4015	21446	NA	0	133	131
ENSMUSP00000016315-mafft-cds.filter.fa	147	627	608.0952380952381	147	0	0	16732	75437	NA	0	390	387
ENSMUSP00000016323-mafft-cds.filter.fa	127	442	403.1968503937008	127	0	0	8598	47536	NA	0	284	281
ENSMUSP00000016638-mafft-cds.filter.fa	132	182	179.71212121212122	126	3	0	6081	17943	NA	0	8	6
ENSMUSP00000016672-mafft-cds.filter.fa	120	256	232.3	120	0	0	6563	24157	NA	0	115	114
ENSMUSP00000016673-mafft-cds.filter.fa	103	81	80.6116504854369	83	7	0	3841	4502	NA	0	2	2
ENSMUSP00000018337-mafft-cds.filter.fa	131	394	389.03053435114504	129	1	0	17982	33632	NA	0	112	111
ENSMUSP00000018561-mafft-cds.filter.fa	142	713	678.0352112676056	142	0	0	18825	82421	NA	0	588	588
ENSMUSP00000019861-mafft-cds.filter.fa	137	737	714.9051094890511	137	0	0	20828	80141	NA	0	214	210
ENSMUSP00000023918-mafft-cds.filter.fa	156	555	547.9423076923077	154	1	0	25589	60991	NA	0	194	192
ENSMUSP00000026879-mafft-cds.filter.fa	154	190	183.0974025974026	148	3	0	7490	21770	NA	0	88	88
ENSMUSP00000027032-mafft-cds.filter.fa	123	269	264.5691056910569	121	1	0	6542	26545	NA	0	37	34
