# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f50/mafft//nt/ -f 50 -s 20 -o /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f50/mafft-trimmed
# Runtime:        05/06/2021 19:13:31
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f50/mafft/nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f50/mafft-trimmed-f50-seq20-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f50/mafft-trimmed-f50-seq20-site50/aln-stats-f50-seq20-site50.tab
# ----------------
# 05.06.2021 | 19:13:31 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	188	239	207.76063829787233	186	1	50	0	1	239	239	0	138	239	227.79710144927537	136	1	0	3	1	116	116
ENSMUSP00000000834-mafft-cds.fa	188	292	113.61702127659575	161	9	156	0	0	273	225	0	32	292	244.5625	32	0	0	88	0	51	3
ENSMUSP00000001027-mafft-cds.fa	188	1464	964.9574468085107	188	0	184	0	4	1464	1205	0	4	1464	1214.75	4	0	0	1120	0	261	68
ENSMUSP00000001284-mafft-cds.fa	188	45	27.090425531914892	57	14	187	1	0	18	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000001339-mafft-cds.fa	188	285	215.8404255319149	188	0	82	0	6	285	278	8	106	277	244.78301886792454	106	0	0	7	4	170	167
ENSMUSP00000001724-mafft-cds.fa	188	697	590.281914893617	188	0	39	0	48	610	566	42	149	655	603.1006711409397	149	0	0	6	42	312	295
ENSMUSP00000003135-mafft-cds.fa	188	390	345.1595744680851	188	0	24	0	10	390	384	0	164	390	361.530487804878	164	0	0	2	8	299	293
ENSMUSP00000003554-mafft-cds.fa	188	372	238.10638297872342	188	0	150	0	0	372	335	0	38	372	316.1578947368421	38	0	0	86	0	110	76
ENSMUSP00000003818-mafft-cds.fa	188	210	165.8244680851064	180	4	103	0	1	190	190	0	85	210	206.8	85	0	0	20	0	25	25
ENSMUSP00000004133-mafft-cds.fa	188	782	694.5106382978723	188	0	20	0	1	782	778	5	168	777	713.1785714285714	168	0	0	27	1	418	416
ENSMUSP00000004565-mafft-cds.fa	188	205	163.3031914893617	184	2	64	0	0	205	205	0	124	205	187.0483870967742	122	1	0	0	0	176	176
ENSMUSP00000004994-mafft-cds.fa	188	479	398.54787234042556	188	0	58	4	0	412	402	14	130	465	419.5	130	0	0	23	0	280	280
ENSMUSP00000005470-mafft-cds.fa	188	425	331.1223404255319	188	0	86	0	0	425	421	4	102	421	370.421568627451	102	0	0	53	0	188	186
ENSMUSP00000005817-mafft-cds.fa	186	310	191.9516129032258	175	5	134	0	0	310	299	0	52	310	261.4230769230769	52	0	0	90	0	51	0
