gene	rf	num.tips	rf.zeros	num.tips.zeros
ENSMUSP00000107793	0.184873949579832	122	NA	NA
ENSMUSP00000004201	0.235294117647059	71	NA	NA
ENSMUSP00000097100	0.236686390532544	172	NA	NA
ENSMUSP00000033761	0.171779141104294	166	NA	NA
ENSMUSP00000091532	0.236994219653179	176	NA	NA
ENSMUSP00000155002	0.204081632653061	150	NA	NA
ENSMUSP00000041377	0.221476510067114	152	NA	NA
ENSMUSP00000112827	0.18125	163	NA	NA
ENSMUSP00000030610	0.166666666666667	21	NA	NA
ENSMUSP00000099884	0.244186046511628	175	NA	NA
ENSMUSP00000047329	0.162011173184358	182	NA	NA
ENSMUSP00000063795	0.235955056179775	92	NA	NA
ENSMUSP00000018851	0.103448275862069	177	NA	NA
ENSMUSP00000074729	0.24203821656051	160	NA	NA
ENSMUSP00000122852	0.186046511627907	175	NA	NA
ENSMUSP00000111416	0.242603550295858	172	NA	NA
ENSMUSP00000098687	0.19047619047619	150	NA	NA
ENSMUSP00000089951	0.206185567010309	100	NA	NA
ENSMUSP00000064819	0.246376811594203	141	NA	NA
ENSMUSP00000126377	0.189189189189189	77	NA	NA
ENSMUSP00000096991	0.237704918032787	125	NA	NA
ENSMUSP00000106278	0.202702702702703	151	NA	NA
ENSMUSP00000028841	0.165680473372781	172	NA	NA
ENSMUSP00000044801	0.149171270718232	184	NA	NA
ENSMUSP00000059389	0.196969696969697	135	NA	NA
ENSMUSP00000128287	0.188976377952756	130	NA	NA
ENSMUSP00000045460	0.25	183	NA	NA
ENSMUSP00000051845	0.247126436781609	177	NA	NA
ENSMUSP00000024958	0.23489932885906	152	NA	NA
ENSMUSP00000027706	0.248175182481752	140	NA	NA
ENSMUSP00000006854	0.213114754098361	186	NA	NA
ENSMUSP00000048520	0	10	0	10
ENSMUSP00000030533	0.25	159	NA	NA
ENSMUSP00000107787	0.241830065359477	156	NA	NA
ENSMUSP00000134551	0.115853658536585	167	NA	NA
ENSMUSP00000101200	0.137362637362637	185	NA	NA
ENSMUSP00000104764	0.0740740740740741	57	NA	NA
ENSMUSP00000039248	0.235632183908046	177	NA	NA
ENSMUSP00000070382	0.117021276595745	97	NA	NA
ENSMUSP00000060199	0.133333333333333	183	NA	NA
ENSMUSP00000064892	0.186046511627907	132	NA	NA
ENSMUSP00000151388	0.170454545454545	179	NA	NA
ENSMUSP00000147447	0.15606936416185	176	NA	NA
ENSMUSP00000114584	0.191358024691358	165	NA	NA
ENSMUSP00000046686	0.125	11	NA	NA
ENSMUSP00000092376	0.189189189189189	151	NA	NA
ENSMUSP00000005175	0.25	135	NA	NA
ENSMUSP00000075579	0.12568306010929	186	NA	NA
ENSMUSP00000024988	0.177514792899408	172	NA	NA
ENSMUSP00000099397	0.178082191780822	149	NA	NA
ENSMUSP00000045286	0.232558139534884	132	NA	NA
ENSMUSP00000026888	0.214723926380368	166	NA	NA
ENSMUSP00000106970	0.13125	163	NA	NA
ENSMUSP00000124816	0.195530726256983	182	NA	NA
ENSMUSP00000159250	0.231884057971014	72	NA	NA
ENSMUSP00000051248	0.245614035087719	117	NA	NA
ENSMUSP00000028499	0.243243243243243	151	NA	NA
ENSMUSP00000048119	0.146892655367232	180	NA	NA
ENSMUSP00000027752	0.25	175	NA	NA
ENSMUSP00000143807	0.224	128	NA	NA
ENSMUSP00000108755	0.24203821656051	160	NA	NA
ENSMUSP00000135827	0.114035087719298	117	NA	NA
ENSMUSP00000123915	0.225433526011561	176	NA	NA
ENSMUSP00000119617	0.225806451612903	34	NA	NA
ENSMUSP00000114686	0	9	0	9
ENSMUSP00000087049	0.238095238095238	108	NA	NA
ENSMUSP00000126945	0.231638418079096	180	NA	NA
ENSMUSP00000151534	0.223776223776224	146	NA	NA
ENSMUSP00000021278	0.247058823529412	173	NA	NA
ENSMUSP00000124089	0.195121951219512	167	NA	NA
ENSMUSP00000077297	0.213675213675214	120	NA	NA
ENSMUSP00000127192	0.215568862275449	170	NA	NA
ENSMUSP00000083620	0.227272727272727	91	NA	NA
ENSMUSP00000080062	0.244318181818182	179	NA	NA
ENSMUSP00000053120	0.191860465116279	175	NA	NA
ENSMUSP00000126725	0	4	0	4
ENSMUSP00000052654	0.230769230769231	172	NA	NA
ENSMUSP00000112939	0.115702479338843	124	NA	NA
ENSMUSP00000056967	0.151785714285714	115	NA	NA
ENSMUSP00000139601	0.239766081871345	174	NA	NA
ENSMUSP00000125732	0.238095238095238	171	NA	NA
ENSMUSP00000124569	0.19672131147541	64	NA	NA
ENSMUSP00000113259	0.142857142857143	80	NA	NA
ENSMUSP00000131840	0.237179487179487	159	NA	NA
ENSMUSP00000101648	0.155844155844156	157	NA	NA
ENSMUSP00000022469	0.22289156626506	169	NA	NA
ENSMUSP00000120085	0.189944134078212	182	NA	NA
ENSMUSP00000096196	0.241935483870968	65	NA	NA
ENSMUSP00000142301	0.229885057471264	90	NA	NA
ENSMUSP00000053235	0.241758241758242	185	NA	NA
ENSMUSP00000153479	0.224043715846995	186	NA	NA
ENSMUSP00000031055	0.243055555555556	147	NA	NA
ENSMUSP00000041145	0.21264367816092	177	NA	NA
ENSMUSP00000043304	0.215568862275449	170	NA	NA
ENSMUSP00000153521	0.203488372093023	175	NA	NA
ENSMUSP00000102976	0.230769230769231	146	NA	NA
ENSMUSP00000037443	0.25	175	NA	NA
ENSMUSP00000093406	0.12781954887218	136	NA	NA
ENSMUSP00000138575	0.221590909090909	179	NA	NA
ENSMUSP00000033532	0.213333333333333	153	NA	NA
ENSMUSP00000031628	0.25	151	NA	NA
ENSMUSP00000104405	0.235294117647059	122	NA	NA
ENSMUSP00000105563	0.1875	147	NA	NA
ENSMUSP00000020846	0.211538461538462	159	NA	NA
ENSMUSP00000041571	0.245901639344262	125	NA	NA
ENSMUSP00000099135	0.240963855421687	169	NA	NA
ENSMUSP00000106394	0.202020202020202	102	NA	NA
ENSMUSP00000046152	0.236024844720497	164	NA	NA
ENSMUSP00000121261	0.193370165745856	184	NA	NA
