# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate-filter-tests/seq-f175/mafft-nt/ -g 60 -o ../03-Alignments/exonerate-filter-tests/seq-f175/filter
# Runtime:        03/21/2021 11:04:45
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/mafft-nt
# Sequence gappiness threshold:60
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/filter-seq60-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/filter-seq60-site50/aln-stats.tab
# ----------------
# 03.21.2021 | 11:04:45 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000039621-mafft-cds.fa	193	209	192.78238341968913	185	4	0	0	1	209	NA	0	193	209	192.78238341968913	185	4	NA	0	1	209	NA
ENSMUSP00000091532-mafft-cds.fa	193	839	779.0932642487047	193	0	0	15	0	689	NA	10	193	829	774.7875647668394	193	0	NA	15	0	679	NA
ENSMUSP00000093758-mafft-cds.fa	194	997	936.3453608247422	194	0	1	17	1	770	NA	20	193	977	939.160621761658	193	0	NA	28	1	676	NA
ENSMUSP00000155544-mafft-cds.fa	192	175	156.64583333333334	192	0	5	0	0	175	NA	4	187	171	157.2673796791444	187	0	NA	0	0	171	NA
ENSMUSP00000116756-mafft-cds.fa	192	185	167.05208333333334	164	11	3	0	0	166	NA	6	189	179	166.93650793650792	161	11	NA	0	0	160	NA
ENSMUSP00000073691-mafft-cds.fa	194	695	481.04639175257734	194	0	11	0	1	695	NA	135	183	560	452.85792349726773	183	0	NA	0	1	503	NA
ENSMUSP00000081943-mafft-cds.fa	193	662	171.77720207253887	188	2	193	0	6	655	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000049280-mafft-cds.fa	194	421	380.0154639175258	194	0	1	1	5	311	NA	31	193	390	376.5181347150259	193	0	NA	7	5	273	NA
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	0	0	0	48	NA	30	127	27	26.46456692913386	67	14	NA	0	0	18	NA
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	0	1	0	226	NA	0	179	253	229.7486033519553	168	5	NA	1	0	226	NA
ENSMUSP00000101714-mafft-cds.fa	194	1362	1186.0309278350514	194	0	1	36	0	1189	NA	69	193	1293	1176.6217616580311	193	0	NA	54	0	1096	NA
ENSMUSP00000057312-mafft-cds.fa	192	52	51.505208333333336	84	21	0	5	2	4	NA	0	192	52	51.505208333333336	84	21	NA	5	2	4	NA
ENSMUSP00000022007-mafft-cds.fa	186	59	58.98924731182796	151	9	0	2	0	1	NA	0	186	59	58.98924731182796	151	9	NA	2	0	1	NA
ENSMUSP00000020776-mafft-cds.fa	193	127	115.98445595854922	168	11	2	0	1	127	NA	0	191	127	116.75392670157068	166	11	NA	0	1	86	NA
ENSMUSP00000123155-mafft-cds.fa	190	125	113.46842105263158	139	17	4	0	0	125	NA	0	186	125	115.27956989247312	135	17	NA	3	0	94	NA
ENSMUSP00000061893-mafft-cds.fa	193	238	226.49222797927462	187	3	0	0	2	212	NA	5	193	233	223.1139896373057	187	3	NA	0	2	207	NA
ENSMUSP00000028020-mafft-cds.fa	193	450	427.00518134715026	193	0	3	0	0	450	NA	5	190	445	429.2736842105263	190	0	NA	2	0	349	NA
ENSMUSP00000109881-mafft-cds.fa	193	654	568.2901554404145	193	0	1	0	6	654	NA	31	192	623	561.1510416666666	192	0	NA	0	4	623	NA
ENSMUSP00000031347-mafft-cds.fa	190	152	142.6421052631579	178	5	9	0	0	152	NA	0	181	152	147.41436464088397	172	4	NA	3	0	71	NA
ENSMUSP00000001806-mafft-cds.fa	193	562	528.7461139896373	189	2	3	10	1	408	NA	21	190	541	526.1315789473684	186	2	NA	12	1	350	NA
ENSMUSP00000099760-mafft-cds.fa	193	418	394.1502590673575	193	0	0	1	13	312	NA	8	193	410	390.3419689119171	193	0	NA	1	13	304	NA
ENSMUSP00000140864-mafft-cds.fa	194	387	375.00515463917526	194	0	2	0	0	387	NA	0	192	387	377.875	192	0	NA	2	0	321	NA
ENSMUSP00000028656-mafft-cds.fa	193	245	195.43523316062175	191	1	6	0	0	245	NA	21	187	224	197.54545454545453	185	1	NA	0	0	224	NA
ENSMUSP00000045154-mafft-cds.fa	191	116	109.10994764397905	176	7	0	1	1	46	NA	5	191	111	107.10471204188482	176	7	NA	1	1	42	NA
ENSMUSP00000055528-mafft-cds.fa	193	161	154.7979274611399	174	7	0	1	0	110	NA	4	193	157	152.93264248704662	174	7	NA	1	0	106	NA
ENSMUSP00000125746-mafft-cds.fa	193	300	255.99481865284974	191	1	2	0	0	300	NA	29	191	271	252.3717277486911	188	1	NA	0	0	238	NA
ENSMUSP00000031349-mafft-cds.fa	192	250	238.34375	192	0	0	0	1	197	NA	10	192	240	234.44791666666666	190	1	NA	0	1	187	NA
ENSMUSP00000119606-mafft-cds.fa	194	342	332.2216494845361	168	10	1	8	0	300	NA	0	193	342	333.47668393782385	167	10	NA	17	0	259	NA
ENSMUSP00000028340-mafft-cds.fa	191	138	123.72774869109948	173	9	4	0	0	96	NA	4	187	134	123.57754010695187	167	10	NA	0	0	91	NA
ENSMUSP00000139667-mafft-cds.fa	194	242	226.58247422680412	192	1	1	0	0	199	NA	0	193	242	227.3575129533679	191	1	NA	0	0	199	NA
ENSMUSP00000106166-mafft-cds.fa	192	254	208.50520833333334	192	0	5	0	0	254	NA	21	187	233	210.77540106951872	187	0	NA	0	0	233	NA
ENSMUSP00000105358-mafft-cds.fa	194	257	241.0463917525773	183	5	2	4	0	217	NA	0	192	257	242.59895833333334	181	5	NA	4	0	217	NA
ENSMUSP00000099360-mafft-cds.fa	193	212	203.38860103626942	178	7	1	0	0	212	NA	0	192	212	204.10416666666666	177	7	NA	0	0	186	NA
