# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft/nt/ -f 0 -s 80 -o /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft-trimmed
# Runtime:        05/06/2021 12:52:36
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft/nt
# Sequence gappiness threshold:80
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft-trimmed-f0-seq80-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft-trimmed-f0-seq80-site50/aln-stats-f0-seq80-site50.tab
# ----------------
# 05.06.2021 | 12:52:36 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	188	458	234.8244680851064	186	1	2	0	1	458	240	234	186	224	196.1451612903226	184	1	0	0	1	224	223
ENSMUSP00000000834-mafft-cds.fa	188	292	113.61702127659575	161	9	61	0	0	273	225	56	127	236	147.96062992125985	118	4	0	0	0	217	215
ENSMUSP00000001027-mafft-cds.fa	188	1496	974.2340425531914	188	0	0	0	4	1496	1210	427	188	1069	886.6702127659574	188	0	0	0	4	1069	1065
ENSMUSP00000001284-mafft-cds.fa	188	45	27.090425531914892	57	14	0	1	0	18	0	18	188	27	26.00531914893617	57	14	0	1	0	1	0
ENSMUSP00000001339-mafft-cds.fa	188	285	215.8404255319149	188	0	0	0	6	285	278	60	188	225	189.73936170212767	188	0	0	0	5	225	223
ENSMUSP00000001724-mafft-cds.fa	188	697	590.281914893617	188	0	0	0	48	610	566	70	188	627	565.1436170212766	188	0	0	0	46	540	523
ENSMUSP00000003135-mafft-cds.fa	188	390	345.1595744680851	188	0	0	0	10	390	384	0	188	390	345.1595744680851	188	0	0	0	10	390	384
ENSMUSP00000003554-mafft-cds.fa	188	413	244.25	188	0	3	0	0	413	335	141	185	272	210.69189189189188	183	1	2	0	0	272	270
ENSMUSP00000003818-mafft-cds.fa	188	210	165.8244680851064	180	4	0	0	1	190	190	65	188	145	135.25531914893617	171	7	0	0	1	125	125
ENSMUSP00000004133-mafft-cds.fa	188	782	694.5106382978723	188	0	0	0	1	782	778	98	188	684	649.6542553191489	188	0	0	0	1	684	682
ENSMUSP00000004565-mafft-cds.fa	188	205	163.3031914893617	184	2	0	0	0	205	205	0	188	205	163.3031914893617	184	2	0	0	0	205	205
ENSMUSP00000004994-mafft-cds.fa	188	496	398.6010638297872	188	0	0	4	0	429	402	61	188	435	386.531914893617	188	0	0	4	0	368	368
ENSMUSP00000005470-mafft-cds.fa	188	425	331.1223404255319	188	0	0	0	0	425	421	34	188	391	318.77659574468083	188	0	0	0	0	391	389
ENSMUSP00000005817-mafft-cds.fa	186	310	191.9516129032258	175	5	15	0	0	310	299	52	171	258	190.8830409356725	159	4	18	0	0	258	257
ENSMUSP00000005820-mafft-cds.fa	188	373	223.1595744680851	183	2	3	0	0	373	352	108	185	265	183.03783783783783	178	3	1	0	0	263	261
ENSMUSP00000006037-mafft-cds.fa	188	1578	1307.2446808510638	188	0	0	6	37	1365	1235	159	188	1419	1270.813829787234	188	0	0	6	33	1206	1180
ENSMUSP00000006462-mafft-cds.fa	188	429	382.6595744680851	188	0	1	0	0	399	398	0	187	429	384.27272727272725	187	0	0	0	0	366	365
ENSMUSP00000006716-mafft-cds.fa	181	448	203.26519337016575	166	4	20	0	0	448	363	277	161	171	155.055900621118	154	2	0	0	0	171	169
ENSMUSP00000006718-mafft-cds.fa	188	422	344.8670212765957	186	1	0	0	0	417	410	48	188	374	326.11170212765956	186	1	0	0	0	370	370
ENSMUSP00000006721-mafft-cds.fa	188	197	179.16489361702128	174	6	0	0	0	197	195	3	188	194	178.40425531914894	174	6	0	0	0	194	194
ENSMUSP00000007949-mafft-cds.fa	149	160	119.00671140939598	93	10	0	0	0	141	141	0	149	160	119.00671140939598	93	10	0	0	0	141	141
ENSMUSP00000008280-mafft-cds.fa	188	277	227.02659574468086	188	0	1	0	1	277	277	0	187	277	228.0909090909091	187	0	0	0	1	277	277
ENSMUSP00000009356-mafft-cds.fa	188	417	330.9255319148936	188	0	0	0	0	417	415	42	188	375	320.25531914893617	188	0	0	0	0	375	373
ENSMUSP00000010049-mafft-cds.fa	188	299	192.20744680851064	186	1	1	0	2	299	238	99	187	200	169.79679144385025	181	3	0	0	2	200	200
ENSMUSP00000010434-mafft-cds.fa	185	237	183.34054054054053	177	4	1	0	1	237	231	57	184	180	163.09782608695653	174	5	0	0	0	180	176
ENSMUSP00000013737-mafft-cds.fa	188	477	364.84574468085106	188	0	0	0	22	477	427	91	188	386	344.43617021276594	188	0	0	0	21	386	385
ENSMUSP00000013842-mafft-cds.fa	188	128	118.10106382978724	151	10	1	0	1	107	107	0	187	128	118.62566844919786	150	10	0	2	1	90	90
ENSMUSP00000014370-mafft-cds.fa	188	282	157.07978723404256	183	2	0	0	8	262	148	117	188	165	149.36170212765958	183	2	0	0	6	145	142
