# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate-filter-tests/seq-f175/mafft-nt/ -o ../03-Alignments/exonerate-filter-tests/seq-f175/filter
# Runtime:        03/21/2021 10:01:28
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/mafft-nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/filter-seq20-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/filter-seq20-site50/aln-stats.tab
# ----------------
# 03.21.2021 | 10:01:28 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000039621-mafft-cds.fa	193	209	192.78238341968913	185	4	50	0	1	209	NA	0	143	209	206.44755244755245	139	2	NA	25	1	29	NA
ENSMUSP00000091532-mafft-cds.fa	193	839	779.0932642487047	193	0	15	15	0	689	NA	9	178	830	792.7528089887641	178	0	NA	23	0	462	NA
ENSMUSP00000093758-mafft-cds.fa	194	997	936.3453608247422	194	0	6	17	1	770	NA	20	188	977	945.3670212765958	188	0	NA	28	1	656	NA
ENSMUSP00000155544-mafft-cds.fa	192	175	156.64583333333334	192	0	37	0	0	175	NA	4	155	171	165.89032258064515	155	0	NA	0	0	66	NA
ENSMUSP00000116756-mafft-cds.fa	192	185	167.05208333333334	164	11	32	0	0	166	NA	6	160	179	175.23125	136	9	NA	12	0	85	NA
ENSMUSP00000073691-mafft-cds.fa	194	695	481.04639175257734	194	0	154	0	1	695	NA	0	40	695	588.325	40	0	NA	169	1	386	NA
ENSMUSP00000081943-mafft-cds.fa	193	662	171.77720207253887	188	2	193	0	6	655	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000049280-mafft-cds.fa	194	421	380.0154639175258	194	0	16	1	5	311	NA	31	178	390	383.26404494382024	178	0	NA	14	5	120	NA
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	126	0	0	48	NA	0	1	57	57.0	1	0	NA	57	0	0	NA
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	37	1	0	226	NA	0	142	253	250.95774647887325	131	5	NA	19	0	42	NA
