node.label,clade,node.type,orig.node.label,num.genes.full,num.genes.partial,num.genes.descendant.counted,num.genes.discordant,num.genes.missing,cS,cN,cA,mS,mN,mA
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5860.0,0.0,0.0,0.0,2473.0,130486.0,105913.0,22296.0,2277.0,6115.0,67.0
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7036.0,0.0,0.0,0.0,1297.0,161929.0,130429.0,26988.0,4512.0,6779.0,64.0
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,7724.0,0.0,0.0,0.0,609.0,31794.0,21047.0,5237.0,5510.0,1114.0,16.0
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,6777.0,0.0,0.0,0.0,1556.0,20025.0,11981.0,2835.0,5209.0,1217.0,25.0
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,7825.0,0.0,0.0,0.0,508.0,47600.0,39006.0,7036.0,1558.0,619.0,12.0
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,7649.0,0.0,0.0,0.0,684.0,48654.0,37546.0,7335.0,3773.0,1027.0,18.0
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,7546.0,0.0,0.0,0.0,787.0,60975.0,46645.0,10334.0,3996.0,1246.0,10.0
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,7352.0,0.0,0.0,0.0,981.0,65180.0,49645.0,10511.0,5024.0,1652.0,26.0
rnor6,rnor6,tip,NA,6851.0,0.0,0.0,0.0,1482.0,28196.0,24039.0,4150.0,7.0,735.0,22.0
Rattus_argentiventer_LSUMZ38199,Rattus_argentiventer_LSUMZ38199,tip,NA,7399.0,0.0,0.0,0.0,934.0,26575.0,12353.0,2826.0,11396.0,776.0,6.0
Rattus_hoffmanni_LSUMZ39187,Rattus_hoffmanni_LSUMZ39187,tip,NA,7678.0,0.0,0.0,0.0,655.0,27191.0,13745.0,2477.0,10969.0,604.0,2.0
Rattus_exulans_sample1,Rattus_exulans_sample1,tip,NA,7007.0,0.0,0.0,0.0,1326.0,35365.0,23339.0,4372.0,7654.0,1051.0,14.0
Tarsomys_apoensis_KU167148,Tarsomys_apoensis_KU167148,tip,NA,7443.0,0.0,0.0,0.0,890.0,22741.0,14859.0,3389.0,4493.0,760.0,7.0
Limnomys_sibuanus_FMNH147948,Limnomys_sibuanus_FMNH147948,tip,NA,7562.0,0.0,0.0,0.0,771.0,23532.0,15541.0,3629.0,4362.0,692.0,11.0
Rattus_xanthurus_LSUMZ39196,Rattus_xanthurus_LSUMZ39196,tip,NA,7642.0,0.0,0.0,0.0,691.0,16803.0,8858.0,2273.0,5672.0,372.0,3.0
Rattus_villosissimus_sample1,Rattus_villosissimus_sample1,tip,NA,4503.0,0.0,0.0,0.0,3830.0,11819.0,3364.0,1003.0,7452.0,1044.0,17.0
Rattus_colletti_RAT25,Rattus_colletti_RAT25,tip,NA,7135.0,0.0,0.0,0.0,1198.0,20863.0,5883.0,1338.0,13642.0,987.0,8.0
Rattus_tunneyi_RAT130,Rattus_tunneyi_RAT130,tip,NA,5992.0,0.0,0.0,0.0,2341.0,22609.0,7898.0,2078.0,12633.0,1556.0,25.0
Rattus_lutreolus_sample2,Rattus_lutreolus_sample2,tip,NA,4744.0,0.0,0.0,0.0,3589.0,15722.0,5839.0,1546.0,8337.0,1267.0,23.0
Rattus_leucopus_sample1,Rattus_leucopus_sample1,tip,NA,4253.0,0.0,0.0,0.0,4080.0,11862.0,5192.0,1427.0,5243.0,929.0,16.0
Rattus_praetor_sample1,Rattus_praetor_sample1,tip,NA,3299.0,0.0,0.0,0.0,5034.0,12962.0,3781.0,1087.0,8094.0,917.0,14.0
Rattus_morotaiensis_ASAM29,Rattus_morotaiensis_ASAM29,tip,NA,7744.0,0.0,0.0,0.0,589.0,16435.0,9429.0,2266.0,4740.0,441.0,4.0
Kadarsanomys_sodyi_MZB-Sample,Kadarsanomys_sodyi_MZB-Sample,tip,NA,6413.0,0.0,0.0,0.0,1920.0,31002.0,22852.0,4816.0,3334.0,1135.0,20.0
Nesokia_indica_ABTC117074,Nesokia_indica_ABTC117074,tip,NA,6369.0,0.0,0.0,0.0,1964.0,21532.0,13090.0,3065.0,5377.0,1041.0,15.0
Bandicota_indica_ABTC119185,Bandicota_indica_ABTC119185,tip,NA,6764.0,0.0,0.0,0.0,1569.0,24656.0,16004.0,3689.0,4963.0,999.0,19.0
Genus_sp-nov_NMVZ21816,Genus_sp-nov_NMVZ21816,tip,NA,7556.0,0.0,0.0,0.0,777.0,22014.0,15265.0,3663.0,3086.0,439.0,4.0
Taeromys_celebensis_NMVZ20637,Taeromys_celebensis_NMVZ20637,tip,NA,7349.0,0.0,0.0,0.0,984.0,23599.0,14734.0,3626.0,5239.0,680.0,5.0
Paruromys_dominator_JAE4870,Paruromys_dominator_JAE4870,tip,NA,5296.0,0.0,0.0,0.0,3037.0,20359.0,8967.0,2151.0,9241.0,1190.0,9.0
Lenomys_meyeri_LSUMZ39079,Lenomys_meyeri_LSUMZ39079,tip,NA,7493.0,0.0,0.0,0.0,840.0,20755.0,12942.0,3198.0,4615.0,500.0,9.0
Eropeplus_canus_NMVZ21733,Eropeplus_canus_NMVZ21733,tip,NA,7163.0,0.0,0.0,0.0,1170.0,18174.0,8269.0,2303.0,7602.0,637.0,7.0
Taeromys_hamatus_NMVZ63317,Taeromys_hamatus_NMVZ63317,tip,NA,5647.0,0.0,0.0,0.0,2686.0,15349.0,8095.0,2344.0,4910.0,986.0,16.0
Taeromys_taerae_LSUMZ39224,Taeromys_taerae_LSUMZ39224,tip,NA,7052.0,0.0,0.0,0.0,1281.0,17176.0,9952.0,2693.0,4531.0,843.0,14.0
Taeromys_punicans_MVZ225815,Taeromys_punicans_MVZ225815,tip,NA,7787.0,0.0,0.0,0.0,546.0,16150.0,1562.0,460.0,14128.0,521.0,3.0
