# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate/reproductive-mclennan-coding-mafft-f0/nt/ -f 0 -o ../03-Alignments/exonerate/reproductive-mclennan-coding-trimmed
# Runtime:        05/25/2021 21:07:16
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate/reproductive-mclennan-coding-mafft-f0/nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate/reproductive-mclennan-coding-trimmed-f0-seq20-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate/reproductive-mclennan-coding-trimmed-f0-seq20-site50/aln-stats-f0-seq20-site50.tab
# ----------------
# 05.25.2021 | 21:07:16 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	39	373	233.35897435897436	39	0	34	23	0	281	147	0	5	373	364.8	5	0	0	240	0	1	1
ENSMUSP00000000834-mafft-cds.fa	39	288	99.17948717948718	31	1	34	0	0	267	223	0	5	288	250.2	5	0	0	190	0	45	1
ENSMUSP00000001027-mafft-cds.fa	39	1350	1004.5641025641025	39	0	25	53	0	1105	960	0	14	1350	1154.2142857142858	14	0	0	425	0	338	218
ENSMUSP00000001284-mafft-cds.fa	39	45	27.435897435897434	23	1	38	5	0	18	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000001339-mafft-cds.fa	39	284	202.0	39	0	22	0	0	250	238	0	17	284	241.8235294117647	17	0	0	47	0	118	110
ENSMUSP00000001724-mafft-cds.fa	39	656	610.2564102564103	39	0	1	33	3	216	213	4	38	652	614.1578947368421	38	0	0	62	3	208	205
ENSMUSP00000003135-mafft-cds.fa	39	387	363.43589743589746	39	0	0	33	2	90	87	0	39	387	363.43589743589746	39	0	0	33	2	90	87
ENSMUSP00000003554-mafft-cds.fa	39	413	244.10256410256412	39	0	36	0	0	413	356	0	3	413	355.6666666666667	3	0	0	256	0	66	55
ENSMUSP00000003818-mafft-cds.fa	39	210	159.4102564102564	39	0	23	50	0	82	82	0	16	210	200.9375	16	0	0	98	0	24	24
ENSMUSP00000004133-mafft-cds.fa	39	778	678.4615384615385	39	0	3	10	0	436	436	96	36	682	657.8888888888889	36	0	0	189	0	200	200
ENSMUSP00000004565-mafft-cds.fa	39	205	177.23076923076923	39	0	6	0	0	175	175	0	33	205	188.72727272727272	33	0	0	25	0	141	141
ENSMUSP00000004994-mafft-cds.fa	39	479	403.6666666666667	39	0	10	43	0	328	290	42	29	437	410.0	29	0	0	170	0	141	141
ENSMUSP00000005470-mafft-cds.fa	39	431	317.2307692307692	39	0	22	0	0	385	375	0	17	431	367.4117647058824	17	0	0	176	0	162	152
ENSMUSP00000005817-mafft-cds.fa	39	309	178.74358974358975	37	1	31	0	0	304	294	0	8	309	264.625	8	0	0	190	0	50	0
ENSMUSP00000005820-mafft-cds.fa	39	353	225.43589743589743	39	0	23	2	0	272	271	0	16	353	320.4375	16	0	0	49	0	102	101
ENSMUSP00000006037-mafft-cds.fa	39	1467	1341.871794871795	39	0	3	139	11	782	763	23	36	1444	1348.0555555555557	36	0	0	202	9	524	512
ENSMUSP00000006462-mafft-cds.fa	39	428	386.7692307692308	39	0	4	123	0	153	153	0	35	428	393.8857142857143	35	0	0	159	0	98	98
ENSMUSP00000006716-mafft-cds.fa	35	363	165.68571428571428	31	1	32	0	0	363	184	0	3	363	362.6666666666667	3	0	0	318	0	0	0
ENSMUSP00000006718-mafft-cds.fa	39	415	297.9230769230769	39	0	20	36	0	276	276	0	19	415	396.3157894736842	19	0	0	160	0	38	38
ENSMUSP00000006721-mafft-cds.fa	39	197	170.30769230769232	37	1	16	1	0	75	73	3	23	194	191.3913043478261	23	0	0	86	0	14	14
ENSMUSP00000007949-mafft-cds.fa	21	160	116.33333333333333	13	2	9	43	0	102	102	0	12	160	160.0	10	1	0	113	0	0	0
ENSMUSP00000008280-mafft-cds.fa	39	277	233.25641025641025	39	0	17	0	0	252	252	0	22	277	269.04545454545456	22	0	0	101	0	30	30
ENSMUSP00000009356-mafft-cds.fa	39	415	340.35897435897436	39	0	16	17	0	333	333	0	23	415	388.0	23	0	0	95	0	133	133
ENSMUSP00000010049-mafft-cds.fa	39	293	199.6153846153846	39	0	22	0	0	229	174	0	17	293	241.23529411764707	17	0	0	151	0	55	0
ENSMUSP00000010434-mafft-cds.fa	37	239	183.59459459459458	37	0	23	0	1	115	107	0	14	239	218.71428571428572	14	0	0	83	1	59	51
ENSMUSP00000013737-mafft-cds.fa	39	457	369.38461538461536	39	0	13	7	1	418	357	34	26	423	396.7692307692308	26	0	0	121	1	30	30
ENSMUSP00000013842-mafft-cds.fa	39	128	120.61538461538461	34	2	2	14	0	32	32	0	37	128	122.97297297297297	32	2	0	39	0	32	32
