target_name,protein_coding,feature_type,chrom,strand,gene_id,gene_start,gene_end,gene_length,transcript_id,transcript_start,transcript_end,transcript_length,protein_id,protein_start,protein_end,protein_length,exon_id,exon_no,exon_start,exon_end,exon_length,matching_sample_count,rat_exon_id
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00000157967,TRUE,CDS,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,ENSMUSP00000000514,107597473,107607322,9849,ENSMUSE00000157967,6,107605784,107605936,152,199,ENSRNOE00000023176
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00000332275,TRUE,CDS,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,ENSMUSP00000000514,107597473,107607322,9849,ENSMUSE00000332275,7,107606921,107607322,401,39,ENSRNOE00000023206
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00000363399,FALSE,exon,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,NA,NA,NA,NA,ENSMUSE00000363399,1,107590006,107590287,281,63,NA
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00000692808,TRUE,CDS,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,ENSMUSP00000000514,107597473,107607322,9849,ENSMUSE00000692808,2,107597470,107597637,167,187,ENSRNOE00000023108
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00001224330,TRUE,CDS,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,ENSMUSP00000000514,107597473,107607322,9849,ENSMUSE00001224330,4,107602800,107602917,117,145,NA
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00001237281,TRUE,CDS,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,ENSMUSP00000000514,107597473,107607322,9849,ENSMUSE00001237281,5,107604604,107604746,142,206,ENSRNOE00000023164
chr1_trid-ENSMUST00000000514_exid-ENSMUSE00001272325,TRUE,CDS,1,+,ENSMUSG00000026315,107590006,107610484,20478,ENSMUST00000000514,107590006,107608909,18903,ENSMUSP00000000514,107597473,107607322,9849,ENSMUSE00001272325,3,107598900,107599037,137,179,NA
chr1_trid-ENSMUST00000000834_exid-ENSMUSE00000161954,TRUE,CDS,1,-,ENSMUSG00000000817,161780689,161788495,7806,ENSMUST00000000834,161780689,161788495,7806,ENSMUSP00000000834,161781579,161788282,6703,ENSMUSE00000161954,2,161787105,161787150,45,129,NA
chr1_trid-ENSMUST00000000834_exid-ENSMUSE00000463389,TRUE,CDS,1,-,ENSMUSG00000000817,161780689,161788495,7806,ENSMUST00000000834,161780689,161788495,7806,ENSMUSP00000000834,161781579,161788282,6703,ENSMUSE00000463389,1,161787944,161788285,341,205,ENSRNOE00000028294
chr1_trid-ENSMUST00000000834_exid-ENSMUSE00000487551,TRUE,CDS,1,-,ENSMUSG00000000817,161780689,161788495,7806,ENSMUST00000000834,161780689,161788495,7806,ENSMUSP00000000834,161781579,161788282,6703,ENSMUSE00000487551,4,161781579,161781970,391,65,ENSRNOE00000028256
chr1_trid-ENSMUST00000000834_exid-ENSMUSE00001047403,TRUE,CDS,1,-,ENSMUSG00000000817,161780689,161788495,7806,ENSMUST00000000834,161780689,161788495,7806,ENSMUSP00000000834,161781579,161788282,6703,ENSMUSE00001047403,3,161782948,161783004,56,175,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155195,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155195,19,58070041,58070163,122,112,ENSRNOE00000496241
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155196,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155196,11,58059035,58059186,151,202,ENSRNOE00000491190
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155198,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155198,24,58081503,58081589,86,136,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155201,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155201,13,58061196,58061305,109,193,ENSRNOE00000148927
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155205,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155205,20,58073178,58073274,96,194,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155206,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155206,22,58077443,58077576,133,200,ENSRNOE00000150040
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155207,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155207,10,58058132,58058224,92,198,ENSRNOE00000148384
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155208,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155208,32,58102585,58102650,65,181,ENSRNOE00000492161
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155209,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155209,30,58096960,58097012,52,57,ENSRNOE00000151362
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155210,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155210,26,58085434,58085661,227,138,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155212,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155212,27,58092494,58092589,95,166,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155213,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155213,29,58095155,58095229,74,190,NA
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155215,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155215,28,58094421,58094549,128,195,ENSRNOE00000151038
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155219,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155219,23,58078426,58078513,87,197,ENSRNOE00000150232
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155220,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155220,25,58082012,58082203,191,207,ENSRNOE00000150580
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000155226,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000155226,12,58059379,58059472,93,204,ENSRNOE00000148759
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000241322,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000241322,34,58104965,58105132,167,171,ENSRNOE00000151984
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000241330,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000241330,33,58104319,58104507,188,205,ENSRNOE00000151826
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000428117,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000428117,35,58106028,58106075,47,100,ENSRNOE00000491597
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000428637,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000428637,14,58062132,58062316,184,197,ENSRNOE00000149106
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000860593,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000860593,1,58030017,58030058,41,155,ENSRNOE00000341398
chr1_trid-ENSMUST00000001027_exid-ENSMUSE00000988065,TRUE,CDS,1,+,ENSMUSG00000063558,58029931,58106413,76482,ENSMUST00000001027,58029931,58106413,76482,ENSMUSP00000001027,58030020,58106075,76055,ENSMUSE00000988065,31,58097866,58097980,114,197,ENSRNOE00000151517
