# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i test-2-mafft-175/nt/ -o test-2-filter-175/ --overwrite
# Runtime:        03/16/2021 13:53:59
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-mafft-175/nt
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-filter-175
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/test-2-filter-175/aln-stats.tab
# ----------------
# 03.16.2021 | 13:53:59 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre 20 gap seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre percent sites 20 gap	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post 20 gap seqs	post invariant sites	post stop codons	post percent sites with gap	post percent sites 20 gap
ENSMUSP00000039621-mafft-cds.fa	193	209	192.78238341968913	185	4	50	0	1	209	208	0	143	209	206.44755244755245	139	2	0	25	1	29	28
ENSMUSP00000091532-mafft-cds.fa	193	839	779.0932642487047	193	0	15	15	0	689	681	9	178	830	792.7528089887641	178	0	0	23	0	462	459
ENSMUSP00000116756-mafft-cds.fa	192	185	167.05208333333334	164	11	32	0	0	166	162	6	160	179	175.23125	136	9	0	12	0	85	85
ENSMUSP00000101714-mafft-cds.fa	194	1362	1186.0309278350514	194	0	26	36	0	1189	1131	69	168	1293	1208.3988095238096	168	0	0	81	0	847	842
ENSMUSP00000093758-mafft-cds.fa	194	997	936.3453608247422	194	0	6	17	1	770	748	20	188	977	945.3670212765958	188	0	0	28	1	656	652
ENSMUSP00000081943-mafft-cds.fa	193	671	171.77720207253887	188	2	193	0	6	664	182	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000073691-mafft-cds.fa	194	695	481.04639175257734	194	0	154	0	1	695	642	0	40	695	588.325	40	0	0	169	1	386	333
ENSMUSP00000049280-mafft-cds.fa	194	421	380.0154639175258	194	0	16	1	5	311	286	31	178	390	383.26404494382024	178	0	0	14	5	120	119
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	37	1	0	226	225	0	142	253	250.95774647887325	131	5	0	19	0	42	41
ENSMUSP00000057312-mafft-cds.fa	192	52	51.505208333333336	84	21	0	5	2	4	4	0	192	52	51.505208333333336	84	21	0	5	2	4	4
ENSMUSP00000155544-mafft-cds.fa	192	175	156.64583333333334	192	0	37	0	0	175	173	4	155	171	165.89032258064515	155	0	0	0	0	66	66
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	126	0	0	48	19	0	1	57	57.0	1	0	0	57	0	0	0
ENSMUSP00000022007-mafft-cds.fa	186	59	58.98924731182796	151	9	0	2	0	1	1	0	186	59	58.98924731182796	151	9	0	2	0	1	1
ENSMUSP00000020776-mafft-cds.fa	193	128	115.98445595854922	168	11	28	0	1	128	123	3	165	125	121.45454545454545	142	9	0	5	1	26	23
ENSMUSP00000123155-mafft-cds.fa	190	125	113.46842105263158	139	17	34	0	0	125	124	0	156	125	122.91666666666667	109	15	0	22	0	27	26
ENSMUSP00000061893-mafft-cds.fa	193	238	226.49222797927462	187	3	17	0	2	212	212	0	176	238	231.8068181818182	170	3	0	5	1	73	73
ENSMUSP00000028020-mafft-cds.fa	193	450	427.00518134715026	193	0	12	0	0	450	447	5	181	445	434.585635359116	181	0	0	6	0	186	186
ENSMUSP00000109881-mafft-cds.fa	193	654	568.2901554404145	193	0	33	0	6	654	627	31	160	623	581.1125	160	0	0	6	4	462	454
