# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft/nt/ -f 0 -c 25 -o /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft-trimmed
# Runtime:        05/06/2021 13:54:55
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft/nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:25
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft-trimmed-f0-seq20-site25
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f0/mafft-trimmed-f0-seq20-site25/aln-stats-f0-seq20-site25.tab
# ----------------
# 05.06.2021 | 13:54:55 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	188	458	234.8244680851064	186	1	164	0	1	458	240	0	24	458	371.75	24	0	0	183	0	94	9
ENSMUSP00000000834-mafft-cds.fa	188	292	113.61702127659575	161	9	156	0	0	273	225	0	32	292	244.5625	32	0	0	88	0	51	3
ENSMUSP00000001027-mafft-cds.fa	188	1496	974.2340425531914	188	0	184	0	4	1496	1210	0	4	1496	1245.25	4	0	0	1101	0	273	99
ENSMUSP00000001284-mafft-cds.fa	188	45	27.090425531914892	57	14	187	1	0	18	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000001339-mafft-cds.fa	188	285	215.8404255319149	188	0	82	0	6	285	278	8	106	277	244.78301886792454	106	0	0	7	4	170	167
ENSMUSP00000001724-mafft-cds.fa	188	697	590.281914893617	188	0	39	0	48	610	566	71	149	626	588.2416107382551	149	0	0	6	41	283	266
ENSMUSP00000003135-mafft-cds.fa	188	390	345.1595744680851	188	0	24	0	10	390	384	37	164	353	337.1219512195122	164	0	4	2	8	262	256
ENSMUSP00000003554-mafft-cds.fa	188	413	244.25	188	0	171	0	0	413	335	0	17	413	349.0	17	0	0	141	0	104	59
ENSMUSP00000003818-mafft-cds.fa	188	210	165.8244680851064	180	4	103	0	1	190	190	0	85	210	206.8	85	0	0	20	0	25	25
ENSMUSP00000004133-mafft-cds.fa	188	782	694.5106382978723	188	0	20	0	1	782	778	98	168	684	668.2916666666666	168	0	0	27	1	325	323
ENSMUSP00000004565-mafft-cds.fa	188	205	163.3031914893617	184	2	64	0	0	205	205	0	124	205	187.0483870967742	122	1	0	0	0	176	176
ENSMUSP00000004994-mafft-cds.fa	188	496	398.6010638297872	188	0	83	4	0	429	402	61	105	435	415.62857142857143	105	0	0	42	0	215	215
ENSMUSP00000005470-mafft-cds.fa	188	425	331.1223404255319	188	0	86	0	0	425	421	33	102	392	357.0686274509804	102	0	8	53	0	160	158
ENSMUSP00000005817-mafft-cds.fa	186	310	191.9516129032258	175	5	134	0	0	310	299	52	52	258	255.8846153846154	52	0	0	84	0	2	0
ENSMUSP00000005820-mafft-cds.fa	188	373	223.1595744680851	183	2	124	0	0	373	352	23	64	350	331.765625	64	0	0	13	0	221	219
