# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate/australian-full-coding-mafft-f0/nt/ -f 0 -o ../03-Alignments/exonerate/australian-full-coding-trimmed
# Runtime:        05/27/2021 11:21:41
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate/australian-full-coding-mafft-f0/nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate/australian-full-coding-trimmed-f0-seq20-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate/australian-full-coding-trimmed-f0-seq20-site50/aln-stats-f0-seq20-site50.tab
# ----------------
# 05.27.2021 | 11:21:41 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	43	454	221.58139534883722	43	0	38	0	0	454	239	0	5	454	372.4	5	0	0	359	0	82	1
ENSMUSP00000000834-mafft-cds.fa	42	285	102.02380952380952	30	2	35	10	0	264	92	0	7	285	248.42857142857142	7	0	0	169	0	42	1
ENSMUSP00000001027-mafft-cds.fa	44	1322	973.9090909090909	44	0	27	17	0	1258	1141	0	17	1322	1136.7058823529412	17	0	0	327	0	534	468
ENSMUSP00000001284-mafft-cds.fa	42	45	27.404761904761905	14	2	41	11	0	18	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000001339-mafft-cds.fa	42	280	190.8095238095238	42	0	27	0	0	230	225	0	15	280	244.0	15	0	0	90	0	49	44
ENSMUSP00000001724-mafft-cds.fa	44	655	591.1818181818181	44	0	3	0	8	485	483	30	41	625	597.6829268292682	41	0	0	77	8	133	131
ENSMUSP00000003135-mafft-cds.fa	43	387	343.48837209302326	43	0	4	0	3	281	278	0	39	387	358.94871794871796	39	0	0	74	3	162	159
ENSMUSP00000003554-mafft-cds.fa	42	401	251.23809523809524	42	0	34	0	0	401	368	0	8	401	355.875	8	0	0	190	0	66	33
ENSMUSP00000003818-mafft-cds.fa	43	210	159.09302325581396	41	1	23	0	0	207	207	0	20	210	195.95	20	0	0	99	0	24	24
ENSMUSP00000004133-mafft-cds.fa	44	790	627.75	44	0	13	0	0	763	751	45	31	745	678.5483870967741	31	0	0	287	0	225	224
ENSMUSP00000004565-mafft-cds.fa	43	205	165.53488372093022	43	0	14	0	0	205	205	0	29	205	191.44827586206895	29	0	0	45	0	77	77
ENSMUSP00000004994-mafft-cds.fa	43	513	389.95348837209303	43	0	26	28	0	402	330	0	17	513	432.52941176470586	17	0	0	291	0	138	66
ENSMUSP00000005470-mafft-cds.fa	42	423	302.14285714285717	42	0	27	0	0	373	306	0	15	423	367.2	15	0	0	270	0	67	0
ENSMUSP00000005817-mafft-cds.fa	43	304	177.8139534883721	39	2	30	0	0	304	304	0	13	304	260.15384615384613	13	0	0	103	0	58	58
ENSMUSP00000005820-mafft-cds.fa	42	353	215.6904761904762	42	0	25	0	0	353	351	0	17	353	315.70588235294116	17	0	0	66	0	162	160
ENSMUSP00000006037-mafft-cds.fa	43	1462	1301.1860465116279	43	0	7	60	10	962	948	13	36	1449	1346.0277777777778	36	0	0	276	9	659	652
ENSMUSP00000006462-mafft-cds.fa	43	428	378.48837209302326	43	0	6	0	0	354	354	0	37	428	401.6756756756757	37	0	0	218	0	103	103
ENSMUSP00000006716-mafft-cds.fa	38	362	151.21052631578948	32	2	36	0	0	362	184	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000006718-mafft-cds.fa	44	422	244.86363636363637	44	0	33	0	0	412	368	0	11	422	399.09090909090907	11	0	0	281	0	44	37
ENSMUSP00000006721-mafft-cds.fa	43	195	157.65116279069767	39	1	25	0	0	156	156	0	18	195	190.5	18	0	0	133	0	15	15
ENSMUSP00000007949-mafft-cds.fa	13	160	139.0	11	1	3	53	0	102	102	0	10	160	160.0	10	0	0	117	0	0	0
ENSMUSP00000008280-mafft-cds.fa	42	277	239.5	42	0	14	0	0	277	277	0	28	277	269.5	28	0	0	111	0	58	58
ENSMUSP00000009356-mafft-cds.fa	43	415	341.6744186046512	43	0	17	0	0	414	414	0	26	415	385.3076923076923	26	0	0	110	0	156	156
ENSMUSP00000010049-mafft-cds.fa	43	293	195.8139534883721	43	0	24	0	0	293	238	0	19	293	240.89473684210526	19	0	0	173	0	55	0
ENSMUSP00000010434-mafft-cds.fa	41	235	180.26829268292684	39	1	26	0	1	235	231	0	15	235	214.66666666666666	15	0	0	69	1	55	51
ENSMUSP00000013737-mafft-cds.fa	42	461	354.8333333333333	42	0	18	0	0	461	396	40	24	421	395.625	24	0	0	224	0	29	0
ENSMUSP00000013842-mafft-cds.fa	43	128	118.3953488372093	39	2	3	20	0	37	37	0	40	128	121.175	36	2	0	43	0	33	33
ENSMUSP00000014370-mafft-cds.fa	43	227	159.4418604651163	43	0	41	13	2	154	95	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000015124-mafft-cds.fa	43	166	124.83720930232558	36	3	35	31	0	49	1	0	8	166	160.625	8	0	0	107	0	6	0
ENSMUSP00000015460-mafft-cds.fa	42	324	226.9047619047619	40	1	31	0	0	282	224	0	11	324	271.0	11	0	0	159	0	58	0
ENSMUSP00000016105-mafft-cds.fa	44	448	329.6363636363636	44	0	42	20	8	352	258	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000016106-mafft-cds.fa	42	142	81.52380952380952	34	4	40	0	0	142	92	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000016309-mafft-cds.fa	43	279	203.1627906976744	41	1	20	0	0	206	152	58	23	221	220.91304347826087	21	1	0	142	0	1	1
ENSMUSP00000016315-mafft-cds.fa	43	1170	943.5116279069767	43	0	12	93	0	861	813	49	31	1121	1014.6451612903226	31	0	0	382	0	377	373
ENSMUSP00000016323-mafft-cds.fa	43	469	379.7674418604651	43	0	12	0	0	468	467	0	31	469	415.0	31	0	0	139	0	159	158
ENSMUSP00000016638-mafft-cds.fa	43	387	248.97674418604652	43	0	42	0	0	387	276	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000016668-mafft-cds.fa	42	176	115.95238095238095	40	1	31	0	1	176	155	0	11	176	156.54545454545453	11	0	0	87	0	21	0
ENSMUSP00000016672-mafft-cds.fa	42	335	231.33333333333334	42	0	38	1	0	236	156	0	4	335	322.0	4	0	0	253	0	1	1
ENSMUSP00000016673-mafft-cds.fa	42	178	103.66666666666667	36	3	40	0	0	127	84	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000018337-mafft-cds.fa	43	509	369.3488372093023	41	1	36	42	0	425	315	0	7	509	445.7142857142857	7	0	0	320	0	67	0
ENSMUSP00000018561-mafft-cds.fa	44	1126	901.2272727272727	44	0	15	0	0	1047	995	58	29	1068	993.8965517241379	29	0	0	374	0	443	443
ENSMUSP00000019861-mafft-cds.fa	44	1049	828.6136363636364	44	0	19	30	0	960	866	50	25	999	914.36	25	0	0	366	0	215	212
ENSMUSP00000023918-mafft-cds.fa	44	638	535.4545454545455	44	0	4	0	3	280	195	83	40	555	547.5	40	0	0	291	3	38	35
ENSMUSP00000026879-mafft-cds.fa	43	355	230.34883720930233	41	1	36	67	0	223	97	0	7	355	351.2857142857143	7	0	0	267	0	0	0
ENSMUSP00000027032-mafft-cds.fa	43	2106	605.2093023255813	43	0	42	50	0	1974	1096	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000027040-mafft-cds.fa	44	1585	1390.0681818181818	44	0	7	50	0	1183	1130	53	37	1532	1458.837837837838	37	0	0	428	0	324	321
ENSMUSP00000027049-mafft-cds.fa	44	353	274.09090909090907	44	0	26	0	1	269	229	0	18	353	320.77777777777777	18	0	0	178	1	83	82
ENSMUSP00000027050-mafft-cds.fa	43	331	248.41860465116278	39	2	26	0	0	251	249	0	17	331	305.47058823529414	17	0	0	172	0	77	77
ENSMUSP00000027053-mafft-cds.fa	44	338	231.97727272727272	44	0	34	0	0	260	260	0	10	338	308.9	10	0	0	195	0	43	43
ENSMUSP00000027056-mafft-cds.fa	44	1598	1112.5227272727273	44	0	31	28	0	1476	1308	0	13	1598	1339.4615384615386	13	0	0	618	0	522	379
ENSMUSP00000027061-mafft-cds.fa	43	157	121.81395348837209	43	0	15	0	0	157	147	9	28	148	145.78571428571428	28	0	0	59	0	8	7
ENSMUSP00000027062-mafft-cds.fa	13	206	143.23076923076923	13	0	4	28	0	157	129	28	9	178	176.22222222222223	9	0	0	104	0	4	3
ENSMUSP00000027071-mafft-cds.fa	43	283	199.3953488372093	43	0	34	34	0	186	106	0	9	283	243.11111111111111	9	0	0	117	0	80	67
ENSMUSP00000027083-mafft-cds.fa	43	541	436.2093023255814	43	0	17	0	0	460	426	35	26	506	474.5	26	0	0	115	0	131	129
ENSMUSP00000027089-mafft-cds.fa	43	174	146.90697674418604	43	0	26	44	0	84	81	0	17	174	170.76470588235293	17	0	0	104	0	4	1
ENSMUSP00000027103-mafft-cds.fa	43	688	532.1860465116279	43	0	24	49	0	491	449	0	19	688	625.5263157894736	19	0	0	210	0	236	229
ENSMUSP00000027111-mafft-cds.fa	43	751	566.4418604651163	43	0	27	92	0	469	331	0	16	751	639.9375	16	0	0	439	0	163	109
ENSMUSP00000027114-mafft-cds.fa	44	290	156.22727272727272	37	3	36	15	5	189	163	0	8	290	265.75	8	0	0	175	0	26	0
ENSMUSP00000027121-mafft-cds.fa	44	497	308.34090909090907	44	0	38	0	0	430	359	0	6	497	434.5	6	0	0	183	0	62	59
ENSMUSP00000027123-mafft-cds.fa	44	574	544.6590909090909	44	0	2	15	8	244	239	0	42	574	555.3095238095239	42	0	0	50	8	146	141
ENSMUSP00000027125-mafft-cds.fa	42	248	124.45238095238095	40	1	39	0	4	218	117	0	3	248	223.66666666666666	3	0	0	132	1	8	1
ENSMUSP00000027127-mafft-cds.fa	44	1246	1106.0227272727273	44	0	4	23	1	769	757	14	40	1232	1148.825	40	0	0	280	1	446	443
ENSMUSP00000027128-mafft-cds.fa	43	1109	797.5813953488372	43	0	32	19	0	990	818	0	11	1109	939.4545454545455	11	0	0	476	0	205	68
ENSMUSP00000027131-mafft-cds.fa	44	830	737.8409090909091	44	0	4	52	0	604	603	42	40	788	754.525	40	0	0	140	0	299	298
ENSMUSP00000027139-mafft-cds.fa	44	828	637.2727272727273	44	0	25	0	5	591	510	0	19	828	711.2105263157895	19	0	0	251	2	227	175
ENSMUSP00000027144-mafft-cds.fa	43	1505	1153.1860465116279	43	0	24	61	0	1213	1180	0	19	1505	1311.0	19	0	0	531	0	463	430
ENSMUSP00000027146-mafft-cds.fa	43	281	245.09302325581396	37	3	9	21	0	132	120	13	34	268	257.52941176470586	28	3	0	143	0	46	45
ENSMUSP00000027149-mafft-cds.fa	42	397	293.42857142857144	42	0	24	0	0	397	372	0	18	397	356.44444444444446	18	0	0	158	0	52	27
ENSMUSP00000027151-mafft-cds.fa	41	178	109.6829268292683	31	4	38	2	0	118	68	0	3	178	154.33333333333334	3	0	0	110	0	34	33
ENSMUSP00000027153-mafft-cds.fa	43	424	277.5813953488372	43	0	31	0	0	380	354	0	12	424	375.9166666666667	12	0	0	157	0	96	71
ENSMUSP00000027164-mafft-cds.fa	43	223	180.2093023255814	43	0	12	0	0	134	132	4	31	219	194.29032258064515	31	0	0	64	0	66	66
ENSMUSP00000027165-mafft-cds.fa	44	216	155.97727272727272	40	2	38	39	0	98	38	0	6	216	198.83333333333334	6	0	0	118	0	19	1
