# HyPhy output parser
# PYTHON VERSION: 3.9.4
# Script call:    /home/gt156213e/bin/hyphy-interface/hyphy_to_csv.py -i full-coding-fel-pared/ -m fel -o full-coding-fel-pared.csv --overwrite
# Runtime:        02/07/2022 12:54:16
# ----------------
# IO OPTIONS
# Input directory:       full-coding-fel-pared/
# Hyphy model:           fel
# Output file:           full-coding-fel-pared.csv
# --overwrite set:       Overwriting previous output file.
# ----------------
# 02.07.2022 | 12:54:16 Begin parsing Hyphy output...
# Initial alpha      : 0.01
# Total sites tested : 3606027
# Adjusted alpha     : 2.7731350874522015e-09
file,num.sites,num.sites.alpha.ne.beta,num.sites.ps
ENSMUSP00000027151-mafft-cds.filter.json,177,87,0
ENSMUSP00000016106-mafft-cds.filter.json,89,81,0
ENSMUSP00000027125-mafft-cds.filter.json,96,83,0
ENSMUSP00000000834-mafft-cds.filter.json,141,96,0
ENSMUSP00000003554-mafft-cds.filter.json,239,107,0
ENSMUSP00000016673-mafft-cds.filter.json,81,50,0
ENSMUSP00000003818-mafft-cds.filter.json,210,144,1
ENSMUSP00000010049-mafft-cds.filter.json,146,100,0
ENSMUSP00000005817-mafft-cds.filter.json,34,24,0
ENSMUSP00000027053-mafft-cds.filter.json,202,143,0
ENSMUSP00000014370-mafft-cds.filter.json,169,127,0
ENSMUSP00000010434-mafft-cds.filter.json,127,116,0
ENSMUSP00000027089-mafft-cds.filter.json,171,106,0
ENSMUSP00000027061-mafft-cds.filter.json,78,67,0
ENSMUSP00000027114-mafft-cds.filter.json,269,191,0
ENSMUSP00000026879-mafft-cds.filter.json,190,142,0
ENSMUSP00000005820-mafft-cds.filter.json,89,72,0
ENSMUSP00000018337-mafft-cds.filter.json,394,245,0
ENSMUSP00000015460-mafft-cds.filter.json,96,86,0
ENSMUSP00000004565-mafft-cds.filter.json,205,151,2
ENSMUSP00000001339-mafft-cds.filter.json,152,131,0
ENSMUSP00000015124-mafft-cds.filter.json,118,89,0
ENSMUSP00000027050-mafft-cds.filter.json,203,107,0
ENSMUSP00000027111-mafft-cds.filter.json,469,342,2
ENSMUSP00000006721-mafft-cds.filter.json,142,111,0
ENSMUSP00000016672-mafft-cds.filter.json,256,166,0
ENSMUSP00000001724-mafft-cds.filter.json,600,479,1
ENSMUSP00000016309-mafft-cds.filter.json,207,139,0
ENSMUSP00000027121-mafft-cds.filter.json,276,214,1
ENSMUSP00000027149-mafft-cds.filter.json,84,59,0
ENSMUSP00000016105-mafft-cds.filter.json,293,221,1
ENSMUSP00000027071-mafft-cds.filter.json,203,173,0
ENSMUSP00000000514-mafft-cds.filter.json,200,176,0
ENSMUSP00000027049-mafft-cds.filter.json,273,213,1
ENSMUSP00000005470-mafft-cds.filter.json,274,182,1
ENSMUSP00000016638-mafft-cds.filter.json,182,147,0
ENSMUSP00000027032-mafft-cds.filter.json,269,230,0
ENSMUSP00000013842-mafft-cds.filter.json,128,89,0
ENSMUSP00000008280-mafft-cds.filter.json,172,132,3
ENSMUSP00000006718-mafft-cds.filter.json,413,257,1
ENSMUSP00000027146-mafft-cds.filter.json,271,160,1
ENSMUSP00000027083-mafft-cds.filter.json,454,355,0
ENSMUSP00000006462-mafft-cds.filter.json,366,242,1
ENSMUSP00000009356-mafft-cds.filter.json,276,243,3
ENSMUSP00000003135-mafft-cds.filter.json,352,292,0
ENSMUSP00000016323-mafft-cds.filter.json,442,338,4
ENSMUSP00000013737-mafft-cds.filter.json,313,247,0
ENSMUSP00000027056-mafft-cds.filter.json,953,760,6
ENSMUSP00000027103-mafft-cds.filter.json,513,420,0
ENSMUSP00000027123-mafft-cds.filter.json,579,434,0
ENSMUSP00000004994-mafft-cds.filter.json,441,284,1
ENSMUSP00000027139-mafft-cds.filter.json,579,465,0
ENSMUSP00000027128-mafft-cds.filter.json,564,484,0
ENSMUSP00000001027-mafft-cds.filter.json,852,688,0
ENSMUSP00000016315-mafft-cds.filter.json,627,502,3
ENSMUSP00000027127-mafft-cds.filter.json,1148,870,2
ENSMUSP00000019861-mafft-cds.filter.json,737,595,0
ENSMUSP00000023918-mafft-cds.filter.json,555,362,1
ENSMUSP00000018561-mafft-cds.filter.json,713,509,3
ENSMUSP00000004133-mafft-cds.filter.json,777,580,6
ENSMUSP00000027131-mafft-cds.filter.json,720,582,3
ENSMUSP00000027144-mafft-cds.filter.json,1030,731,3
ENSMUSP00000006037-mafft-cds.filter.json,1290,935,3
ENSMUSP00000027040-mafft-cds.filter.json,1458,1049,0
ENSMUSP00000027153-mafft-cds.filter.json,136,102,0
ENSMUSP00000027164-mafft-cds.filter.json,185,149,1
ENSMUSP00000027165-mafft-cds.filter.json,156,121,0
ENSMUSP00000027198-mafft-cds.filter.json,207,163,0
ENSMUSP00000027178-mafft-cds.filter.json,925,751,2
ENSMUSP00000027215-mafft-cds.filter.json,202,120,0
ENSMUSP00000027217-mafft-cds.filter.json,52,45,0
ENSMUSP00000027226-mafft-cds.filter.json,221,169,0
ENSMUSP00000027231-mafft-cds.filter.json,485,386,14
ENSMUSP00000027233-mafft-cds.filter.json,574,454,9
ENSMUSP00000027237-mafft-cds.filter.json,215,189,0
ENSMUSP00000027241-mafft-cds.filter.json,192,175,0
ENSMUSP00000027243-mafft-cds.filter.json,54,49,0
ENSMUSP00000027247-mafft-cds.filter.json,146,126,0
ENSMUSP00000027249-mafft-cds.filter.json,34,25,0
ENSMUSP00000027251-mafft-cds.filter.json,895,732,3
ENSMUSP00000027263-mafft-cds.filter.json,352,224,0
ENSMUSP00000027265-mafft-cds.filter.json,411,344,0
ENSMUSP00000027267-mafft-cds.filter.json,696,601,1
ENSMUSP00000027271-mafft-cds.filter.json,145,115,0
ENSMUSP00000027269-mafft-cds.filter.json,247,146,0
ENSMUSP00000027287-mafft-cds.filter.json,632,448,8
ENSMUSP00000027291-mafft-cds.filter.json,470,395,9
ENSMUSP00000027297-mafft-cds.filter.json,50,38,0
ENSMUSP00000027303-mafft-cds.filter.json,249,212,2
ENSMUSP00000027302-mafft-cds.filter.json,190,154,0
ENSMUSP00000027312-mafft-cds.filter.json,116,93,0
ENSMUSP00000027322-mafft-cds.filter.json,192,160,1
ENSMUSP00000027331-mafft-cds.filter.json,151,117,0
ENSMUSP00000027339-mafft-cds.filter.json,72,29,0
ENSMUSP00000027356-mafft-cds.filter.json,279,232,0
ENSMUSP00000027366-mafft-cds.filter.json,583,445,1
ENSMUSP00000027367-mafft-cds.filter.json,223,155,1
ENSMUSP00000027368-mafft-cds.filter.json,409,305,0
ENSMUSP00000027379-mafft-cds.filter.json,272,215,2
ENSMUSP00000027384-mafft-cds.filter.json,519,376,0
ENSMUSP00000027393-mafft-cds.filter.json,403,362,0
ENSMUSP00000027396-mafft-cds.filter.json,487,369,2
ENSMUSP00000027401-mafft-cds.filter.json,229,147,0
ENSMUSP00000027404-mafft-cds.filter.json,689,558,2
ENSMUSP00000027405-mafft-cds.filter.json,467,400,1
ENSMUSP00000027409-mafft-cds.filter.json,227,161,4
ENSMUSP00000027422-mafft-cds.filter.json,411,327,4
ENSMUSP00000027414-mafft-cds.filter.json,964,795,1
ENSMUSP00000027425-mafft-cds.filter.json,129,93,0
ENSMUSP00000027431-mafft-cds.filter.json,478,371,0
ENSMUSP00000027438-mafft-cds.filter.json,646,481,6
ENSMUSP00000027429-mafft-cds.filter.json,81,75,0
ENSMUSP00000027444-mafft-cds.filter.json,55,31,0
ENSMUSP00000027449-mafft-cds.filter.json,97,58,0
ENSMUSP00000027432-mafft-cds.filter.json,657,452,1
ENSMUSP00000027455-mafft-cds.filter.json,367,322,4
ENSMUSP00000027463-mafft-cds.filter.json,383,284,2
ENSMUSP00000027464-mafft-cds.filter.json,275,214,1
ENSMUSP00000027467-mafft-cds.filter.json,255,194,0
ENSMUSP00000027487-mafft-cds.filter.json,399,281,7
ENSMUSP00000027488-mafft-cds.filter.json,561,383,2
ENSMUSP00000027491-mafft-cds.filter.json,165,133,0
ENSMUSP00000027493-mafft-cds.filter.json,1068,882,0
ENSMUSP00000027498-mafft-cds.filter.json,337,200,0
ENSMUSP00000027502-mafft-cds.filter.json,356,257,1
ENSMUSP00000027532-mafft-cds.filter.json,166,131,1
ENSMUSP00000027503-mafft-cds.filter.json,30,14,0
ENSMUSP00000027559-mafft-cds.filter.json,287,243,0
ENSMUSP00000027505-mafft-cds.filter.json,211,169,0
ENSMUSP00000027517-mafft-cds.filter.json,619,431,2
ENSMUSP00000027521-mafft-cds.filter.json,707,540,47
ENSMUSP00000027528-mafft-cds.filter.json,251,217,0
ENSMUSP00000027529-mafft-cds.filter.json,31,27,0
ENSMUSP00000027533-mafft-cds.filter.json,337,274,1
ENSMUSP00000027564-mafft-cds.filter.json,315,278,1
ENSMUSP00000027580-mafft-cds.filter.json,325,224,0
ENSMUSP00000027566-mafft-cds.filter.json,224,188,0
ENSMUSP00000027592-mafft-cds.filter.json,140,104,0
ENSMUSP00000027601-mafft-cds.filter.json,306,259,2
ENSMUSP00000027602-mafft-cds.filter.json,263,180,1
ENSMUSP00000027603-mafft-cds.filter.json,94,74,0
ENSMUSP00000027615-mafft-cds.filter.json,497,428,1
ENSMUSP00000027623-mafft-cds.filter.json,57,39,0
ENSMUSP00000027629-mafft-cds.filter.json,321,244,0
ENSMUSP00000027643-mafft-cds.filter.json,27,22,0
ENSMUSP00000027655-mafft-cds.filter.json,385,309,0
ENSMUSP00000027667-mafft-cds.filter.json,493,364,5
ENSMUSP00000027682-mafft-cds.filter.json,484,349,0
ENSMUSP00000027684-mafft-cds.filter.json,125,80,0
ENSMUSP00000027687-mafft-cds.filter.json,145,111,0
ENSMUSP00000027688-mafft-cds.filter.json,228,163,0
ENSMUSP00000027693-mafft-cds.filter.json,180,128,0
ENSMUSP00000027697-mafft-cds.filter.json,368,260,0
ENSMUSP00000027696-mafft-cds.filter.json,360,284,0
ENSMUSP00000027706-mafft-cds.filter.json,732,540,1
ENSMUSP00000027726-mafft-cds.filter.json,296,232,0
ENSMUSP00000027727-mafft-cds.filter.json,244,155,0
ENSMUSP00000027740-mafft-cds.filter.json,176,123,1
ENSMUSP00000027741-mafft-cds.filter.json,445,284,1
ENSMUSP00000027743-mafft-cds.filter.json,118,72,0
ENSMUSP00000027748-mafft-cds.filter.json,111,88,3
ENSMUSP00000027752-mafft-cds.filter.json,1088,881,13
ENSMUSP00000027766-mafft-cds.filter.json,466,337,1
ENSMUSP00000027768-mafft-cds.filter.json,930,746,1
ENSMUSP00000027769-mafft-cds.filter.json,272,197,0
ENSMUSP00000027775-mafft-cds.filter.json,51,38,0
ENSMUSP00000027777-mafft-cds.filter.json,573,445,7
ENSMUSP00000027780-mafft-cds.filter.json,198,127,0
ENSMUSP00000027781-mafft-cds.filter.json,104,79,0
ENSMUSP00000027817-mafft-cds.filter.json,726,581,0
ENSMUSP00000027802-mafft-cds.filter.json,242,210,6
ENSMUSP00000027810-mafft-cds.filter.json,226,179,0
ENSMUSP00000027852-mafft-cds.filter.json,992,747,6
ENSMUSP00000027853-mafft-cds.filter.json,83,33,0
ENSMUSP00000027800-mafft-cds.filter.json,481,377,1
ENSMUSP00000027812-mafft-cds.filter.json,269,178,1
ENSMUSP00000027830-mafft-cds.filter.json,90,86,0
ENSMUSP00000027846-mafft-cds.filter.json,253,186,1
ENSMUSP00000027785-mafft-cds.filter.json,218,156,0
