sample	num alns	num gappy
>mm10	964	0
>Abeomelomys_sevia_KUM161018	897	0
>Crunomys_melanius_KU168558	903	0
>Leopoldomys_sabanus_Z25191	899	0
>Mus_musculoides_LSUMZ37820	900	0
>Paraleptomys_wilhelmina_H126-ABTC133716	903	0
>Pseudomys_patrius_JM10865	897	0
>Thallomys_paedulcus_FMNH158089	894	0
>rnor6	896	0
>Zyzomys_woodwardi_WAMM21724	883	0
>Zyzomys_pedunculatus_Z34925	902	0
>Zyzomys_palatalis_ABTC30744	898	0
>Zyzomys_maini_ABTC07900	902	0
>Zyzomys_argurus_ABTC61630	892	0
>Zelotomys_woosnami_TTU-M115260	899	0
>Xeromys_myoides_ABTC30709	902	0
>Xenuromys_barbatus_ABTC129204	904	0
>Waiomys_mamasae_Z20624	899	0
>Vandeleuria_oleracea_ABTC116404	893	0
>Uromys_sp-nov_YS380	902	0
>Uromys_caudimaculatus_DT10Uc01	903	0
>Thamnomys_venustus_LSUMZ37935	904	0
>Thamnomys_kempi_TCD4437	899	0
>Tateomys_rhinogradoides_Z21785	905	0
>Tateomys_macrocercus_Z21834	895	0
>Tarsomys_apoensis_KU167148	894	0
>Taeromys_taerae_LSUMZ39224	894	0
>Taeromys_punicans_MVZ225815	904	0
>Taeromys_hamatus_NMVZ63317	881	0
>Taeromys_celebensis_NMVZ20637	898	0
>Taeromys_callitrichus_LSUMZ37153	902	0
>Sundamys_muelleri_JAE1283	896	0
>Sundamys_annandalei_YS118	900	0
>Stochomys_longicaudatus_MNHN1999459	889	0
>Sommeromys_macrorhinos_Z21740	895	0
>Solomys_salebrosus_ABTC64864	899	0
>Saxatilomys_paulinae_ABTC116266	903	0
>Rhynchomys_isarogensis_JAE2195	900	0
>Rhabdomys_pumilio_MNHN1995065	892	0
>Rattus_xanthurus_LSUMZ39196	904	0
>Rattus_villosissimus_sample1	879	0
>Rattus_tunneyi_RAT130	883	0
>Rattus_praetor_sample1	854	0
>Rattus_morotaiensis_ASAM29	898	0
>Rattus_lutreolus_sample2	879	0
>Rattus_hoffmanni_LSUMZ39187	900	0
>Rattus_exulans_sample1	892	0
>Rattus_colletti_RAT25	896	0
>Rattus_argentiventer_LSUMZ38199	904	0
>Pseudomys_shortridgei_Z25113	902	0
>Pseudomys_oralis_RAT7	901	0
>Pseudomys_occidentalis_ABTC08043	892	0
>Pseudomys_novaehollandiae_ABTC08140	898	0
>Pseudomys_nanus_U1448	896	0
>Pseudomys_johnsoni_ABTC08053	898	0
>Pseudomys_higginsi_UC1421	900	0
>Pseudomys_hermannsburgensis_ABTC08067	894	0
>Pseudomys_gracilicaudatus_ABTC08163	898	0
>Pseudomys_fumeus_ABTC08168	899	0
>Pseudomys_desertor_ABTC41464	903	0
>Pseudomys_delicatulus_U1509	902	0
>Pseudomys_chapmani_WAMM29440	898	0
>Pseudomys_bolami_ABTC107389	896	0
>Pseudomys_australis_M25541	900	0
>Pseudomys_apodemoides_M16672	903	0
>Pseudomys_albocinereus_WAMM18855	898	0
>Pseudohydromys_pumehanae_ABTC43920	903	0
>Praomys_jacksoni_REC31	895	0
>Praomys_degraaffi_TCD4312	898	0
>Pogonomys_macrourus_ABTC43144	901	0
>Pogonomelomys_mayeri_AMM21849	903	0
>Pithecheir_melanurus_LSUMZ38198	899	0
>Phloeomys_pallidus_JEC43	896	0
>Phloeomys_cumingi_FMNH198472	902	0
>Pelomys_minor_FMNH219213	901	0
>Pelomys_isseli_FMNH137886	903	0
>Paucidentomys_vermidax_Z21914	901	0
>Paruromys_dominator_JAE4870	884	0
>Parahydromys_asper_ABTC45798	894	0
>Papagomys_armandvillei_WAMM32592	901	0
>Otomys_tropicalis_LSUMZ37841	902	0
>Otomys_denti_LSUMZ37840	901	0
>Oenomys_hypoxanthus_LSUMZ37838	903	0
>Notomys_mitchellii_M21518	894	0
