# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate-filter-tests/seq/mafft-nt/ -g 40 -o ../03-Alignments/exonerate-filter-tests/seq/filter
# Runtime:        03/20/2021 22:31:22
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq/mafft-nt
# Sequence gappiness threshold:40
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq/filter-seq40-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq/filter-seq40-site50/aln-stats.tab
# ----------------
# 03.20.2021 | 22:31:22 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000039621-mafft-cds.fa	193	354	276.0673575129534	191	1	29	0	1	354	NA	30	164	324	285.5182926829268	164	0	NA	0	1	264	NA
ENSMUSP00000091532-mafft-cds.fa	193	972	842.860103626943	193	0	4	15	0	834	NA	40	189	932	841.7460317460317	189	0	NA	15	0	754	NA
ENSMUSP00000093758-mafft-cds.fa	194	1135	1012.7989690721649	194	0	2	17	1	908	NA	67	192	1068	1003.203125	192	0	NA	28	1	750	NA
ENSMUSP00000155544-mafft-cds.fa	192	254	191.65104166666666	192	0	27	0	0	254	NA	26	165	228	199.52121212121213	165	0	NA	0	0	156	NA
ENSMUSP00000116756-mafft-cds.fa	192	267	209.140625	183	4	22	0	0	248	NA	25	170	242	218.31764705882352	163	3	NA	0	0	223	NA
ENSMUSP00000073691-mafft-cds.fa	194	754	491.97938144329896	194	0	54	0	1	754	NA	104	140	650	526.0571428571428	140	0	NA	8	1	589	NA
ENSMUSP00000081943-mafft-cds.fa	193	662	171.77720207253887	188	2	193	0	6	655	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000049280-mafft-cds.fa	194	454	397.95360824742266	194	0	5	1	5	344	NA	31	189	423	397.8941798941799	189	0	NA	8	5	274	NA
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	126	0	0	48	NA	0	1	57	57.0	1	0	NA	57	0	0	NA
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	26	1	0	226	NA	0	153	253	244.92156862745097	142	5	NA	9	0	142	NA
