# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate-filter-tests/seq-f50/mafft-nt/ -o ../03-Alignments/exonerate-filter-tests/seq-f50/filter
# Runtime:        03/21/2021 14:57:10
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f50/mafft-nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f50/filter-seq20-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f50/filter-seq20-site50/aln-stats.tab
# ----------------
# 03.21.2021 | 14:57:10 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000039621-mafft-cds.fa	193	325	270.37823834196894	191	1	55	0	1	325	NA	0	138	325	295.6666666666667	138	0	NA	9	1	163	NA
ENSMUSP00000091532-mafft-cds.fa	193	954	842.7668393782384	193	0	22	15	0	816	NA	18	171	936	860.9883040935673	171	0	NA	35	0	500	NA
ENSMUSP00000093758-mafft-cds.fa	194	1135	1012.7989690721649	194	0	13	17	1	908	NA	67	181	1068	1013.707182320442	181	0	NA	33	1	622	NA
ENSMUSP00000155544-mafft-cds.fa	192	254	191.65104166666666	192	0	138	0	0	254	NA	0	54	254	232.24074074074073	54	0	NA	28	0	59	NA
ENSMUSP00000116756-mafft-cds.fa	192	267	209.140625	183	4	80	0	0	248	NA	25	112	242	237.70535714285714	109	1	NA	38	0	41	NA
ENSMUSP00000073691-mafft-cds.fa	194	754	491.97938144329896	194	0	173	0	1	754	NA	0	21	754	628.6666666666666	21	0	NA	299	0	252	NA
ENSMUSP00000081943-mafft-cds.fa	193	662	171.77720207253887	188	2	193	0	6	655	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000049280-mafft-cds.fa	194	454	397.95360824742266	194	0	19	1	5	344	NA	31	175	423	403.33714285714285	175	0	NA	11	5	153	NA
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	126	0	0	48	NA	0	1	57	57.0	1	0	NA	57	0	0	NA
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	37	1	0	226	NA	0	142	253	250.95774647887325	131	5	NA	19	0	42	NA
ENSMUSP00000101714-mafft-cds.fa	194	1593	1277.5567010309278	194	0	72	36	2	1419	NA	150	122	1443	1335.122950819672	122	0	NA	172	2	759	NA
ENSMUSP00000057312-mafft-cds.fa	192	148	96.52083333333333	131	12	101	5	11	100	NA	0	91	148	145.2967032967033	89	1	NA	20	10	10	NA
ENSMUSP00000022007-mafft-cds.fa	190	193	146.93157894736842	184	2	74	0	1	193	NA	11	116	182	177.5	112	1	NA	8	1	30	NA
