# GFF/GTF parsing and conversion.
# PYTHON VERSION: 3.8.5
# Script call:    /home/gt156213e/bin/core/gxf_parse.py -i ../Reference-genomes/Rnor6/Rattus_norvegicus.Rnor_6.0.99.gtf.gz -s ensembl -p ENSRNO -o rnor6-transcripts.tab --nogenes --noexons
# Runtime:        12/04/2020 10:27:13
# ----------------
# Input file:            ../Reference-genomes/Rnor6/Rattus_norvegicus.Rnor_6.0.99.gtf.gz
# Input source:          ensembl
# Feature ID prefix:     ENSRNO
# Output file:           rnor6-transcripts.tab
# --nogenes set:         Not writing gene coordinates and IDs.
# --noexons set:         Not writing exon coordinates and IDs.
# ----------------
# 12.04.2020 | 10:27:13 Detecting compression...
# 12.04.2020 | 10:27:13 Reading genes...
# Genes read:            32883
# ----------------
# 12.04.2020 | 10:27:18 Reading transcripts...
# Transcripts read:      41078
# ----------------
# 12.04.2020 | 10:27:22 Reading CDS...
# CDS read:              273952
# ----------------
# 12.04.2020 | 10:27:30 Writing output...
feature id	feature type	chr	start	end	strand	parent ids	num child features
ENSRNOT00000044187	processed_transcript transcript	1	396700	409676	+	ENSRNOG00000046319	0
ENSRNOT00000072186	processed_transcript transcript	1	396700	409676	+	ENSRNOG00000046319	0
ENSRNOT00000093216	processed_transcript transcript	1	396840	409750	+	ENSRNOG00000046319	0
ENSRNOT00000072360	protein_coding transcript	1	699413	708065	+	ENSRNOG00000047964	6
ENSRNOT00000073546	protein_coding transcript	1	744616	755645	-	ENSRNOG00000050370	6
ENSRNOT00000041332	protein_coding transcript	1	804862	813517	-	ENSRNOG00000032365	6
ENSRNOT00000062027	protein_coding transcript	1	1101965	1116926	-	ENSRNOG00000040300	7
ENSRNOT00000077244	snoRNA transcript	1	1115869	1115990	+	ENSRNOG00000058808	0
ENSRNOT00000087443	protein_coding transcript	1	1180932	1220916	+	ENSRNOG00000061316	4
ENSRNOT00000075346	protein_coding transcript	1	1390128	1392329	-	ENSRNOG00000050129	4
ENSRNOT00000087543	lincRNA transcript	1	1439099	1442186	-	ENSRNOG00000040316	0
ENSRNOT00000062051	lincRNA transcript	1	1439099	1442186	-	ENSRNOG00000040316	0
ENSRNOT00000028992	protein_coding transcript	1	1454868	1474846	-	ENSRNOG00000023659	5
ENSRNOT00000044523	protein_coding transcript	1	1545134	1546169	+	ENSRNOG00000029897	1
ENSRNOT00000062030	protein_coding transcript	1	1617385	1619634	+	ENSRNOG00000042852	4
ENSRNOT00000077178	snoRNA transcript	1	1628117	1628234	-	ENSRNOG00000061806	0
ENSRNOT00000083044	protein_coding transcript	1	1669086	1669361	-	ENSRNOG00000055877	1
ENSRNOT00000019181	protein_coding transcript	1	1702696	1731210	+	ENSRNOG00000014303	6
ENSRNOT00000085174	miRNA transcript	1	1726382	1726514	-	ENSRNOG00000051899	0
ENSRNOT00000019623	protein_coding transcript	1	1736276	1767618	-	ENSRNOG00000014330	6
ENSRNOT00000080138	protein_coding transcript	1	1771710	1782091	+	ENSRNOG00000049505	8
ENSRNOT00000073528	protein_coding transcript	1	1771721	1781554	+	ENSRNOG00000049505	7
ENSRNOT00000020098	protein_coding transcript	1	1784078	1817310	+	ENSRNOG00000014916	7
ENSRNOT00000020417	protein_coding transcript	1	1825872	1867787	+	ENSRNOG00000014996	10
ENSRNOT00000020810	protein_coding transcript	1	1870388	1885981	-	ENSRNOG00000015239	8
ENSRNOT00000082003	pseudogene transcript	1	1885876	1886209	+	ENSRNOG00000055508	0
ENSRNOT00000087944	protein_coding transcript	1	1888877	1889236	-	ENSRNOG00000053710	1
ENSRNOT00000021437	protein_coding transcript	1	1897338	1929763	+	ENSRNOG00000015552	13
ENSRNOT00000065646	protein_coding transcript	1	1938419	1972918	+	ENSRNOG00000016041	5
ENSRNOT00000061999	protein_coding transcript	1	1999596	2073896	-	ENSRNOG00000016054	4
ENSRNOT00000021905	protein_coding transcript	1	2000923	2017488	-	ENSRNOG00000016054	6
ENSRNOT00000022003	protein_coding transcript	1	2333778	2627747	-	ENSRNOG00000016381	8
ENSRNOT00000080492	snRNA transcript	1	2720299	2720403	+	ENSRNOG00000054005	0
ENSRNOT00000082859	lincRNA transcript	1	2750892	2762394	-	ENSRNOG00000059137	0
ENSRNOT00000017688	protein_coding transcript	1	2782864	2846200	-	ENSRNOG00000013160	15
ENSRNOT00000079768	snoRNA transcript	1	2886222	2886353	-	ENSRNOG00000052788	0
ENSRNOT00000034744	protein_coding transcript	1	3713750	3763392	-	ENSRNOG00000023549	2
ENSRNOT00000045301	protein_coding transcript	1	3848619	3849080	-	ENSRNOG00000031859	1
ENSRNOT00000049699	protein_coding transcript	1	3858909	4011353	-	ENSRNOG00000013351	28
ENSRNOT00000040559	protein_coding transcript	1	3861953	4011511	-	ENSRNOG00000013351	26
ENSRNOT00000044778	protein_coding transcript	1	3862091	4011161	-	ENSRNOG00000013351	25
ENSRNOT00000086489	snoRNA transcript	1	3952552	3952682	-	ENSRNOG00000061755	0
ENSRNOT00000087887	lincRNA transcript	1	4328345	4356492	-	ENSRNOG00000053182	0
