pid,sample,gid,tid,eid,mm-exons,exonerate hits
ENSMUSP00000039621,Abeomelomys_sevia_KUM161018,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Carpomys_melanurus_FMNH198723,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Eropeplus_canus_NMVZ21733,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,4
ENSMUSP00000039621,Leptomys_elegans_ABTC45741,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Mirzamys_louiseae_ABTC133754,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Oenomys_hypoxanthus_LSUMZ37838,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Praomys_degraaffi_TCD4312,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rattus_argentiventer_LSUMZ38199,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Taeromys_taerae_LSUMZ39224,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Zyzomys_woodwardi_WAMM21724,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Zyzomys_pedunculatus_Z34925,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Zyzomys_palatalis_ABTC30744,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Zyzomys_maini_ABTC07900,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Zyzomys_argurus_ABTC61630,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Xeromys_myoides_ABTC30709,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Waiomys_mamasae_Z20624,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Uromys_sp-nov_YS380,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Thamnomys_venustus_LSUMZ37935,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Thamnomys_kempi_TCD4437,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Tateomys_rhinogradoides_Z21785,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Tateomys_macrocercus_Z21834,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Tarsomys_apoensis_KU167148,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Taeromys_punicans_MVZ225815,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Taeromys_hamatus_NMVZ63317,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,2
ENSMUSP00000039621,Sundamys_muelleri_JAE1283,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Sundamys_annandalei_YS118,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Stochomys_longicaudatus_MNHN1999459,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,4
ENSMUSP00000039621,Sommeromys_macrorhinos_Z21740,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Saxatilomys_paulinae_ABTC116266,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rhynchomys_isarogensis_JAE2195,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rhabdomys_pumilio_MNHN1995065,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rattus_xanthurus_LSUMZ39196,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rattus_villosissimus_sample1,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rattus_tunneyi_RAT130,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,5
ENSMUSP00000039621,Rattus_morotaiensis_ASAM29,ENSMUSG00000033970,ENSMUST00000038131,ENSMUSE00001291549,9,4
