ENSMUSG00000033970	ENSMUST00000038131	ENSMUSP00000039621	ENSRNOG00000001088	ENSRNOT00000001444	ENSRNOP00000001444
ENSMUSG00000000632	ENSMUST00000093995	ENSMUSP00000091532	ENSRNOG00000009350	ENSRNOT00000048543	ENSRNOP00000040374
ENSMUSG00000036097	ENSMUST00000096053	ENSMUSP00000093758	ENSRNOG00000014482	ENSRNOT00000082412	ENSRNOP00000069230
ENSMUSG00000055447	ENSMUST00000229101	ENSMUSP00000155856	ENSRNOG00000001964	ENSRNOT00000078221	ENSRNOP00000068714
ENSMUSG00000027887	ENSMUST00000141387	ENSMUSP00000116756	ENSRNOG00000019780	ENSRNOT00000026883	ENSRNOP00000026883
ENSMUSG00000017670	ENSMUST00000074046	ENSMUSP00000073691	ENSRNOG00000018747	ENSRNOT00000049262	ENSRNOP00000039023
ENSMUSG00000006356	ENSMUST00000084882	ENSMUSP00000081943	ENSRNOG00000005041	ENSRNOT00000006804	ENSRNOP00000006804
ENSMUSG00000055491	ENSMUST00000111899	ENSMUSP00000107530	ENSRNOG00000018561	ENSRNOT00000025221	ENSRNOP00000025222
ENSMUSG00000034083	ENSMUST00000037783	ENSMUSP00000049280	ENSRNOG00000010090	ENSRNOT00000013498	ENSRNOP00000013498
ENSMUSG00000067787	ENSMUST00000109528	ENSMUSP00000105154	ENSRNOG00000024437	ENSRNOT00000033525	ENSRNOP00000031525
ENSMUSG00000050860	ENSMUST00000150134	ENSMUSP00000117244	ENSRNOG00000005569	ENSRNOT00000007352	ENSRNOP00000007352
ENSMUSG00000042446	ENSMUST00000106108	ENSMUSP00000101714	ENSRNOG00000012397	ENSRNOT00000016992	ENSRNOP00000016992
ENSMUSG00000021534	ENSMUST00000022007	ENSMUSP00000022007	ENSRNOG00000047406	ENSRNOT00000071842	ENSRNOP00000064743
ENSMUSG00000020482	ENSMUST00000020776	ENSMUSP00000020776	ENSRNOG00000010706	ENSRNOT00000015627	ENSRNOP00000015627
ENSMUSG00000059278	ENSMUST00000144531	ENSMUSP00000123155	ENSRNOG00000009823	ENSRNOT00000013071	ENSRNOP00000013071
ENSMUSG00000018381	ENSMUST00000059026	ENSMUSP00000061893	ENSRNOG00000005575	ENSRNOT00000007897	ENSRNOP00000007897
ENSMUSG00000026697	ENSMUST00000028020	ENSMUSP00000028020	ENSRNOG00000003221	ENSRNOT00000004386	ENSRNOP00000004386
ENSMUSG00000047361	ENSMUST00000114243	ENSMUSP00000109881	ENSRNOG00000022723	ENSRNOT00000037555	ENSRNOP00000032953
ENSMUSG00000029401	ENSMUST00000031347	ENSMUSP00000031347	ENSRNOG00000001061	ENSRNOT00000001403	ENSRNOP00000001403
ENSMUSG00000001755	ENSMUST00000001806	ENSMUSP00000001806	ENSRNOG00000019918	ENSRNOT00000027061	ENSRNOP00000027061
ENSMUSG00000028687	ENSMUST00000102699	ENSMUSP00000099760	ENSRNOG00000017887	ENSRNOT00000024375	ENSRNOP00000024375
ENSMUSG00000044795	ENSMUST00000108660	ENSMUSP00000104300	ENSRNOG00000045742	ENSRNOT00000074505	ENSRNOP00000066788
ENSMUSG00000026209	ENSMUST00000185797	ENSMUSP00000140864	ENSRNOG00000019772	ENSRNOT00000026799	ENSRNOP00000026799
ENSMUSG00000027225	ENSMUST00000028656	ENSMUSP00000028656	ENSRNOG00000017805	ENSRNOT00000024201	ENSRNOP00000024201
ENSMUSG00000034723	ENSMUST00000038228	ENSMUSP00000045154	ENSRNOG00000024852	ENSRNOT00000034567	ENSRNOP00000032896
ENSMUSG00000045377	ENSMUST00000050140	ENSMUSP00000055528	ENSRNOG00000009870	ENSRNOT00000013439	ENSRNOP00000013439
ENSMUSG00000063334	ENSMUST00000163048	ENSMUSP00000125746	ENSRNOG00000004035	ENSRNOT00000063917	ENSRNOP00000059249
ENSMUSG00000029402	ENSMUST00000031349	ENSMUSP00000031349	ENSRNOG00000001060	ENSRNOT00000001402	ENSRNOP00000001402
ENSMUSG00000037514	ENSMUST00000150843	ENSMUSP00000119606	ENSRNOG00000025286	ENSRNOT00000033554	ENSRNOP00000036035
ENSMUSG00000052837	ENSMUST00000209372		ENSRNOG00000042838	ENSRNOT00000067780	ENSRNOP00000061729
ENSMUSG00000026963	ENSMUST00000028340	ENSMUSP00000028340	ENSRNOG00000040275	ENSRNOT00000061987	ENSRNOP00000058698
ENSMUSG00000061080	ENSMUST00000187695	ENSMUSP00000139667	ENSRNOG00000031852	ENSRNOT00000047907	ENSRNOP00000040165
ENSMUSG00000027224	ENSMUST00000110537	ENSMUSP00000106166	ENSRNOG00000018005	ENSRNOT00000024245	ENSRNOP00000024246
ENSMUSG00000052926	ENSMUST00000147812	ENSMUSP00000120374	ENSRNOG00000003504	ENSRNOT00000046181	ENSRNOP00000049148
ENSMUSG00000020713	ENSMUST00000103071	ENSMUSP00000099360	ENSRNOG00000011207	ENSRNOT00000015818	ENSRNOP00000015818
ENSMUSG00000020658	ENSMUST00000111178	ENSMUSP00000106809	ENSRNOG00000012950	ENSRNOT00000068214	ENSRNOP00000062505
ENSMUSG00000026021	ENSMUST00000091374	ENSMUSP00000088935	ENSRNOG00000016133	ENSRNOT00000022047	ENSRNOP00000022048
ENSMUSG00000028863	ENSMUST00000106171	ENSMUSP00000101777	ENSRNOG00000009309	ENSRNOT00000067204	ENSRNOP00000063845
ENSMUSG00000035711	ENSMUST00000047877	ENSMUSP00000046695	ENSRNOG00000013564	ENSRNOT00000018232	ENSRNOP00000018232
ENSMUSG00000029049	ENSMUST00000030915	ENSMUSP00000030915	ENSRNOG00000014642	ENSRNOT00000019930	ENSRNOP00000019930
ENSMUSG00000038611	ENSMUST00000106027	ENSMUSP00000101648	ENSRNOG00000017299	ENSRNOT00000051755	ENSRNOP00000046880
ENSMUSG00000040592	ENSMUST00000044228	ENSMUSP00000048239	ENSRNOG00000011917	ENSRNOT00000015976	ENSRNOP00000015977
ENSMUSG00000026663	ENSMUST00000027974	ENSMUSP00000027974	ENSRNOG00000024632	ENSRNOT00000029202	ENSRNOP00000032766
ENSMUSG00000074736	ENSMUST00000109934	ENSMUSP00000105560	ENSRNOG00000031536	ENSRNOT00000068210	ENSRNOP00000060788
ENSMUSG00000038116	ENSMUST00000037401	ENSMUSP00000043138	ENSRNOG00000019948	ENSRNOT00000027067	ENSRNOP00000027067
ENSMUSG00000056888	ENSMUST00000162508	ENSMUSP00000123990	ENSRNOG00000026644	ENSRNOT00000005399	ENSRNOP00000005399
ENSMUSG00000032551	ENSMUST00000035154	ENSMUSP00000035154	ENSRNOG00000004135	ENSRNOT00000005502	ENSRNOP00000005502
ENSMUSG00000029076	ENSMUST00000105579	ENSMUSP00000101204	ENSRNOG00000019981	ENSRNOT00000027215	ENSRNOP00000027215
ENSMUSG00000052488	ENSMUST00000079510	ENSMUSP00000078469	ENSRNOG00000012323	ENSRNOT00000017424	ENSRNOP00000017424
ENSMUSG00000001027	ENSMUST00000021056	ENSMUSP00000021056	ENSRNOG00000012134	ENSRNOT00000016841	ENSRNOP00000016841
ENSMUSG00000035200	ENSMUST00000034854	ENSMUSP00000034854	ENSRNOG00000014427	ENSRNOT00000019458	ENSRNOP00000019458
ENSMUSG00000018401	ENSMUST00000103179	ENSMUSP00000099468	ENSRNOG00000007496	ENSRNOT00000009943	ENSRNOP00000009943
