node.label,clade,node.type,orig.node.label,num.genes.concordant.full,num.genes.concordant.partial,num.genes.discordant,num.genes.paraphyletic,num.genes.nondecisive,ES,EN,S,N,avg.ES,avg.EN,avg.S,avg.N,dS,dN,dNdS
Lophuromys_woosnami_LSUMZ37793,Lophuromys_woosnami_LSUMZ37793,tip,NA,7040.0,0.0,0.0,0.0,4654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Lophiomys_imhausi_UM5152,Lophiomys_imhausi_UM5152,tip,NA,5866.0,0.0,0.0,0.0,5828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Phloeomys_cumingi_FMNH198472,Phloeomys_cumingi_FMNH198472,tip,NA,10398.0,0.0,0.0,0.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Phloeomys_pallidus_JEC43,Phloeomys_pallidus_JEC43,tip,NA,8895.0,0.0,0.0,0.0,2799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Carpomys_melanurus_FMNH198723,Carpomys_melanurus_FMNH198723,tip,NA,10681.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Musseromys_anacuao_FMNH209523,Musseromys_anacuao_FMNH209523,tip,NA,10238.0,0.0,0.0,0.0,1456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Crateromys_heaneyi_KU165014,Crateromys_heaneyi_KU165014,tip,NA,10119.0,0.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Batomys_russatus_KU165776,Batomys_russatus_KU165776,tip,NA,9671.0,0.0,0.0,0.0,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Rattus_hoffmanni_LSUMZ39187,Rattus_hoffmanni_LSUMZ39187,tip,NA,10462.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Rattus_argentiventer_LSUMZ38199,Rattus_argentiventer_LSUMZ38199,tip,NA,9757.0,0.0,0.0,0.0,1937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Tarsomys_apoensis_KU167148,Tarsomys_apoensis_KU167148,tip,NA,9882.0,0.0,0.0,0.0,1812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
Limnomys_sibuanus_FMNH147948,Limnomys_sibuanus_FMNH147948,tip,NA,10234.0,0.0,0.0,0.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
