loci	withRef_len	noRef_len
ENSMUSG00000000001.phy	1780	3667
ENSMUSG00000000028.phy	2291	4334
ENSMUSG00000000049.phy	970	963
ENSMUSG00000000056.phy	1518	1646
ENSMUSG00000000058.phy	1471	632
ENSMUSG00000000085.phy	3150	6724
ENSMUSG00000000088.phy	331	330
ENSMUSG00000000094.phy	2322	2327
ENSMUSG00000000120.phy	661	653
ENSMUSG00000000125.phy	999	1010
ENSMUSG00000000127.phy	9142	9113
ENSMUSG00000000131.phy	3158	3656
ENSMUSG00000000134.phy	4193	4218
ENSMUSG00000000142.phy	2626	2681
ENSMUSG00000000148.phy	2740	2738
ENSMUSG00000000149.phy	206	206
ENSMUSG00000000154.phy	2998	2559
ENSMUSG00000000167.phy	1487	1507
ENSMUSG00000000168.phy	1895	2763
ENSMUSG00000000183.phy	549	592
ENSMUSG00000000184.phy	1433	1412
ENSMUSG00000000194.phy	2054	590
ENSMUSG00000000197.phy	12642	12621
ENSMUSG00000000202.phy	1797	501
ENSMUSG00000000214.phy	1584	2577
ENSMUSG00000000215.phy	1068	1067
ENSMUSG00000000216.phy	6331	6369
ENSMUSG00000000223.phy	6697	6732
ENSMUSG00000000244.phy	1862	1467
ENSMUSG00000000247.phy	2776	2705
ENSMUSG00000000253.phy	2389	280
ENSMUSG00000000263.phy	2783	4870
ENSMUSG00000000266.phy	437	436
ENSMUSG00000000275.phy	1114	340
ENSMUSG00000000276.phy	3612	3617
ENSMUSG00000000278.phy	2606	1612
ENSMUSG00000000282.phy	755	732
ENSMUSG00000000290.phy	2226	7075
ENSMUSG00000000295.phy	1086	1069
ENSMUSG00000000296.phy	1143	1114
ENSMUSG00000000303.phy	3064	3099
ENSMUSG00000000305.phy	4211	4083
ENSMUSG00000000308.phy	4122	4069
ENSMUSG00000000317.phy	3601	3500
ENSMUSG00000000320.phy	4400	4417
ENSMUSG00000000325.phy	2441	6555
ENSMUSG00000000326.phy	1045	1916
ENSMUSG00000000339.phy	984	986
ENSMUSG00000000340.phy	4077	4283
ENSMUSG00000000346.phy	1513	1579
ENSMUSG00000000355.phy	487	486
ENSMUSG00000000359.phy	1220	1177
ENSMUSG00000000365.phy	17089	12298
ENSMUSG00000000374.phy	5939	5935
ENSMUSG00000000378.phy	785	781
ENSMUSG00000000384.phy	1040	1050
ENSMUSG00000000385.phy	1029	1030
ENSMUSG00000000394.phy	1053	1075
ENSMUSG00000000399.phy	1456	1470
ENSMUSG00000000402.phy	935	348
ENSMUSG00000000409.phy	3822	3734
ENSMUSG00000000411.phy	838	841
ENSMUSG00000000416.phy	8890	8816
ENSMUSG00000000420.phy	706	1162
ENSMUSG00000000435.phy	145	145
ENSMUSG00000000439.phy	440	436
ENSMUSG00000000440.phy	2320	2433
ENSMUSG00000000441.phy	2662	6376
ENSMUSG00000000486.phy	2736	3221
ENSMUSG00000000489.phy	903	903
ENSMUSG00000000530.phy	2052	2274
ENSMUSG00000000531.phy	1459	1436
ENSMUSG00000000532.phy	1038	1064
ENSMUSG00000000538.phy	7388	7574
ENSMUSG00000000544.phy	357	551
ENSMUSG00000000552.phy	847	842
ENSMUSG00000000555.phy	9505	9482
ENSMUSG00000000560.phy	2553	728
ENSMUSG00000000567.phy	274	344
ENSMUSG00000000568.phy	3862	4116
ENSMUSG00000000581.phy	436	431
ENSMUSG00000000594.phy	1613	1670
ENSMUSG00000000600.phy	5671	6586
ENSMUSG00000000605.phy	1921	1917
ENSMUSG00000000617.phy	4788	4788
ENSMUSG00000000627.phy	5256	1807
ENSMUSG00000000628.phy	1272	3691
ENSMUSG00000000631.phy	13269	16003
ENSMUSG00000000632.phy	3065	3070
ENSMUSG00000000673.phy	1610	1528
ENSMUSG00000000686.phy	520	522
ENSMUSG00000000690.phy	849	858
ENSMUSG00000000693.phy	5454	1647
ENSMUSG00000000711.phy	1749	1534
ENSMUSG00000000724.phy	852	849
ENSMUSG00000000730.phy	2064	239
ENSMUSG00000000731.phy	353	1047
ENSMUSG00000000738.phy	1717	5252
ENSMUSG00000000743.phy	1461	1453
ENSMUSG00000000751.phy	970	1234
ENSMUSG00000000753.phy	979	947
ENSMUSG00000000759.phy	8625	3200
ENSMUSG00000000766.phy	928	918
ENSMUSG00000000776.phy	2562	2551
ENSMUSG00000000787.phy	1415	1508
ENSMUSG00000000791.phy	284	287
ENSMUSG00000000792.phy	1558	1511
ENSMUSG00000000794.phy	3963	3977
ENSMUSG00000000804.phy	14724	14731
ENSMUSG00000000817.phy	1414	1331
ENSMUSG00000000823.phy	7176	7130
ENSMUSG00000000826.phy	3273	3887
ENSMUSG00000000827.phy	1328	2374
ENSMUSG00000000838.phy	6355	4116
ENSMUSG00000000861.phy	3095	3048
ENSMUSG00000000876.phy	389	390
ENSMUSG00000000881.phy	8780	3719
ENSMUSG00000000884.phy	1212	1214
ENSMUSG00000000889.phy	1571	2219
ENSMUSG00000000915.phy	3137	4176
ENSMUSG00000000916.phy	2574	3624
ENSMUSG00000000934.phy	2837	857
ENSMUSG00000000957.phy	3632	3287
ENSMUSG00000000958.phy	541	460
ENSMUSG00000000959.phy	1468	1509
ENSMUSG00000000976.phy	5668	5663
ENSMUSG00000000982.phy	449	546
ENSMUSG00000001014.phy	846	846
ENSMUSG00000001018.phy	754	527
ENSMUSG00000001020.phy	822	804
ENSMUSG00000001023.phy	577	733
ENSMUSG00000001025.phy	886	791
ENSMUSG00000001027.phy	4926	4985
ENSMUSG00000001029.phy	367	370
ENSMUSG00000001036.phy	5220	5210
ENSMUSG00000001052.phy	5823	5939
ENSMUSG00000001062.phy	4650	4638
ENSMUSG00000001065.phy	750	768
ENSMUSG00000001089.phy	1459	1451
ENSMUSG00000001095.phy	881	881
ENSMUSG00000001098.phy	1103	409
ENSMUSG00000001100.phy	2066	3761
ENSMUSG00000001103.phy	1015	840
ENSMUSG00000001105.phy	361	345
ENSMUSG00000001119.phy	9233	9250
ENSMUSG00000001123.phy	111	109
ENSMUSG00000001127.phy	5945	5917
ENSMUSG00000001128.phy	427	430
ENSMUSG00000001131.phy	287	262
ENSMUSG00000001134.phy	1462	280
ENSMUSG00000001138.phy	1221	1240
ENSMUSG00000001143.phy	1436	1459
ENSMUSG00000001150.phy	10910	10831
ENSMUSG00000001151.phy	1678	1557
