# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate-filter-tests/seq-f175/mafft-nt/ -g 40 -o ../03-Alignments/exonerate-filter-tests/seq-f175/filter
# Runtime:        03/21/2021 10:38:32
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/mafft-nt
# Sequence gappiness threshold:40
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/filter-seq40-site50
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq-f175/filter-seq40-site50/aln-stats.tab
# ----------------
# 03.21.2021 | 10:38:32 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000039621-mafft-cds.fa	193	209	192.78238341968913	185	4	4	0	1	209	NA	0	189	209	194.74074074074073	181	4	NA	0	1	149	NA
ENSMUSP00000091532-mafft-cds.fa	193	839	779.0932642487047	193	0	4	15	0	689	NA	9	189	830	782.7407407407408	189	0	NA	15	0	640	NA
ENSMUSP00000093758-mafft-cds.fa	194	997	936.3453608247422	194	0	1	17	1	770	NA	20	193	977	939.160621761658	193	0	NA	28	1	676	NA
ENSMUSP00000155544-mafft-cds.fa	192	175	156.64583333333334	192	0	13	0	0	175	NA	4	179	171	160.2849162011173	179	0	NA	0	0	99	NA
ENSMUSP00000116756-mafft-cds.fa	192	185	167.05208333333334	164	11	6	0	0	166	NA	6	186	179	168.09139784946237	158	11	NA	5	0	155	NA
ENSMUSP00000073691-mafft-cds.fa	194	695	481.04639175257734	194	0	39	0	1	695	NA	62	155	633	506.51612903225805	155	0	NA	8	1	572	NA
ENSMUSP00000081943-mafft-cds.fa	193	662	171.77720207253887	188	2	193	0	6	655	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000049280-mafft-cds.fa	194	421	380.0154639175258	194	0	1	1	5	311	NA	31	193	390	376.5181347150259	193	0	NA	7	5	273	NA
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	126	0	0	48	NA	0	1	57	57.0	1	0	NA	57	0	0	NA
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	26	1	0	226	NA	0	153	253	244.92156862745097	142	5	NA	9	0	142	NA
ENSMUSP00000101714-mafft-cds.fa	194	1362	1186.0309278350514	194	0	1	36	0	1189	NA	69	193	1293	1176.6217616580311	193	0	NA	54	0	1096	NA
ENSMUSP00000057312-mafft-cds.fa	192	52	51.505208333333336	84	21	0	5	2	4	NA	0	192	52	51.505208333333336	84	21	NA	5	2	4	NA
ENSMUSP00000022007-mafft-cds.fa	186	59	58.98924731182796	151	9	0	2	0	1	NA	0	186	59	58.98924731182796	151	9	NA	2	0	1	NA
ENSMUSP00000020776-mafft-cds.fa	193	127	115.98445595854922	168	11	2	0	1	127	NA	0	191	127	116.75392670157068	166	11	NA	0	1	86	NA
ENSMUSP00000123155-mafft-cds.fa	190	125	113.46842105263158	139	17	22	0	0	125	NA	0	168	125	120.92261904761905	121	15	NA	5	0	79	NA
ENSMUSP00000061893-mafft-cds.fa	193	238	226.49222797927462	187	3	1	0	2	212	NA	5	192	233	223.70833333333334	186	3	NA	0	2	207	NA
ENSMUSP00000028020-mafft-cds.fa	193	450	427.00518134715026	193	0	4	0	0	450	NA	5	189	445	430.16931216931215	189	0	NA	2	0	342	NA
ENSMUSP00000109881-mafft-cds.fa	193	654	568.2901554404145	193	0	6	0	6	654	NA	31	187	623	567.0320855614973	187	0	NA	0	4	590	NA
ENSMUSP00000031347-mafft-cds.fa	190	152	142.6421052631579	178	5	9	0	0	152	NA	0	181	152	147.41436464088397	172	4	NA	3	0	71	NA
ENSMUSP00000001806-mafft-cds.fa	193	562	528.7461139896373	189	2	8	10	1	408	NA	21	185	541	533.6162162162162	181	2	NA	15	1	211	NA
ENSMUSP00000099760-mafft-cds.fa	193	418	394.1502590673575	193	0	1	1	13	312	NA	8	192	410	391.1614583333333	192	0	NA	1	13	304	NA
ENSMUSP00000140864-mafft-cds.fa	194	387	375.00515463917526	194	0	4	0	0	387	NA	0	190	387	379.90526315789475	190	0	NA	6	0	160	NA
ENSMUSP00000028656-mafft-cds.fa	193	245	195.43523316062175	191	1	24	0	0	245	NA	21	169	224	205.9940828402367	167	1	NA	0	0	224	NA
ENSMUSP00000045154-mafft-cds.fa	191	116	109.10994764397905	176	7	1	1	1	46	NA	5	190	111	107.32631578947368	175	7	NA	1	1	36	NA
ENSMUSP00000055528-mafft-cds.fa	193	161	154.7979274611399	174	7	4	1	0	110	NA	4	189	157	154.68783068783068	170	7	NA	2	0	56	NA
ENSMUSP00000125746-mafft-cds.fa	193	300	255.99481865284974	191	1	9	0	0	300	NA	29	184	271	256.33152173913044	181	1	NA	0	0	238	NA
ENSMUSP00000031349-mafft-cds.fa	192	250	238.34375	192	0	5	0	1	197	NA	10	187	240	237.01604278074868	185	1	NA	1	0	144	NA
ENSMUSP00000119606-mafft-cds.fa	194	342	332.2216494845361	168	10	1	8	0	300	NA	0	193	342	333.47668393782385	167	10	NA	17	0	259	NA
ENSMUSP00000028340-mafft-cds.fa	191	138	123.72774869109948	173	9	16	0	0	96	NA	4	175	134	127.19428571428571	157	9	NA	14	0	54	NA
ENSMUSP00000139667-mafft-cds.fa	194	242	226.58247422680412	192	1	3	0	0	199	NA	0	191	242	228.35602094240838	189	1	NA	0	0	199	NA
ENSMUSP00000106166-mafft-cds.fa	192	254	208.50520833333334	192	0	8	0	0	254	NA	21	184	233	212.33152173913044	184	0	NA	0	0	117	NA
ENSMUSP00000105358-mafft-cds.fa	194	257	241.0463917525773	183	5	5	4	0	217	NA	0	189	257	244.03174603174602	178	5	NA	4	0	217	NA
ENSMUSP00000099360-mafft-cds.fa	193	212	203.38860103626942	178	7	7	0	0	212	NA	0	186	212	207.38172043010752	171	7	NA	5	0	154	NA
ENSMUSP00000106809-mafft-cds.fa	192	592	427.8489583333333	192	0	36	0	0	592	NA	74	156	518	441.68589743589746	156	0	NA	1	0	497	NA
ENSMUSP00000122288-mafft-cds.fa	190	29	29.0	49	26	0	4	0	0	NA	0	190	29	29.0	49	26	NA	4	0	0	NA
ENSMUSP00000153308-mafft-cds.fa	193	334	297.9222797927461	191	1	8	0	0	306	NA	15	185	319	299.2918918918919	183	1	NA	2	0	209	NA
ENSMUSP00000030915-mafft-cds.fa	192	178	155.47395833333334	176	8	17	0	1	178	NA	5	175	173	160.96571428571428	159	8	NA	0	1	173	NA
ENSMUSP00000120759-mafft-cds.fa	189	42	40.301587301587304	66	20	0	3	0	3	NA	5	189	37	36.95238095238095	59	17	NA	3	0	0	NA
ENSMUSP00000048239-mafft-cds.fa	192	137	114.58854166666667	172	7	14	0	9	137	NA	18	178	119	110.32584269662921	157	7	NA	4	6	67	NA
