# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/roycroft/original_used_for_analysis-fa/ -f NA --count -o roycroft-stats-2
# Runtime:        03/23/2021 11:15:58
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/roycroft/original_used_for_analysis-fa
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/roycroft-stats-2-fNA-seq20-site50
# --count set:            Will not output sequences.
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignment-scripts/roycroft-stats-2-fNA-seq20-site50/aln-stats-fNA-seq20-site50.tab
# ----------------
# 03.23.2021 | 11:15:58 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites
CCDS174581Mm106chr3.fa	38	313	289.4736842105263	38	0	2	43	0	169	169
CCDS365671Mm106chr12.fa	38	306	260.13157894736844	38	0	14	20	0	216	216
CCDS384692Mm106chr3.fa	38	572	535.0526315789474	38	0	2	65	0	291	291
CCDS367271Mm106chr13.fa	38	515	462.7631578947368	38	0	5	45	3	313	313
CCDS186041Mm106chr4.fa	38	110	104.1842105263158	36	1	4	0	0	62	62
CCDS244221Mm106chr11.fa	38	228	197.81578947368422	38	0	8	0	0	228	228
CCDS233201Mm106chr9.fa	38	90	77.94736842105263	36	1	9	0	0	90	90
CCDS503871Mm106chr19.fa	38	716	625.7631578947369	38	0	6	66	0	437	433
CCDS486221Mm106chr10.fa	38	34	28.63157894736842	6	2	4	0	0	34	32
CCDS288361Mm106chr17.fa	38	319	287.0263157894737	38	0	5	24	0	204	194
CCDS288231Mm106chr17.fa	38	187	159.0	38	0	10	0	0	170	170
CCDS159421Mm106chr2.fa	38	474	438.6842105263158	38	0	6	82	0	231	231
CCDS842541Mm106chr16.fa	38	604	570.3157894736842	38	0	1	107	0	206	206
CCDS285921Mm106chr17.fa	38	269	237.18421052631578	38	0	10	21	0	190	190
CCDS203231Mm106chr6.fa	38	393	374.60526315789474	38	0	2	66	0	174	174
CCDS179941Mm106chr4.fa	38	128	115.47368421052632	38	0	7	0	0	93	93
CCDS202731Mm106chr6.fa	38	717	559.078947368421	38	0	18	25	0	599	599
CCDS206561Mm106chr6.fa	38	225	223.02631578947367	38	0	0	36	2	12	12
CCDS505191Mm106chr2.fa	38	145	127.76315789473684	38	0	8	8	0	85	85
CCDS188371Mm106chr4.fa	38	119	106.21052631578948	36	1	9	12	0	72	72
CCDS189671Mm106chr4.fa	38	665	617.7894736842105	38	0	5	42	0	434	434
CCDS394821Mm106chr6.fa	38	73	58.55263157894737	34	1	11	0	0	73	73
CCDS235591Mm106chr9.fa	38	291	261.0263157894737	38	0	3	27	0	154	150
CCDS242631Mm106chr10.fa	38	329	295.36842105263156	38	0	3	0	0	190	190
CCDS150821Mm106chr1.fa	38	371	348.60526315789474	38	0	0	104	0	91	91
CCDS242761Mm106chr10.fa	38	192	157.55263157894737	38	0	19	14	0	118	115
CCDS234091Mm106chr9.fa	38	371	322.2105263157895	38	0	4	0	0	371	354
CCDS249861Mm106chr11.fa	38	424	344.7894736842105	38	0	14	0	0	424	420
CCDS177541Mm106chr3.fa	38	599	557.3421052631579	38	0	1	177	0	123	115
CCDS249931Mm106chr11.fa	38	283	251.47368421052633	38	0	4	31	0	122	118
CCDS176041Mm106chr3.fa	38	519	413.55263157894734	38	0	14	9	0	468	465
CCDS520601Mm106chr7.fa	38	47	42.68421052631579	36	1	7	1	0	30	30
CCDS208581Mm106chr7.fa	38	436	322.4736842105263	38	0	18	0	0	358	330
CCDS170401Mm106chr2.fa	38	47	42.0	34	2	7	0	0	36	36
CCDS152631Mm106chr1.fa	38	78	69.76315789473684	35	1	9	0	0	35	35
CCDS153331Mm106chr1.fa	38	273	251.81578947368422	38	0	5	35	0	108	107
CCDS185081Mm106chr4.fa	38	179	160.52631578947367	38	0	5	17	0	92	90
CCDS184581Mm106chr4.fa	38	352	246.8684210526316	36	1	21	0	0	352	350
CCDS207861Mm106chr7.fa	38	479	414.63157894736844	38	0	8	16	0	327	327
CCDS157711Mm106chr2.fa	38	213	163.55263157894737	38	0	18	1	0	197	195
CCDS518281Mm106chr6.fa	38	56	51.31578947368421	32	3	4	0	0	39	39
CCDS841051Mm106chr14.fa	38	29	27.92105263157895	13	3	2	0	0	11	11
CCDS382481Mm106chr2.fa	38	480	454.60526315789474	38	0	1	61	0	174	174
CCDS238811Mm106chr10.fa	38	105	91.02631578947368	38	0	8	0	0	64	64
CCDS214101Mm106chr7.fa	38	557	486.3421052631579	38	0	6	5	0	442	437
CCDS280031Mm106chr16.fa	38	248	224.18421052631578	38	0	7	23	0	146	146
CCDS526981Mm106chr8.fa	38	351	275.0	38	0	22	0	0	268	246
CCDS257031Mm106chr11.fa	38	283	225.28947368421052	38	0	16	14	0	184	161
CCDS280161Mm106chr16.fa	38	53	51.81578947368421	31	1	1	12	0	10	10
CCDS407231Mm106chr9.fa	38	37	26.657894736842106	33	1	18	0	0	37	37
CCDS293191Mm106chr18.fa	38	371	311.89473684210526	38	0	11	3	0	297	295
CCDS264261Mm106chr13.fa	38	74	70.52631578947368	38	0	2	0	0	17	17
CCDS403861Mm106chr8.fa	38	390	377.63157894736844	38	0	0	83	0	72	72
CCDS305151Mm106chrX.fa	38	52	45.1578947368421	34	2	7	0	0	40	40
CCDS491961Mm106chr12.fa	38	185	139.39473684210526	38	0	19	0	0	185	182
CCDS512641Mm106chr4.fa	38	85	84.8157894736842	36	1	0	25	0	0	0
CCDS527481Mm106chr9.fa	38	382	315.8421052631579	38	0	15	19	0	273	267
CCDS383981Mm106chr3.fa	38	235	220.8684210526316	38	0	1	38	0	65	64
CCDS502171Mm106chr18.fa	38	372	349.2631578947368	38	0	2	13	0	184	183
CCDS161371Mm106chr2.fa	38	291	273.63157894736844	38	0	3	0	0	183	182
CCDS213841Mm106chr7.fa	38	1649	1399.4736842105262	38	0	10	99	0	1039	1023
CCDS378791Mm106chr18.fa	38	262	251.39473684210526	38	0	2	35	0	114	114
CCDS165121Mm106chr2.fa	38	265	235.23684210526315	38	0	6	43	0	122	121
CCDS164421Mm106chr2.fa	38	349	329.13157894736844	38	0	1	55	0	126	126
