Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	Transcript count	Rat gene stable ID	Rat protein or transcript stable ID	Rat homology type	%id. target Rat gene identical to query gene	%id. query gene identical to target Rat gene	Rat Gene-order conservation score	Rat Whole-genome alignment coverage	dN with Rat	dS with Rat	Rat orthology confidence [0 low, 1 high]	Mouse chrome	Mouse start	Mouse end	Mouse length	Rat chrome	Rat start	Rat end	Rat length
# Rodent exomes -- select mouse trancsripts
# PYTHON VERSION: 3.6.6
# Script call: select_transcripts.py
# Runtime: 04/14/2020 21:09:10
# ----------
# Mouse GTF file:        ../02-Annotation-data/reference-data/Mus_musculus.GRCm38.99.gtf.gz
# Rat GTF file:          ../02-Annotation-data/reference-data/Rattus_norvegicus.Rnor_6.0.99.gtf.gz
# Ensembl ortholog file: ../02-Annotation-data/reference-data/mouse-rat-orths-ens99.txt
# Output file:           ../02-Annotation-data/selected-transcripts.txt
# --------------
# dS threshold:          0.5
# --------------
# 04.14.2020 | 21:09:10 Reading mouse feature lengths...
# Mouse transcripts read: 142647
# 04.14.2020 | 21:09:20 Reading rat feature lengths...
# Rat transcripts read:   41078
# --------------
# 04.14.2020 | 21:09:27 Reading orthologs...
# Genes read:      56289
# Transcipts read: 170971
# --------------
# 04.14.2020 | 21:09:28 Filtering transcripts...
# Transcripts with no rat ortholog:                                                      44696
# Transcripts with no one2one rat ortholog:                                              37291
# Transcripts with no high confidence rat ortholog:                                      11069
# Transcripts with no rat ortholog below dS threshold:                                   1204
# Transcripts filtered for not being, on average between rat and mouse, longest in gene: 56413
# Note: numbers reported are conditional on those trancsripts passing the previous filter. Filters reported in order of their coding.
# --------------
# Genes with no passed transcripts:                                                      41857
# Genes with selected transcript:                                                        14432
# --------------
# 04.14.2020 | 21:09:28 Writing selected transcripts to output file...
ENSMUSG00000033970	ENSMUST00000038131	ENSMUSP00000039621	Rfc3	7	ENSRNOG00000001088	ENSRNOP00000001444	ortholog_one2one	98.3146	98.3146	0	100.00	0.0081	0.3328	1	5	151642756	151651242	8486	12	1460538	1471357	10819
ENSMUSG00000000632	ENSMUST00000093995	ENSMUSP00000091532	Sez6	9	ENSRNOG00000009350	ENSRNOP00000040374	ortholog_one2one	96.8718	96.7742	75	100.00	0.0154	0.1757	1	11	77930800	77979048	48248	10	64865805	64915148	49343
ENSMUSG00000036097	ENSMUST00000096053	ENSMUSP00000093758	Slf2	5	ENSRNOG00000014482	ENSRNOP00000069230	ortholog_one2one	94.7549	94.7549	100	100.00	0.0245	0.1205	1	19	44931151	44983188	52037	1	264670924	264732578	61654
ENSMUSG00000055447	ENSMUST00000229640	ENSMUSP00000155544	Cd47	10	ENSRNOG00000001964	ENSRNOP00000068714	ortholog_one2one	88.8889	80.2228	100	99.70	0.069	0.2036	1	16	49800533	49911046	110513	11	53515343	53575161	59818
ENSMUSG00000027887	ENSMUST00000141387	ENSMUSP00000116756	Sypl2	2	ENSRNOG00000019780	ENSRNOP00000026883	ortholog_one2one	97.3485	97.3485	100	100.00	0.0115	0.0963	1	3	108211472	108226648	15176	2	211003046	211017778	14732
ENSMUSG00000017670	ENSMUST00000074046	ENSMUSP00000073691	Elmo2	12	ENSRNOG00000018747	ENSRNOP00000039023	ortholog_one2one	98.6339	98.6339	100	100.00	0.0062	0.2195	1	2	165289155	165326479	37324	3	161812474	162003588	191114
ENSMUSG00000006356	ENSMUST00000084882	ENSMUSP00000081943	Crip2	6	ENSRNOG00000005041	ENSRNOP00000006804	ortholog_one2one	99.5192	99.5192	100	100.00	0.0021	0.2315	1	12	113140236	113145506	5270	6	137953545	137958490	4945
ENSMUSG00000055491	ENSMUST00000134015		Pprc1	11	ENSRNOG00000018561	ENSRNOP00000025222	ortholog_one2one	88.017	88.3934	100	100.00	0.0621	0.1732	1	19	46044886	46062197	17311	1	265809754	265826306	16552
ENSMUSG00000034083	ENSMUST00000037783	ENSMUSP00000049280	Ccdc174	7	ENSRNOG00000010090	ENSRNOP00000013498	ortholog_one2one	94.0043	92.616	50	100.00	0.0342	0.152	1	6	91878053	91899843	21790	4	123760743	123787528	26785
ENSMUSG00000067787	ENSMUST00000173378	ENSMUSP00000133386	Blcap	6	ENSRNOG00000024437	ENSRNOP00000031525	ortholog_one2one	100	100	100	100.00	0	0	1	2	157558102	157571274	13172	3	154040166	154042099	1933
ENSMUSG00000036144	ENSMUST00000041183	ENSMUSP00000043587	Meox2	1	ENSRNOG00000006588	ENSRNOP00000008803	ortholog_one2one	99.3399	99.3399	100	100.00	0.003	0.1542	1	12	37108540	37179534	70994	6	56625650	56689238	63588
ENSMUSG00000050860	ENSMUST00000054173	ENSMUSP00000057858	Phospho1	3	ENSRNOG00000005569	ENSRNOP00000007352	ortholog_one2one	94.382	87.1972	100	100.00	0	0	1	11	95824500	95832140	7640	10	83636518	83643859	7341
ENSMUSG00000042446	ENSMUST00000106108	ENSMUSP00000101714	Zmym4	9	ENSRNOG00000012397	ENSRNOP00000016992	ortholog_one2one	97.7405	97.6774	100	100.00	0.0105	0.1675	1	4	126861939	126968135	106196	5	144878212	144996431	118219
